record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,link,date_updated,recorded_date
R_qyImx4x5M0eOB4lDy,8903667Dy,new_entry,correction,,,"On 17 March 2020 the Zambian government announced the ""closure of all schools, universities and colleges from 20 March 2020 in addition the date of re-opening the institutions would only be determined as the pandemic evolved"".",2020-03-17,2020-03-20,,Zambia,ZMB,ZM,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,,Zambia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Fines,National Government,,,,,NA ; https://diggers.news/local/2020/03/17/govt-shuts-all-schools-to-prevent-covid-19-outbreak/,2021-04-09,2021-04-09T09:37:05Z
R_qyImx4x5M0eOB4lEa,8903667Ea,new_entry,correction,,,"On 17 March 2020 the Zambian government announced the ""closure of all schools, universities and colleges from 20 March 2020 in addition the date of re-opening the institutions would only be determined as the pandemic evolved"".",2020-03-17,2020-03-20,,Zambia,ZMB,ZM,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,,Zambia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Fines,National Government,,,,,NA ; https://diggers.news/local/2020/03/17/govt-shuts-all-schools-to-prevent-covid-19-outbreak/,2021-04-09,2021-04-09T09:37:05Z
R_qyImx4x5M0eOB4lFj,8903667Fj,new_entry,correction,,,"On 17 March 2020 the Zambian government announced the ""closure of all schools, universities and colleges from 20 March 2020 in addition the date of re-opening the institutions would only be determined as the pandemic evolved"".",2020-03-17,2020-03-20,,Zambia,ZMB,ZM,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,,Zambia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Fines,National Government,,,,,NA ; https://diggers.news/local/2020/03/17/govt-shuts-all-schools-to-prevent-covid-19-outbreak/,2021-04-09,2021-04-09T09:37:05Z
R_qyImx4x5M0eOB4lCe,8903667Ce,new_entry,correction,,,"On 17 March 2020 the Zambian government announced the ""closure of all schools, universities and colleges from 20 March 2020 in addition the date of re-opening the institutions would only be determined as the pandemic evolved"".",2020-03-17,2020-03-20,,Zambia,ZMB,ZM,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,,Zambia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Fines,National Government,,,,,NA ; https://diggers.news/local/2020/03/17/govt-shuts-all-schools-to-prevent-covid-19-outbreak/,2021-04-09,2021-04-09T09:37:05Z
R_31zx6w29NBfWyy6Ea,1702889Ea,new_entry,original,,,"On 8 may 2020 Zambian President Edgar Lungu has directed that ""Examination classes in both Primary and secondary Schools should reopen on 1st June 2020 on condition that schools enforce all public health guidelines, regulations and certification.""",2020-05-08,2020-06-01,,Zambia,ZMB,ZM,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools allowed to open with conditions,Zambia,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,"https://www.lusakatimes.com/2020/05/08/examination-classes-in-both-primary-and-secondary-schools-should-reopen-on-1st-june-2020-president-lungu/#:~:text=President%20Edgar%20Lungu%20has%20directed,health%20guidelines%2C%20regulations%20and%20certification.",2021-04-09,2021-04-09T10:43:35Z
R_31zx6w29NBfWyy6Fj,1702889Fj,new_entry,original,,,"On 8 may 2020 Zambian President Edgar Lungu has directed that ""Examination classes in both Primary and secondary Schools should reopen on 1st June 2020 on condition that schools enforce all public health guidelines, regulations and certification.""",2020-05-08,2020-06-01,,Zambia,ZMB,ZM,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools allowed to open with conditions,Zambia,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,"https://www.lusakatimes.com/2020/05/08/examination-classes-in-both-primary-and-secondary-schools-should-reopen-on-1st-june-2020-president-lungu/#:~:text=President%20Edgar%20Lungu%20has%20directed,health%20guidelines%2C%20regulations%20and%20certification.",2021-04-09,2021-04-09T10:43:35Z
R_31zx6w29NBfWyy6Dy,1702889Dy,new_entry,original,,,"On 8 may 2020 Zambian President Edgar Lungu has directed that ""Examination classes in both Primary and secondary Schools should reopen on 1st June 2020 on condition that schools enforce all public health guidelines, regulations and certification.""",2020-05-08,2020-06-01,,Zambia,ZMB,ZM,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Zambia,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,"https://www.lusakatimes.com/2020/05/08/examination-classes-in-both-primary-and-secondary-schools-should-reopen-on-1st-june-2020-president-lungu/#:~:text=President%20Edgar%20Lungu%20has%20directed,health%20guidelines%2C%20regulations%20and%20certification.",2021-04-09,2021-04-09T10:43:35Z
R_31zx6w29NBfWyy6Ce,1702889Ce,new_entry,original,,,"On 8 may 2020 Zambian President Edgar Lungu has directed that ""Examination classes in both Primary and secondary Schools should reopen on 1st June 2020 on condition that schools enforce all public health guidelines, regulations and certification.""",2020-05-08,2020-06-01,,Zambia,ZMB,ZM,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Zambia,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,"https://www.lusakatimes.com/2020/05/08/examination-classes-in-both-primary-and-secondary-schools-should-reopen-on-1st-june-2020-president-lungu/#:~:text=President%20Edgar%20Lungu%20has%20directed,health%20guidelines%2C%20regulations%20and%20certification.",2021-04-09,2021-04-09T10:43:35Z
R_25MeQFAnAKywHQbNA,5525026,new_entry,original,,,"On 17 March 2020, in Zambia, ""A restriction has been imposed on all foreign travel, with the public being advised to reschedule all avoidable travel. Hygiene practices to promote infection prevention in all passenger vehicles, airplanes, marine transport, and other conveyances, and points of entry such as airports, harbors, railway stations, and ground crossings is emphasized.""",2020-03-17,2020-03-17,,Zambia,ZMB,ZM,National,0,,,,External Border Restrictions,,,,All countries,All countries,,,,,All (Travelers + Residents),Inbound/Outbound,All kinds of transport,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines","National Government,Ministry/Department of Health,Police",,,,,https://www.moh.gov.zm/?wpfb_dl=145,2020-03-30,2020-03-30T12:25:02Z
R_sI1iltc6I3GpYoVNA,8214084,new_entry,original,,,"13 March 2020: The Government of Zambia is enforcing ""Closure of Simon Mwansa Kapwepwe (Copperbelt province), Harry Mwanga Nkumbula (Southern Province) and Mfuwe (Eastern province) International Airports. All international flights have been rerouted to Kenneth Kaunda International Airport (KKIA), Lusaka.""",2020-03-13,2020-03-17,,Zambia,ZMB,ZM,National,0,,,,External Border Restrictions,,,,All countries,All countries,,,,,All Travelers (Citizen Travelers + Foreign Travelers ),Inbound,Flights,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Provincial/State Government,Police",,,,,http://znphi.co.zm/news/wp-content/uploads/2020/04/Zambia_COVID-Situational-Report-No-14_010420_Final.pdf,2020-04-02,2020-04-02T17:23:43Z
