record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,pdf_link,link,collab,collab_id,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,muni_IDC,dispersive_IDC,constraining_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS
R_1BWaHDf5ibLRdZ2Eq,7760829Eq,new_entry,,,"",Angola is closing all schools after March 24,2020-03-19,2020-03-24,2020-04-08,The policy has a clear end date,Angola,AGO,AO,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",,Angola,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),Other (Please specify in the text box),https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3rHCF15JWGZ07Bx,"https://m.portalangop.co.ao/angola/pt_pt/noticias/educacao/2020/2/12/COVID-MED-encerra-escolas-por-dias,a040ae33-e688-4f75-a136-ac4aacc9d8a4.html",CoronaNet (original),,2020-04-02,2020-04-02T21:13:58Z,3,0,0,,,,,,,,,106,33.9,0,-0.435670435428619,0.548431634902954,17,19,29816748,101673002177.645,-0.147207426247036,17.2105808070281,25.3450276394455,2,1,-0.275782857982646,-0.234575758949216,632178
R_1BWaHDf5ibLRdZ2Gb,7760829Gb,new_entry,,,"",Angola is closing all schools after March 24,2020-03-19,2020-03-24,2020-04-08,The policy has a clear end date,Angola,AGO,AO,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",,Angola,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),Other (Please specify in the text box),https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3rHCF15JWGZ07Bx,"https://m.portalangop.co.ao/angola/pt_pt/noticias/educacao/2020/2/12/COVID-MED-encerra-escolas-por-dias,a040ae33-e688-4f75-a136-ac4aacc9d8a4.html",CoronaNet (original),,2020-04-02,2020-04-02T21:13:58Z,3,0,0,,,,,,,,,106,33.9,0,-0.435670435428619,0.548431634902954,17,19,29816748,101673002177.645,-0.147207426247036,17.2105808070281,25.3450276394455,2,1,-0.275782857982646,-0.234575758949216,632178
R_1qVPzYgpUQ4iHKiCe,4816171Ce,new_entry,,,"","Angola is closing schools, universities and churches after March 24, 2020 for 15 days.",2020-03-23,2020-03-24,2020-04-07,The policy has a clear end date,Angola,AGO,AO,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,,"",,Angola,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_cGXTGhqotQMaNW6,https://www.cmjornal.pt/mundo/detalhe/angola-encerra-escolas-universidades-e-igrejas-durante-15-dias-para-prevenir-propagacao-do-coronavirus,CoronaNet (original),,2023-07-19,2023-07-19T14:19:17Z,3,0,0,,,,,,,,,106,33.9,0,-0.435670435428619,0.548431634902954,17,19,29816748,101673002177.645,-0.147207426247036,17.2105808070281,25.3450276394455,2,1,-0.275782857982646,-0.234575758949216,632178
R_2bZa59oLNYq2ypjCe,4816171Ce,update,End of Policy,,"",Angola is closing universities after March 24. UPDATE: The policy originally targeted universities but now targets all education establishments,2020-03-23,2020-03-24,,The policy’s end date is unknown or unreported,Angola,AGO,AO,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,,"",,Angola,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_cGXTGhqotQMaNW6 ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2aP4HUgXaapoSwf,NA ; https://www.cisp.gov.ao:10443/wp-content/uploads/2020/04/Decreto-Presidencial-n.%C2%BA-82-20-de-26-de-mar%C3%A7o.pdf,CoronaNet (original),,2021-03-02,2021-03-02T15:27:23Z,3,0,0,,,,,,,,,106,33.9,0,-0.435670435428619,0.548431634902954,17,19,29816748,101673002177.645,-0.147207426247036,17.2105808070281,25.3450276394455,2,1,-0.275782857982646,-0.234575758949216,632178
R_tJxnPXhsZch6qPfEq,7760829Eq,update,End of Policy,,"","As of March 24, 2020, Angola is closing all schools, high-schools and universities for 15 days. UPDATE: The policy was revoked due to a new legislation on the subject.",2020-03-26,2020-03-26,2020-03-26,The policy has a clear end date,Angola,AGO,AO,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,Angola,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),Other (Please specify in the text box),https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3rHCF15JWGZ07Bx ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_XArPpqU8GFJQx9L,NA ; https://drive.google.com/file/d/1TfBt-CtWZM_lGL-enwye1Xtp7Y4FZS76/view?usp=sharing,CoronaNet (original),,2021-09-29,2021-09-29T19:13:34Z,4,0,0,,,,,,,,,106,33.9,0,-0.435670435428619,0.548431634902954,17,19,29816748,101673002177.645,-0.147207426247036,17.2105808070281,25.3450276394455,2,1,-0.275782857982646,-0.234575758949216,632178
R_tJxnPXhsZch6qPfGb,7760829Gb,update,End of Policy,,"","As of March 24, 2020, Angola is closing all schools, high-schools and universities for 15 days. UPDATE: The policy was revoked due to a new legislation on the subject.",2020-03-26,2020-03-26,2020-03-26,The policy has a clear end date,Angola,AGO,AO,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,,"",,Angola,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),Other (Please specify in the text box),https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3rHCF15JWGZ07Bx ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_XArPpqU8GFJQx9L,NA ; https://drive.google.com/file/d/1TfBt-CtWZM_lGL-enwye1Xtp7Y4FZS76/view?usp=sharing,CoronaNet (original),,2021-09-29,2021-09-29T19:13:34Z,4,0,0,,,,,,,,,106,33.9,0,-0.435670435428619,0.548431634902954,17,19,29816748,101673002177.645,-0.147207426247036,17.2105808070281,25.3450276394455,2,1,-0.275782857982646,-0.234575758949216,632178
R_3EWrqRiRamm41TjEq,7760829Eq,update,End of Policy,,"","As of March 24, 2020, Angola is closing all schools, high-schools and universities for 15 days. UPDATE: The deadline for this policy was revoked by a new legislation.",2020-03-26,2020-03-26,2020-04-23,The policy has a clear end date,Angola,AGO,AO,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,Angola,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),Other (Please specify in the text box),https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3rHCF15JWGZ07Bx ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_XArPpqU8GFJQx9L,"https://m.portalangop.co.ao/angola/pt_pt/noticias/educacao/2020/2/12/COVID-MED-encerra-escolas-por-dias,a040ae33-e688-4f75-a136-ac4aacc9d8a4.html",CoronaNet (original),,2021-10-06,2021-10-06T19:03:20Z,4,0,0,,,,,,,,,106,33.9,0,-0.435670435428619,0.548431634902954,17,19,29816748,101673002177.645,-0.147207426247036,17.2105808070281,25.3450276394455,2,1,-0.275782857982646,-0.234575758949216,632178
R_3EWrqRiRamm41TjGb,7760829Gb,update,End of Policy,,"","As of March 24, 2020, Angola is closing all schools, high-schools and universities for 15 days. UPDATE: The deadline for this policy was revoked by a new legislation.",2020-03-26,2020-03-26,2020-04-23,The policy has a clear end date,Angola,AGO,AO,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,,"",,Angola,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),Other (Please specify in the text box),https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3rHCF15JWGZ07Bx ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_XArPpqU8GFJQx9L,"https://m.portalangop.co.ao/angola/pt_pt/noticias/educacao/2020/2/12/COVID-MED-encerra-escolas-por-dias,a040ae33-e688-4f75-a136-ac4aacc9d8a4.html",CoronaNet (original),,2021-10-06,2021-10-06T19:03:20Z,4,0,0,,,,,,,,,106,33.9,0,-0.435670435428619,0.548431634902954,17,19,29816748,101673002177.645,-0.147207426247036,17.2105808070281,25.3450276394455,2,1,-0.275782857982646,-0.234575758949216,632178
R_3NIkKE45pX1nutdEp,9907204Ep,new_entry,,,"","As of March 27, all public and private education institutions (schools, high schools, technical/professional schools and universities) activities will be suspended.",2020-03-26,2020-03-27,2020-04-11,The policy has a clear end date,Angola,AGO,AO,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",Yes,Angola,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Other population not specifed above,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Education",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2CTFniZ62WvMhfg,https://drive.google.com/file/d/1TfBt-CtWZM_lGL-enwye1Xtp7Y4FZS76/view?usp=sharing,CoronaNet (original),,2021-09-29,2021-09-29T19:27:12Z,4,0,0,,,,,,,,,106,33.9,0,-0.435670435428619,0.548431634902954,17,19,29816748,101673002177.645,-0.147207426247036,17.2105808070281,25.3450276394455,2,1,-0.275782857982646,-0.234575758949216,632178
R_3NIkKE45pX1nutdEq,9907204Eq,new_entry,,,"","As of March 27, all public and private education institutions (schools, high schools, technical/professional schools and universities) activities will be suspended.",2020-03-26,2020-03-27,2020-04-11,The policy has a clear end date,Angola,AGO,AO,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",Yes,Angola,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Other population not specifed above,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Education",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2CTFniZ62WvMhfg,https://drive.google.com/file/d/1TfBt-CtWZM_lGL-enwye1Xtp7Y4FZS76/view?usp=sharing,CoronaNet (original),,2021-09-29,2021-09-29T19:27:12Z,4,0,0,,,,,,,,,106,33.9,0,-0.435670435428619,0.548431634902954,17,19,29816748,101673002177.645,-0.147207426247036,17.2105808070281,25.3450276394455,2,1,-0.275782857982646,-0.234575758949216,632178
