record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,pdf_link,link,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,muni_IDC,dispersive_IDC,constraining_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS
R_2Ebr26zp3d0TdEFEl,789011El,new_entry,,,"","The Ministry of Education, Science and Technology of Antigua and Barbuda closed the schools early on the 16th of march. School staff and teachers had to prepare the closing on the 16th and the 17th of March.",2020-03-15,2020-03-16,2020-03-27,The policy has a clear end date,Antigua and Barbuda,ATG,AG,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",,Antigua and Barbuda,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"Ministry/Department of Health,Other (Please specify in the text box)",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3EssenIypeegZzH,https://ab.gov.ag/pdf/MoEST_COVID-19_Closures.pdf,2020-04-03,2020-04-03T20:00:30Z,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
R_2Ebr26zp3d0TdEFEm,789011Em,new_entry,,,"","The Ministry of Education, Science and Technology of Antigua and Barbuda closed the schools early on the 16th of march. School staff and teachers had to prepare the closing on the 16th and the 17th of March.",2020-03-15,2020-03-16,2020-03-27,The policy has a clear end date,Antigua and Barbuda,ATG,AG,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",,Antigua and Barbuda,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"Ministry/Department of Health,Other (Please specify in the text box)",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3EssenIypeegZzH,https://ab.gov.ag/pdf/MoEST_COVID-19_Closures.pdf,2020-04-03,2020-04-03T20:00:30Z,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
R_2Ebr26zp3d0TdEFFw,789011Fw,new_entry,,,"","The Ministry of Education, Science and Technology of Antigua and Barbuda closed the schools early on the 16th of march. School staff and teachers had to prepare the closing on the 16th and the 17th of March.",2020-03-15,2020-03-16,2020-03-27,The policy has a clear end date,Antigua and Barbuda,ATG,AG,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",,Antigua and Barbuda,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"Ministry/Department of Health,Other (Please specify in the text box)",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3EssenIypeegZzH,https://ab.gov.ag/pdf/MoEST_COVID-19_Closures.pdf,2020-04-03,2020-04-03T20:00:30Z,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
R_2Ebr26zp3d0TdEFCe,789011Ce,new_entry,,,"","The Ministry of Education, Science and Technology of Antigua and Barbuda closed the schools early on the 16th of march. School staff and teachers had to prepare the closing on the 16th and the 17th of March.",2020-03-15,2020-03-16,2020-03-27,The policy has a clear end date,Antigua and Barbuda,ATG,AG,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",,Antigua and Barbuda,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"Ministry/Department of Health,Other (Please specify in the text box)",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3EssenIypeegZzH,https://ab.gov.ag/pdf/MoEST_COVID-19_Closures.pdf,2020-04-03,2020-04-03T20:00:30Z,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
R_31Eh7e48v8Nf0yMEl,8074074El,new_entry,,,"","Antigua and Barbuda, September 7. The Ministry of Education, Science and Technology announced the reopening of schools. The schools must follow specific rigoruous in order to be allowed to aporate in-person modes.",2020-09-07,2020-09-07,2022-11-12,The policy has an unlimited time span (e.g. recommendation to wash one's hands; passing of a legal bill),Antigua and Barbuda,ATG,AG,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities allowed to open with conditions,"Regular cleaning and sanitary procedures applied to classrooms (e.g. classrooms must be aired out after each class),Temperature Check,Other Health Monitoring,Other conditions not listed above (please provide detail in the text entry)",Yes,Antigua and Barbuda,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),"Students,Teachers",,,Mandatory (Unspecified/Implied),"Ministry/Department of Health,Ministry/Department of Education",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1E6wGpHaCRHQFNV,https://covid19.gov.ag/2020/09/15/2020-2021-september-moest-reopening-of-school-phase-ii-protocol-plan/,2022-10-10,2022-10-10T00:13:08Z,95,3,91,,,,,,,,,,,,,,,,,,,,,,,,,
R_31Eh7e48v8Nf0yMEm,8074074Em,new_entry,,,"","Antigua and Barbuda, September 7. The Ministry of Education, Science and Technology announced the reopening of schools. The schools must follow specific rigoruous in order to be allowed to aporate in-person modes.",2020-09-07,2020-09-07,2022-11-12,The policy has an unlimited time span (e.g. recommendation to wash one's hands; passing of a legal bill),Antigua and Barbuda,ATG,AG,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools allowed to open with conditions,"Regular cleaning and sanitary procedures applied to classrooms (e.g. classrooms must be aired out after each class),Temperature Check,Other Health Monitoring,Other conditions not listed above (please provide detail in the text entry)",Yes,Antigua and Barbuda,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),"Students,Teachers",,,Mandatory (Unspecified/Implied),"Ministry/Department of Health,Ministry/Department of Education",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1E6wGpHaCRHQFNV,https://covid19.gov.ag/2020/09/15/2020-2021-september-moest-reopening-of-school-phase-ii-protocol-plan/,2022-10-10,2022-10-10T00:13:08Z,95,3,91,,,,,,,,,,,,,,,,,,,,,,,,,
R_31Eh7e48v8Nf0yMFw,8074074Fw,new_entry,,,"","Antigua and Barbuda, September 7. The Ministry of Education, Science and Technology announced the reopening of schools. The schools must follow specific rigoruous in order to be allowed to aporate in-person modes.",2020-09-07,2020-09-07,2022-11-12,The policy has an unlimited time span (e.g. recommendation to wash one's hands; passing of a legal bill),Antigua and Barbuda,ATG,AG,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools allowed to open with conditions,"Regular cleaning and sanitary procedures applied to classrooms (e.g. classrooms must be aired out after each class),Temperature Check,Other Health Monitoring,Other conditions not listed above (please provide detail in the text entry)",Yes,Antigua and Barbuda,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),"Students,Teachers",,,Mandatory (Unspecified/Implied),"Ministry/Department of Health,Ministry/Department of Education",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1E6wGpHaCRHQFNV,https://covid19.gov.ag/2020/09/15/2020-2021-september-moest-reopening-of-school-phase-ii-protocol-plan/,2022-10-10,2022-10-10T00:13:08Z,95,3,91,,,,,,,,,,,,,,,,,,,,,,,,,
R_31Eh7e48v8Nf0yMCe,8074074Ce,new_entry,,,"","Antigua and Barbuda, September 7. The Ministry of Education, Science and Technology announced the reopening of schools. The schools must follow specific rigoruous in order to be allowed to aporate in-person modes.",2020-09-07,2020-09-07,2022-11-12,The policy has an unlimited time span (e.g. recommendation to wash one's hands; passing of a legal bill),Antigua and Barbuda,ATG,AG,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions allowed to open with conditions,"Regular cleaning and sanitary procedures applied to classrooms (e.g. classrooms must be aired out after each class),Temperature Check,Other Health Monitoring,Other conditions not listed above (please provide detail in the text entry)",Yes,Antigua and Barbuda,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),"Students,Teachers",,,Mandatory (Unspecified/Implied),"Ministry/Department of Health,Ministry/Department of Education",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1E6wGpHaCRHQFNV,https://covid19.gov.ag/2020/09/15/2020-2021-september-moest-reopening-of-school-phase-ii-protocol-plan/,2022-10-10,2022-10-10T00:13:08Z,95,3,91,,,,,,,,,,,,,,,,,,,,,,,,,
R_2SwbcAAO43fBCDIDe,5707823,new_entry,,,"","Antigua and Barbuda, March 27.  The government announced a curfew starting on March 28 until April 11. The curfew will be from 8:00 P.M. to 6:00 A.M. The only exception is for essential workers.",2020-03-27,2020-03-28,2020-04-11,The policy has a clear end date,Antigua and Barbuda,ATG,AG,National,1,,,,Curfew,No the curfew times are always the same regardless of the day of the week,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Antigua and Barbuda,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory with Fines,National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3mjBwwAJWMKGPRq,https://web.archive.org/web/20211104214908/https://ab.gov.ag/pdf/covid_news/mar_27_2020_State_of_Emergency_in_Antigua_and_Barbuda.pdf,2022-08-12,2022-08-12T01:03:20Z,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
R_1BWrO9vEeZGUVHtDe,3733458,new_entry,,,"","Antigua and Barbuda, April 9. The government announced a 24 hour curfew starting on April 9 at 6:00 A.M. until April 16 at 6:00 A.M. People may only go out for food and emergency supplies. The only exception is for essential workers.",2020-04-09,2020-04-09,2020-04-16,The policy has a clear end date,Antigua and Barbuda,ATG,AG,National,1,,,,Curfew,No the curfew times are always the same regardless of the day of the week,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Antigua and Barbuda,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory with Fines,National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_278WECPepjTH9MZ,https://covid19-evidence.paho.org/handle/20.500.12663/2559?show=full,2022-08-12,2022-08-12T01:08:41Z,19,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
