record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,pdf_link,link,collab,collab_id,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,muni_IDC,dispersive_IDC,constraining_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS
R_xl3bYOQlEZS2PTzBe,7552320,new_entry,,,"","September 14, 2020: With Bulletin N. 262, the Italian Ministry of Health announced that the Italian Minister of Health, Roberto Speranza, has attended the 70th session of the WHO Regional Committee for Europe (RC70), organised by the WHO Regional Office for Europe, on September 14 and 15, 2020. Representatives of 53 countries in the WHO European Region have attended. Representatives of WHO partners such as United Nations agencies and other intergovernmental organisations and regional networks, were also present. Non-State actors (NSAs) in official relations with WHO and regional NSAs accredited by the Regional Committee, have followed the webstream and had the opportunity to submit video and written statements in advance. The key health issues and future plans have been discussed, particularly on themes regarding the response to the COVID-19 pandemic and lessons learned from the pandemic, both globally and regionally.",2020-09-14,2020-09-14,2020-09-15,The policy has a clear end date,"Albania,Andorra,Armenia,Austria,Azerbaijan,Belarus,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Cyprus,Czechia,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,Hungary,Iceland,Ireland,Israel,Italy,Kazakhstan,Kyrgyzstan,Latvia,Lithuania,Luxembourg,Malta,Moldova,Monaco,Montenegro,Netherlands,North Macedonia,Norway,Poland,Portugal,Romania,Russia,San Marino,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,Tajikistan,Turkey,Turkmenistan,Ukraine,United Kingdom,Uzbekistan",,,National,1,,,,"New Task Force, Bureau or Administrative Configuration",Cooperation among different jurisdictional entities (e.g. treaties or agreements among countries or provinces),Sharing information,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Italy,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Ministry/Department of Health,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_SNuQoepgbNRNX0t,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioComunicatiNuovoCoronavirus.jsp?lingua=italiano&menu=salastampa&p=comunicatistampa&id=5646 ; https://www.euro.who.int/en/about-us/governance/regional-committee-for-europe/70th-session/on-the-agenda,CoronaNet (original),,2021-04-11,2021-04-11T12:32:02Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1LUMHChPSjPtwZ5Be,141874,new_entry,,,"","On April 7, New Zealand government announced the country will enter into transit arrangements with a range of countries to make it easier for each other’s citizens to get home.",2020-04-07,2020-04-07,,The policy’s end date is unknown or unreported,"Argentina,Austria,Belgium,Brazil,Bulgaria,Canada,China,Croatia,Czechia,Denmark,Ecuador,Finland,France,Germany,Italy,Japan,Malaysia,Mexico,Netherlands,North Macedonia,Norway,Philippines,Poland,Qatar,Singapore,Slovakia,Slovenia,South Korea,Spain,Sweden,Switzerland,United Kingdom,United States,Uruguay",,,National,1,,,,"New Task Force, Bureau or Administrative Configuration",Cooperation among different jurisdictional entities (e.g. treaties or agreements among countries or provinces),,"",,,,,,"","","","","","","","","","","",,,,"",No,"Argentina,Australia,Austria,Belgium,Brazil,Bulgaria,Canada,China,Croatia,Czechia,Denmark,Ecuador,Finland,France,Germany,Italy,Japan,Malaysia,Mexico,Netherlands,North Macedonia,Norway,Philippines,Poland,Qatar,Singapore,Slovakia,Slovenia,South Korea,Spain,Sweden,Switzerland,United Kingdom,United States,Uruguay","One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1K88XO2d5rw6LMP,https://www.immigration.govt.nz/about-us/covid-19/coronavirus-update-inz-response,CoronaNet (original),,2022-07-11,2022-07-11T23:59:59Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_PYbsZr8t0XiGA49NA,3824696,new_entry,,,"","On February 07, 2020, Belgium launched the #UnitedAgainstFakeNews campaign in partnership with Twitter to strengthen the fight against fake news and false rumors about COVID-19.",2020-02-07,2020-02-07,2023-08-16,The policy has an unlimited time span (e.g. recommendation to wash one's hands; passing of a legal bill),Belgium,BEL,BE,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Belgium,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Voluntary/Recommended but No Penalties,National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2ToSvl94yK7X0xz,https://www.info-coronavirus.be/en/news/archive/know-the-facts/,CoronaNet (original),,2023-03-24,2023-03-24T11:04:22Z,1,0,0,,,,,,,,,12,12.5,2,1.95645272731781,-0.318712323904037,2,75,11375158,530994736008.02,1.96419275543016,16.2469424128147,26.9980179447833,2,2,1.89149505165447,4.27383437836888,1783488
R_PMNS6eJxliDcUcpNA,6018015,new_entry,,,"",The Belgium government has started a campaign to spread awareness of cybercrime related to COVID-19. The federal Cybersecurity Center for Belgium has recontinued an awareness campaign from 2019.,2020-03-24,2020-03-24,2020-04-08,The policy has an imprecise natural end date (e.g. masks will be distributed until they run out),Belgium,BEL,BE,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Belgium,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Voluntary/Recommended but No Penalties,"National Government,Other (Please specify in the text box)",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2aQ7ckC1qX4dTqj,https://krebsonsecurity.com/2020/03/live-coronavirus-map-used-to-spread-malware/ ; https://www.safeonweb.be/nl/actueel/cybercriminelen-verspreiden-virussen-en-ransomware-verborgen-achter-covid-19-berichten-en ; https://www.belgium.be/nl/nieuws/2020/let_op_voor_coronavirus_phishing,ACAPS,ACAPS_2740,2021-12-19,2021-12-19T08:49:09Z,4269,122,461,3975,38775,3.339,,,,,,12,12.5,2,1.95645272731781,-0.318712323904037,2,75,11375158,530994736008.02,1.96419275543016,16.2469424128147,26.9980179447833,2,2,1.89149505165447,4.27383437836888,1783488
R_6QBvCXTmLNNMgW5NA,3214335,new_entry,,,"","As of March 24, 2020, the Belgian Government initiated a policy called ""Anti-Disinformation Measures"" that aimed to educate the public about COVID-19 cybercrime through a campaign. This campaign was set to continue until April 8, 2020. The Federal Cybersecurity Center for Belgium launched a follow-up campaign for 2019's awareness campaign.",2020-03-24,2020-03-24,2020-04-08,The policy has an imprecise natural end date (e.g. masks will be distributed until they run out),Belgium,BEL,BE,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Belgium,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Voluntary/Recommended but No Penalties,"National Government,Other (Please specify in the text box)",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_6QNCOg0jEYkljme,https://www.belgium.be/nl/nieuws/2020/let_op_voor_coronavirus_phishing ; https://www.safeonweb.be/nl/actueel/cybercriminelen-verspreiden-virussen-en-ransomware-verborgen-achter-covid-19-berichten-en ; https://krebsonsecurity.com/2020/03/live-coronavirus-map-used-to-spread-malware/,ACAPS,ACAPS_2740,2023-04-18,2023-04-18T22:20:09Z,4269,122,461,3975,38775,3.339,,,,,,12,12.5,2,1.95645272731781,-0.318712323904037,2,75,11375158,530994736008.02,1.96419275543016,16.2469424128147,26.9980179447833,2,2,1.89149505165447,4.27383437836888,1783488
R_3snuK5FjTPxQVEuNA,6376106,new_entry,,,"","In Belgium on the 30th of August 2020 the federal policehas created a squad of 21 officers whose job is to track fake news on the internet and elsewhere, according to Het Nieuwsblad.",2020-03-30,2020-03-30,,The policy’s end date is unknown or unreported,Belgium,BEL,BE,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Belgium,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Voluntary/Recommended but No Penalties,Police,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2hlYKNwiybvIdaN,https://www.brusselstimes.com/129011/federal-police-track-and-trace-fake-corona-news,CoronaNet (original),,2022-07-26,2022-07-26T16:55:45Z,11899,513,1527,4101,62720,5.402,,,,,,12,12.5,2,1.95645272731781,-0.318712323904037,2,75,11375158,530994736008.02,1.96419275543016,16.2469424128147,26.9980179447833,2,2,1.89149505165447,4.27383437836888,1783488
R_UbxjChTsmj7hpFDNA,5476577,new_entry,,,"",the Flemish Community in Belgium on the 30th of March 2020launched a dedicated webpage on Covid-19 on www.gezondheidenwetenschap.be. This website was created in collaboration with the Centrum for Evidence-Based Medicine (Cebam) to debunk myths in medical and health messages. Gezondheid en Wetenschap previously worked together with the University of Antwerp to counter anti-vaccine news.,2020-03-30,2020-03-30,2023-08-16,The policy has an unlimited time span (e.g. recommendation to wash one's hands; passing of a legal bill),Belgium,BEL,BE,Provincial,1,Flanders,BE-VLG,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Belgium,One or more provinces within one or more countries,,Flanders,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Voluntary/Recommended but No Penalties,Provincial/State Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_BPNdlKUgmxl0K4x,http://www.euregha.net/news/regions-against-covid-19-1-the-flemish-community-fights-fake-news/,CoronaNet (original),,2022-07-26,2022-07-26T17:06:38Z,11899,513,1527,4101,62720,5.402,,,,,,12,12.5,2,1.95645272731781,-0.318712323904037,2,75,11375158,530994736008.02,1.96419275543016,16.2469424128147,26.9980179447833,2,2,1.89149505165447,4.27383437836888,1783488
R_1o0kKxKidnM2D01NA,367375,new_entry,,,"","Belgium is taking anti-disinformation measures from 21st of April. UNESCO Brussels, the European Union and Twitter join forces to launch a European social media campaign to address misinformation on Covid-19 and #ThinkBeforeSharing.",2020-04-15,2020-04-15,2020-04-17,The policy is a one-time measure (e.g. publication of guidelines),Belgium,BEL,BE,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Belgium,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Voluntary/Recommended but No Penalties,Other (Please specify in the text box),https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_ewXjBH8QWWOKPvP,https://en.unesco.org/news/european-social-media-campaign-address-disinformation-covid-19-thinkbeforesharing,CoronaNet (original),,2021-03-01,2021-03-01T08:54:12Z,33573,4440,7107,10984,176407,15.193,,,,,,12,12.5,2,1.95645272731781,-0.318712323904037,2,75,11375158,530994736008.02,1.96419275543016,16.2469424128147,26.9980179447833,2,2,1.89149505165447,4.27383437836888,1783488
R_shxJUy4eP3kpolPNA,5456573,new_entry,,,"","The Belgium-Luxembourg hub, which will be launched in October 2021, will gather a network of more than 100 experienced fact-checkers, employees from media organisations (including RFL and Agence France-Presse), disinformation analysts, media literacy organisations.
The aim of the initiative is to detect, analyse and expose emerging harmful disinformation campaigns and to increase media literacy in five languages (Dutch, French, English, German, Luxembourgish).",2021-07-05,2021-10-01,2023-08-16,The policy has an unlimited time span (e.g. recommendation to wash one's hands; passing of a legal bill),Belgium,BEL,BE,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Belgium,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Voluntary/Recommended but No Penalties,New (COVID-19 specific) Task Force,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2EgxlSqxpUpBH70,https://www.brusselstimes.com/176329/european-union-commission-disinformation-fake-news-belgium-netherlands-luxembourg-edmo,CoronaNet (original),,2022-07-26,2022-07-26T16:47:22Z,1247197,25612,0,52004,20145292,1734.955,,16905433,26160,145.04,2244,12,12.5,2,1.95645272731781,-0.318712323904037,2,75,11375158,530994736008.02,1.96419275543016,16.2469424128147,26.9980179447833,2,2,1.89149505165447,4.27383437836888,1783488
R_2pYwO62doPftaN1Eq,2014873Eq,new_entry,,,"","Everybody is being advised to take some distance in social contacts in Belgium on Mar. 10, 2020. The advice is also to postpone school trips abroad. School parties and school trips that last longer than one day are discouraged.",2020-03-10,2020-03-10,,The policy’s end date is unknown or unreported,Belgium,BEL,BE,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities allowed to open with conditions,Other conditions not listed above (please provide detail in the text entry),Yes,Belgium,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Other population not specifed above,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3EoLNv8HLqUuNPK,https://www.vrt.be/vrtnws/en/2020/03/10/covid-19-social-distancing-becomes-official-belgian-government/,CoronaNet (original),,2022-10-11,2022-10-11T19:52:02Z,267,0,1,804,5902,0.508,,,,,,12,12.5,2,1.95645272731781,-0.318712323904037,2,75,11375158,530994736008.02,1.96419275543016,16.2469424128147,26.9980179447833,2,2,1.89149505165447,4.27383437836888,1783488
