record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,pdf_link,link,collab,collab_id,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,muni_IDC,dispersive_IDC,constraining_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS
R_SQ4bDuo4jWE80MhNA,5211397,new_entry,,,"","On the 27th of March 2020, Botswana Communications Regulatory Authority (BOCRA) advises that “consumers to be vigilant of and avoid taking part in publishing, forwarding or creating false alarming information and fake news about the novel CoronaVirus. Publishing of false statements constitutes an offence under section 59: Any person who publishes any false statement, rumour or report which is likely to cause fear and alarm to the public or to disturb the public peace is guilty of an offence.”",2020-03-27,2020-03-27,2020-03-29,The policy is a one-time measure (e.g. publication of guidelines),Botswana,BWA,BW,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Botswana,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory with Legal Penalties (Jail Time),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_Qh19sjSAM7MhOxj,https://www.bocra.org.bw/public-notice-3,CoronaNet (original),,2021-05-16,2021-05-16T22:04:23Z,0,0,0,,,,,,,,,39,23.5,1,0.0453633740544319,0.669777810573578,3,61,2205128,17331063453.6461,2.9075311217689,14.6062961150649,23.5757663036871,2,2,1.68655657644724,0.962242612427476,103268
R_Bug6gu17fgKDKjTEq,5858373Eq,new_entry,,,"","Botswana is closing all schools, meaning pre-primary school, primary school, post primary school, driving school and tertiary institution, including a university.",2020-04-02,2020-04-02,2020-04-30,The policy has a clear end date,Botswana,BWA,BW,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",,Botswana,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_29oWoLfFPVISMwA,https://bw.usembassy.gov/wp-content/uploads/sites/125/Emergency-Powers-COVID-19-Regulations-2020.pdf,CoronaNet (original),,2020-04-13,2020-04-13T13:54:34Z,4,1,0,,,,,,,,,39,23.5,1,0.0453633740544319,0.669777810573578,3,61,2205128,17331063453.6461,2.9075311217689,14.6062961150649,23.5757663036871,2,2,1.68655657644724,0.962242612427476,103268
R_Bug6gu17fgKDKjTEr,5858373Er,new_entry,,,"","Botswana is closing all schools, meaning pre-primary school, primary school, post primary school, driving school and tertiary institution, including a university.",2020-04-02,2020-04-02,2020-04-30,The policy has a clear end date,Botswana,BWA,BW,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",,Botswana,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_29oWoLfFPVISMwA,https://bw.usembassy.gov/wp-content/uploads/sites/125/Emergency-Powers-COVID-19-Regulations-2020.pdf,CoronaNet (original),,2020-04-13,2020-04-13T13:54:34Z,4,1,0,,,,,,,,,39,23.5,1,0.0453633740544319,0.669777810573578,3,61,2205128,17331063453.6461,2.9075311217689,14.6062961150649,23.5757663036871,2,2,1.68655657644724,0.962242612427476,103268
R_Bug6gu17fgKDKjTGc,5858373Gc,new_entry,,,"","Botswana is closing all schools, meaning pre-primary school, primary school, post primary school, driving school and tertiary institution, including a university.",2020-04-02,2020-04-02,2020-04-30,The policy has a clear end date,Botswana,BWA,BW,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",,Botswana,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_29oWoLfFPVISMwA,https://bw.usembassy.gov/wp-content/uploads/sites/125/Emergency-Powers-COVID-19-Regulations-2020.pdf,CoronaNet (original),,2020-04-13,2020-04-13T13:54:34Z,4,1,0,,,,,,,,,39,23.5,1,0.0453633740544319,0.669777810573578,3,61,2205128,17331063453.6461,2.9075311217689,14.6062961150649,23.5757663036871,2,2,1.68655657644724,0.962242612427476,103268
R_Bug6gu17fgKDKjTCf,5858373Cf,new_entry,,,"","Botswana is closing all schools, meaning pre-primary school, primary school, post primary school, driving school and tertiary institution, including a university.",2020-04-02,2020-04-02,2020-04-30,The policy has a clear end date,Botswana,BWA,BW,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",,Botswana,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_29oWoLfFPVISMwA,https://bw.usembassy.gov/wp-content/uploads/sites/125/Emergency-Powers-COVID-19-Regulations-2020.pdf,CoronaNet (original),,2020-04-13,2020-04-13T13:54:34Z,4,1,0,,,,,,,,,39,23.5,1,0.0453633740544319,0.669777810573578,3,61,2205128,17331063453.6461,2.9075311217689,14.6062961150649,23.5757663036871,2,2,1.68655657644724,0.962242612427476,103268
R_9SU2OgZ8hGcO9S9Eq,7235716Eq,new_entry,,,"","Botswana has closed all schools, concerning pre-primary school, primary school, post primary school, driving school and tertiary institution, including a university during the state of emergency",2020-04-02,2020-04-02,2020-04-30,The policy has a clear end date,Botswana,BWA,BW,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",,Botswana,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_NVgw9gv4xef3YK5,https://bw.usembassy.gov/wp-content/uploads/sites/125/Emergency-Powers-COVID-19-Regulations-2020.pdf,CoronaNet (original),,2020-04-15,2020-04-15T14:27:12Z,4,1,0,,,,,,,,,39,23.5,1,0.0453633740544319,0.669777810573578,3,61,2205128,17331063453.6461,2.9075311217689,14.6062961150649,23.5757663036871,2,2,1.68655657644724,0.962242612427476,103268
R_9SU2OgZ8hGcO9S9Er,7235716Er,new_entry,,,"","Botswana has closed all schools, concerning pre-primary school, primary school, post primary school, driving school and tertiary institution, including a university during the state of emergency",2020-04-02,2020-04-02,2020-04-30,The policy has a clear end date,Botswana,BWA,BW,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",,Botswana,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_NVgw9gv4xef3YK5,https://bw.usembassy.gov/wp-content/uploads/sites/125/Emergency-Powers-COVID-19-Regulations-2020.pdf,CoronaNet (original),,2020-04-15,2020-04-15T14:27:12Z,4,1,0,,,,,,,,,39,23.5,1,0.0453633740544319,0.669777810573578,3,61,2205128,17331063453.6461,2.9075311217689,14.6062961150649,23.5757663036871,2,2,1.68655657644724,0.962242612427476,103268
R_9SU2OgZ8hGcO9S9Gc,7235716Gc,new_entry,,,"","Botswana has closed all schools, concerning pre-primary school, primary school, post primary school, driving school and tertiary institution, including a university during the state of emergency",2020-04-02,2020-04-02,2020-04-30,The policy has a clear end date,Botswana,BWA,BW,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",,Botswana,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_NVgw9gv4xef3YK5,https://bw.usembassy.gov/wp-content/uploads/sites/125/Emergency-Powers-COVID-19-Regulations-2020.pdf,CoronaNet (original),,2020-04-15,2020-04-15T14:27:12Z,4,1,0,,,,,,,,,39,23.5,1,0.0453633740544319,0.669777810573578,3,61,2205128,17331063453.6461,2.9075311217689,14.6062961150649,23.5757663036871,2,2,1.68655657644724,0.962242612427476,103268
R_9SU2OgZ8hGcO9S9Cf,7235716Cf,new_entry,,,"","Botswana has closed all schools, concerning pre-primary school, primary school, post primary school, driving school and tertiary institution, including a university during the state of emergency",2020-04-02,2020-04-02,2020-04-30,The policy has a clear end date,Botswana,BWA,BW,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",,Botswana,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_NVgw9gv4xef3YK5,https://bw.usembassy.gov/wp-content/uploads/sites/125/Emergency-Powers-COVID-19-Regulations-2020.pdf,CoronaNet (original),,2020-04-15,2020-04-15T14:27:12Z,4,1,0,,,,,,,,,39,23.5,1,0.0453633740544319,0.669777810573578,3,61,2205128,17331063453.6461,2.9075311217689,14.6062961150649,23.5757663036871,2,2,1.68655657644724,0.962242612427476,103268
R_3F5r7eHiJWWdCGTEq,5858373Eq,update,Change of Policy,Relaxing,timing of policy relaxing,"On May 25 2020, Botswana Ministry of Basic education announced that ""Provision of all basics necessary for adherence to COVID-19 protocols is progressing well and preparations are at an advanced stage for the reopening of schools on June 2, 2020"". The Minister further stated that said the first batch to open would be exam pupils, namely standard sevens as well as form threes and fives. These classes will run for two weeks to enable the ministry and other stakeholders to assess the situation, which assessment will then give them the opportunity to usher in the rest of the pupils. Also, pre-primary classes would resume on August 4, which is the end of the winter season, to avoid possible flu attacks.

Regarding the issue of social distancing classes which had over 50 pupils would be divided into morning and afternoon sessions.

 UPDATE: The Botswana Government is ending its policy in the closure of educational institutions across the country. The policy which took effect on April 2, 2020. The Government has announced that the schools will reopen by June 2 2020.",2020-04-02,2020-04-02,2020-06-02,The policy has a clear end date,Botswana,BWA,BW,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,Botswana,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_29oWoLfFPVISMwA ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1mQNAy4cbqxd2H4,NA ; https://allafrica.com/stories/202005260106.html,CoronaNet (original),,2020-05-31,2020-05-31T15:42:30Z,4,1,0,,,,,,,,,39,23.5,1,0.0453633740544319,0.669777810573578,3,61,2205128,17331063453.6461,2.9075311217689,14.6062961150649,23.5757663036871,2,2,1.68655657644724,0.962242612427476,103268
R_3F5r7eHiJWWdCGTEr,5858373Er,update,Change of Policy,Relaxing,timing of policy relaxing,"On May 25 2020, Botswana Ministry of Basic education announced that ""Provision of all basics necessary for adherence to COVID-19 protocols is progressing well and preparations are at an advanced stage for the reopening of schools on June 2, 2020"". The Minister further stated that said the first batch to open would be exam pupils, namely standard sevens as well as form threes and fives. These classes will run for two weeks to enable the ministry and other stakeholders to assess the situation, which assessment will then give them the opportunity to usher in the rest of the pupils. Also, pre-primary classes would resume on August 4, which is the end of the winter season, to avoid possible flu attacks.

Regarding the issue of social distancing classes which had over 50 pupils would be divided into morning and afternoon sessions.

 UPDATE: The Botswana Government is ending its policy in the closure of educational institutions across the country. The policy which took effect on April 2, 2020. The Government has announced that the schools will reopen by June 2 2020.",2020-04-02,2020-04-02,2020-06-02,The policy has a clear end date,Botswana,BWA,BW,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,Botswana,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_29oWoLfFPVISMwA ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1mQNAy4cbqxd2H4,NA ; https://allafrica.com/stories/202005260106.html,CoronaNet (original),,2020-05-31,2020-05-31T15:42:30Z,4,1,0,,,,,,,,,39,23.5,1,0.0453633740544319,0.669777810573578,3,61,2205128,17331063453.6461,2.9075311217689,14.6062961150649,23.5757663036871,2,2,1.68655657644724,0.962242612427476,103268
R_3F5r7eHiJWWdCGTGc,5858373Gc,update,Change of Policy,Relaxing,timing of policy relaxing,"On May 25 2020, Botswana Ministry of Basic education announced that ""Provision of all basics necessary for adherence to COVID-19 protocols is progressing well and preparations are at an advanced stage for the reopening of schools on June 2, 2020"". The Minister further stated that said the first batch to open would be exam pupils, namely standard sevens as well as form threes and fives. These classes will run for two weeks to enable the ministry and other stakeholders to assess the situation, which assessment will then give them the opportunity to usher in the rest of the pupils. Also, pre-primary classes would resume on August 4, which is the end of the winter season, to avoid possible flu attacks.

Regarding the issue of social distancing classes which had over 50 pupils would be divided into morning and afternoon sessions.

 UPDATE: The Botswana Government is ending its policy in the closure of educational institutions across the country. The policy which took effect on April 2, 2020. The Government has announced that the schools will reopen by June 2 2020.",2020-04-02,2020-04-02,2020-06-02,The policy has a clear end date,Botswana,BWA,BW,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,,"",,Botswana,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_29oWoLfFPVISMwA ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1mQNAy4cbqxd2H4,NA ; https://allafrica.com/stories/202005260106.html,CoronaNet (original),,2020-05-31,2020-05-31T15:42:30Z,4,1,0,,,,,,,,,39,23.5,1,0.0453633740544319,0.669777810573578,3,61,2205128,17331063453.6461,2.9075311217689,14.6062961150649,23.5757663036871,2,2,1.68655657644724,0.962242612427476,103268
