record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,pdf_link,link,collab,collab_id,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,muni_IDC,dispersive_IDC,constraining_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS
R_1LUMHChPSjPtwZ5Be,141874,new_entry,,,"","On April 7, New Zealand government announced the country will enter into transit arrangements with a range of countries to make it easier for each other’s citizens to get home.",2020-04-07,2020-04-07,,The policy’s end date is unknown or unreported,"Argentina,Austria,Belgium,Brazil,Bulgaria,Canada,China,Croatia,Czechia,Denmark,Ecuador,Finland,France,Germany,Italy,Japan,Malaysia,Mexico,Netherlands,North Macedonia,Norway,Philippines,Poland,Qatar,Singapore,Slovakia,Slovenia,South Korea,Spain,Sweden,Switzerland,United Kingdom,United States,Uruguay",,,National,1,,,,"New Task Force, Bureau or Administrative Configuration",Cooperation among different jurisdictional entities (e.g. treaties or agreements among countries or provinces),,"",,,,,,"","","","","","","","","","","",,,,"",No,"Argentina,Australia,Austria,Belgium,Brazil,Bulgaria,Canada,China,Croatia,Czechia,Denmark,Ecuador,Finland,France,Germany,Italy,Japan,Malaysia,Mexico,Netherlands,North Macedonia,Norway,Philippines,Poland,Qatar,Singapore,Slovakia,Slovenia,South Korea,Spain,Sweden,Switzerland,United Kingdom,United States,Uruguay","One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1K88XO2d5rw6LMP,https://www.immigration.govt.nz/about-us/covid-19/coronavirus-update-inz-response,CoronaNet (original),,2022-07-11,2022-07-11T23:59:59Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2pWs9gDvRHuyf1XNA,1975423,new_entry,,,"","February 28, 2020, the São Paulo government launches an online information campaign to combat misinformation related to COVID-19.",2020-02-28,2020-02-28,2020-03-01,The policy is a one-time measure (e.g. publication of guidelines),Brazil,BRA,BR,Provincial,1,Sao Paulo,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",No,Brazil,One or more provinces within one or more countries,,Sao Paulo,,,,All (Travelers + Residents),No special population targeted,,,Voluntary/Recommended but No Penalties,Provincial/State Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_d5qdLzgIFOx3yjI,https://www.saopaulo.sp.gov.br/spnoticias/sp-lanca-guia-informativo-e-central-de-combate-a-fake-news-sobre-o-coronavirus/,CoronaNet (original),,2023-07-12,2023-07-12T17:23:05Z,1,0,0,,,,,,,,,107,34,2,1.95645272731781,0.823284327983856,6,35,209469333,2309659391689.85,1.11758734985511,19.16008790475,28.4681211801056,2,2,-0.891153165881199,1.59495257622544,807006
R_1nOA11IuZmPTQzLNA,737814,new_entry,,,"","On March 24, 2020, the holder of Sespa recommended that people from Pará access the page created by the Ministry of Health to combat fake news and use the whatsapp provided by the Ministry of Health: (61) 99289-4640, to clarify doubts.
“On the page, there is accurate, quality and credible information. In case of doubt, access the official websites of the Ministry of Health and Sespa. We have a collection of examples of fake news there and the truth about each one, because the best way to combat false news is with quality information, ”said Beltrame.

The role of the State Civil Police is also essential in the face of the spread of fake news. According to the general delegate of the PC, Alberto Teixeira, the work of the corporation is intense to investigate the content of these messages, with the objective of identifying who are the disseminators of these false news, so that they are held criminally responsible.

“We set up a team that is analyzing this information, so that we can identify and hold these people accountable, based on Article 41 of the Criminal Misdemeanor Law, which provides for punishment for those who use this device, as well as the Brazilian Penal Code and other legal provisions ”, He guaranteed. 

Update - Sespa released the update of the Covid-19 Balance in Pará at 11am this Tuesday (24th). The State continues with five confirmed cases, 215 discarded and 168 cases under analysis.",2020-03-24,2020-03-24,2023-08-28,The policy has an unlimited time span (e.g. recommendation to wash one's hands; passing of a legal bill),Brazil,BRA,BR,Provincial,1,Para,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Brazil,One or more provinces within one or more countries,,Para,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory with Legal Penalties (Jail Time),"Ministry/Department of Health,Provincial/State Government,Police",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2RPu3YFvSB60e11,https://agenciapara.com.br/noticia/18600/,CoronaNet (original),,2021-11-28,2021-11-28T19:07:41Z,2247,46,2,,,,,,,,,107,34,2,1.95645272731781,0.823284327983856,6,35,209469333,2309659391689.85,1.11758734985511,19.16008790475,28.4681211801056,2,2,-0.891153165881199,1.59495257622544,807006
R_1i3CkRz2LBYlkNYNA,1428562,new_entry,,,"","Brazil, 25th March 2020. To combat the proliferation of these fake news, the Secretariat of State for Communication i Alagoas(Secom) will make available, starting this Wednesday (25th), on the Alagoas Agency website, a fact-checking service. The content of videos, audios and posts will be analyzed daily.",2020-03-25,2020-03-25,2023-08-28,The policy has an unlimited time span (e.g. recommendation to wash one's hands; passing of a legal bill),Brazil,BRA,BR,Provincial,1,Alagoas,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",,Brazil,,,Alagoas,,,,All Residents (Citizen Residents + Foreign Residents),,,,Voluntary/Recommended but No Penalties,Provincial/State Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_210MV2zTI0pZrU2,http://agenciaalagoas.al.gov.br/noticia/item/32600-secom-cria-secao-de-checagem-de-fatos-para-combater-fake-news,CoronaNet (original),,2021-11-28,2021-11-28T19:11:55Z,2554,59,2,,,,,,,,,107,34,2,1.95645272731781,0.823284327983856,6,35,209469333,2309659391689.85,1.11758734985511,19.16008790475,28.4681211801056,2,2,-0.891153165881199,1.59495257622544,807006
R_2SCWW5FQQRiWyWBNA,3963704,new_entry,,,"","On March 26, the Brazilian Ministry of Health released an official WhatsApp channel in order to respond to questions related to potential fake news about the pandemic. Every citizen can freely send a message to the number released to have their question clarified.",2020-03-26,2020-03-26,,The policy’s end date is unknown or unreported,Brazil,BRA,BR,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Brazil,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Voluntary/Recommended but No Penalties,Ministry/Department of Health,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3n8bghQr0ygU41L,https://g1.globo.com/bemestar/coronavirus/noticia/2020/03/26/ministerio-da-saude-lanca-conta-no-whatsapp-para-tirar-duvidas-sobre-o-novo-coronavirus.ghtml ; https://exame.com/ciencia/contra-fake-news-ministerio-da-saude-cria-bot-sobre-covid-19-no-whatsapp/,CoronaNet (original),,2021-01-25,2021-01-25T19:10:56Z,2985,77,6,,,,,,,,,107,34,2,1.95645272731781,0.823284327983856,6,35,209469333,2309659391689.85,1.11758734985511,19.16008790475,28.4681211801056,2,2,-0.891153165881199,1.59495257622544,807006
R_3sgBkRLCPgfXR1jNA,4246473,new_entry,,,"","Rio de Janeiro released a flyer to dispel misinformation about certain foods being able to prevent the coronavirus when truthfully none can, as well as advised people to eat healthy and attempt to stay active.",2020-04-16,2020-04-16,2020-04-18,The policy is a one-time measure (e.g. publication of guidelines),Brazil,BRA,BR,Provincial,1,Rio de Janeiro,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Brazil,One or more provinces within one or more countries,,Rio de Janeiro,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Voluntary/Recommended but No Penalties,"Ministry/Department of Health,Provincial/State Government",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3oSC4431FlOJ8HU,https://coronavirus.rj.gov.br/alimentacao-e-nutricao-em-tempos-de-coronavirus-o-que-e-fato-e-o-que-e-fake/,CoronaNet (original),,2021-11-28,2021-11-28T20:07:41Z,30425,1924,14026,,,,,,,,,107,34,2,1.95645272731781,0.823284327983856,6,35,209469333,2309659391689.85,1.11758734985511,19.16008790475,28.4681211801056,2,2,-0.891153165881199,1.59495257622544,807006
R_1BWQZ7sjrBBU0hLNA,7419553,new_entry,,,"","On April 24, the Brazilian agency for health surveillance, Anvisa, released a note on its official website in order to clarify about clinical researches for the new coronavirus. This was an effort to fight against fake news, according to the agency.",2020-04-24,2020-04-24,2020-04-26,The policy is a one-time measure (e.g. publication of guidelines),Brazil,BRA,BR,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Brazil,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Voluntary/Recommended but No Penalties,Ministry/Department of Health,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1eCU8gDx7Owhnif,https://agenciabrasil.ebc.com.br/saude/noticia/2020-04/para-combater-fake-news-anvisa-esclarece-pesquisas-sobre-covid-19 ; http://antigo.anvisa.gov.br/resultado-de-busca?p_p_id=101&p_p_lifecycle=0&p_p_state=maximized&p_p_mode=view&p_p_col_id=column-1&p_p_col_count=1&_101_struts_action=%2Fasset_publisher%2Fview_content&_101_assetEntryId=5857987&_101_type=content&_101_groupId=219201&_101_urlTitle=pesquisas-clinicas-para-covid-19-no-brasil-entenda&redirect=http%3A%2F%2Fantigo.anvisa.gov.br%2Fresultado-de-busca%3Fp_p_id%3D3%26p_p_lifecycle%3D0%26p_p_state%3Dnormal%26p_p_mode%3Dview%26p_p_col_id%3Dcolumn-1%26p_p_col_count%3D1%26_3_advancedSearch%3Dfalse%26_3_groupId%3D0%26_3_keywords%3D51%252F2020%26_3_assetCategoryIds%3D5725878%26_3_delta%3D20%26_3_resetCur%3Dfalse%26_3_cur%3D4%26_3_struts_action%3D%252Fsearch%252Fsearch%26_3_format%3D%26_3_assetTagNames%3Dpesquisas%2Bcl%25C3%25ADnicas%26_3_andOperator%3Dtrue%26_3_formDate%3D1441824476958&inheritRedirect=true,CoronaNet (original),,2021-04-14,2021-04-14T20:47:10Z,54043,3704,27655,,,,,,,,,107,34,2,1.95645272731781,0.823284327983856,6,35,209469333,2309659391689.85,1.11758734985511,19.16008790475,28.4681211801056,2,2,-0.891153165881199,1.59495257622544,807006
R_pnjGlxZHMpFZMrvNA,7060183,new_entry,,,"","Brazil--on April 29, 2020 the state government of Bahia released anti-disinformation measures allowing people to query the State Government's Instagram, Facebook and WhatsApp accounts to check whether information is true or false.",2020-04-28,2020-04-28,2020-04-30,The policy is a one-time measure (e.g. publication of guidelines),Brazil,BRA,BR,Provincial,1,Bahia,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Brazil,One or more provinces within one or more countries,,Bahia,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Voluntary/Recommended but No Penalties,Provincial/State Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_9sGdGH1YNqMdGlr,http://www.ba.gov.br/noticias/fato-ou-fake-agora-voce-pode-checar-antes-de-compartilhar,CoronaNet (original),,2021-11-28,2021-11-28T20:09:37Z,73235,5083,32544,2585,189730,0.885,,,,,,107,34,2,1.95645272731781,0.823284327983856,6,35,209469333,2309659391689.85,1.11758734985511,19.16008790475,28.4681211801056,2,2,-0.891153165881199,1.59495257622544,807006
R_1hQ2vUCMl14RfzsNA,9007661,new_entry,,,"","Brazil--on May 28, 2020 the state government of Bahia approved a law to fine those who illegally disseminate false information about epidemics, endemics and pandemics in the State of Bahia, effective May 29, 2020.",2020-04-28,2020-04-29,2023-08-28,The policy has an unlimited time span (e.g. recommendation to wash one's hands; passing of a legal bill),Brazil,BRA,BR,Provincial,1,Bahia,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Brazil,One or more provinces within one or more countries,,Bahia,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory with Fines,Provincial/State Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_Reomw9OwL8l23Pb,http://www.legislabahia.ba.gov.br/documentos/lei-no-14268-de-28-de-maio-2020,CoronaNet (original),,2021-11-28,2021-11-28T20:54:28Z,79685,5513,34132,4677,194407,0.907,,,,,,107,34,2,1.95645272731781,0.823284327983856,6,35,209469333,2309659391689.85,1.11758734985511,19.16008790475,28.4681211801056,2,2,-0.891153165881199,1.59495257622544,807006
R_2aIzl0toLC8mXwmNA,1515757,new_entry,,,"",Rio de Janeiro's state health secretary released a video to dispel fake news and disinformation.,2020-05-05,2020-05-05,2020-05-07,The policy is a one-time measure (e.g. publication of guidelines),Brazil,BRA,BR,Provincial,1,Rio de Janeiro,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Brazil,One or more provinces within one or more countries,,Rio de Janeiro,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),"Ministry/Department of Health,Provincial/State Government",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1DITk5QlJfTeGbT,https://coronavirus.rj.gov.br/secretario-de-estado-de-saude-do-rj-esclarece-fake-news/,CoronaNet (original),,2021-11-28,2021-11-28T20:57:09Z,115455,7938,48221,,,,,,,,,107,34,2,1.95645272731781,0.823284327983856,6,35,209469333,2309659391689.85,1.11758734985511,19.16008790475,28.4681211801056,2,2,-0.891153165881199,1.59495257622544,807006
