record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,pdf_link,link,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,muni_IDC,dispersive_IDC,constraining_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS
R_yOYrIzI3GgbJ5cJEk,4029558Ek,new_entry,,,"","After announcement of the first three cases of corona virus,French and Belgian schools in BURUNDI CLOSED.",2020-03-31,2020-04-01,,,Burundi,BDI,BI,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",,Burundi,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),Other (Please specify in the text box),,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3oMTWhr3RsyZA5X,https://www.nation.co.ke/news/africa/Burundi-reports-first-two-Covid-19-cases/1066-5510478-mec5uc/index.html,2020-04-07,2020-04-07T11:24:51Z,2,0,0,,,,,,,,,160,55.3,2,1.06766307353973,0.0045911050401628,21,22,10827024,2318490757.97052,0.500009998779461,16.1975557889711,21.5641822755772,1,0,-0.691900192435493,-0.658323487395844,289810
R_yOYrIzI3GgbJ5cJEl,4029558El,new_entry,,,"","After announcement of the first three cases of corona virus,French and Belgian schools in BURUNDI CLOSED.",2020-03-31,2020-04-01,,,Burundi,BDI,BI,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",,Burundi,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),Other (Please specify in the text box),,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3oMTWhr3RsyZA5X,https://www.nation.co.ke/news/africa/Burundi-reports-first-two-Covid-19-cases/1066-5510478-mec5uc/index.html,2020-04-07,2020-04-07T11:24:51Z,2,0,0,,,,,,,,,160,55.3,2,1.06766307353973,0.0045911050401628,21,22,10827024,2318490757.97052,0.500009998779461,16.1975557889711,21.5641822755772,1,0,-0.691900192435493,-0.658323487395844,289810
R_yOYrIzI3GgbJ5cJFv,4029558Fv,new_entry,,,"","After announcement of the first three cases of corona virus,French and Belgian schools in BURUNDI CLOSED.",2020-03-31,2020-04-01,,,Burundi,BDI,BI,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",,Burundi,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),Other (Please specify in the text box),,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3oMTWhr3RsyZA5X,https://www.nation.co.ke/news/africa/Burundi-reports-first-two-Covid-19-cases/1066-5510478-mec5uc/index.html,2020-04-07,2020-04-07T11:24:51Z,2,0,0,,,,,,,,,160,55.3,2,1.06766307353973,0.0045911050401628,21,22,10827024,2318490757.97052,0.500009998779461,16.1975557889711,21.5641822755772,1,0,-0.691900192435493,-0.658323487395844,289810
R_27fM0yKVC8POOHDDp,1826748,new_entry,,,"",Burundi has suspended all commercial flights at the Melchior Ndadaye international airport in Bujumbura,2020-03-26,2020-03-26,,,Burundi,BDI,BI,National,0,,,,External Border Restrictions,Other External Border Restriction,,"",,,,,,"","","","","","","","","","","",,,,"",No,All countries,All countries,,,,,,All (Travelers + Residents),,Inbound,Flights,Mandatory with Legal Penalties (Jail Time),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_zd4FJqIZQSrFyMx,https://www.theeastafrican.co.ke/news/ea/Zero-Covid19-cases-in-Burundi/4552908-5506832-cjfstfz/index.html,2022-05-08,2022-05-08T14:58:14Z,0,0,0,,,,,,,,,160,55.3,2,1.06766307353973,0.0045911050401628,21,22,10827024,2318490757.97052,0.500009998779461,16.1975557889711,21.5641822755772,1,0,-0.691900192435493,-0.658323487395844,289810
R_1IxS5RRjKWboZMcCb,3007954,new_entry,,,"",Burundi extends ban on all International flights to the country for a 14-day period,2020-04-03,2020-04-03,,,Burundi,BDI,BI,National,0,,,,External Border Restrictions,Health Screenings (e.g. temperature checks),,"",,,,,,"","","","","","","","","","","",,,,"",No,All countries,All countries,,,,,,All (Travelers + Residents),,Inbound,All kinds of transport,Mandatory (Unspecified/Implied),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_33gvoF2N0IYugeC,https://www.garda.com/fr/crisis24/alertes-de-securite/329496/burundi-authorities-extend-international-flight-suspension-until-april-19-update-4,2020-04-06,2020-04-06T21:46:43Z,3,0,0,,,,,,,,,160,55.3,2,1.06766307353973,0.0045911050401628,21,22,10827024,2318490757.97052,0.500009998779461,16.1975557889711,21.5641822755772,1,0,-0.691900192435493,-0.658323487395844,289810
R_1IxS5RRjKWboZMcGn,3007954,new_entry,,,"",Burundi extends ban on all International flights to the country for a 14-day period,2020-04-03,2020-04-03,,,Burundi,BDI,BI,National,0,,,,External Border Restrictions,Travel History Form (e.g. documents where traveler has recently been),,"",,,,,,"","","","","","","","","","","",,,,"",No,All countries,All countries,,,,,,All (Travelers + Residents),,Inbound,All kinds of transport,Mandatory (Unspecified/Implied),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_33gvoF2N0IYugeC,https://www.garda.com/fr/crisis24/alertes-de-securite/329496/burundi-authorities-extend-international-flight-suspension-until-april-19-update-4,2020-04-06,2020-04-06T21:46:43Z,3,0,0,,,,,,,,,160,55.3,2,1.06766307353973,0.0045911050401628,21,22,10827024,2318490757.97052,0.500009998779461,16.1975557889711,21.5641822755772,1,0,-0.691900192435493,-0.658323487395844,289810
R_3k63SAuEWRHvcrPGn,4915806,new_entry,,,"","On 3 April, Burundian Ministry of Transport extended the suspension of international flights for an additional two weeks.",2020-04-03,2020-04-03,,,Burundi,BDI,BI,National,0,,,,External Border Restrictions,Travel History Form (e.g. documents where traveler has recently been),,"",,,,,,"","","","","","","","","","","",,,,"",No,All countries,All countries,,,,,,All (Travelers + Residents),No special population targeted,Inbound,All kinds of transport,Mandatory (Unspecified/Implied),"National Government,Police",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2ahM2LORFPrZkIz,https://reliefweb.int/report/burundi/burundi-flash-update-11-june-2020-94-cases-covid-19-are-confirmed-moph-burundi,2020-06-18,2020-06-18T16:00:31Z,3,0,0,,,,,,,,,160,55.3,2,1.06766307353973,0.0045911050401628,21,22,10827024,2318490757.97052,0.500009998779461,16.1975557889711,21.5641822755772,1,0,-0.691900192435493,-0.658323487395844,289810
R_3FKYJsAk1k6igHqCb,445713,new_entry,,,"","Burundi's international airport and land borders reopened on 1 August, 2020.",2020-08-01,2020-08-01,,,Burundi,BDI,BI,National,0,,,,External Border Restrictions,Health Screenings (e.g. temperature checks),,"",,,,,,"","","","","","","","","","","",,,,"",No,All countries,All countries,,,,,,All (Travelers + Residents),No special population targeted,Inbound,All kinds of transport,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Ministry/Department of Foreign Affairs,Police",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2aXqKjGHRRdGQ8t,https://www.smartraveller.gov.au/destinations/africa/burundi,2021-11-03,2021-11-03T10:36:50Z,395,1,304,,,,,,,,,160,55.3,2,1.06766307353973,0.0045911050401628,21,22,10827024,2318490757.97052,0.500009998779461,16.1975557889711,21.5641822755772,1,0,-0.691900192435493,-0.658323487395844,289810
R_3FKYJsAk1k6igHqBy,445713,new_entry,,,"","Burundi's international airport and land borders reopened on 1 August, 2020.",2020-08-01,2020-08-01,,,Burundi,BDI,BI,National,0,,,,External Border Restrictions,Health Certificates,,"",,,,,,"","","","","","","","","","","",,,,"",No,All countries,All countries,,,,,,All (Travelers + Residents),No special population targeted,Inbound,All kinds of transport,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Ministry/Department of Foreign Affairs,Police",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2aXqKjGHRRdGQ8t,https://www.smartraveller.gov.au/destinations/africa/burundi,2021-11-03,2021-11-03T10:36:50Z,395,1,304,,,,,,,,,160,55.3,2,1.06766307353973,0.0045911050401628,21,22,10827024,2318490757.97052,0.500009998779461,16.1975557889711,21.5641822755772,1,0,-0.691900192435493,-0.658323487395844,289810
R_3hGtXvXKOz1xugXNA,4276196,new_entry,,,"","After confirming the first two cases of Corona virus on 31 March 2020,the Burundian government steps up it's tracing of those who had come in contact with the first two cases.",2020-03-31,2020-03-31,,,Burundi,BDI,BI,National,0,,,,Health Monitoring,,,"",,,,,,"","","","","","","","","","","",,,,"",No,All countries,All countries,,,,,,All (Travelers + Residents),,,"All kinds of transport,Flights,Land Border,Trains,Buses",Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Provincial/State Government,Police",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3kuMi8N8DKxJi9O,https://www.theeastafrican.co.ke/news/ea/Burundi-records-three-cases-of-coronavirus/4552908-5512912-wraw4k/index.html,2020-04-07,2020-04-07T11:00:47Z,2,0,0,,,,,,,,,160,55.3,2,1.06766307353973,0.0045911050401628,21,22,10827024,2318490757.97052,0.500009998779461,16.1975557889711,21.5641822755772,1,0,-0.691900192435493,-0.658323487395844,289810
R_9GFL9piGVldKo4pGp,1906124,new_entry,,,"",Burundi receives money from the World Bank to strenghten its preparednes for the Corona virus and Health Systems too.,2020-04-14,2020-04-14,,,Burundi,BDI,BI,National,0,,,,Health Resources,Unspecified Health Materials,,"",,,,,,"","","","","","","","","","","",,,,"",No,All countries,All countries,,,,,,All (Travelers + Residents),,,Not Applicable,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_9X3LnIhoCIq44bT,https://www.cnbcafrica.com/africa-press-office/2020/04/14/coronavirus-burundi-to-strengthen-national-health-system-and-preparedness-in-the-face-of-covid-19/,2020-04-15,2020-04-15T01:50:19Z,5,1,0,,,,,,,,,160,55.3,2,1.06766307353973,0.0045911050401628,21,22,10827024,2318490757.97052,0.500009998779461,16.1975557889711,21.5641822755772,1,0,-0.691900192435493,-0.658323487395844,289810
R_9GFL9piGVldKo4pGo,1906124,new_entry,,,"",Burundi receives money from the World Bank to strenghten its preparednes for the Corona virus and Health Systems too.,2020-04-14,2020-04-14,,,Burundi,BDI,BI,National,0,,,,Health Resources,Unspecified Health Infrastructure,,"",,,,,,"","","","","","","","","","","",,,,"",No,All countries,All countries,,,,,,All (Travelers + Residents),,,Not Applicable,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_9X3LnIhoCIq44bT,https://www.cnbcafrica.com/africa-press-office/2020/04/14/coronavirus-burundi-to-strengthen-national-health-system-and-preparedness-in-the-face-of-covid-19/,2020-04-15,2020-04-15T01:50:19Z,5,1,0,,,,,,,,,160,55.3,2,1.06766307353973,0.0045911050401628,21,22,10827024,2318490757.97052,0.500009998779461,16.1975557889711,21.5641822755772,1,0,-0.691900192435493,-0.658323487395844,289810
R_9GFL9piGVldKo4pGq,1906124,new_entry,,,"",Burundi receives money from the World Bank to strenghten its preparednes for the Corona virus and Health Systems too.,2020-04-14,2020-04-14,,,Burundi,BDI,BI,National,0,,,,Health Resources,Unspecified Health Staff,,"",,,,,,"","","","","","","","","","","",,,,"",No,All countries,All countries,,,,,,All (Travelers + Residents),,,Not Applicable,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_9X3LnIhoCIq44bT,https://www.cnbcafrica.com/africa-press-office/2020/04/14/coronavirus-burundi-to-strengthen-national-health-system-and-preparedness-in-the-face-of-covid-19/,2020-04-15,2020-04-15T01:50:19Z,5,1,0,,,,,,,,,160,55.3,2,1.06766307353973,0.0045911050401628,21,22,10827024,2318490757.97052,0.500009998779461,16.1975557889711,21.5641822755772,1,0,-0.691900192435493,-0.658323487395844,289810
