record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,pdf_link,link,collab,collab_id,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,muni_IDC,dispersive_IDC,constraining_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS
R_2TEKbm7GTNkLjteGc,526177Gc,new_entry,,,"","on March 17th 2020, The government of Cameroon stated that all public and private educational institutions are closing",2020-03-17,2020-03-17,,The policy’s end date is unknown or unreported,Cameroon,CMR,CM,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",Yes,Cameroon,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,47.6781144652278,44.6253081423507,41.2326513714796,44,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_25GiyhqWkCvF8XH,https://web.archive.org/web/20200428102625/https://www.journalducameroun.com/en/cameroon-closes-schools-borders-among-measures-to-contain-coronavirus/,OxCGRT,OXCGRT_Cameroon_20200318_school,2022-11-28,2022-11-28T05:59:32Z,10,0,0,,,,,,,,,134,43.2,1,-0.824784338474274,0.548431634902954,16,25,24566045,36364818792.9552,3.54908731821561,17.0168757628795,24.3168676275336,2,0,0.0318425678359453,-0.105654630290352,508346
R_2TEKbm7GTNkLjteCf,526177Cf,new_entry,,,"","on March 17th 2020, The government of Cameroon stated that all public and private educational institutions are closing",2020-03-17,2020-03-17,,The policy’s end date is unknown or unreported,Cameroon,CMR,CM,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",Yes,Cameroon,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,47.6781144652278,44.6253081423507,41.2326513714796,44,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_25GiyhqWkCvF8XH,https://web.archive.org/web/20200428102625/https://www.journalducameroun.com/en/cameroon-closes-schools-borders-among-measures-to-contain-coronavirus/,OxCGRT,OXCGRT_Cameroon_20200318_school,2022-11-28,2022-11-28T05:59:32Z,10,0,0,,,,,,,,,134,43.2,1,-0.824784338474274,0.548431634902954,16,25,24566045,36364818792.9552,3.54908731821561,17.0168757628795,24.3168676275336,2,0,0.0318425678359453,-0.105654630290352,508346
R_2t5LW9S2vIAlBqZEr,2982795Er,new_entry,,,"","Effective on March 18, 2020, all private and public education facilities. All public and private training establishments of the various levels of education, from nursery school to higher education, including vocational training centres and professional schools, will be closed; School and university competitions, like the FENASSCO and University games are postponed.",2020-03-17,2020-03-18,,The policy’s end date is unknown or unreported,Cameroon,CMR,CM,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,Cameroon,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",51.4104353051359,48.3509076827297,45.0007339263395,55,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1reLgmK11VUeyp2,https://www.minsante.cm/site/?q=fr/content/dossier-de-presse-point-de-presse-minsante-covid-19-cousp2020 ; https://cm.usembassy.gov/health-alert-u-s-embassy-yaounde-2/ ; https://www.spm.gov.cm/site/?q=en/content/government-response-strategy-coronavirus-pandemic-covid-19,CoronaNet (original),,2021-11-09,2021-11-09T11:18:47Z,10,0,0,,,,,,,,,134,43.2,1,-0.824784338474274,0.548431634902954,16,25,24566045,36364818792.9552,3.54908731821561,17.0168757628795,24.3168676275336,2,0,0.0318425678359453,-0.105654630290352,508346
R_2t5LW9S2vIAlBqZEs,2982795Es,new_entry,,,"","Effective on March 18, 2020, all private and public education facilities. All public and private training establishments of the various levels of education, from nursery school to higher education, including vocational training centres and professional schools, will be closed; School and university competitions, like the FENASSCO and University games are postponed.",2020-03-17,2020-03-18,,The policy’s end date is unknown or unreported,Cameroon,CMR,CM,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,Cameroon,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",51.4104353051359,48.3509076827297,45.0007339263395,55,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1reLgmK11VUeyp2,https://www.minsante.cm/site/?q=fr/content/dossier-de-presse-point-de-presse-minsante-covid-19-cousp2020 ; https://cm.usembassy.gov/health-alert-u-s-embassy-yaounde-2/ ; https://www.spm.gov.cm/site/?q=en/content/government-response-strategy-coronavirus-pandemic-covid-19,CoronaNet (original),,2021-11-09,2021-11-09T11:18:47Z,10,0,0,,,,,,,,,134,43.2,1,-0.824784338474274,0.548431634902954,16,25,24566045,36364818792.9552,3.54908731821561,17.0168757628795,24.3168676275336,2,0,0.0318425678359453,-0.105654630290352,508346
R_2t5LW9S2vIAlBqZGc,2982795Gc,new_entry,,,"","Effective on March 18, 2020, all private and public education facilities. All public and private training establishments of the various levels of education, from nursery school to higher education, including vocational training centres and professional schools, will be closed; School and university competitions, like the FENASSCO and University games are postponed.",2020-03-17,2020-03-18,,The policy’s end date is unknown or unreported,Cameroon,CMR,CM,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,,"",,Cameroon,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",51.4104353051359,48.3509076827297,45.0007339263395,55,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1reLgmK11VUeyp2,https://www.minsante.cm/site/?q=fr/content/dossier-de-presse-point-de-presse-minsante-covid-19-cousp2020 ; https://cm.usembassy.gov/health-alert-u-s-embassy-yaounde-2/ ; https://www.spm.gov.cm/site/?q=en/content/government-response-strategy-coronavirus-pandemic-covid-19,CoronaNet (original),,2021-11-09,2021-11-09T11:18:47Z,10,0,0,,,,,,,,,134,43.2,1,-0.824784338474274,0.548431634902954,16,25,24566045,36364818792.9552,3.54908731821561,17.0168757628795,24.3168676275336,2,0,0.0318425678359453,-0.105654630290352,508346
R_2t5LW9S2vIAlBqZCf,2982795Cf,new_entry,,,"","Effective on March 18, 2020, all private and public education facilities. All public and private training establishments of the various levels of education, from nursery school to higher education, including vocational training centres and professional schools, will be closed; School and university competitions, like the FENASSCO and University games are postponed.",2020-03-17,2020-03-18,,The policy’s end date is unknown or unreported,Cameroon,CMR,CM,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,,"",,Cameroon,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",51.4104353051359,48.3509076827297,45.0007339263395,55,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1reLgmK11VUeyp2,https://www.minsante.cm/site/?q=fr/content/dossier-de-presse-point-de-presse-minsante-covid-19-cousp2020 ; https://cm.usembassy.gov/health-alert-u-s-embassy-yaounde-2/ ; https://www.spm.gov.cm/site/?q=en/content/government-response-strategy-coronavirus-pandemic-covid-19,CoronaNet (original),,2021-11-09,2021-11-09T11:18:47Z,10,0,0,,,,,,,,,134,43.2,1,-0.824784338474274,0.548431634902954,16,25,24566045,36364818792.9552,3.54908731821561,17.0168757628795,24.3168676275336,2,0,0.0318425678359453,-0.105654630290352,508346
R_6X9jBoGzmrJuOSlEr,2982795Er,update,End of Policy,,"","Effective on March 18, 2020, all private and public schools and education facilities in Cameroon are to be closed. All public and private training establishments of the various levels of education, from nursery school to higher education, including vocational training centres and professional schools, will be closed; School and university competitions, like the FENASSCO and University games are postponed. 

Cameroon's Head of State announced on April 16, that schools will reopen on June 1, 2020. Exams for the 2019/2020 school year will take place in July and August. Cameroon will begin the 2020/21 school year on October 5th and October 15th (higher education). UPDATE: Schools in Cameroon, which were closed on March 18, will tentatively reopen on June 1, 2020. The 2020/21 school year is scheduled to begin on October 5th and October 15th (higher education).",2020-03-17,2020-03-18,2020-06-01,The policy has a clear end date,Cameroon,CMR,CM,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",,Cameroon,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",51.4104353051359,48.3509076827297,45.0007339263395,55,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1reLgmK11VUeyp2 ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3KZ9Es4NzdBgveB,NA ; https://www.journalducameroun.com/en/cameroon-govt-sets-official-exams-for-july-august-2020/,CoronaNet (original),,2020-05-15,2020-05-15T07:30:15Z,10,0,0,,,,,,,,,134,43.2,1,-0.824784338474274,0.548431634902954,16,25,24566045,36364818792.9552,3.54908731821561,17.0168757628795,24.3168676275336,2,0,0.0318425678359453,-0.105654630290352,508346
R_6X9jBoGzmrJuOSlEs,2982795Es,update,End of Policy,,"","Effective on March 18, 2020, all private and public schools and education facilities in Cameroon are to be closed. All public and private training establishments of the various levels of education, from nursery school to higher education, including vocational training centres and professional schools, will be closed; School and university competitions, like the FENASSCO and University games are postponed. 

Cameroon's Head of State announced on April 16, that schools will reopen on June 1, 2020. Exams for the 2019/2020 school year will take place in July and August. Cameroon will begin the 2020/21 school year on October 5th and October 15th (higher education). UPDATE: Schools in Cameroon, which were closed on March 18, will tentatively reopen on June 1, 2020. The 2020/21 school year is scheduled to begin on October 5th and October 15th (higher education).",2020-03-17,2020-03-18,2020-06-01,The policy has a clear end date,Cameroon,CMR,CM,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",,Cameroon,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",51.4104353051359,48.3509076827297,45.0007339263395,55,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1reLgmK11VUeyp2 ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3KZ9Es4NzdBgveB,NA ; https://www.journalducameroun.com/en/cameroon-govt-sets-official-exams-for-july-august-2020/,CoronaNet (original),,2020-05-15,2020-05-15T07:30:15Z,10,0,0,,,,,,,,,134,43.2,1,-0.824784338474274,0.548431634902954,16,25,24566045,36364818792.9552,3.54908731821561,17.0168757628795,24.3168676275336,2,0,0.0318425678359453,-0.105654630290352,508346
R_6X9jBoGzmrJuOSlGc,2982795Gc,update,End of Policy,,"","Effective on March 18, 2020, all private and public schools and education facilities in Cameroon are to be closed. All public and private training establishments of the various levels of education, from nursery school to higher education, including vocational training centres and professional schools, will be closed; School and university competitions, like the FENASSCO and University games are postponed. 

Cameroon's Head of State announced on April 16, that schools will reopen on June 1, 2020. Exams for the 2019/2020 school year will take place in July and August. Cameroon will begin the 2020/21 school year on October 5th and October 15th (higher education). UPDATE: Schools in Cameroon, which were closed on March 18, will tentatively reopen on June 1, 2020. The 2020/21 school year is scheduled to begin on October 5th and October 15th (higher education).",2020-03-17,2020-03-18,2020-06-01,The policy has a clear end date,Cameroon,CMR,CM,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",,Cameroon,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",51.4104353051359,48.3509076827297,45.0007339263395,55,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1reLgmK11VUeyp2 ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3KZ9Es4NzdBgveB,NA ; https://www.journalducameroun.com/en/cameroon-govt-sets-official-exams-for-july-august-2020/,CoronaNet (original),,2020-05-15,2020-05-15T07:30:15Z,10,0,0,,,,,,,,,134,43.2,1,-0.824784338474274,0.548431634902954,16,25,24566045,36364818792.9552,3.54908731821561,17.0168757628795,24.3168676275336,2,0,0.0318425678359453,-0.105654630290352,508346
R_6X9jBoGzmrJuOSlCf,2982795Cf,update,End of Policy,,"","Effective on March 18, 2020, all private and public schools and education facilities in Cameroon are to be closed. All public and private training establishments of the various levels of education, from nursery school to higher education, including vocational training centres and professional schools, will be closed; School and university competitions, like the FENASSCO and University games are postponed. 

Cameroon's Head of State announced on April 16, that schools will reopen on June 1, 2020. Exams for the 2019/2020 school year will take place in July and August. Cameroon will begin the 2020/21 school year on October 5th and October 15th (higher education). UPDATE: Schools in Cameroon, which were closed on March 18, will tentatively reopen on June 1, 2020. The 2020/21 school year is scheduled to begin on October 5th and October 15th (higher education).",2020-03-17,2020-03-18,2020-06-01,The policy has a clear end date,Cameroon,CMR,CM,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",,Cameroon,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",51.4104353051359,48.3509076827297,45.0007339263395,55,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1reLgmK11VUeyp2 ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3KZ9Es4NzdBgveB,NA ; https://www.journalducameroun.com/en/cameroon-govt-sets-official-exams-for-july-august-2020/,CoronaNet (original),,2020-05-15,2020-05-15T07:30:15Z,10,0,0,,,,,,,,,134,43.2,1,-0.824784338474274,0.548431634902954,16,25,24566045,36364818792.9552,3.54908731821561,17.0168757628795,24.3168676275336,2,0,0.0318425678359453,-0.105654630290352,508346
