record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,pdf_link,link,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,muni_IDC,dispersive_IDC,constraining_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS
R_bvJsAWumTzxiWf7El,8438497El,new_entry,,,"","On March 20, 2020, Cuba decided not to close schools as of yet, but the education sector has taken measures to strengthen the hygiene and care of those who are in its facilities. Update: this policy ended March 24, 2020, when Cuba closed down all schools.",2020-03-20,2020-03-20,2022-10-25,The policy has an unlimited time span (e.g. recommendation to wash one's hands; passing of a legal bill),Cuba,CUB,CU,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities allowed to open with no conditions,"",Yes,Cuba,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Voluntary/Recommended but No Penalties,Ministry/Department of Education,46.2874230745964,42.0741305849629,36.6061860241292,21,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1qfaZH2f9OxYyeQ,http://www.cubadebate.cu/noticias/2020/03/20/gobierno-cubano-informa-nuevas-medidas-para-el-enfrentamiento-a-la-covid-19-video/,2022-02-12,2022-02-12T14:49:35Z,16,1,0,,,,,,,,,171,63.8,1,-0.343750506639481,-0.677624106407166,5,47,11338138,77290916752.7022,2.24848039303581,16.2436826452511,25.070842279202,2,0,0.0677032588566732,-0.881810394737796,4886
R_bvJsAWumTzxiWf7Em,8438497Em,new_entry,,,"","On March 20, 2020, Cuba decided not to close schools as of yet, but the education sector has taken measures to strengthen the hygiene and care of those who are in its facilities. Update: this policy ended March 24, 2020, when Cuba closed down all schools.",2020-03-20,2020-03-20,2022-10-25,The policy has an unlimited time span (e.g. recommendation to wash one's hands; passing of a legal bill),Cuba,CUB,CU,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools allowed to open with no conditions,"",Yes,Cuba,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Voluntary/Recommended but No Penalties,Ministry/Department of Education,46.2874230745964,42.0741305849629,36.6061860241292,21,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1qfaZH2f9OxYyeQ,http://www.cubadebate.cu/noticias/2020/03/20/gobierno-cubano-informa-nuevas-medidas-para-el-enfrentamiento-a-la-covid-19-video/,2022-02-12,2022-02-12T14:49:35Z,16,1,0,,,,,,,,,171,63.8,1,-0.343750506639481,-0.677624106407166,5,47,11338138,77290916752.7022,2.24848039303581,16.2436826452511,25.070842279202,2,0,0.0677032588566732,-0.881810394737796,4886
R_bvJsAWumTzxiWf7Fw,8438497Fw,new_entry,,,"","On March 20, 2020, Cuba decided not to close schools as of yet, but the education sector has taken measures to strengthen the hygiene and care of those who are in its facilities. Update: this policy ended March 24, 2020, when Cuba closed down all schools.",2020-03-20,2020-03-20,2022-10-25,The policy has an unlimited time span (e.g. recommendation to wash one's hands; passing of a legal bill),Cuba,CUB,CU,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools allowed to open with no conditions,"",Yes,Cuba,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Voluntary/Recommended but No Penalties,Ministry/Department of Education,46.2874230745964,42.0741305849629,36.6061860241292,21,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1qfaZH2f9OxYyeQ,http://www.cubadebate.cu/noticias/2020/03/20/gobierno-cubano-informa-nuevas-medidas-para-el-enfrentamiento-a-la-covid-19-video/,2022-02-12,2022-02-12T14:49:35Z,16,1,0,,,,,,,,,171,63.8,1,-0.343750506639481,-0.677624106407166,5,47,11338138,77290916752.7022,2.24848039303581,16.2436826452511,25.070842279202,2,0,0.0677032588566732,-0.881810394737796,4886
R_bvJsAWumTzxiWf7Ce,8438497Ce,new_entry,,,"","On March 20, 2020, Cuba decided not to close schools as of yet, but the education sector has taken measures to strengthen the hygiene and care of those who are in its facilities. Update: this policy ended March 24, 2020, when Cuba closed down all schools.",2020-03-20,2020-03-20,2022-10-25,The policy has an unlimited time span (e.g. recommendation to wash one's hands; passing of a legal bill),Cuba,CUB,CU,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions allowed to open with no conditions,"",Yes,Cuba,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Voluntary/Recommended but No Penalties,Ministry/Department of Education,46.2874230745964,42.0741305849629,36.6061860241292,21,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1qfaZH2f9OxYyeQ,http://www.cubadebate.cu/noticias/2020/03/20/gobierno-cubano-informa-nuevas-medidas-para-el-enfrentamiento-a-la-covid-19-video/,2022-02-12,2022-02-12T14:49:35Z,16,1,0,,,,,,,,,171,63.8,1,-0.343750506639481,-0.677624106407166,5,47,11338138,77290916752.7022,2.24848039303581,16.2436826452511,25.070842279202,2,0,0.0677032588566732,-0.881810394737796,4886
R_3GeyHUlhw3cDdCvEm,3750471Em,new_entry,,,"","""Cuba’s government said on Monday it was banning Cubans from leaving the country, closing schools and suspending interregional public transport in its fight to prevent the spread of the novel coronavirus."" - after Mar. 24",2020-03-24,2020-03-24,2020-04-20,The policy has a clear end date,Cuba,CUB,CU,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",,Cuba,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,64.1330672238681,60.1969741144984,55.9660193097336,75,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_CZZ9oSEazRE8VG1,https://uk.reuters.com/article/uk-health-coronavirus-cuba/cuban-government-bans-cubans-from-leaving-island-suspends-schools-over-coronavirus-idUKKBN21B04X,2020-04-02,2020-04-02T13:15:48Z,48,1,1,113,738,0.066,,,,,,171,63.8,1,-0.343750506639481,-0.677624106407166,5,47,11338138,77290916752.7022,2.24848039303581,16.2436826452511,25.070842279202,2,0,0.0677032588566732,-0.881810394737796,4886
R_3GeyHUlhw3cDdCvFw,3750471Fw,new_entry,,,"","""Cuba’s government said on Monday it was banning Cubans from leaving the country, closing schools and suspending interregional public transport in its fight to prevent the spread of the novel coronavirus."" - after Mar. 24",2020-03-24,2020-03-24,2020-04-20,The policy has a clear end date,Cuba,CUB,CU,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",,Cuba,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,64.1330672238681,60.1969741144984,55.9660193097336,75,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_CZZ9oSEazRE8VG1,https://uk.reuters.com/article/uk-health-coronavirus-cuba/cuban-government-bans-cubans-from-leaving-island-suspends-schools-over-coronavirus-idUKKBN21B04X,2020-04-02,2020-04-02T13:15:48Z,48,1,1,113,738,0.066,,,,,,171,63.8,1,-0.343750506639481,-0.677624106407166,5,47,11338138,77290916752.7022,2.24848039303581,16.2436826452511,25.070842279202,2,0,0.0677032588566732,-0.881810394737796,4886
R_3GeyHUlhw3cDdCvCe,3750471Ce,new_entry,,,"","""Cuba’s government said on Monday it was banning Cubans from leaving the country, closing schools and suspending interregional public transport in its fight to prevent the spread of the novel coronavirus."" - after Mar. 24",2020-03-24,2020-03-24,2020-04-20,The policy has a clear end date,Cuba,CUB,CU,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",,Cuba,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,64.1330672238681,60.1969741144984,55.9660193097336,75,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_CZZ9oSEazRE8VG1,https://uk.reuters.com/article/uk-health-coronavirus-cuba/cuban-government-bans-cubans-from-leaving-island-suspends-schools-over-coronavirus-idUKKBN21B04X,2020-04-02,2020-04-02T13:15:48Z,48,1,1,113,738,0.066,,,,,,171,63.8,1,-0.343750506639481,-0.677624106407166,5,47,11338138,77290916752.7022,2.24848039303581,16.2436826452511,25.070842279202,2,0,0.0677032588566732,-0.881810394737796,4886
R_2aqma94BTWfRhDAEl,8943177El,new_entry,,,"","The Ministry of Education announced that starting on March 30th, 2020, a TV transmission of an educational program will begin in tv channels as part of the implementation of the decisions of the Government in the confrontation with COVID-19. The Educational Channel will begin its programming at 8:00 a.m. until 4:00 p.m. On Mondays and Fridays, it will be with the school billboard and a complementary program (la cartelera escolar y un programa complementario), while on Tuesdays, Wednesdays and Thursdays, there will be reviews for the Higher Education entrance exams. The programming of this channel includes emissions from the primary level to the Pedagogical Training.",2020-03-26,2020-03-30,,The policy’s end date is unknown or unreported,Cuba,CUB,CU,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",Yes,Cuba,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Voluntary/Recommended but No Penalties,Ministry/Department of Education,72.1346608517365,68.3164588696361,64.2531469547833,87,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_WiJ8XACbuwF8TGp,http://www.escambray.cu/2020/programacion-educativa-por-la-television-cubana-a-partir-del-lunes/,2022-02-09,2022-02-09T09:39:23Z,170,4,4,315,2322,0.206,,,,,,171,63.8,1,-0.343750506639481,-0.677624106407166,5,47,11338138,77290916752.7022,2.24848039303581,16.2436826452511,25.070842279202,2,0,0.0677032588566732,-0.881810394737796,4886
R_2aqma94BTWfRhDAEm,8943177Em,new_entry,,,"","The Ministry of Education announced that starting on March 30th, 2020, a TV transmission of an educational program will begin in tv channels as part of the implementation of the decisions of the Government in the confrontation with COVID-19. The Educational Channel will begin its programming at 8:00 a.m. until 4:00 p.m. On Mondays and Fridays, it will be with the school billboard and a complementary program (la cartelera escolar y un programa complementario), while on Tuesdays, Wednesdays and Thursdays, there will be reviews for the Higher Education entrance exams. The programming of this channel includes emissions from the primary level to the Pedagogical Training.",2020-03-26,2020-03-30,,The policy’s end date is unknown or unreported,Cuba,CUB,CU,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",Yes,Cuba,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Voluntary/Recommended but No Penalties,Ministry/Department of Education,72.1346608517365,68.3164588696361,64.2531469547833,87,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_WiJ8XACbuwF8TGp,http://www.escambray.cu/2020/programacion-educativa-por-la-television-cubana-a-partir-del-lunes/,2022-02-09,2022-02-09T09:39:23Z,170,4,4,315,2322,0.206,,,,,,171,63.8,1,-0.343750506639481,-0.677624106407166,5,47,11338138,77290916752.7022,2.24848039303581,16.2436826452511,25.070842279202,2,0,0.0677032588566732,-0.881810394737796,4886
R_2aqma94BTWfRhDAFw,8943177Fw,new_entry,,,"","The Ministry of Education announced that starting on March 30th, 2020, a TV transmission of an educational program will begin in tv channels as part of the implementation of the decisions of the Government in the confrontation with COVID-19. The Educational Channel will begin its programming at 8:00 a.m. until 4:00 p.m. On Mondays and Fridays, it will be with the school billboard and a complementary program (la cartelera escolar y un programa complementario), while on Tuesdays, Wednesdays and Thursdays, there will be reviews for the Higher Education entrance exams. The programming of this channel includes emissions from the primary level to the Pedagogical Training.",2020-03-26,2020-03-30,,The policy’s end date is unknown or unreported,Cuba,CUB,CU,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",Yes,Cuba,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Voluntary/Recommended but No Penalties,Ministry/Department of Education,72.1346608517365,68.3164588696361,64.2531469547833,87,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_WiJ8XACbuwF8TGp,http://www.escambray.cu/2020/programacion-educativa-por-la-television-cubana-a-partir-del-lunes/,2022-02-09,2022-02-09T09:39:23Z,170,4,4,315,2322,0.206,,,,,,171,63.8,1,-0.343750506639481,-0.677624106407166,5,47,11338138,77290916752.7022,2.24848039303581,16.2436826452511,25.070842279202,2,0,0.0677032588566732,-0.881810394737796,4886
