record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,pdf_link,link,collab,collab_id,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,muni_IDC,dispersive_IDC,constraining_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS
R_2ZTWLKqDBnN8RRMNA,7045283,new_entry,,,"","On March 12, the Dominican Republic asked all communication professionals and social media users to act with the greatest prudence and responsibility in handling information, disseminating only duly verified information.",2020-03-12,2020-03-12,2023-04-11,The policy has an unlimited time span (e.g. recommendation to wash one's hands; passing of a legal bill),Dominican Republic,DOM,DO,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Dominican Republic,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Other population not specifed above,,,Voluntary/Recommended but No Penalties,National Government,35.7302973181323,30.7970867459627,25.4745073801513,36,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2tQbQEmat49ScQ9,https://coronavirusrd.gob.do/2020/03/12/gustavo-montalvo-comision-de-alto-nivel-dara-seguimiento-permanente-para-respuesta-a-coronavirus/,CoronaNet (original),,2021-06-11,2021-06-11T04:19:08Z,5,0,0,,,,,,,,,55,27.9,2,-0.345599442720413,-0.0487236380577087,4,29,10513131,76465737829.3164,4.66670467622789,16.1681356052432,25.0601086059423,2,2,-0.638865607243457,1.52495319191859,549289
R_2SqQ6L8UOyttLTTNA,9858722,new_entry,,,"","Dominican Republic has insisted with a campaing awarness that the alcohol ""clerén"" is not a remedy for COVID-19, indeed it has caused several deaths in the country, after April 27.",2020-04-27,2020-04-27,2020-04-29,The policy is a one-time measure (e.g. publication of guidelines),Dominican Republic,DOM,DO,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",,Dominican Republic,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),Ministry/Department of Health,82.2537439342664,79.325161195205,76.0487099162544,129,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3ixIkkEh5D8sD3v,https://www.msp.gob.do/web/?p=7271,CoronaNet (original),,2022-05-12,2022-05-12T18:16:08Z,6293,282,993,494,23979,2.157,,,,,,55,27.9,2,-0.345599442720413,-0.0487236380577087,4,29,10513131,76465737829.3164,4.66670467622789,16.1681356052432,25.0601086059423,2,2,-0.638865607243457,1.52495319191859,549289
R_VR1OD88oruLTZlLEs,5430833Es,new_entry,,,"","The Dominican Republic suspended classes in schools and universities on March 16 and 17, 2021 to carry out a national preventive cleaning day.",2020-03-14,2020-03-16,2020-03-18,The policy has a clear end date,Dominican Republic,DOM,DO,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",Yes,Dominican Republic,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,45.6686127626153,41.7108693736166,37.2421296774372,42,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2Qg3OwqK6nYOJFj,https://coronavirusrd.gob.do/2020/03/14/gobierno-aprueba-medidas-adicionales-prevencion-coronavirus-suspension-vuelos-europa-china-corea-e-iran-y-cuarentena-viajeros-otros-paises/,CoronaNet (original),,2021-06-17,2021-06-17T02:00:32Z,11,0,0,,,,,,,,,55,27.9,2,-0.345599442720413,-0.0487236380577087,4,29,10513131,76465737829.3164,4.66670467622789,16.1681356052432,25.0601086059423,2,2,-0.638865607243457,1.52495319191859,549289
R_VR1OD88oruLTZlLEt,5430833Et,new_entry,,,"","The Dominican Republic suspended classes in schools and universities on March 16 and 17, 2021 to carry out a national preventive cleaning day.",2020-03-14,2020-03-16,2020-03-18,The policy has a clear end date,Dominican Republic,DOM,DO,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",Yes,Dominican Republic,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,45.6686127626153,41.7108693736166,37.2421296774372,42,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2Qg3OwqK6nYOJFj,https://coronavirusrd.gob.do/2020/03/14/gobierno-aprueba-medidas-adicionales-prevencion-coronavirus-suspension-vuelos-europa-china-corea-e-iran-y-cuarentena-viajeros-otros-paises/,CoronaNet (original),,2021-06-17,2021-06-17T02:00:32Z,11,0,0,,,,,,,,,55,27.9,2,-0.345599442720413,-0.0487236380577087,4,29,10513131,76465737829.3164,4.66670467622789,16.1681356052432,25.0601086059423,2,2,-0.638865607243457,1.52495319191859,549289
R_VR1OD88oruLTZlLGe,5430833Ge,new_entry,,,"","The Dominican Republic suspended classes in schools and universities on March 16 and 17, 2021 to carry out a national preventive cleaning day.",2020-03-14,2020-03-16,2020-03-18,The policy has a clear end date,Dominican Republic,DOM,DO,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",Yes,Dominican Republic,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,45.6686127626153,41.7108693736166,37.2421296774372,42,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2Qg3OwqK6nYOJFj,https://coronavirusrd.gob.do/2020/03/14/gobierno-aprueba-medidas-adicionales-prevencion-coronavirus-suspension-vuelos-europa-china-corea-e-iran-y-cuarentena-viajeros-otros-paises/,CoronaNet (original),,2021-06-17,2021-06-17T02:00:32Z,11,0,0,,,,,,,,,55,27.9,2,-0.345599442720413,-0.0487236380577087,4,29,10513131,76465737829.3164,4.66670467622789,16.1681356052432,25.0601086059423,2,2,-0.638865607243457,1.52495319191859,549289
R_VR1OD88oruLTZlLCf,5430833Cf,new_entry,,,"","The Dominican Republic suspended classes in schools and universities on March 16 and 17, 2021 to carry out a national preventive cleaning day.",2020-03-14,2020-03-16,2020-03-18,The policy has a clear end date,Dominican Republic,DOM,DO,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",Yes,Dominican Republic,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,45.6686127626153,41.7108693736166,37.2421296774372,42,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2Qg3OwqK6nYOJFj,https://coronavirusrd.gob.do/2020/03/14/gobierno-aprueba-medidas-adicionales-prevencion-coronavirus-suspension-vuelos-europa-china-corea-e-iran-y-cuarentena-viajeros-otros-paises/,CoronaNet (original),,2021-06-17,2021-06-17T02:00:32Z,11,0,0,,,,,,,,,55,27.9,2,-0.345599442720413,-0.0487236380577087,4,29,10513131,76465737829.3164,4.66670467622789,16.1681356052432,25.0601086059423,2,2,-0.638865607243457,1.52495319191859,549289
R_2v2EV5pe8vI3y1WEs,3892763Es,new_entry,,,"",Dominican Republic has stablished new measures regarding closure and regulation of schools during till April 18. After March 16.,2020-03-16,2020-03-17,2020-04-18,The policy has a clear end date,Dominican Republic,DOM,DO,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",Yes,Dominican Republic,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,50.3122564416951,46.6443878549936,42.6768843646953,54,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2D7UTSp0EboYuIt,https://coronavirusrd.gob.do/2020/04/26/listado-de-medidas-rd-vs-covid-19/,CoronaNet (original),,2022-05-12,2022-05-12T18:18:57Z,21,1,0,,,,,,,,,55,27.9,2,-0.345599442720413,-0.0487236380577087,4,29,10513131,76465737829.3164,4.66670467622789,16.1681356052432,25.0601086059423,2,2,-0.638865607243457,1.52495319191859,549289
R_2v2EV5pe8vI3y1WEt,3892763Et,new_entry,,,"",Dominican Republic has stablished new measures regarding closure and regulation of schools during till April 18. After March 16.,2020-03-16,2020-03-17,2020-04-18,The policy has a clear end date,Dominican Republic,DOM,DO,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",Yes,Dominican Republic,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,50.3122564416951,46.6443878549936,42.6768843646953,54,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2D7UTSp0EboYuIt,https://coronavirusrd.gob.do/2020/04/26/listado-de-medidas-rd-vs-covid-19/,CoronaNet (original),,2022-05-12,2022-05-12T18:18:57Z,21,1,0,,,,,,,,,55,27.9,2,-0.345599442720413,-0.0487236380577087,4,29,10513131,76465737829.3164,4.66670467622789,16.1681356052432,25.0601086059423,2,2,-0.638865607243457,1.52495319191859,549289
R_2v2EV5pe8vI3y1WGe,3892763Ge,new_entry,,,"",Dominican Republic has stablished new measures regarding closure and regulation of schools during till April 18. After March 16.,2020-03-16,2020-03-17,2020-04-18,The policy has a clear end date,Dominican Republic,DOM,DO,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",Yes,Dominican Republic,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,50.3122564416951,46.6443878549936,42.6768843646953,54,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2D7UTSp0EboYuIt,https://coronavirusrd.gob.do/2020/04/26/listado-de-medidas-rd-vs-covid-19/,CoronaNet (original),,2022-05-12,2022-05-12T18:18:57Z,21,1,0,,,,,,,,,55,27.9,2,-0.345599442720413,-0.0487236380577087,4,29,10513131,76465737829.3164,4.66670467622789,16.1681356052432,25.0601086059423,2,2,-0.638865607243457,1.52495319191859,549289
R_2v2EV5pe8vI3y1WCf,3892763Cf,new_entry,,,"",Dominican Republic has stablished new measures regarding closure and regulation of schools during till April 18. After March 16.,2020-03-16,2020-03-17,2020-04-18,The policy has a clear end date,Dominican Republic,DOM,DO,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",Yes,Dominican Republic,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,50.3122564416951,46.6443878549936,42.6768843646953,54,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2D7UTSp0EboYuIt,https://coronavirusrd.gob.do/2020/04/26/listado-de-medidas-rd-vs-covid-19/,CoronaNet (original),,2022-05-12,2022-05-12T18:18:57Z,21,1,0,,,,,,,,,55,27.9,2,-0.345599442720413,-0.0487236380577087,4,29,10513131,76465737829.3164,4.66670467622789,16.1681356052432,25.0601086059423,2,2,-0.638865607243457,1.52495319191859,549289
