record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,pdf_link,link,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,muni_IDC,dispersive_IDC,constraining_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS
R_1qeVQjmNenBzv5kNA,9655030,new_entry,,,"",Gambian Health authorities refute claims donated items from China are contaminated with Coronavirus,2020-04-13,2020-04-13,,,Gambia,GMB,GM,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Gambia,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Voluntary/Recommended but No Penalties,Ministry/Department of Health,62.1786832702392,59.3687696989608,56.5052793740289,22,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1qeM80Ub2HdivGH,https://foroyaa.net/health-authorities-refute-claims-donated-items-from-china-are-contaminated-with-coronavirus/,2020-10-13,2020-10-13T12:16:39Z,9,1,2,,,,,,,,,87,30.6,1,-0.435670435428619,0.463496714830399,15,30,2213894,1682835525.09159,4.8226112492757,14.6102635139591,21.2437460201612,1,0,0.181561624983938,-0.576599443049587,192540
R_vofomHNkNCuNDRDNA,4814239,new_entry,,,"","The MRC Unit the Gambia published a statemet on false social media information on Corona Virus on their webpage. It basically says that the information circulating regarding the consumption of garlic being a preventive measure against Covid-19, is false. Furthermore, the public is reminded to stick to the key preventive measures such as washing hands.",2020-05-11,2020-05-11,,,Gambia,GMB,GM,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",,Gambia,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Voluntary/Recommended but No Penalties,Other (Please specify in the text box),62.1652437297652,59.6015433599549,56.8757118483937,31,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1jqxCCjTrqnpJJi,https://www.mrc.gm/statement-on-false-social-media-information-on-corona-virus-prevention-in-the-gambia/,2020-05-11,2020-05-11T11:19:17Z,22,1,10,,,,,,,,,87,30.6,1,-0.435670435428619,0.463496714830399,15,30,2213894,1682835525.09159,4.8226112492757,14.6102635139591,21.2437460201612,1,0,0.181561624983938,-0.576599443049587,192540
R_p3Ph2Ot34QfwMApNA,2709043,new_entry,,,"","However, Mbye Njie, the deputy programme manager for the Expanded Programme on Immunization at the Ministry of Health, said the decline in the number of positive Covid-19 cases might not be directly linked with the vaccination. He added that it has an impact because the “vaccine protects people from contracting the virus and prevents severe conditions of the virus when one contracts it.”
 
“We have not done a study to say that the vaccinations are the result of the decline in positive cases but vaccines protect people against diseases and we believe it has contributed to the reduction of positive cases in the country,” he stated.

Mr. Njie noted that some people were reluctant at first to take the vaccine due to misconceptions but in their bid to avoid the vaccines from getting expired they expanded the priority groups and included those beyond 18 years in the vaccination campaign.
He added that convincing people to get vaccinated was a challenge but starting with President Adama Barrow influenced others to get vaccinated, saying “if the vaccine was going to kill, then the president would not still have been alive.”
",2022-08-03,2022-08-03,,The policy’s end date is unknown or unreported,Gambia,GMB,GM,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Gambia,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Voluntary/Recommended but No Penalties,"National Government,Ministry/Department of Health",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3O8FIzqTSjNwCWd,https://thepoint.gm/africa/gambia/headlines/health-officials-covid-19-vaccination-reduces-positive-cases-in-greater-banjul-area,2022-10-06,2022-10-06T10:57:40Z,12149,368,0,,,,,,62,,23,87,30.6,1,-0.435670435428619,0.463496714830399,15,30,2213894,1682835525.09159,4.8226112492757,14.6102635139591,21.2437460201612,1,0,0.181561624983938,-0.576599443049587,192540
R_QfDclqpHUCVNHNLNA,5693922,new_entry,,,"","Phase two of Jambaar Corona Solutions1000 youth from Western 1 & 2 and North Bank Region trained on the sensitization of their communities on the misconceptions about the COVID-19 vaccines. pic.twitter.com/w1INSI4Wt9– Social Change Factory (@ChangeFactors) September 20, 2022

Phase two of Jambaar Corona Solutions
1000 youth from Western 1 & 2 and North Bank Region trained on the sensitization of their communities on the misconceptions about the COVID-19 vaccines.",2022-09-20,2022-09-20,,The policy’s end date is unknown or unreported,Gambia,GMB,GM,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Gambia,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Voluntary/Recommended but No Penalties,"National Government,Ministry/Department of Health",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_BRomSHlDvOUmXMB,https://www.gambia.com/changefactors-phase-two-of-jambaar-corona-solutions1000-youth-from-western-1-2-and-north-bank-region-trained-on-the-sensitization-of-their-communities-on-the-misconceptions-about-the-covid-19/ ; https://twitter.com/ChangeFactors/status/1569375639504932864,2022-10-06,2022-10-06T11:38:18Z,12508,372,0,,,,,,0,,0,87,30.6,1,-0.435670435428619,0.463496714830399,15,30,2213894,1682835525.09159,4.8226112492757,14.6102635139591,21.2437460201612,1,0,0.181561624983938,-0.576599443049587,192540
R_32VYG7GhxNM20JZEq,3234458Eq,new_entry,,,"",Gambian President Adama Barrow closed schools and Universities.,2020-03-17,2020-03-18,2020-04-08,The policy has a clear end date,Gambia,GMB,GM,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",,Gambia,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,49.938402418825,46.2216565579878,42.6883466232883,40,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_28MsxciMHMJy6d5,https://twitter.com/Presidency_GMB/status/1240036627176656898 ; https://www.panapress.com/Coronavirus-President-Barrow-sus-a_630632827-lang2.html ; https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_Gambia,2020-04-05,2020-04-05T13:57:39Z,1,0,0,,,,,,,,,87,30.6,1,-0.435670435428619,0.463496714830399,15,30,2213894,1682835525.09159,4.8226112492757,14.6102635139591,21.2437460201612,1,0,0.181561624983938,-0.576599443049587,192540
R_32VYG7GhxNM20JZEr,3234458Er,new_entry,,,"",Gambian President Adama Barrow closed schools and Universities.,2020-03-17,2020-03-18,2020-04-08,The policy has a clear end date,Gambia,GMB,GM,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",,Gambia,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,49.938402418825,46.2216565579878,42.6883466232883,40,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_28MsxciMHMJy6d5,https://twitter.com/Presidency_GMB/status/1240036627176656898 ; https://www.panapress.com/Coronavirus-President-Barrow-sus-a_630632827-lang2.html ; https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_Gambia,2020-04-05,2020-04-05T13:57:39Z,1,0,0,,,,,,,,,87,30.6,1,-0.435670435428619,0.463496714830399,15,30,2213894,1682835525.09159,4.8226112492757,14.6102635139591,21.2437460201612,1,0,0.181561624983938,-0.576599443049587,192540
R_32VYG7GhxNM20JZGb,3234458Gb,new_entry,,,"",Gambian President Adama Barrow closed schools and Universities.,2020-03-17,2020-03-18,2020-04-08,The policy has a clear end date,Gambia,GMB,GM,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",,Gambia,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,49.938402418825,46.2216565579878,42.6883466232883,40,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_28MsxciMHMJy6d5,https://twitter.com/Presidency_GMB/status/1240036627176656898 ; https://www.panapress.com/Coronavirus-President-Barrow-sus-a_630632827-lang2.html ; https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_Gambia,2020-04-05,2020-04-05T13:57:39Z,1,0,0,,,,,,,,,87,30.6,1,-0.435670435428619,0.463496714830399,15,30,2213894,1682835525.09159,4.8226112492757,14.6102635139591,21.2437460201612,1,0,0.181561624983938,-0.576599443049587,192540
R_32VYG7GhxNM20JZCf,3234458Cf,new_entry,,,"",Gambian President Adama Barrow closed schools and Universities.,2020-03-17,2020-03-18,2020-04-08,The policy has a clear end date,Gambia,GMB,GM,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",,Gambia,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,49.938402418825,46.2216565579878,42.6883466232883,40,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_28MsxciMHMJy6d5,https://twitter.com/Presidency_GMB/status/1240036627176656898 ; https://www.panapress.com/Coronavirus-President-Barrow-sus-a_630632827-lang2.html ; https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_Gambia,2020-04-05,2020-04-05T13:57:39Z,1,0,0,,,,,,,,,87,30.6,1,-0.435670435428619,0.463496714830399,15,30,2213894,1682835525.09159,4.8226112492757,14.6102635139591,21.2437460201612,1,0,0.181561624983938,-0.576599443049587,192540
R_27JqExyBeppVJBYEq,10798Eq,new_entry,,,"","Samateh's announcement came straight on the heels of a televised statement from President Adama Barrow, who announced anti-virus measures on Tuesday before The Gambia had a single confirmed case.

The president announced a ban on public gatherings and the closure of schools for three weeks from Wednesday.",2020-03-18,2020-03-18,,The policy’s end date is unknown or unreported,Gambia,GMB,GM,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",Yes,Gambia,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,49.938402418825,46.2216565579878,42.6883466232883,40,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_z1LwqSpMJ92GmWJ,https://web.archive.org/web/20200507075219/https://www.news18.com/news/world/public-gatherings-banned-schools-closed-in-gambia-as-1st-coronavirus-case-detected-2540585.html,2022-04-27,2022-04-27T12:05:10Z,1,0,0,,,,,,,,,87,30.6,1,-0.435670435428619,0.463496714830399,15,30,2213894,1682835525.09159,4.8226112492757,14.6102635139591,21.2437460201612,1,0,0.181561624983938,-0.576599443049587,192540
R_27JqExyBeppVJBYEr,10798Er,new_entry,,,"","Samateh's announcement came straight on the heels of a televised statement from President Adama Barrow, who announced anti-virus measures on Tuesday before The Gambia had a single confirmed case.

The president announced a ban on public gatherings and the closure of schools for three weeks from Wednesday.",2020-03-18,2020-03-18,,The policy’s end date is unknown or unreported,Gambia,GMB,GM,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",Yes,Gambia,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,49.938402418825,46.2216565579878,42.6883466232883,40,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_z1LwqSpMJ92GmWJ,https://web.archive.org/web/20200507075219/https://www.news18.com/news/world/public-gatherings-banned-schools-closed-in-gambia-as-1st-coronavirus-case-detected-2540585.html,2022-04-27,2022-04-27T12:05:10Z,1,0,0,,,,,,,,,87,30.6,1,-0.435670435428619,0.463496714830399,15,30,2213894,1682835525.09159,4.8226112492757,14.6102635139591,21.2437460201612,1,0,0.181561624983938,-0.576599443049587,192540
