record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,pdf_link,link,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,muni_IDC,dispersive_IDC,constraining_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS
R_xl3bYOQlEZS2PTzBe,7552320,new_entry,,,"","September 14, 2020: With Bulletin N. 262, the Italian Ministry of Health announced that the Italian Minister of Health, Roberto Speranza, has attended the 70th session of the WHO Regional Committee for Europe (RC70), organised by the WHO Regional Office for Europe, on September 14 and 15, 2020. Representatives of 53 countries in the WHO European Region have attended. Representatives of WHO partners such as United Nations agencies and other intergovernmental organisations and regional networks, were also present. Non-State actors (NSAs) in official relations with WHO and regional NSAs accredited by the Regional Committee, have followed the webstream and had the opportunity to submit video and written statements in advance. The key health issues and future plans have been discussed, particularly on themes regarding the response to the COVID-19 pandemic and lessons learned from the pandemic, both globally and regionally.",2020-09-14,2020-09-14,2020-09-15,The policy has a clear end date,"Albania,Andorra,Armenia,Austria,Azerbaijan,Belarus,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Cyprus,Czechia,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,Hungary,Iceland,Ireland,Israel,Italy,Kazakhstan,Kyrgyzstan,Latvia,Lithuania,Luxembourg,Malta,Moldova,Monaco,Montenegro,Netherlands,North Macedonia,Norway,Poland,Portugal,Romania,Russia,San Marino,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,Tajikistan,Turkey,Turkmenistan,Ukraine,United Kingdom,Uzbekistan",,,National,1,,,,"New Task Force, Bureau or Administrative Configuration",Cooperation among different jurisdictional entities (e.g. treaties or agreements among countries or provinces),Sharing information,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Italy,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Ministry/Department of Health,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_SNuQoepgbNRNX0t,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioComunicatiNuovoCoronavirus.jsp?lingua=italiano&menu=salastampa&p=comunicatistampa&id=5646 ; https://www.euro.who.int/en/about-us/governance/regional-committee-for-europe/70th-session/on-the-agenda,2021-04-11,2021-04-11T10:32:02Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_elnuw1ArwpefbHjNA,6774766,new_entry,,,"","Greece is creating a communications' campaign to inform all citizens of the dangerous nature of COVID, raise awareness and prevent disinformation. The proliferation of such information will happen through traditional press (radio and TV), but also in a list of online websites. The measure gets in effect on 20 March 2020 and until 31 May 2020. 
",2021-03-20,2021-03-21,2021-05-31,The policy has a clear end date,Greece,GRC,GR,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Greece,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_25sjo4c3lvdzjKH,http://www.et.gr/idocs-nph/search/pdfViewerForm.html?args=5C7QrtC22wHUdWr4xouZundtvSoClrL8maDKwi-EoeR5MXD0LzQTLf7MGgcO23N88knBzLCmTXKaO6fpVZ6Lx3UnKl3nP8NxdnJ5r9cmWyJWelDvWS_18kAEhATUkJb0x1LIdQ163nV9K--td6SIuc5fHd7xMwzVo3eu5cHP7GHU87GdgPo11SWPXFRoZcAW,2021-07-22,2021-07-22T15:19:46Z,237125,7462,93764,18058,6120017,585.907,,,24043,,2302,65,28.8,2,-0.435670435428619,0.823284327983856,2,45,10727668,252723303503.255,1.93437082746027,16.1883367564103,26.2555610651467,2,2,0.876357051583516,3.27463223545064,1211382
R_2bWBqYbwe2AP2cJEl,2350411El,new_entry,,,"","On February 27, 2020, with a joint Ministerial Decision of the Ministries of Health and Education, the 105° Elementary School of Thessaloniki remains closed for precautionary reasons.",2020-02-26,2020-02-27,,The policy’s end date is unknown or unreported,Greece,GRC,GR,Provincial,1,Central Macedonia,GR-B,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,Greece,,,Central Macedonia,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),Ministry/Department of Health,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_O7mdSU9lyCBOSU9,https://www.moh.gov.gr/articles/ministry/grafeio-typoy/press-releases/6721-koinh-ypoyrgikh-apofash-ypoyrgeiwn-ygeias-kai-paideias,2022-02-22,2022-02-22T16:25:48Z,3,0,0,,,,,,,,,65,28.8,2,-0.435670435428619,0.823284327983856,2,45,10727668,252723303503.255,1.93437082746027,16.1883367564103,26.2555610651467,2,2,0.876357051583516,3.27463223545064,1211382
R_2dhjkv3bD2F1eQhEk,6929310Ek,new_entry,,,"","Greece ""Schools closure""",2020-03-10,2020-03-10,2020-05-10,The policy has a clear end date,Greece,GRC,GR,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,Greece,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),Ministry/Department of Health,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1hFS3XgBECK53Sj ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1JPZTJ3C0xdA1FJ,NA ; https://www.minedu.gov.gr/rss/44626-10-04-2020-dt-paratasi-apagorefsis-leitourgias-ekpaideftikon-domon-eos-kai-10-5-2020,2022-02-23,2022-02-23T09:22:26Z,89,0,0,,,,,,,,,65,28.8,2,-0.435670435428619,0.823284327983856,2,45,10727668,252723303503.255,1.93437082746027,16.1883367564103,26.2555610651467,2,2,0.876357051583516,3.27463223545064,1211382
R_2dhjkv3bD2F1eQhEl,6929310El,new_entry,,,"","Greece ""Schools closure""",2020-03-10,2020-03-10,2020-05-10,The policy has a clear end date,Greece,GRC,GR,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,Greece,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),Ministry/Department of Health,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1hFS3XgBECK53Sj ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1JPZTJ3C0xdA1FJ,NA ; https://www.minedu.gov.gr/rss/44626-10-04-2020-dt-paratasi-apagorefsis-leitourgias-ekpaideftikon-domon-eos-kai-10-5-2020,2022-02-23,2022-02-23T09:22:26Z,89,0,0,,,,,,,,,65,28.8,2,-0.435670435428619,0.823284327983856,2,45,10727668,252723303503.255,1.93437082746027,16.1883367564103,26.2555610651467,2,2,0.876357051583516,3.27463223545064,1211382
R_2dhjkv3bD2F1eQhFv,6929310Fv,new_entry,,,"","Greece ""Schools closure""",2020-03-10,2020-03-10,2020-05-10,The policy has a clear end date,Greece,GRC,GR,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,,"",,Greece,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),Ministry/Department of Health,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1hFS3XgBECK53Sj ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1JPZTJ3C0xdA1FJ,NA ; https://www.minedu.gov.gr/rss/44626-10-04-2020-dt-paratasi-apagorefsis-leitourgias-ekpaideftikon-domon-eos-kai-10-5-2020,2022-02-23,2022-02-23T09:22:26Z,89,0,0,,,,,,,,,65,28.8,2,-0.435670435428619,0.823284327983856,2,45,10727668,252723303503.255,1.93437082746027,16.1883367564103,26.2555610651467,2,2,0.876357051583516,3.27463223545064,1211382
R_2dhjkv3bD2F1eQhCd,6929310Cd,new_entry,,,"","Greece ""Schools closure""",2020-03-10,2020-03-10,2020-05-10,The policy has a clear end date,Greece,GRC,GR,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,,"",,Greece,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),Ministry/Department of Health,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1hFS3XgBECK53Sj ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1JPZTJ3C0xdA1FJ,NA ; https://www.minedu.gov.gr/rss/44626-10-04-2020-dt-paratasi-apagorefsis-leitourgias-ekpaideftikon-domon-eos-kai-10-5-2020,2022-02-23,2022-02-23T09:22:26Z,89,0,0,,,,,,,,,65,28.8,2,-0.435670435428619,0.823284327983856,2,45,10727668,252723303503.255,1.93437082746027,16.1883367564103,26.2555610651467,2,2,0.876357051583516,3.27463223545064,1211382
R_2CpPcDz0cH9QFdfEk,6929310Ek,update,,,"","Greece On 10 April, the Minister of Education Niki Kerameos announced that all educational institutions would remain closed until 10 May UPDATE: On 10 April, the Minister of Education Niki Kerameos announced that all educational institutions would remain closed until 10 May",2020-04-10,2020-04-10,2020-05-10,The policy has a clear end date,Greece,GRC,GR,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",,Greece,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),Provincial/State Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3NDlxSklJXTilem ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1Nhn442VbKzXiWw,https://www.ekathimerini.com/251581/article/ekathimerini/news/schools-to-remain-closed-until-may-10-ministry-says,2020-04-15,2020-04-15T12:27:11Z,2009,90,269,1798,35432,3.392,,,,,,65,28.8,2,-0.435670435428619,0.823284327983856,2,45,10727668,252723303503.255,1.93437082746027,16.1883367564103,26.2555610651467,2,2,0.876357051583516,3.27463223545064,1211382
R_2CpPcDz0cH9QFdfEl,6929310El,update,,,"","Greece On 10 April, the Minister of Education Niki Kerameos announced that all educational institutions would remain closed until 10 May UPDATE: On 10 April, the Minister of Education Niki Kerameos announced that all educational institutions would remain closed until 10 May",2020-04-10,2020-04-10,2020-05-10,The policy has a clear end date,Greece,GRC,GR,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",,Greece,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),Provincial/State Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3NDlxSklJXTilem ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1Nhn442VbKzXiWw,https://www.ekathimerini.com/251581/article/ekathimerini/news/schools-to-remain-closed-until-may-10-ministry-says,2020-04-15,2020-04-15T12:27:11Z,2009,90,269,1798,35432,3.392,,,,,,65,28.8,2,-0.435670435428619,0.823284327983856,2,45,10727668,252723303503.255,1.93437082746027,16.1883367564103,26.2555610651467,2,2,0.876357051583516,3.27463223545064,1211382
R_2CpPcDz0cH9QFdfFv,6929310Fv,update,,,"","Greece On 10 April, the Minister of Education Niki Kerameos announced that all educational institutions would remain closed until 10 May UPDATE: On 10 April, the Minister of Education Niki Kerameos announced that all educational institutions would remain closed until 10 May",2020-04-10,2020-04-10,2020-05-10,The policy has a clear end date,Greece,GRC,GR,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",,Greece,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),Provincial/State Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3NDlxSklJXTilem ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1Nhn442VbKzXiWw,https://www.ekathimerini.com/251581/article/ekathimerini/news/schools-to-remain-closed-until-may-10-ministry-says,2020-04-15,2020-04-15T12:27:11Z,2009,90,269,1798,35432,3.392,,,,,,65,28.8,2,-0.435670435428619,0.823284327983856,2,45,10727668,252723303503.255,1.93437082746027,16.1883367564103,26.2555610651467,2,2,0.876357051583516,3.27463223545064,1211382
