record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,pdf_link,link,collab,collab_id,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,muni_IDC,dispersive_IDC,constraining_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS
R_xl3bYOQlEZS2PTzBe,7552320,new_entry,,,"","September 14, 2020: With Bulletin N. 262, the Italian Ministry of Health announced that the Italian Minister of Health, Roberto Speranza, has attended the 70th session of the WHO Regional Committee for Europe (RC70), organised by the WHO Regional Office for Europe, on September 14 and 15, 2020. Representatives of 53 countries in the WHO European Region have attended. Representatives of WHO partners such as United Nations agencies and other intergovernmental organisations and regional networks, were also present. Non-State actors (NSAs) in official relations with WHO and regional NSAs accredited by the Regional Committee, have followed the webstream and had the opportunity to submit video and written statements in advance. The key health issues and future plans have been discussed, particularly on themes regarding the response to the COVID-19 pandemic and lessons learned from the pandemic, both globally and regionally.",2020-09-14,2020-09-14,2020-09-15,The policy has a clear end date,"Albania,Andorra,Armenia,Austria,Azerbaijan,Belarus,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Cyprus,Czechia,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,Hungary,Iceland,Ireland,Israel,Italy,Kazakhstan,Kyrgyzstan,Latvia,Lithuania,Luxembourg,Malta,Moldova,Monaco,Montenegro,Netherlands,North Macedonia,Norway,Poland,Portugal,Romania,Russia,San Marino,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,Tajikistan,Turkey,Turkmenistan,Ukraine,United Kingdom,Uzbekistan",,,National,1,,,,"New Task Force, Bureau or Administrative Configuration",Cooperation among different jurisdictional entities (e.g. treaties or agreements among countries or provinces),Sharing information,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Italy,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Ministry/Department of Health,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_SNuQoepgbNRNX0t,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioComunicatiNuovoCoronavirus.jsp?lingua=italiano&menu=salastampa&p=comunicatistampa&id=5646 ; https://www.euro.who.int/en/about-us/governance/regional-committee-for-europe/70th-session/on-the-agenda,CoronaNet (original),,2021-04-11,2021-04-11T10:32:02Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2rkZ0hfD6RUzQUnNA,2286638,new_entry,,,"","Israel's ""Strategic Affairs Ministry has in recent days been pushing an initiative to draft youth in Israel and around the world into a campaign against the surge in antisemitism witnessed online due to the coronavirus pandemic.""",2020-04-19,2020-04-19,,,Israel,ISR,IL,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",No,All countries,All countries,,,,,,All (Travelers + Residents),No special population targeted,,,Mandatory (Unspecified/Implied),"National Government,Other (Please specify in the text box)",75.904096890142,72.505341610912,69.2832803212038,90,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3efr3Vtsm500j8Y,https://www.jpost.com/israel-news/as-coronavirus-antisemitism-spikes-israel-launches-counter-campaign-625141,CoronaNet (original),,2020-07-02,2020-07-02T01:35:51Z,13813,174,4228,9830,222944,23.996,,,,,,88,30.8,2,-0.435670435428619,-0.832006454467773,7,62,8713300,298369641651.459,3.53670318805928,15.9803611519302,26.4215989630075,2,0,-1.31935560022296,1.24190847833608,2011727
R_12EAqzVHQZu4DXJNA,3203769,new_entry,,,"","On August 3, Israel's ministry of health released a humorous video as a public information campaign to reduce the spread of Coronavirus. The ad remained on the YouTube page of Lapam, the government ad agency, until August 5, when the Chinese Embassy in Israel complained about it and it was taken down.",2020-08-03,2020-08-03,2020-08-05,The policy has a clear end date,Israel,ISR,IL,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Israel,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Other (Please specify in the text box)",57.8016415029145,54.3053349373675,50.8619830258592,50,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2ZPIJtBRnFs7JoI,https://www.timesofisrael.com/israel-deletes-quirky-covid-19-ad-after-china-offended/,CoronaNet (original),,2020-08-07,2020-08-07T21:31:29Z,74867,604,52261,22443,1668092,179.538,,,,,,88,30.8,2,-0.435670435428619,-0.832006454467773,7,62,8713300,298369641651.459,3.53670318805928,15.9803611519302,26.4215989630075,2,0,-1.31935560022296,1.24190847833608,2011727
R_2zZobbcSfRoHa90Et,4214372Et,new_entry,,,"","Israel closed schools, with the exception of preschools, special education centers, and youth-at-risk centers, from March 12 through May 3 in response to the COVID pandemic.",2020-03-12,2020-03-12,2020-05-03,The policy has a clear end date,Israel,ISR,IL,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",Yes,Israel,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Other population not specifed above,,,Mandatory (Unspecified/Implied),"National Government,Other (Please specify in the text box)",53.2265485110482,50.1043063387846,46.8953116337498,120,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_w6JX5UloDEjsBbz,https://www.jpost.com/health-science/coronavirus-teachers-union-calls-on-education-ministry-to-shutter-schools-620688,CoronaNet (original),,2020-08-26,2020-08-26T19:27:40Z,81,0,0,587,4626,0.498,,,,,,88,30.8,2,-0.435670435428619,-0.832006454467773,7,62,8713300,298369641651.459,3.53670318805928,15.9803611519302,26.4215989630075,2,0,-1.31935560022296,1.24190847833608,2011727
R_2zZobbcSfRoHa90Ge,4214372Ge,new_entry,,,"","Israel closed schools, with the exception of preschools, special education centers, and youth-at-risk centers, from March 12 through May 3 in response to the COVID pandemic.",2020-03-12,2020-03-12,2020-05-03,The policy has a clear end date,Israel,ISR,IL,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",Yes,Israel,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Other population not specifed above,,,Mandatory (Unspecified/Implied),"National Government,Other (Please specify in the text box)",53.2265485110482,50.1043063387846,46.8953116337498,120,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_w6JX5UloDEjsBbz,https://www.jpost.com/health-science/coronavirus-teachers-union-calls-on-education-ministry-to-shutter-schools-620688,CoronaNet (original),,2020-08-26,2020-08-26T19:27:40Z,81,0,0,587,4626,0.498,,,,,,88,30.8,2,-0.435670435428619,-0.832006454467773,7,62,8713300,298369641651.459,3.53670318805928,15.9803611519302,26.4215989630075,2,0,-1.31935560022296,1.24190847833608,2011727
R_2zZobbcSfRoHa90Cf,4214372Cf,new_entry,,,"","Israel closed schools, with the exception of preschools, special education centers, and youth-at-risk centers, from March 12 through May 3 in response to the COVID pandemic.",2020-03-12,2020-03-12,2020-05-03,The policy has a clear end date,Israel,ISR,IL,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",Yes,Israel,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Other population not specifed above,,,Mandatory (Unspecified/Implied),"National Government,Other (Please specify in the text box)",53.2265485110482,50.1043063387846,46.8953116337498,120,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_w6JX5UloDEjsBbz,https://www.jpost.com/health-science/coronavirus-teachers-union-calls-on-education-ministry-to-shutter-schools-620688,CoronaNet (original),,2020-08-26,2020-08-26T19:27:40Z,81,0,0,587,4626,0.498,,,,,,88,30.8,2,-0.435670435428619,-0.832006454467773,7,62,8713300,298369641651.459,3.53670318805928,15.9803611519302,26.4215989630075,2,0,-1.31935560022296,1.24190847833608,2011727
R_yWmw0SMY72FgoTLCf,5459417Cf,new_entry,,,"",Israel is cancelling the medical and health professions licensure exams after March 15th 2020.,2020-03-15,2020-03-15,,The policy’s end date is unknown or unreported,Israel,ISR,IL,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",Yes,Israel,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,57.6518869999599,54.0641030863566,50.7686403857177,114,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_yxr1v0AlRtxRneF,https://www.health.gov.il/English/News_and_Events/Spokespersons_Messages/Pages/14032020_27.aspx,WHO EURO,EURO_738639_1,2022-03-24,2022-03-24T05:50:59Z,177,0,1,997,6911,0.744,,,,,,88,30.8,2,-0.435670435428619,-0.832006454467773,7,62,8713300,298369641651.459,3.53670318805928,15.9803611519302,26.4215989630075,2,0,-1.31935560022296,1.24190847833608,2011727
R_1FbV50dyQRvdHyREs,1701053Es,new_entry,,,"","Israel's Ministry of Helath's Director General is signing the People's Health Ordinance that allows special education programs to open with a limit of up to 3 children per group, subject to maintaining a fifteen-minute buffer between groups and maintaining hygiene. Additionally, 3 families will be allowed to connect with a regular caretaker for babysitting purposes, all the while abiding by the rules.",2020-04-19,2020-04-19,,The policy’s end date is unknown or unreported,Israel,ISR,IL,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities allowed to open with conditions,Special provisions exist for some students in a school  (e.g. students living with essential workers can attend school while others must stay home),Yes,Israel,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",75.904096890142,72.505341610912,69.2832803212038,90,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_wUiu6XMGjoxf601,https://www.gov.il/en/departments/news/19042020_01,WHO EURO,EURO_738518_1,2022-03-24,2022-03-24T05:59:50Z,13813,174,4228,9830,222944,23.996,,,,,,88,30.8,2,-0.435670435428619,-0.832006454467773,7,62,8713300,298369641651.459,3.53670318805928,15.9803611519302,26.4215989630075,2,0,-1.31935560022296,1.24190847833608,2011727
R_1FbV50dyQRvdHyREt,1701053Et,new_entry,,,"","Israel's Ministry of Helath's Director General is signing the People's Health Ordinance that allows special education programs to open with a limit of up to 3 children per group, subject to maintaining a fifteen-minute buffer between groups and maintaining hygiene. Additionally, 3 families will be allowed to connect with a regular caretaker for babysitting purposes, all the while abiding by the rules.",2020-04-19,2020-04-19,,The policy’s end date is unknown or unreported,Israel,ISR,IL,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools allowed to open with conditions,Special provisions exist for some students in a school  (e.g. students living with essential workers can attend school while others must stay home),Yes,Israel,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",75.904096890142,72.505341610912,69.2832803212038,90,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_wUiu6XMGjoxf601,https://www.gov.il/en/departments/news/19042020_01,WHO EURO,EURO_738518_1,2022-03-24,2022-03-24T05:59:50Z,13813,174,4228,9830,222944,23.996,,,,,,88,30.8,2,-0.435670435428619,-0.832006454467773,7,62,8713300,298369641651.459,3.53670318805928,15.9803611519302,26.4215989630075,2,0,-1.31935560022296,1.24190847833608,2011727
R_1FbV50dyQRvdHyRGe,1701053Ge,new_entry,,,"","Israel's Ministry of Helath's Director General is signing the People's Health Ordinance that allows special education programs to open with a limit of up to 3 children per group, subject to maintaining a fifteen-minute buffer between groups and maintaining hygiene. Additionally, 3 families will be allowed to connect with a regular caretaker for babysitting purposes, all the while abiding by the rules.",2020-04-19,2020-04-19,,The policy’s end date is unknown or unreported,Israel,ISR,IL,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools allowed to open with conditions,Special provisions exist for some students in a school  (e.g. students living with essential workers can attend school while others must stay home),Yes,Israel,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",75.904096890142,72.505341610912,69.2832803212038,90,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_wUiu6XMGjoxf601,https://www.gov.il/en/departments/news/19042020_01,WHO EURO,EURO_738518_1,2022-03-24,2022-03-24T05:59:50Z,13813,174,4228,9830,222944,23.996,,,,,,88,30.8,2,-0.435670435428619,-0.832006454467773,7,62,8713300,298369641651.459,3.53670318805928,15.9803611519302,26.4215989630075,2,0,-1.31935560022296,1.24190847833608,2011727
