record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,pdf_link,link,collab,collab_id,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,muni_IDC,dispersive_IDC,constraining_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS
R_xl3bYOQlEZS2PTzBe,7552320,new_entry,,,"","September 14, 2020: With Bulletin N. 262, the Italian Ministry of Health announced that the Italian Minister of Health, Roberto Speranza, has attended the 70th session of the WHO Regional Committee for Europe (RC70), organised by the WHO Regional Office for Europe, on September 14 and 15, 2020. Representatives of 53 countries in the WHO European Region have attended. Representatives of WHO partners such as United Nations agencies and other intergovernmental organisations and regional networks, were also present. Non-State actors (NSAs) in official relations with WHO and regional NSAs accredited by the Regional Committee, have followed the webstream and had the opportunity to submit video and written statements in advance. The key health issues and future plans have been discussed, particularly on themes regarding the response to the COVID-19 pandemic and lessons learned from the pandemic, both globally and regionally.",2020-09-14,2020-09-14,2020-09-15,The policy has a clear end date,"Albania,Andorra,Armenia,Austria,Azerbaijan,Belarus,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Cyprus,Czechia,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,Hungary,Iceland,Ireland,Israel,Italy,Kazakhstan,Kyrgyzstan,Latvia,Lithuania,Luxembourg,Malta,Moldova,Monaco,Montenegro,Netherlands,North Macedonia,Norway,Poland,Portugal,Romania,Russia,San Marino,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,Tajikistan,Turkey,Turkmenistan,Ukraine,United Kingdom,Uzbekistan",,,National,1,,,,"New Task Force, Bureau or Administrative Configuration",Cooperation among different jurisdictional entities (e.g. treaties or agreements among countries or provinces),Sharing information,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Italy,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Ministry/Department of Health,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_SNuQoepgbNRNX0t,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioComunicatiNuovoCoronavirus.jsp?lingua=italiano&menu=salastampa&p=comunicatistampa&id=5646 ; https://www.euro.who.int/en/about-us/governance/regional-committee-for-europe/70th-session/on-the-agenda,CoronaNet (original),,2021-04-11,2021-04-11T10:32:02Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1jJ8tDBkYpaszxKEs,7536669Es,new_entry,,,"","On March 13, 2020, Montenegro announced the closure of all schools and universities for a period of no less than 15 days. During this period, one of the parents or guardians of children younger than 11 shall be provided with paid absence from work, with the exception of employees in the Ministry of Health, Ministry of Defence, National Security Agency, Ministry of the Interior, Police Directorate, Customs Administration, Directorate for Food Safety, Veterinary and Phytosanitary Affairs, institutions for accommodation of persons in the field of social and child protection, the Directorate for Execution of Criminal Sanctions, protection and rescue services and other authorities and services, whose activities are assessed as necessary by the National Coordination Body for Communicable Diseases.",2020-03-13,2020-03-16,,The policy’s end date is unknown or unreported,Montenegro,MNE,ME,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",Yes,Montenegro,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Other population not specifed above,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3sHYSyWk3DiGpFA,https://www.gov.me/en/article/222876--sehovic-schools-closed-starting-monday-one-parent-with-a-child,CoronaNet (original),,2022-06-22,2022-06-22T13:23:44Z,0,0,0,,,,,,,,,105,33.8,2,-0.281669557094574,-0.524117588996887,3,46,622373,4882752203.81173,4.71646496209853,13.3412948704426,22.3089748740276,2,2,1.52763963836674,1.21948064343388,71719
R_1jJ8tDBkYpaszxKEt,7536669Et,new_entry,,,"","On March 13, 2020, Montenegro announced the closure of all schools and universities for a period of no less than 15 days. During this period, one of the parents or guardians of children younger than 11 shall be provided with paid absence from work, with the exception of employees in the Ministry of Health, Ministry of Defence, National Security Agency, Ministry of the Interior, Police Directorate, Customs Administration, Directorate for Food Safety, Veterinary and Phytosanitary Affairs, institutions for accommodation of persons in the field of social and child protection, the Directorate for Execution of Criminal Sanctions, protection and rescue services and other authorities and services, whose activities are assessed as necessary by the National Coordination Body for Communicable Diseases.",2020-03-13,2020-03-16,,The policy’s end date is unknown or unreported,Montenegro,MNE,ME,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",Yes,Montenegro,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Other population not specifed above,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3sHYSyWk3DiGpFA,https://www.gov.me/en/article/222876--sehovic-schools-closed-starting-monday-one-parent-with-a-child,CoronaNet (original),,2022-06-22,2022-06-22T13:23:44Z,0,0,0,,,,,,,,,105,33.8,2,-0.281669557094574,-0.524117588996887,3,46,622373,4882752203.81173,4.71646496209853,13.3412948704426,22.3089748740276,2,2,1.52763963836674,1.21948064343388,71719
R_1jJ8tDBkYpaszxKGe,7536669Ge,new_entry,,,"","On March 13, 2020, Montenegro announced the closure of all schools and universities for a period of no less than 15 days. During this period, one of the parents or guardians of children younger than 11 shall be provided with paid absence from work, with the exception of employees in the Ministry of Health, Ministry of Defence, National Security Agency, Ministry of the Interior, Police Directorate, Customs Administration, Directorate for Food Safety, Veterinary and Phytosanitary Affairs, institutions for accommodation of persons in the field of social and child protection, the Directorate for Execution of Criminal Sanctions, protection and rescue services and other authorities and services, whose activities are assessed as necessary by the National Coordination Body for Communicable Diseases.",2020-03-13,2020-03-16,,The policy’s end date is unknown or unreported,Montenegro,MNE,ME,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",Yes,Montenegro,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Other population not specifed above,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3sHYSyWk3DiGpFA,https://www.gov.me/en/article/222876--sehovic-schools-closed-starting-monday-one-parent-with-a-child,CoronaNet (original),,2022-06-22,2022-06-22T13:23:44Z,0,0,0,,,,,,,,,105,33.8,2,-0.281669557094574,-0.524117588996887,3,46,622373,4882752203.81173,4.71646496209853,13.3412948704426,22.3089748740276,2,2,1.52763963836674,1.21948064343388,71719
R_1jJ8tDBkYpaszxKCf,7536669Cf,new_entry,,,"","On March 13, 2020, Montenegro announced the closure of all schools and universities for a period of no less than 15 days. During this period, one of the parents or guardians of children younger than 11 shall be provided with paid absence from work, with the exception of employees in the Ministry of Health, Ministry of Defence, National Security Agency, Ministry of the Interior, Police Directorate, Customs Administration, Directorate for Food Safety, Veterinary and Phytosanitary Affairs, institutions for accommodation of persons in the field of social and child protection, the Directorate for Execution of Criminal Sanctions, protection and rescue services and other authorities and services, whose activities are assessed as necessary by the National Coordination Body for Communicable Diseases.",2020-03-13,2020-03-16,,The policy’s end date is unknown or unreported,Montenegro,MNE,ME,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",Yes,Montenegro,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Other population not specifed above,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3sHYSyWk3DiGpFA,https://www.gov.me/en/article/222876--sehovic-schools-closed-starting-monday-one-parent-with-a-child,CoronaNet (original),,2022-06-22,2022-06-22T13:23:44Z,0,0,0,,,,,,,,,105,33.8,2,-0.281669557094574,-0.524117588996887,3,46,622373,4882752203.81173,4.71646496209853,13.3412948704426,22.3089748740276,2,2,1.52763963836674,1.21948064343388,71719
R_pSDbVd6TfS71qWBEs,7536669Es,update,Change of Policy,Strengthening,timing of policy strengthening,"On March 13, 2020, Montenegro announced the closure of all schools and universities for a period of no less than 15 days. UPDATE: On April 16, 2020, Montenegro announced the extension of the closure of public and private educational institutions until May 2, 2020.",2020-04-16,2020-03-16,2020-05-02,The policy has a clear end date,Montenegro,MNE,ME,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",Yes,Montenegro,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Other population not specifed above,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3sHYSyWk3DiGpFA ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_12mqhLpLnb1pJdc,NA ; https://www.gov.me/en/article/223849--national-coordination-body-allows-retail-outlets-to-be-open-until-6-p-m-on-holy-saturday-extends-application-of-several-measures,CoronaNet (original),,2022-06-22,2022-06-22T13:27:05Z,0,0,0,,,,,,,,,105,33.8,2,-0.281669557094574,-0.524117588996887,3,46,622373,4882752203.81173,4.71646496209853,13.3412948704426,22.3089748740276,2,2,1.52763963836674,1.21948064343388,71719
R_pSDbVd6TfS71qWBEt,7536669Et,update,Change of Policy,Strengthening,timing of policy strengthening,"On March 13, 2020, Montenegro announced the closure of all schools and universities for a period of no less than 15 days. UPDATE: On April 16, 2020, Montenegro announced the extension of the closure of public and private educational institutions until May 2, 2020.",2020-04-16,2020-03-16,2020-05-02,The policy has a clear end date,Montenegro,MNE,ME,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",Yes,Montenegro,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Other population not specifed above,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3sHYSyWk3DiGpFA ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_12mqhLpLnb1pJdc,NA ; https://www.gov.me/en/article/223849--national-coordination-body-allows-retail-outlets-to-be-open-until-6-p-m-on-holy-saturday-extends-application-of-several-measures,CoronaNet (original),,2022-06-22,2022-06-22T13:27:05Z,0,0,0,,,,,,,,,105,33.8,2,-0.281669557094574,-0.524117588996887,3,46,622373,4882752203.81173,4.71646496209853,13.3412948704426,22.3089748740276,2,2,1.52763963836674,1.21948064343388,71719
R_pSDbVd6TfS71qWBGe,7536669Ge,update,Change of Policy,Strengthening,timing of policy strengthening,"On March 13, 2020, Montenegro announced the closure of all schools and universities for a period of no less than 15 days. UPDATE: On April 16, 2020, Montenegro announced the extension of the closure of public and private educational institutions until May 2, 2020.",2020-04-16,2020-03-16,2020-05-02,The policy has a clear end date,Montenegro,MNE,ME,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",Yes,Montenegro,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Other population not specifed above,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3sHYSyWk3DiGpFA ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_12mqhLpLnb1pJdc,NA ; https://www.gov.me/en/article/223849--national-coordination-body-allows-retail-outlets-to-be-open-until-6-p-m-on-holy-saturday-extends-application-of-several-measures,CoronaNet (original),,2022-06-22,2022-06-22T13:27:05Z,0,0,0,,,,,,,,,105,33.8,2,-0.281669557094574,-0.524117588996887,3,46,622373,4882752203.81173,4.71646496209853,13.3412948704426,22.3089748740276,2,2,1.52763963836674,1.21948064343388,71719
R_pSDbVd6TfS71qWBCf,7536669Cf,update,Change of Policy,Strengthening,timing of policy strengthening,"On March 13, 2020, Montenegro announced the closure of all schools and universities for a period of no less than 15 days. UPDATE: On April 16, 2020, Montenegro announced the extension of the closure of public and private educational institutions until May 2, 2020.",2020-04-16,2020-03-16,2020-05-02,The policy has a clear end date,Montenegro,MNE,ME,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",Yes,Montenegro,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Other population not specifed above,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3sHYSyWk3DiGpFA ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_12mqhLpLnb1pJdc,NA ; https://www.gov.me/en/article/223849--national-coordination-body-allows-retail-outlets-to-be-open-until-6-p-m-on-holy-saturday-extends-application-of-several-measures,CoronaNet (original),,2022-06-22,2022-06-22T13:27:05Z,0,0,0,,,,,,,,,105,33.8,2,-0.281669557094574,-0.524117588996887,3,46,622373,4882752203.81173,4.71646496209853,13.3412948704426,22.3089748740276,2,2,1.52763963836674,1.21948064343388,71719
R_3PqakRjGuMdo07TDg,1760023,new_entry,,,"","On March 30th, 2020, Montenegro imposed a curfew prohibiting individuals from leaving their residence between 7pm and 5am, from Monday through Friday. Exemptions will be made for those providing essential public services, as evidenced by a certificate provided by the employer. During the curfew hours, there is also an exception for people taking their pets for a walk, allowing them to stay in the public place for up to 60 minutes. Children under 12 years of age being are prohibited from being outdoor in an open public place during non-curfew hours without the presence of one parent, guardian, adoptive parent, breadwinner or other adult member of the family household, with an obligation of observing the prescribed distance measure of at least two meters from other persons.",2020-03-30,2020-03-30,,The policy’s end date is unknown or unreported,Montenegro,MNE,ME,National,1,,,,Curfew,No the curfew times are always the same regardless of the day of the week,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Montenegro,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines,Mandatory with Exceptions (Please list exceptions in the text entry)","National Government,Ministry/Department of Health,Ministry/Department of Justice,Police",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_qyHoDpGpmrX2Qi5,https://www.gov.me/en/article/223443--new-measures-ban-on-leaving-home-in-working-days-and-at-night-on-saturday-afternoons-and-on-sundays-all-day,CoronaNet (original),,2022-03-06,2022-03-06T19:43:07Z,91,1,0,,,,,,,,,105,33.8,2,-0.281669557094574,-0.524117588996887,3,46,622373,4882752203.81173,4.71646496209853,13.3412948704426,22.3089748740276,2,2,1.52763963836674,1.21948064343388,71719
