record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,pdf_link,link,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,muni_IDC,dispersive_IDC,constraining_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS
R_1hPYt5CLoTbMhGNEq,2981323Eq,new_entry,,,"",Mozambique Government announces the closing of schools.,2020-03-20,2020-03-23,2020-04-22,The policy has a clear end date,Mozambique,MOZ,MZ,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,Mozambique,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1AYdIk91bRqCwvA,https://clubofmozambique.com/news/coronavirus-mozambique-closes-schools-suspends-visa-issuance-president-155819/,2022-10-01,2022-10-01T05:38:31Z,1,0,0,,,,,,,,,104,33.7,1,-0.435670435428619,0.548431634902954,11,25,28649007,16866845660.3299,3.74131759312564,17.1706293408385,23.5486157367879,2,2,-0.0165869158953803,1.19061572257921,321794
R_1hPYt5CLoTbMhGNEr,2981323Er,new_entry,,,"",Mozambique Government announces the closing of schools.,2020-03-20,2020-03-23,2020-04-22,The policy has a clear end date,Mozambique,MOZ,MZ,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,Mozambique,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1AYdIk91bRqCwvA,https://clubofmozambique.com/news/coronavirus-mozambique-closes-schools-suspends-visa-issuance-president-155819/,2022-10-01,2022-10-01T05:38:31Z,1,0,0,,,,,,,,,104,33.7,1,-0.435670435428619,0.548431634902954,11,25,28649007,16866845660.3299,3.74131759312564,17.1706293408385,23.5486157367879,2,2,-0.0165869158953803,1.19061572257921,321794
R_1hPYt5CLoTbMhGNGb,2981323Gb,new_entry,,,"",Mozambique Government announces the closing of schools.,2020-03-20,2020-03-23,2020-04-22,The policy has a clear end date,Mozambique,MOZ,MZ,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,,"",,Mozambique,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1AYdIk91bRqCwvA,https://clubofmozambique.com/news/coronavirus-mozambique-closes-schools-suspends-visa-issuance-president-155819/,2022-10-01,2022-10-01T05:38:31Z,1,0,0,,,,,,,,,104,33.7,1,-0.435670435428619,0.548431634902954,11,25,28649007,16866845660.3299,3.74131759312564,17.1706293408385,23.5486157367879,2,2,-0.0165869158953803,1.19061572257921,321794
R_1hPYt5CLoTbMhGNCf,2981323Cf,new_entry,,,"",Mozambique Government announces the closing of schools.,2020-03-20,2020-03-23,2020-04-22,The policy has a clear end date,Mozambique,MOZ,MZ,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,,"",,Mozambique,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1AYdIk91bRqCwvA,https://clubofmozambique.com/news/coronavirus-mozambique-closes-schools-suspends-visa-issuance-president-155819/,2022-10-01,2022-10-01T05:38:31Z,1,0,0,,,,,,,,,104,33.7,1,-0.435670435428619,0.548431634902954,11,25,28649007,16866845660.3299,3.74131759312564,17.1706293408385,23.5486157367879,2,2,-0.0165869158953803,1.19061572257921,321794
R_PUPskpaxdbQuHWpEq,2981323Eq,update,Change of Policy,Strengthening,timing of policy strengthening,"Mozambique Government announces the closing of schools. UPDATE: The original closure of schools was set to last until April 22, 2020, it has been extended to April 30, 2020.",2020-04-01,2020-04-01,2020-04-30,The policy has a clear end date,Mozambique,MOZ,MZ,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,Mozambique,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1AYdIk91bRqCwvA ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_27x2a9drCWlyL4E,NA ; https://clubofmozambique.com/news/mozambique-parliament-approves-declaration-of-state-of-emergency-photos-156715/,2022-12-28,2022-12-28T15:33:07Z,10,0,0,19,288,0.009,,,,,,104,33.7,1,-0.435670435428619,0.548431634902954,11,25,28649007,16866845660.3299,3.74131759312564,17.1706293408385,23.5486157367879,2,2,-0.0165869158953803,1.19061572257921,321794
R_PUPskpaxdbQuHWpEr,2981323Er,update,Change of Policy,Strengthening,timing of policy strengthening,"Mozambique Government announces the closing of schools. UPDATE: The original closure of schools was set to last until April 22, 2020, it has been extended to April 30, 2020.",2020-04-01,2020-04-01,2020-04-30,The policy has a clear end date,Mozambique,MOZ,MZ,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,Mozambique,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1AYdIk91bRqCwvA ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_27x2a9drCWlyL4E,NA ; https://clubofmozambique.com/news/mozambique-parliament-approves-declaration-of-state-of-emergency-photos-156715/,2022-12-28,2022-12-28T15:33:07Z,10,0,0,19,288,0.009,,,,,,104,33.7,1,-0.435670435428619,0.548431634902954,11,25,28649007,16866845660.3299,3.74131759312564,17.1706293408385,23.5486157367879,2,2,-0.0165869158953803,1.19061572257921,321794
R_PUPskpaxdbQuHWpGb,2981323Gb,update,Change of Policy,Strengthening,timing of policy strengthening,"Mozambique Government announces the closing of schools. UPDATE: The original closure of schools was set to last until April 22, 2020, it has been extended to April 30, 2020.",2020-04-01,2020-04-01,2020-04-30,The policy has a clear end date,Mozambique,MOZ,MZ,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,,"",,Mozambique,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1AYdIk91bRqCwvA ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_27x2a9drCWlyL4E,NA ; https://clubofmozambique.com/news/mozambique-parliament-approves-declaration-of-state-of-emergency-photos-156715/,2022-12-28,2022-12-28T15:33:07Z,10,0,0,19,288,0.009,,,,,,104,33.7,1,-0.435670435428619,0.548431634902954,11,25,28649007,16866845660.3299,3.74131759312564,17.1706293408385,23.5486157367879,2,2,-0.0165869158953803,1.19061572257921,321794
R_PUPskpaxdbQuHWpCf,2981323Cf,update,Change of Policy,Strengthening,timing of policy strengthening,"Mozambique Government announces the closing of schools. UPDATE: The original closure of schools was set to last until April 22, 2020, it has been extended to April 30, 2020.",2020-04-01,2020-04-01,2020-04-30,The policy has a clear end date,Mozambique,MOZ,MZ,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,,"",,Mozambique,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1AYdIk91bRqCwvA ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_27x2a9drCWlyL4E,NA ; https://clubofmozambique.com/news/mozambique-parliament-approves-declaration-of-state-of-emergency-photos-156715/,2022-12-28,2022-12-28T15:33:07Z,10,0,0,19,288,0.009,,,,,,104,33.7,1,-0.435670435428619,0.548431634902954,11,25,28649007,16866845660.3299,3.74131759312564,17.1706293408385,23.5486157367879,2,2,-0.0165869158953803,1.19061572257921,321794
R_bsapWLiq0KcD92pEq,2981323Eq,update,Change of Policy,Strengthening,timing of policy strengthening,"Mozambique Government announces the closing of schools. UPDATE: The first extension was set to last until April 30, 2020, it has been extended the second time to May 30, 2020.",2020-04-29,2020-05-01,2020-05-30,The policy has a clear end date,Mozambique,MOZ,MZ,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,Mozambique,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1AYdIk91bRqCwvA ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_27g9pS82aCi9bjb,NA ; https://crisis24.garda.com/alerts/2020/04/mozambique-government-announces-30-day-extension-for-state-of-emergency-until-may-30-update-3,2022-12-29,2022-12-29T11:58:18Z,79,0,12,170,2246,0.07,,,,,,104,33.7,1,-0.435670435428619,0.548431634902954,11,25,28649007,16866845660.3299,3.74131759312564,17.1706293408385,23.5486157367879,2,2,-0.0165869158953803,1.19061572257921,321794
R_bsapWLiq0KcD92pEr,2981323Er,update,Change of Policy,Strengthening,timing of policy strengthening,"Mozambique Government announces the closing of schools. UPDATE: The first extension was set to last until April 30, 2020, it has been extended the second time to May 30, 2020.",2020-04-29,2020-05-01,2020-05-30,The policy has a clear end date,Mozambique,MOZ,MZ,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,Mozambique,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1AYdIk91bRqCwvA ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_27g9pS82aCi9bjb,NA ; https://crisis24.garda.com/alerts/2020/04/mozambique-government-announces-30-day-extension-for-state-of-emergency-until-may-30-update-3,2022-12-29,2022-12-29T11:58:18Z,79,0,12,170,2246,0.07,,,,,,104,33.7,1,-0.435670435428619,0.548431634902954,11,25,28649007,16866845660.3299,3.74131759312564,17.1706293408385,23.5486157367879,2,2,-0.0165869158953803,1.19061572257921,321794
