record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,pdf_link,link,collab,collab_id,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,muni_IDC,dispersive_IDC,constraining_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS
R_YbQFg0CrcQGZpKNNA,5032985,new_entry,,,"","On March 18, 2020 High-level Coordination Committee for the prevention and control of coronavirus, constituted by the Government of Nepal, decided to take stem action in accordance with prevalent laws if anyone indulges in dissemination of misleading and baseless information regarding COVID-19 through media (including social networks) and creates confusion and panic among the common people. Nepal Police headquarters informed that culprits shall be sent to prison for a year or fined Rs 10,000 or both. Additional punishment will also be given if such fake messages are spread via electronic medium.",2020-03-18,2020-03-18,2023-10-06,The policy has an unlimited time span (e.g. recommendation to wash one's hands; passing of a legal bill),Nepal,NPL,NP,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Nepal,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines",Police,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1FlCVD8sFgfQT3G,https://mofa.gov.np/covid-19-update/ ; https://myrepublica.nagariknetwork.com/news/nepal-police-urges-not-to-disseminate-fake-news-on-covid-19-warns-of-stringent-punishment/,CoronaNet (original),,2021-02-12,2021-02-12T08:31:46Z,1,0,1,16,512,0.017,,,,,,112,35.1,2,-0.824784338474274,0.563846170902252,11,31,27627124,21527164664.5563,8.22349948844897,17.1343086017244,23.7925814473401,2,0,-0.953856958459152,-0.414360744223568,509471
R_2TuEUx9hunN7qCDEq,5846320Eq,new_entry,,,"","On March 18 2020, the Nepali government decided to close all schools, colleges and universities until April 12.",2020-03-18,2020-03-18,2020-04-12,The policy has a clear end date,Nepal,NPL,NP,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",,Nepal,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Voluntary/Recommended but No Penalties,National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3HTWwvkj6B6ps15,https://kathmandupost.com/national/2020/03/18/secondary-education-examinations-called-off-with-no-new-date-scheduled ; https://myrepublica.nagariknetwork.com/news/90755/,CoronaNet (original),,2020-04-02,2020-04-02T04:56:42Z,1,0,1,16,512,0.017,,,,,,112,35.1,2,-0.824784338474274,0.563846170902252,11,31,27627124,21527164664.5563,8.22349948844897,17.1343086017244,23.7925814473401,2,0,-0.953856958459152,-0.414360744223568,509471
R_2TuEUx9hunN7qCDEr,5846320Er,new_entry,,,"","On March 18 2020, the Nepali government decided to close all schools, colleges and universities until April 12.",2020-03-18,2020-03-18,2020-04-12,The policy has a clear end date,Nepal,NPL,NP,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",,Nepal,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Voluntary/Recommended but No Penalties,National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3HTWwvkj6B6ps15,https://kathmandupost.com/national/2020/03/18/secondary-education-examinations-called-off-with-no-new-date-scheduled ; https://myrepublica.nagariknetwork.com/news/90755/,CoronaNet (original),,2020-04-02,2020-04-02T04:56:42Z,1,0,1,16,512,0.017,,,,,,112,35.1,2,-0.824784338474274,0.563846170902252,11,31,27627124,21527164664.5563,8.22349948844897,17.1343086017244,23.7925814473401,2,0,-0.953856958459152,-0.414360744223568,509471
R_2TuEUx9hunN7qCDGc,5846320Gc,new_entry,,,"","On March 18 2020, the Nepali government decided to close all schools, colleges and universities until April 12.",2020-03-18,2020-03-18,2020-04-12,The policy has a clear end date,Nepal,NPL,NP,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",,Nepal,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Voluntary/Recommended but No Penalties,National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3HTWwvkj6B6ps15,https://kathmandupost.com/national/2020/03/18/secondary-education-examinations-called-off-with-no-new-date-scheduled ; https://myrepublica.nagariknetwork.com/news/90755/,CoronaNet (original),,2020-04-02,2020-04-02T04:56:42Z,1,0,1,16,512,0.017,,,,,,112,35.1,2,-0.824784338474274,0.563846170902252,11,31,27627124,21527164664.5563,8.22349948844897,17.1343086017244,23.7925814473401,2,0,-0.953856958459152,-0.414360744223568,509471
R_2TuEUx9hunN7qCDCf,5846320Cf,new_entry,,,"","On March 18 2020, the Nepali government decided to close all schools, colleges and universities until April 12.",2020-03-18,2020-03-18,2020-04-12,The policy has a clear end date,Nepal,NPL,NP,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",,Nepal,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Voluntary/Recommended but No Penalties,National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3HTWwvkj6B6ps15,https://kathmandupost.com/national/2020/03/18/secondary-education-examinations-called-off-with-no-new-date-scheduled ; https://myrepublica.nagariknetwork.com/news/90755/,CoronaNet (original),,2020-04-02,2020-04-02T04:56:42Z,1,0,1,16,512,0.017,,,,,,112,35.1,2,-0.824784338474274,0.563846170902252,11,31,27627124,21527164664.5563,8.22349948844897,17.1343086017244,23.7925814473401,2,0,-0.953856958459152,-0.414360744223568,509471
R_1YzVVQUQd5hwGSlGc,9500052Gc,new_entry,,,"","On 19 March, 2020 the government of Nepal declared suspension of all classes in schools, colleges, and universities, and postponement of all academic examinations including the Secondary Education Examination until April 12.",2020-03-19,2020-03-19,2020-04-12,The policy has a clear end date,Nepal,NPL,NP,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools allowed to open with conditions,Special provisions exist for how teaching is done which applies to all teachers,Yes,Nepal,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2D0GNZvPZiNzZ9C,https://web.archive.org/web/20200525191505/https://myrepublica.nagariknetwork.com/news/90755/,OxCGRT,OXCGRT_Nepal_20200319_school,2022-11-10,2022-11-10T08:29:55Z,1,0,1,17,529,0.018,,,,,,112,35.1,2,-0.824784338474274,0.563846170902252,11,31,27627124,21527164664.5563,8.22349948844897,17.1343086017244,23.7925814473401,2,0,-0.953856958459152,-0.414360744223568,509471
R_1YzVVQUQd5hwGSlCf,9500052Cf,new_entry,,,"","On 19 March, 2020 the government of Nepal declared suspension of all classes in schools, colleges, and universities, and postponement of all academic examinations including the Secondary Education Examination until April 12.",2020-03-19,2020-03-19,2020-04-12,The policy has a clear end date,Nepal,NPL,NP,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions allowed to open with conditions,Special provisions exist for how teaching is done which applies to all teachers,Yes,Nepal,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2D0GNZvPZiNzZ9C,https://web.archive.org/web/20200525191505/https://myrepublica.nagariknetwork.com/news/90755/,OxCGRT,OXCGRT_Nepal_20200319_school,2022-11-10,2022-11-10T08:29:55Z,1,0,1,17,529,0.018,,,,,,112,35.1,2,-0.824784338474274,0.563846170902252,11,31,27627124,21527164664.5563,8.22349948844897,17.1343086017244,23.7925814473401,2,0,-0.953856958459152,-0.414360744223568,509471
R_2TH3CpLiAR8LxMDEq,8714603Eq,new_entry,,,"","As of March 23 2020, per the government’s order, educational institutions including schools, colleges, tuition and training centres and all international and domestic flights remained prohibited.      “The Cabinet meeting on Wednesday decided to issue an order as per the Infectious Disease Act 2020 to ease the ongoing lockdown,” said Yubaraj Khatiwada, minister for finance and Communication and Information Technology.",2020-03-20,2020-03-20,,The policy’s end date is unknown or unreported,Nepal,NPL,NP,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",Yes,Nepal,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2VPxrLixtFZANFk,https://web.archive.org/web/20200525215040/https://np.usembassy.gov/health-alert-u-s-embassy-kathmandu-nepal/,OxCGRT,OXCGRT_Nepal_20200612_school,2023-07-24,2023-07-24T19:51:26Z,1,0,1,17,546,0.018,,,,,,112,35.1,2,-0.824784338474274,0.563846170902252,11,31,27627124,21527164664.5563,8.22349948844897,17.1343086017244,23.7925814473401,2,0,-0.953856958459152,-0.414360744223568,509471
R_2TH3CpLiAR8LxMDEr,8714603Er,new_entry,,,"","As of March 23 2020, per the government’s order, educational institutions including schools, colleges, tuition and training centres and all international and domestic flights remained prohibited.      “The Cabinet meeting on Wednesday decided to issue an order as per the Infectious Disease Act 2020 to ease the ongoing lockdown,” said Yubaraj Khatiwada, minister for finance and Communication and Information Technology.",2020-03-20,2020-03-20,,The policy’s end date is unknown or unreported,Nepal,NPL,NP,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",Yes,Nepal,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2VPxrLixtFZANFk,https://web.archive.org/web/20200525215040/https://np.usembassy.gov/health-alert-u-s-embassy-kathmandu-nepal/,OxCGRT,OXCGRT_Nepal_20200612_school,2023-07-24,2023-07-24T19:51:26Z,1,0,1,17,546,0.018,,,,,,112,35.1,2,-0.824784338474274,0.563846170902252,11,31,27627124,21527164664.5563,8.22349948844897,17.1343086017244,23.7925814473401,2,0,-0.953856958459152,-0.414360744223568,509471
R_2TH3CpLiAR8LxMDGc,8714603Gc,new_entry,,,"","As of March 23 2020, per the government’s order, educational institutions including schools, colleges, tuition and training centres and all international and domestic flights remained prohibited.      “The Cabinet meeting on Wednesday decided to issue an order as per the Infectious Disease Act 2020 to ease the ongoing lockdown,” said Yubaraj Khatiwada, minister for finance and Communication and Information Technology.",2020-03-20,2020-03-20,,The policy’s end date is unknown or unreported,Nepal,NPL,NP,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",Yes,Nepal,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2VPxrLixtFZANFk,https://web.archive.org/web/20200525215040/https://np.usembassy.gov/health-alert-u-s-embassy-kathmandu-nepal/,OxCGRT,OXCGRT_Nepal_20200612_school,2023-07-24,2023-07-24T19:51:26Z,1,0,1,17,546,0.018,,,,,,112,35.1,2,-0.824784338474274,0.563846170902252,11,31,27627124,21527164664.5563,8.22349948844897,17.1343086017244,23.7925814473401,2,0,-0.953856958459152,-0.414360744223568,509471
R_2TH3CpLiAR8LxMDCf,8714603Cf,new_entry,,,"","As of March 23 2020, per the government’s order, educational institutions including schools, colleges, tuition and training centres and all international and domestic flights remained prohibited.      “The Cabinet meeting on Wednesday decided to issue an order as per the Infectious Disease Act 2020 to ease the ongoing lockdown,” said Yubaraj Khatiwada, minister for finance and Communication and Information Technology.",2020-03-20,2020-03-20,,The policy’s end date is unknown or unreported,Nepal,NPL,NP,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",Yes,Nepal,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2VPxrLixtFZANFk,https://web.archive.org/web/20200525215040/https://np.usembassy.gov/health-alert-u-s-embassy-kathmandu-nepal/,OxCGRT,OXCGRT_Nepal_20200612_school,2023-07-24,2023-07-24T19:51:26Z,1,0,1,17,546,0.018,,,,,,112,35.1,2,-0.824784338474274,0.563846170902252,11,31,27627124,21527164664.5563,8.22349948844897,17.1343086017244,23.7925814473401,2,0,-0.953856958459152,-0.414360744223568,509471
R_w617uJ3j2iWbIfnEq,5846320Eq,update,Change of Policy,Strengthening,timing of policy strengthening,"On March 18 2020, the Nepali government decided to close all schools, colleges and universities until April 12. The government then extended the closure until April 30 UPDATE: School closures were set to last until April 12, it has been extended to April 30",2020-03-18,2020-04-12,2020-04-30,The policy has a clear end date,Nepal,NPL,NP,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,Nepal,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Voluntary/Recommended but No Penalties,National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3HTWwvkj6B6ps15 ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1QGeV8IWVPeBP00,NA ; https://www.aa.com.tr/en/asia-pacific/covid-19-nepal-expands-travel-ban-to-europe-mideast/1770580,CoronaNet (original),,2020-06-10,2020-06-10T18:38:08Z,12,0,1,758,5184,0.173,,,,,,112,35.1,2,-0.824784338474274,0.563846170902252,11,31,27627124,21527164664.5563,8.22349948844897,17.1343086017244,23.7925814473401,2,0,-0.953856958459152,-0.414360744223568,509471
R_w617uJ3j2iWbIfnEr,5846320Er,update,Change of Policy,Strengthening,timing of policy strengthening,"On March 18 2020, the Nepali government decided to close all schools, colleges and universities until April 12. The government then extended the closure until April 30 UPDATE: School closures were set to last until April 12, it has been extended to April 30",2020-03-18,2020-04-12,2020-04-30,The policy has a clear end date,Nepal,NPL,NP,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,Nepal,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Voluntary/Recommended but No Penalties,National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3HTWwvkj6B6ps15 ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1QGeV8IWVPeBP00,NA ; https://www.aa.com.tr/en/asia-pacific/covid-19-nepal-expands-travel-ban-to-europe-mideast/1770580,CoronaNet (original),,2020-06-10,2020-06-10T18:38:08Z,12,0,1,758,5184,0.173,,,,,,112,35.1,2,-0.824784338474274,0.563846170902252,11,31,27627124,21527164664.5563,8.22349948844897,17.1343086017244,23.7925814473401,2,0,-0.953856958459152,-0.414360744223568,509471
R_w617uJ3j2iWbIfnGc,5846320Gc,update,Change of Policy,Strengthening,timing of policy strengthening,"On March 18 2020, the Nepali government decided to close all schools, colleges and universities until April 12. The government then extended the closure until April 30 UPDATE: School closures were set to last until April 12, it has been extended to April 30",2020-03-18,2020-04-12,2020-04-30,The policy has a clear end date,Nepal,NPL,NP,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,,"",,Nepal,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Voluntary/Recommended but No Penalties,National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3HTWwvkj6B6ps15 ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1QGeV8IWVPeBP00,NA ; https://www.aa.com.tr/en/asia-pacific/covid-19-nepal-expands-travel-ban-to-europe-mideast/1770580,CoronaNet (original),,2020-06-10,2020-06-10T18:38:08Z,12,0,1,758,5184,0.173,,,,,,112,35.1,2,-0.824784338474274,0.563846170902252,11,31,27627124,21527164664.5563,8.22349948844897,17.1343086017244,23.7925814473401,2,0,-0.953856958459152,-0.414360744223568,509471
R_w617uJ3j2iWbIfnCf,5846320Cf,update,Change of Policy,Strengthening,timing of policy strengthening,"On March 18 2020, the Nepali government decided to close all schools, colleges and universities until April 12. The government then extended the closure until April 30 UPDATE: School closures were set to last until April 12, it has been extended to April 30",2020-03-18,2020-04-12,2020-04-30,The policy has a clear end date,Nepal,NPL,NP,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,,"",,Nepal,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Voluntary/Recommended but No Penalties,National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3HTWwvkj6B6ps15 ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1QGeV8IWVPeBP00,NA ; https://www.aa.com.tr/en/asia-pacific/covid-19-nepal-expands-travel-ban-to-europe-mideast/1770580,CoronaNet (original),,2020-06-10,2020-06-10T18:38:08Z,12,0,1,758,5184,0.173,,,,,,112,35.1,2,-0.824784338474274,0.563846170902252,11,31,27627124,21527164664.5563,8.22349948844897,17.1343086017244,23.7925814473401,2,0,-0.953856958459152,-0.414360744223568,509471
R_5hwlS6sHKobpoK5Gc,2508169Gc,new_entry,,,"","To prevent the spread of COVID-19 through the school education system, on 18 March 2020 Ministry of Education, Science and Technology issued a directive suspending the Grade 10 Secondary Education Exams (SEE), which were scheduled to begin on 19 March 2020 and ongoing and upcoming CTEVT and university exams until further notice.",2020-03-18,2020-05-19,2023-10-06,The policy has an unlimited time span (e.g. recommendation to wash one's hands; passing of a legal bill),Nepal,NPL,NP,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",Yes,Nepal,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Ministry/Department of Education,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2Pzeb1WOWv22hLz,https://www.doe.gov.np/assets/uploads/files/54ba4942574885a514869a72a6b456cd.pdf,CoronaNet (original),,2021-05-13,2021-05-13T09:12:37Z,402,2,37,2282,33006,1.099,,,,,,112,35.1,2,-0.824784338474274,0.563846170902252,11,31,27627124,21527164664.5563,8.22349948844897,17.1343086017244,23.7925814473401,2,0,-0.953856958459152,-0.414360744223568,509471
