record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,pdf_link,link,collab,collab_id,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,muni_IDC,dispersive_IDC,constraining_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS
R_xl3bYOQlEZS2PTzBe,7552320,new_entry,,,"","September 14, 2020: With Bulletin N. 262, the Italian Ministry of Health announced that the Italian Minister of Health, Roberto Speranza, has attended the 70th session of the WHO Regional Committee for Europe (RC70), organised by the WHO Regional Office for Europe, on September 14 and 15, 2020. Representatives of 53 countries in the WHO European Region have attended. Representatives of WHO partners such as United Nations agencies and other intergovernmental organisations and regional networks, were also present. Non-State actors (NSAs) in official relations with WHO and regional NSAs accredited by the Regional Committee, have followed the webstream and had the opportunity to submit video and written statements in advance. The key health issues and future plans have been discussed, particularly on themes regarding the response to the COVID-19 pandemic and lessons learned from the pandemic, both globally and regionally.",2020-09-14,2020-09-14,2020-09-15,The policy has a clear end date,"Albania,Andorra,Armenia,Austria,Azerbaijan,Belarus,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Cyprus,Czechia,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,Hungary,Iceland,Ireland,Israel,Italy,Kazakhstan,Kyrgyzstan,Latvia,Lithuania,Luxembourg,Malta,Moldova,Monaco,Montenegro,Netherlands,North Macedonia,Norway,Poland,Portugal,Romania,Russia,San Marino,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,Tajikistan,Turkey,Turkmenistan,Ukraine,United Kingdom,Uzbekistan",,,National,1,,,,"New Task Force, Bureau or Administrative Configuration",Cooperation among different jurisdictional entities (e.g. treaties or agreements among countries or provinces),Sharing information,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Italy,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Ministry/Department of Health,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_SNuQoepgbNRNX0t,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioComunicatiNuovoCoronavirus.jsp?lingua=italiano&menu=salastampa&p=comunicatistampa&id=5646 ; https://www.euro.who.int/en/about-us/governance/regional-committee-for-europe/70th-session/on-the-agenda,CoronaNet (original),,2021-04-11,2021-04-11T10:32:02Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1LUMHChPSjPtwZ5Be,141874,new_entry,,,"","On April 7, New Zealand government announced the country will enter into transit arrangements with a range of countries to make it easier for each other’s citizens to get home.",2020-04-07,2020-04-07,,The policy’s end date is unknown or unreported,"Argentina,Austria,Belgium,Brazil,Bulgaria,Canada,China,Croatia,Czechia,Denmark,Ecuador,Finland,France,Germany,Italy,Japan,Malaysia,Mexico,Netherlands,North Macedonia,Norway,Philippines,Poland,Qatar,Singapore,Slovakia,Slovenia,South Korea,Spain,Sweden,Switzerland,United Kingdom,United States,Uruguay",,,National,1,,,,"New Task Force, Bureau or Administrative Configuration",Cooperation among different jurisdictional entities (e.g. treaties or agreements among countries or provinces),,"",,,,,,"","","","","","","","","","","",,,,"",No,"Argentina,Australia,Austria,Belgium,Brazil,Bulgaria,Canada,China,Croatia,Czechia,Denmark,Ecuador,Finland,France,Germany,Italy,Japan,Malaysia,Mexico,Netherlands,North Macedonia,Norway,Philippines,Poland,Qatar,Singapore,Slovakia,Slovenia,South Korea,Spain,Sweden,Switzerland,United Kingdom,United States,Uruguay","One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1K88XO2d5rw6LMP,https://www.immigration.govt.nz/about-us/covid-19/coronavirus-update-inz-response,CoronaNet (original),,2022-07-11,2022-07-11T23:59:59Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3nINd96ZhmyVuxrBe,4354185,new_entry,,,"","March 11, 2020: With Bulletin N. 107, the Italian Ministry of Health announced that the Italian Minister of Health participated in a meeting with Health Ministers of other European countries including Austria, Denmark, France, Germany, The Netherlands, Poland, Spain, Sweden, Switzerland and UK. During the conference call, each State provided an update on the local epidemiological situation and outlined the measures adopted to fight the COVID-19 emergency.",2020-03-11,2020-03-11,2020-03-11,The policy has a clear end date,"Austria,Denmark,France,Germany,Italy,Netherlands,Poland,Spain,Sweden,Switzerland,United Kingdom",,,National,1,,,,"New Task Force, Bureau or Administrative Configuration",Cooperation among different jurisdictional entities (e.g. treaties or agreements among countries or provinces),Sharing information,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Italy,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Ministry/Department of Health,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3nkBTBHXBQrj0bo,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioComunicatiNuovoCoronavirus.jsp?lingua=italiano&menu=salastampa&p=comunicatistampa&id=5476,CoronaNet (original),,2021-04-22,2021-04-22T15:23:53Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_yOAKZhzikhmoIy5Be,4313212,new_entry,,,"","December 15, 2020: With Bulletin N. 317, the Italian Ministry of Health announced that the Italian Minister of Health attended a meeting with other European States including Belgium, France, Germany, Luxembourg, The Netherlands, Spain and Switzerland. The aim of the meeting was to discuss the vaccination campaign and the need to coordinate efforts for the safe and efficient use of the COVID-19 vaccine. During the meeting, the Ministers agreed to promote the coordination of the vaccination campaign and the rapid sharing of information between national and international authorities. Furthermore, they agreed on a fast sharing of information and experiences in the field of pharmacovigilance. The Ministers also committed to fight disinformation and fake news over the vaccination campaign. Finally, the Health Ministers agreed on the need to ensure a clear and transparent communication to the population about vaccines.",2020-12-15,2020-12-15,2020-12-15,The policy has a clear end date,"Belgium,France,Germany,Italy,Luxembourg,Netherlands,Spain,Switzerland",,,National,1,,,,"New Task Force, Bureau or Administrative Configuration",Cooperation among different jurisdictional entities (e.g. treaties or agreements among countries or provinces),Sharing information,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Italy,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Ministry/Department of Health,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2QETIXeKnDIIlO7,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioComunicatiNuovoCoronavirus.jsp?lingua=italiano&menu=salastampa&p=comunicatistampa&id=5707,CoronaNet (original),,2021-04-19,2021-04-19T16:26:49Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2CHSjVDFQFLQ27ABe,2198969,new_entry,,,"","The Central Commission for the navigation of the Rhine CCNR (Switzerland, France, Germany, Netherlands, Belgium) ""has taken exceptional measures in relation to the COVID-19 pandemic to ensure a good performance of Rhine navigation and that the supply chain continues to operate.
The resolution adopted this Monday, 23 March 2020, will come into force immediately. In addition to infrastructure management and the validity of certificates and attestations, this resolution provides for measures ensuring free movement of crew. A crew member certificate of attestation will be provided in the annex to the resolution."" "" In accordance with the duration of the Governments established duration of the civil emergency, it shall remain in effect until further notice, but not later than September 23, 2020.""",2020-03-23,2020-03-23,2020-09-23,The policy has a clear end date,"Belgium,France,Germany,Netherlands,Switzerland",,,National,1,,,,"New Task Force, Bureau or Administrative Configuration",Cooperation among different jurisdictional entities (e.g. treaties or agreements among countries or provinces),"Sharing information,Sharing human resources (e.g. doctors),Coordinating timing on a policy roll out","",,,,,,"","","","","","","","","","","",,,,"",Yes,,,,,,,,All Residents (Citizen Residents + Foreign Residents),Essential workers (please note their occuption in the text entry where applicable),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Foreign Affairs",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2OUA6cjuLOiHUmH,https://web.archive.org/web/20200529043947/https://www.ccr-zkr.org/files/documents/covid19/pre20_18de_final.pdf ; https://web.archive.org/web/20200529043055/https://www.ccr-zkr.org/files/documents/covid19/pre20_18fr_final.pdf ; https://web.archive.org/web/20200531205153/https://www.ccr-zkr.org/13070000-en.html ; https://www.bzbasel.ch/basel/basel-stadt/fur-die-eu-ist-die-rhein-schifffahrt-systemrelevant-die-schweiz-freuts-ld.1417460,CoronaNet (original),,2023-05-15,2023-05-15T17:27:40Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1q38gEzb7poTlxTBe,7865554,new_entry,,,"","On March 20th, 2020 the government of North Rhine-Westfalia announced a new cross-border task force with the state government of Lower Saxony and the national governments of Belgium and the Netherlands to synchronize crisis management operations. Its first meeting was on the same day (March 20th).",2020-03-20,2020-03-20,,The policy’s end date is unknown or unreported,"Belgium,Germany,Netherlands",,,Provincial,1,North Rhine-Westphalia,DE-NW,,"New Task Force, Bureau or Administrative Configuration",Cooperation among different jurisdictional entities (e.g. treaties or agreements among countries or provinces),"Sharing information,Coordinating timing on a policy roll out","",,,,,,"","","","","","","","","","","",,,,"",Yes,Germany,One or more provinces within one or more countries,,North Rhine-Westphalia,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),"Provincial/State Government,New (COVID-19 specific) Task Force",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_r89IJf05TKVRyz7,https://www.land.nrw/de/pressemitteilung/ministerpraesident-laschet-initiiert-eine-cross-border-task-force-corona,CoronaNet (original),,2021-08-08,2021-08-08T17:59:32Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3KxRgzVoghG9NX6Be,8804247,new_entry,,,"","May 8, 2020: The Government of the Netherlands announced that “the ministers of Home Affairs of Belgium, of Germany, and the Netherlands are working together intensively and continuously to slow down the spread of COVID-19, by keeping in close contact and regularly exchanging critical information, proposals and solutions.” “Bearing in mind the common interest of a controlled exit and recovery, especially in the areas with shared borders, the ministers are determined to come to well-coordinated plans to ensure a successful exit and recovery of both the individual and the combined Member States.”",2020-05-08,2020-05-08,2023-05-30,The policy has an unlimited time span (e.g. recommendation to wash one's hands; passing of a legal bill),"Belgium,Germany,Netherlands",,,National,1,,,,"New Task Force, Bureau or Administrative Configuration",Cooperation among different jurisdictional entities (e.g. treaties or agreements among countries or provinces),Sharing information,"",,,,,,"","","","","","","","","","","",,,,"",Yes,,,,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Justice,Other (Please specify in the text box)",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_12gxSIB8SwAY4xR,https://www.government.nl/latest/news/2020/05/08/statement-netherlands-belgium-and-germany-on-slowing-down-the-spread-of-covid-19,CoronaNet (original),,2022-07-19,2022-07-19T06:34:05Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_23n6MLkAUJEPBaFBe,314989,new_entry,,,"","June 3, 2020: The Italian national news broadcaster RAI announced that the Health Ministers of Italy, Germany, France and The Netherlands have signed an alliance to research and produce a vaccine against COVID-19.",2020-06-03,2020-06-03,2020-06-18,The policy has an imprecise natural end date (e.g. masks will be distributed until they run out),"France,Germany,Italy,Netherlands",,,National,1,,,,"New Task Force, Bureau or Administrative Configuration",Cooperation among different jurisdictional entities (e.g. treaties or agreements among countries or provinces),"Sharing information,Sharing material resources (e.g. masks)","",,,,,,"","","","","","","","","","","",,,,"",Yes,Italy,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Ministry/Department of Health,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_ebW3eZUs9zzj1Rv,https://www.rainews.it/dl/rainews/articoli/Coronavirus-alleanza-Italia-Germania-Francia-e-Olanda-per-vaccino-3245be0e-7bc0-4501-8c12-e29b3e8e8286.html?refresh_ce,CoronaNet (original),,2021-04-10,2021-04-10T13:29:52Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_XodU6d5dx0GiVUZBe,3240830,new_entry,,,"","June 3, 2020: The Government of the Netherlands announced that “France, Germany, Italy and the Netherlands are joining forces in negotiations with potential developers and manufacturers of a coronavirus vaccine. Together, the 4 countries are exploring promising vaccine initiatives and are in discussions with a number of pharmaceutical companies. They intend to have the vaccines manufactured in Europe if possible.” Therefore, the 4 countries have “agreed to form the ‘Inclusive Vaccine Alliance’. According to the alliance, one of the most urgent matters at hand is to accelerate the development process and ensure global access to an effective vaccine.”",2020-06-03,2020-06-03,2020-06-05,The policy is a one-time measure (e.g. publication of guidelines),"France,Germany,Italy,Netherlands",,,National,1,,,,"New Task Force, Bureau or Administrative Configuration",Cooperation among different jurisdictional entities (e.g. treaties or agreements among countries or provinces),"Sharing information,Sharing material resources (e.g. masks)","",,,,,,"","","","","","","","","","","",,,,"",Yes,Netherlands,"One or more countries, but not all countries",,,,,,All (Travelers + Residents),No special population targeted,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3L5WXPuWbIyRo1n,https://www.government.nl/latest/news/2020/06/03/france-germany-italy-and-the-netherlands-working-together-to-find-a-vaccine-for-countries-in-europe-and-beyond,CoronaNet (original),,2022-07-22,2022-07-22T06:16:33Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_Z9SciO2Kct4n0atBe,664116,new_entry,,,"","June 13, 2020: With Bulletin N. 191, the Italian Ministry of Health announced that the Ministers of Health of Italy, Germany, France and The Netherlands, after recently launching the vaccine alliance, signed a contract with AstraZeneca for the supply of 400 million doses of vaccines for the entire European population.",2020-06-13,2020-06-13,2020-06-28,The policy has an imprecise natural end date (e.g. masks will be distributed until they run out),"France,Germany,Italy,Netherlands",,,National,1,,,,"New Task Force, Bureau or Administrative Configuration",Cooperation among different jurisdictional entities (e.g. treaties or agreements among countries or provinces),"Sharing information,Sharing material resources (e.g. masks)","",,,,,,"","","","","","","","","","","",,,,"",Yes,Italy,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Ministry/Department of Health,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1Lgp6nE8eUT7Mkx,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioComunicatiNuovoCoronavirus.jsp?lingua=italiano&menu=salastampa&p=comunicatistampa&id=5572,CoronaNet (original),,2021-04-27,2021-04-27T09:27:50Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
