record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,pdf_link,link,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,muni_IDC,dispersive_IDC,constraining_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS
R_1poigqBURR84cnmNA,408728,new_entry,,,"","In Paraguay, on March 14, 2020, National Liaison Center activates free phone line 154, for attention and consultations to provide information on COVID-19 or to report symptoms, such as dry cough, fever and runny nose.",2020-03-14,2020-03-14,,The policy’s end date is unknown or unreported,Paraguay,PRY,PY,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Paraguay,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Voluntary/Recommended but No Penalties,"National Government,Ministry/Department of Health",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2312iNSzKqZWVzB,https://www.mspbs.gov.py/covid-19-actualizacion.php,2021-07-16,2021-07-16T09:56:32Z,7,0,0,15,54,0.007,,,,,,100,32.9,2,0.961252152919769,0.823284327983856,9,29,6867062,36207104850.3802,4.95805142159847,15.74224691625,24.3125212031055,2,2,0.597955494226369,1.50005723202781,156462
R_30ioYqFfwJexJR1El,5400177El,new_entry,,,"","Paraguay, March 10th, Paraguay suspends educational activities at all levels for 15 days.  
",2020-03-10,2020-03-10,,The policy has a clear end date,Paraguay,PRY,PY,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,Paraguay,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_Q3R3wk9nVdhIIc9 ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_ZdRwzkUmkwJ4IkV,NA ; https://www.mspbs.gov.py/que-esta-haciendo-el-ministerio-de-salud-covid19.html,2020-05-19,2020-05-19T21:06:48Z,5,0,0,,9,0.001,,,,,,100,32.9,2,0.961252152919769,0.823284327983856,9,29,6867062,36207104850.3802,4.95805142159847,15.74224691625,24.3125212031055,2,2,0.597955494226369,1.50005723202781,156462
R_30ioYqFfwJexJR1Em,5400177Em,new_entry,,,"","Paraguay, March 10th, Paraguay suspends educational activities at all levels for 15 days.  
",2020-03-10,2020-03-10,,The policy has a clear end date,Paraguay,PRY,PY,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,Paraguay,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_Q3R3wk9nVdhIIc9 ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_ZdRwzkUmkwJ4IkV,NA ; https://www.mspbs.gov.py/que-esta-haciendo-el-ministerio-de-salud-covid19.html,2020-05-19,2020-05-19T21:06:48Z,5,0,0,,9,0.001,,,,,,100,32.9,2,0.961252152919769,0.823284327983856,9,29,6867062,36207104850.3802,4.95805142159847,15.74224691625,24.3125212031055,2,2,0.597955494226369,1.50005723202781,156462
R_30ioYqFfwJexJR1Fw,5400177Fw,new_entry,,,"","Paraguay, March 10th, Paraguay suspends educational activities at all levels for 15 days.  
",2020-03-10,2020-03-10,,The policy has a clear end date,Paraguay,PRY,PY,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,,"",,Paraguay,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_Q3R3wk9nVdhIIc9 ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_ZdRwzkUmkwJ4IkV,NA ; https://www.mspbs.gov.py/que-esta-haciendo-el-ministerio-de-salud-covid19.html,2020-05-19,2020-05-19T21:06:48Z,5,0,0,,9,0.001,,,,,,100,32.9,2,0.961252152919769,0.823284327983856,9,29,6867062,36207104850.3802,4.95805142159847,15.74224691625,24.3125212031055,2,2,0.597955494226369,1.50005723202781,156462
R_30ioYqFfwJexJR1Ce,5400177Ce,new_entry,,,"","Paraguay, March 10th, Paraguay suspends educational activities at all levels for 15 days.  
",2020-03-10,2020-03-10,,The policy has a clear end date,Paraguay,PRY,PY,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,,"",,Paraguay,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_Q3R3wk9nVdhIIc9 ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_ZdRwzkUmkwJ4IkV,NA ; https://www.mspbs.gov.py/que-esta-haciendo-el-ministerio-de-salud-covid19.html,2020-05-19,2020-05-19T21:06:48Z,5,0,0,,9,0.001,,,,,,100,32.9,2,0.961252152919769,0.823284327983856,9,29,6867062,36207104850.3802,4.95805142159847,15.74224691625,24.3125212031055,2,2,0.597955494226369,1.50005723202781,156462
R_2tyrBKJIOCSAXyrEl,8353867El,new_entry,,,"","On March 24, 2020, the Ministry of Education decided that private and subsidized private educational institutions will have to communicate to them how classes will be conducted during the pandemic.",2020-03-24,2020-03-24,,The policy’s end date is unknown or unreported,Paraguay,PRY,PY,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities allowed to open with conditions,Full remote/distance learning (e.g. All teachers must tele-teach.),Yes,Paraguay,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Education",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_Y3K1qagc8W4LlHH,https://www.mec.gov.py/sigmec/resoluciones/349-2020-PETTA.pdf,2021-07-14,2021-07-14T15:00:31Z,37,3,0,91,525,0.073,,,,,,100,32.9,2,0.961252152919769,0.823284327983856,9,29,6867062,36207104850.3802,4.95805142159847,15.74224691625,24.3125212031055,2,2,0.597955494226369,1.50005723202781,156462
R_2tyrBKJIOCSAXyrEm,8353867Em,new_entry,,,"","On March 24, 2020, the Ministry of Education decided that private and subsidized private educational institutions will have to communicate to them how classes will be conducted during the pandemic.",2020-03-24,2020-03-24,,The policy’s end date is unknown or unreported,Paraguay,PRY,PY,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools allowed to open with conditions,Full remote/distance learning (e.g. All teachers must tele-teach.),Yes,Paraguay,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Education",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_Y3K1qagc8W4LlHH,https://www.mec.gov.py/sigmec/resoluciones/349-2020-PETTA.pdf,2021-07-14,2021-07-14T15:00:31Z,37,3,0,91,525,0.073,,,,,,100,32.9,2,0.961252152919769,0.823284327983856,9,29,6867062,36207104850.3802,4.95805142159847,15.74224691625,24.3125212031055,2,2,0.597955494226369,1.50005723202781,156462
R_2tyrBKJIOCSAXyrFw,8353867Fw,new_entry,,,"","On March 24, 2020, the Ministry of Education decided that private and subsidized private educational institutions will have to communicate to them how classes will be conducted during the pandemic.",2020-03-24,2020-03-24,,The policy’s end date is unknown or unreported,Paraguay,PRY,PY,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools allowed to open with conditions,Full remote/distance learning (e.g. All teachers must tele-teach.),Yes,Paraguay,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Education",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_Y3K1qagc8W4LlHH,https://www.mec.gov.py/sigmec/resoluciones/349-2020-PETTA.pdf,2021-07-14,2021-07-14T15:00:31Z,37,3,0,91,525,0.073,,,,,,100,32.9,2,0.961252152919769,0.823284327983856,9,29,6867062,36207104850.3802,4.95805142159847,15.74224691625,24.3125212031055,2,2,0.597955494226369,1.50005723202781,156462
R_2tyrBKJIOCSAXyrCe,8353867Ce,new_entry,,,"","On March 24, 2020, the Ministry of Education decided that private and subsidized private educational institutions will have to communicate to them how classes will be conducted during the pandemic.",2020-03-24,2020-03-24,,The policy’s end date is unknown or unreported,Paraguay,PRY,PY,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions allowed to open with conditions,Full remote/distance learning (e.g. All teachers must tele-teach.),Yes,Paraguay,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Education",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_Y3K1qagc8W4LlHH,https://www.mec.gov.py/sigmec/resoluciones/349-2020-PETTA.pdf,2021-07-14,2021-07-14T15:00:31Z,37,3,0,91,525,0.073,,,,,,100,32.9,2,0.961252152919769,0.823284327983856,9,29,6867062,36207104850.3802,4.95805142159847,15.74224691625,24.3125212031055,2,2,0.597955494226369,1.50005723202781,156462
R_1gGboiJ2CUgAKdeEl,464347El,new_entry,,,"","Private and subsidized private educational institutions starting on March 24, 2020, can implement and apply technological or digital teaching tools as face-to-face school is still suspended.",2020-03-24,2020-03-24,,The policy’s end date is unknown or unreported,Paraguay,PRY,PY,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities allowed to open with conditions,Full remote/distance learning (e.g. All teachers must tele-teach.),Yes,Paraguay,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Voluntary/Recommended but No Penalties,"National Government,Ministry/Department of Education",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1dz5chmLkd84qTg,https://www.mec.gov.py/sigmec/resoluciones/349-2020-PETTA.pdf,2021-07-16,2021-07-16T13:43:29Z,37,3,0,91,525,0.073,,,,,,100,32.9,2,0.961252152919769,0.823284327983856,9,29,6867062,36207104850.3802,4.95805142159847,15.74224691625,24.3125212031055,2,2,0.597955494226369,1.50005723202781,156462
