record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,pdf_link,link,collab,collab_id,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,muni_IDC,dispersive_IDC,constraining_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS
R_u8RhKkek8fI2ZYBCf,488631Cf,new_entry,,,"","On 12th March 2020, the Ministry of Education of Peru suspended or postponed the beginning of all face-to-face lessons on universities, technical-productive institutes, and higher education centres, both public and private, until 29th March 2020, allowing schools to begin lessons on 30th March 2020.",2020-03-12,2020-03-12,2020-03-29,The policy has a clear end date,Peru,PER,PE,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",Yes,Peru,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Other population not specifed above,,,Mandatory (Unspecified/Implied),"National Government,Other (Please specify in the text box)",49.7584152600768,46.5675483153431,42.230389492839,104,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_0psck3qk5zCXHCF,https://www.gob.pe/institucion/minedu/noticias/108801-minedu-suspende-clases-en-universidades-publicas-y-privadas-para-evitar-propagacion-del-coronavirus,CoronaNet (original),,2020-08-11,2020-08-11T16:11:06Z,15,3,0,,,,,,,,,90,30.9,1,0.199364259839058,-0.607978701591492,6,37,31444297,198548455312.494,2.51883544233135,17.2637281892144,26.014299014652,2,1,0.578433350307843,1.89891635937656,154774
R_24jbPPVhhPlFX2cCf,488631Cf,update,Change of Policy,Strengthening,timing of policy strengthening,"On 12th March 2020, the Ministry of Education of Peru suspended or postponed the beginning of all face-to-face lessons on universities, technical-productive institutes, and higher education centres, both public and private, until 29th March 2020, allowing schools to begin lessons on 30th March 2020.
On 31st March 2020, it was officially extended until 3rd May 2020. UPDATE: The initial duration of the closure of universities and higher education institutions was until March 30th, it has been extended to May 3rd 2020. UPDATE: The initial duration of the closure of universities and higher education institutions was until March 30th, it has been extended to May 3rd 2020.",2020-03-12,2020-03-31,2020-05-03,The policy has a clear end date,Peru,PER,PE,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",Yes,Peru,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Other population not specifed above,,,Mandatory (Unspecified/Implied),"National Government,Other (Please specify in the text box)",78.6878830724434,75.6929021479358,72.539081215933,124,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_0psck3qk5zCXHCF ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2tbZYsL50lWdY51,NA,CoronaNet (original),,2021-01-17,2021-01-17T19:44:08Z,1065,138,394,,,,,,,,,90,30.9,1,0.199364259839058,-0.607978701591492,6,37,31444297,198548455312.494,2.51883544233135,17.2637281892144,26.014299014652,2,1,0.578433350307843,1.89891635937656,154774
R_3QDj7DbSS3G2RwBEq,1515481Eq,new_entry,,,"","On March 12, the Peruvian government suspends face-to-face courses in all schools (public and private) with a duration until March 30. 
On April 1, the measure is extended until May 4.",2020-03-12,2020-04-01,2020-04-18,The policy has a clear end date,Peru,PER,PE,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",,Peru,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Military,Provincial/State Government,Municipal Government,Police",78.7270849255217,75.6725952886325,72.2169177298086,123,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3ISPV766o21qKM0,https://gestion.pe/peru/covid-19-minedu-colegios-privados-deben-presentar-plan-de-recuperacion-escolar-noticia/,CoronaNet (original),,2021-01-17,2021-01-17T19:44:08Z,1323,161,394,,,,,,,,,90,30.9,1,0.199364259839058,-0.607978701591492,6,37,31444297,198548455312.494,2.51883544233135,17.2637281892144,26.014299014652,2,1,0.578433350307843,1.89891635937656,154774
R_3QDj7DbSS3G2RwBEr,1515481Er,new_entry,,,"","On March 12, the Peruvian government suspends face-to-face courses in all schools (public and private) with a duration until March 30. 
On April 1, the measure is extended until May 4.",2020-03-12,2020-04-01,2020-04-18,The policy has a clear end date,Peru,PER,PE,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",,Peru,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Military,Provincial/State Government,Municipal Government,Police",78.7270849255217,75.6725952886325,72.2169177298086,123,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3ISPV766o21qKM0,https://gestion.pe/peru/covid-19-minedu-colegios-privados-deben-presentar-plan-de-recuperacion-escolar-noticia/,CoronaNet (original),,2021-01-17,2021-01-17T19:44:08Z,1323,161,394,,,,,,,,,90,30.9,1,0.199364259839058,-0.607978701591492,6,37,31444297,198548455312.494,2.51883544233135,17.2637281892144,26.014299014652,2,1,0.578433350307843,1.89891635937656,154774
R_3QDj7DbSS3G2RwBGb,1515481Gb,new_entry,,,"","On March 12, the Peruvian government suspends face-to-face courses in all schools (public and private) with a duration until March 30. 
On April 1, the measure is extended until May 4.",2020-03-12,2020-04-01,2020-04-18,The policy has a clear end date,Peru,PER,PE,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",,Peru,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Military,Provincial/State Government,Municipal Government,Police",78.7270849255217,75.6725952886325,72.2169177298086,123,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3ISPV766o21qKM0,https://gestion.pe/peru/covid-19-minedu-colegios-privados-deben-presentar-plan-de-recuperacion-escolar-noticia/,CoronaNet (original),,2021-01-17,2021-01-17T19:44:08Z,1323,161,394,,,,,,,,,90,30.9,1,0.199364259839058,-0.607978701591492,6,37,31444297,198548455312.494,2.51883544233135,17.2637281892144,26.014299014652,2,1,0.578433350307843,1.89891635937656,154774
R_pMqkglT1HLLftBLEq,7733161Eq,new_entry,,,"","On April 1 2020, the Peruvian government anounced that this year´s scholar circle (primary/secondary) starts regularly on April 6, but through virtual classes (Strategy ""Aprendo en casa""). On May 4, a gradual return to traditional classroom teaching is planned.",2020-04-01,2020-04-06,2020-05-04,The policy has a clear end date,Peru,PER,PE,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",,Peru,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Provincial/State Government,Municipal Government",79.1687706624826,75.8512741071509,72.4326039953126,118,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_22tAiiQCQZ7vhWw,https://gestion.pe/peru/covid-19-minedu-colegios-privados-deben-presentar-plan-de-recuperacion-escolar-noticia/,CoronaNet (original),,2020-04-03,2020-04-03T10:33:10Z,2561,360,997,,,,,,,,,90,30.9,1,0.199364259839058,-0.607978701591492,6,37,31444297,198548455312.494,2.51883544233135,17.2637281892144,26.014299014652,2,1,0.578433350307843,1.89891635937656,154774
R_pMqkglT1HLLftBLEr,7733161Er,new_entry,,,"","On April 1 2020, the Peruvian government anounced that this year´s scholar circle (primary/secondary) starts regularly on April 6, but through virtual classes (Strategy ""Aprendo en casa""). On May 4, a gradual return to traditional classroom teaching is planned.",2020-04-01,2020-04-06,2020-05-04,The policy has a clear end date,Peru,PER,PE,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",,Peru,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Provincial/State Government,Municipal Government",79.1687706624826,75.8512741071509,72.4326039953126,118,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_22tAiiQCQZ7vhWw,https://gestion.pe/peru/covid-19-minedu-colegios-privados-deben-presentar-plan-de-recuperacion-escolar-noticia/,CoronaNet (original),,2020-04-03,2020-04-03T10:33:10Z,2561,360,997,,,,,,,,,90,30.9,1,0.199364259839058,-0.607978701591492,6,37,31444297,198548455312.494,2.51883544233135,17.2637281892144,26.014299014652,2,1,0.578433350307843,1.89891635937656,154774
R_pMqkglT1HLLftBLGb,7733161Gb,new_entry,,,"","On April 1 2020, the Peruvian government anounced that this year´s scholar circle (primary/secondary) starts regularly on April 6, but through virtual classes (Strategy ""Aprendo en casa""). On May 4, a gradual return to traditional classroom teaching is planned.",2020-04-01,2020-04-06,2020-05-04,The policy has a clear end date,Peru,PER,PE,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",,Peru,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Provincial/State Government,Municipal Government",79.1687706624826,75.8512741071509,72.4326039953126,118,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_22tAiiQCQZ7vhWw,https://gestion.pe/peru/covid-19-minedu-colegios-privados-deben-presentar-plan-de-recuperacion-escolar-noticia/,CoronaNet (original),,2020-04-03,2020-04-03T10:33:10Z,2561,360,997,,,,,,,,,90,30.9,1,0.199364259839058,-0.607978701591492,6,37,31444297,198548455312.494,2.51883544233135,17.2637281892144,26.014299014652,2,1,0.578433350307843,1.89891635937656,154774
R_2rC3XN7t6ZmUfWsEq,2426089Eq,new_entry,,,"","In order to support learning from home during the pandemic, the government of Peru announced on April 16th, 2020 that educational materials, school meals, hygiene kits and other necessary materials have been and will continue to be distributed at the corresponding educational levels. This is especially mainly for schools in areas of greater poverty and less connectivity/accessibility.",2020-04-16,2020-04-16,,The policy’s end date is unknown or unreported,Peru,PER,PE,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",Yes,Peru,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Other population not specifed above,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Education",79.2862473537645,75.7024899575013,72.2809712709518,112,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3EWpxLy9a8sR1ut,https://busquedas.elperuano.pe/normaslegales/decreto-supremo-que-modifica-el-articulo-4-del-decreto-supre-decreto-supremo-n-072-2020-pcm-1865590-6/,CoronaNet (original),,2021-06-16,2021-06-16T18:20:16Z,12491,1333,6120,,121468,3.603,,,,,,90,30.9,1,0.199364259839058,-0.607978701591492,6,37,31444297,198548455312.494,2.51883544233135,17.2637281892144,26.014299014652,2,1,0.578433350307843,1.89891635937656,154774
R_2rC3XN7t6ZmUfWsEr,2426089Er,new_entry,,,"","In order to support learning from home during the pandemic, the government of Peru announced on April 16th, 2020 that educational materials, school meals, hygiene kits and other necessary materials have been and will continue to be distributed at the corresponding educational levels. This is especially mainly for schools in areas of greater poverty and less connectivity/accessibility.",2020-04-16,2020-04-16,,The policy’s end date is unknown or unreported,Peru,PER,PE,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",Yes,Peru,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Other population not specifed above,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Education",79.2862473537645,75.7024899575013,72.2809712709518,112,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3EWpxLy9a8sR1ut,https://busquedas.elperuano.pe/normaslegales/decreto-supremo-que-modifica-el-articulo-4-del-decreto-supre-decreto-supremo-n-072-2020-pcm-1865590-6/,CoronaNet (original),,2021-06-16,2021-06-16T18:20:16Z,12491,1333,6120,,121468,3.603,,,,,,90,30.9,1,0.199364259839058,-0.607978701591492,6,37,31444297,198548455312.494,2.51883544233135,17.2637281892144,26.014299014652,2,1,0.578433350307843,1.89891635937656,154774
