record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,pdf_link,link,collab,collab_id,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,muni_IDC,dispersive_IDC,constraining_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS
R_xl3bYOQlEZS2PTzBe,7552320,new_entry,,,"","September 14, 2020: With Bulletin N. 262, the Italian Ministry of Health announced that the Italian Minister of Health, Roberto Speranza, has attended the 70th session of the WHO Regional Committee for Europe (RC70), organised by the WHO Regional Office for Europe, on September 14 and 15, 2020. Representatives of 53 countries in the WHO European Region have attended. Representatives of WHO partners such as United Nations agencies and other intergovernmental organisations and regional networks, were also present. Non-State actors (NSAs) in official relations with WHO and regional NSAs accredited by the Regional Committee, have followed the webstream and had the opportunity to submit video and written statements in advance. The key health issues and future plans have been discussed, particularly on themes regarding the response to the COVID-19 pandemic and lessons learned from the pandemic, both globally and regionally.",2020-09-14,2020-09-14,2020-09-15,The policy has a clear end date,"Albania,Andorra,Armenia,Austria,Azerbaijan,Belarus,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Cyprus,Czechia,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,Hungary,Iceland,Ireland,Israel,Italy,Kazakhstan,Kyrgyzstan,Latvia,Lithuania,Luxembourg,Malta,Moldova,Monaco,Montenegro,Netherlands,North Macedonia,Norway,Poland,Portugal,Romania,Russia,San Marino,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,Tajikistan,Turkey,Turkmenistan,Ukraine,United Kingdom,Uzbekistan",,,National,1,,,,"New Task Force, Bureau or Administrative Configuration",Cooperation among different jurisdictional entities (e.g. treaties or agreements among countries or provinces),Sharing information,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Italy,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Ministry/Department of Health,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_SNuQoepgbNRNX0t,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioComunicatiNuovoCoronavirus.jsp?lingua=italiano&menu=salastampa&p=comunicatistampa&id=5646 ; https://www.euro.who.int/en/about-us/governance/regional-committee-for-europe/70th-session/on-the-agenda,CoronaNet (original),,2021-04-11,2021-04-11T10:32:02Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_emly1qD5TGguRDrEs,9346157Es,new_entry,,,"",San Marino closes all schools of every kind and grade from February 23rd until March 1.,2020-02-23,2020-02-23,2020-03-01,The policy has a clear end date,San Marino,SMR,SM,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,San Marino,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),"National Government,Ministry/Department of Health,Police",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_33lN32K5IXzYtfR,https://www.gov.sm/dam/jcr:554bf8af-5dc8-4dd1-b3fc-59b45a90a08f/Ordinanza%20Sanita%20n.2-2020-fto.pdf,CoronaNet (original),,2020-09-08,2020-09-08T13:10:27Z,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
R_emly1qD5TGguRDrEt,9346157Et,new_entry,,,"",San Marino closes all schools of every kind and grade from February 23rd until March 1.,2020-02-23,2020-02-23,2020-03-01,The policy has a clear end date,San Marino,SMR,SM,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,San Marino,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),"National Government,Ministry/Department of Health,Police",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_33lN32K5IXzYtfR,https://www.gov.sm/dam/jcr:554bf8af-5dc8-4dd1-b3fc-59b45a90a08f/Ordinanza%20Sanita%20n.2-2020-fto.pdf,CoronaNet (original),,2020-09-08,2020-09-08T13:10:27Z,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
R_emly1qD5TGguRDrGe,9346157Ge,new_entry,,,"",San Marino closes all schools of every kind and grade from February 23rd until March 1.,2020-02-23,2020-02-23,2020-03-01,The policy has a clear end date,San Marino,SMR,SM,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,,"",,San Marino,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),"National Government,Ministry/Department of Health,Police",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_33lN32K5IXzYtfR,https://www.gov.sm/dam/jcr:554bf8af-5dc8-4dd1-b3fc-59b45a90a08f/Ordinanza%20Sanita%20n.2-2020-fto.pdf,CoronaNet (original),,2020-09-08,2020-09-08T13:10:27Z,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
R_emly1qD5TGguRDrCf,9346157Cf,new_entry,,,"",San Marino closes all schools of every kind and grade from February 23rd until March 1.,2020-02-23,2020-02-23,2020-03-01,The policy has a clear end date,San Marino,SMR,SM,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,,"",,San Marino,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),"National Government,Ministry/Department of Health,Police",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_33lN32K5IXzYtfR,https://www.gov.sm/dam/jcr:554bf8af-5dc8-4dd1-b3fc-59b45a90a08f/Ordinanza%20Sanita%20n.2-2020-fto.pdf,CoronaNet (original),,2020-09-08,2020-09-08T13:10:27Z,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
R_3iU9hVFQrL0U4UREs,9346157Es,update,,,"","San Marino extends closure of schools to March 8th. UPDATE: Schools had been closed until March 1st, the closure is extended to March 8th.",2020-03-01,2020-03-01,2020-03-08,The policy has a clear end date,San Marino,SMR,SM,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",,San Marino,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),"Provincial/State Government,Municipal Government,Police",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_9Np71WlaKusspTr,NA,CoronaNet (original),,2020-04-01,2020-04-01T10:32:19Z,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
R_3iU9hVFQrL0U4UREt,9346157Et,update,,,"","San Marino extends closure of schools to March 8th. UPDATE: Schools had been closed until March 1st, the closure is extended to March 8th.",2020-03-01,2020-03-01,2020-03-08,The policy has a clear end date,San Marino,SMR,SM,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",,San Marino,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),"Provincial/State Government,Municipal Government,Police",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_9Np71WlaKusspTr,NA,CoronaNet (original),,2020-04-01,2020-04-01T10:32:19Z,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
R_3iU9hVFQrL0U4URGe,9346157Ge,update,,,"","San Marino extends closure of schools to March 8th. UPDATE: Schools had been closed until March 1st, the closure is extended to March 8th.",2020-03-01,2020-03-01,2020-03-08,The policy has a clear end date,San Marino,SMR,SM,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",,San Marino,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),"Provincial/State Government,Municipal Government,Police",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_9Np71WlaKusspTr,NA,CoronaNet (original),,2020-04-01,2020-04-01T10:32:19Z,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
R_3iU9hVFQrL0U4URCf,9346157Cf,update,,,"","San Marino extends closure of schools to March 8th. UPDATE: Schools had been closed until March 1st, the closure is extended to March 8th.",2020-03-01,2020-03-01,2020-03-08,The policy has a clear end date,San Marino,SMR,SM,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",,San Marino,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),"Provincial/State Government,Municipal Government,Police",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_9Np71WlaKusspTr,NA,CoronaNet (original),,2020-04-01,2020-04-01T10:32:19Z,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
R_1pGQzmJ4cIpfWncEs,9346157Es,update,,,"",San Marino further extends closure of schools until March 15th. UPDATE: Further extension on closure of schools until March 15th.,2020-03-05,2020-03-05,2020-03-15,The policy has a clear end date,San Marino,SMR,SM,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",,San Marino,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),"Municipal Government,Police",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1BVjotSphdfWfro,NA,CoronaNet (original),,2020-04-01,2020-04-01T19:53:29Z,16,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
