record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,pdf_link,link,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,muni_IDC,dispersive_IDC,constraining_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS
R_1dz3ohmHCbcSbw6Em,4572239Em,new_entry,,,"","On January 13, the Saudi Arabian Ministry of Education announced students will continue with distance learning until the end of the tenth week of the second term (approximately end of March).  The continuation applies to general education and university education as well as technical training.",2021-01-13,2021-01-13,2021-03-31,The policy has a clear end date,Saudi Arabia,SAU,SA,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools allowed to open with conditions,"Full remote distance learning,Number of people on the school premises are limited (e.g. only 50 people allowed on school premises),Types of people on school premises are limited (e.g. no parents) ,Regular cleaning and sanitary procedures applied to classrooms (e.g. classrooms must be aired out after each class) ,Physical classroom hours or meeting times reduced (e.g. classes only meet in the morning; classes meet every other day),Special provisions exist for how teaching is done which applies to all teachers",Yes,Saudi Arabia,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Education",54.9819690701463,50.4418680741044,46.0808523438047,112,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1pR46MHznNs1kXf,https://sa.usembassy.gov/u-s-citizen-services/covid-19-information/,2021-01-23,2021-01-23T23:51:45Z,364271,6304,356013,49133,11553474,321.373,,,15349,,427,170,62.1,0,-0.824784338474274,-1.49370527267456,8,49,33099147,684951803048.357,-0.741502651543101,17.3150180696225,27.2526143122199,2,0,-0.577029062402095,-0.515611777471871,10771366
R_1dz3ohmHCbcSbw6Fw,4572239Fw,new_entry,,,"","On January 13, the Saudi Arabian Ministry of Education announced students will continue with distance learning until the end of the tenth week of the second term (approximately end of March).  The continuation applies to general education and university education as well as technical training.",2021-01-13,2021-01-13,2021-03-31,The policy has a clear end date,Saudi Arabia,SAU,SA,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools allowed to open with conditions,Physical classroom hours or meeting times reduced (e.g. classes only meet in the morning; classes meet every other day),Yes,Saudi Arabia,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Education",54.9819690701463,50.4418680741044,46.0808523438047,112,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1pR46MHznNs1kXf,https://sa.usembassy.gov/u-s-citizen-services/covid-19-information/,2021-01-23,2021-01-23T23:51:45Z,364271,6304,356013,49133,11553474,321.373,,,15349,,427,170,62.1,0,-0.824784338474274,-1.49370527267456,8,49,33099147,684951803048.357,-0.741502651543101,17.3150180696225,27.2526143122199,2,0,-0.577029062402095,-0.515611777471871,10771366
R_1dz3ohmHCbcSbw6Ce,4572239Ce,new_entry,,,"","On January 13, the Saudi Arabian Ministry of Education announced students will continue with distance learning until the end of the tenth week of the second term (approximately end of March).  The continuation applies to general education and university education as well as technical training.",2021-01-13,2021-01-13,2021-03-31,The policy has a clear end date,Saudi Arabia,SAU,SA,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions allowed to open with conditions,Full remote distance learning,Yes,Saudi Arabia,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Education",54.9819690701463,50.4418680741044,46.0808523438047,112,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1pR46MHznNs1kXf,https://sa.usembassy.gov/u-s-citizen-services/covid-19-information/,2021-01-23,2021-01-23T23:51:45Z,364271,6304,356013,49133,11553474,321.373,,,15349,,427,170,62.1,0,-0.824784338474274,-1.49370527267456,8,49,33099147,684951803048.357,-0.741502651543101,17.3150180696225,27.2526143122199,2,0,-0.577029062402095,-0.515611777471871,10771366
R_D61N0TencB4Cr8BEl,9774423El,new_entry,,,"","On January 13, the Saudi Arabian Ministry of Education announced students will continue with distance learning until the end of the tenth week of the second term (approximately end of March).
The continuation applies to general education and university education as well as technical training.",2021-01-13,2021-01-13,2021-03-31,The policy has a clear end date,Saudi Arabia,SAU,SA,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities allowed to open with no conditions,"",No,Saudi Arabia,One or more provinces within one or more countries,,,,,,All Residents (Citizen Residents +Foreign Residents),Other population not specifed above,,,Mandatory (Unspecified/Implied),Ministry/Department of Education,54.9819690701463,50.4418680741044,46.0808523438047,112,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2dm5J9fpzCEKj08,https://sa.usembassy.gov/u-s-citizen-services/covid-19-information/,2021-01-30,2021-01-30T22:06:10Z,364271,6304,356013,49133,11553474,321.373,,,15349,,427,170,62.1,0,-0.824784338474274,-1.49370527267456,8,49,33099147,684951803048.357,-0.741502651543101,17.3150180696225,27.2526143122199,2,0,-0.577029062402095,-0.515611777471871,10771366
R_111HnREkihghNU7Fg,8123250,new_entry,,,"","On 26 March G20 leaders, led by the Kingdom of Saudi Arabia, agreed to commit immediate resources to the Gavi Vaccine Alliance and other partners to help tackle the COVID-19 pandemic.",2020-03-26,2020-03-26,2020-03-27,The policy is a one-time measure (e.g. publication of guidelines),Saudi Arabia,SAU,SA,National,0,,,,COVID-19 Vaccines,Resources for research and development of a COVID-19 vaccine,,All Vaccines,,,,,,"","","",500,millions,usd,100,"","","","",,,,"",No,,An international organization (e.g. World Health Organization),,,,COVID-19 Vaccines Global Access (COVAX),,Other,No special population targeted,Inbound/Outbound,Not Applicable,Voluntary/Recommended but No Penalties,National Government,85.0111725914555,82.1728605532591,78.2733877866567,136,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3PBI4GhaUFmRxB8,https://www.gavi.org/news/media-room/saudi-arabia-pledges-us-150-million-gavi-covid-response,2022-01-23,2022-01-23T15:30:20Z,1012,3,33,5673,83751,2.33,,,,,,170,62.1,0,-0.824784338474274,-1.49370527267456,8,49,33099147,684951803048.357,-0.741502651543101,17.3150180696225,27.2526143122199,2,0,-0.577029062402095,-0.515611777471871,10771366
R_x9PtjP7X60qkODTAh,1913111,new_entry,,,"","On December 16th, Saudi Arabia received two shipments of the Pfizer-BioNTech vaccine. A day later, she launched its coronavirus vaccination campaign, the Ministry of Health said.",2020-12-16,2020-12-17,2021-04-16,The policy has an imprecise natural end date (e.g. masks will be distributed until they run out),Saudi Arabia,SAU,SA,National,0,,,,COVID-19 Vaccines,Administering of the vaccine (i.e. giving people the vaccine shot),,Pfizer/BioNTech vaccine (BNT162b2 or Tozinameran),This distribution policy is not about mixing and matching of different vaccines.,,,Certain populations based on demographic characteristics/epidemiological risk given preference for vaccinations,2,No information provided on how much vaccine cost to the individual,Subnational government entity,Special/Temporary COVID-19 vaccination centers,"","","",100,500,thousands,doses,100,,,,"",Yes,Saudi Arabia,"One or more countries, but not all countries",,,,,,,"Priority Group 1: Essential medical workers,People of a certain age,People with certain health conditions; Priority Group 2: Essential medical workers,People of a certain age,People with certain health conditions",,,Voluntary/Recommended but No Penalties,"National Government,Ministry/Department of Health",62.9672418268892,58.6973402088512,54.7116956634519,74,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3OfevYF7Xha1GRd,https://www.aljazeera.com/news/2020/12/17/saudi-arabia-kicks-off-coronavirus-vaccination-campaign,2022-01-23,2022-01-23T15:08:35Z,360516,6091,351365,42448,10572694,294.091,,,,,,170,62.1,0,-0.824784338474274,-1.49370527267456,8,49,33099147,684951803048.357,-0.741502651543101,17.3150180696225,27.2526143122199,2,0,-0.577029062402095,-0.515611777471871,10771366
R_2rPdhFtTZPfXIA9Fg,4802390,new_entry,,,"","The Kingdom of Saudi Arabia has pledged US$ 150 million to Gavi, the Vaccine Alliance to support their response to the COVID-19 pandemic.

The funding comes as part of a US$ 500 million package from the Kingdom of Saudi Arabia to support emergency and preparedness response, developing and deploying new diagnostics, therapeutics and vaccines, fulfilling unmet needs for international surveillance and coordination, and ensuring sufficient supplies of protective equipment for health workers.",2020-04-17,2021-04-17,2021-04-18,The policy is a one-time measure (e.g. publication of guidelines),Saudi Arabia,SAU,SA,National,0,,,,COVID-19 Vaccines,Resources for research and development of a COVID-19 vaccine,,All Vaccines,,,,,,"","","",150,millions,usd,100,"","","","",,,,"",Yes,Saudi Arabia,"One or more countries, but not all countries",,,,,,,No special population targeted,,,Voluntary/Recommended but No Penalties,National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3FOtT1E6l4asuvb,https://www.gavi.org/news/media-room/saudi-arabia-pledges-us-150-million-gavi-covid-response,2022-01-23,2022-01-23T15:23:33Z,404054,6810,387795,51225,16174957,449.924,,6992242,122874,19.45,3418,170,62.1,0,-0.824784338474274,-1.49370527267456,8,49,33099147,684951803048.357,-0.741502651543101,17.3150180696225,27.2526143122199,2,0,-0.577029062402095,-0.515611777471871,10771366
R_27lBFsEMWHL6sqzFa,8889081,new_entry,,,"","On 7 May 2021, the Saudi Ministry of Human Resources and Social Development (“MHRSD“) announced that it would be mandatory for public and private sector workers to be vaccinated by August 1st, 2021, in order to attend the workplace.",2021-05-07,2021-08-01,2022-09-23,The policy has an unlimited time span (e.g. recommendation to wash one's hands; passing of a legal bill),Saudi Arabia,SAU,SA,National,0,,,,COVID-19 Vaccines,Recognition of full vaccination status,,All Vaccines,,,,,,"","","","","","","","","","","",,,,"",Yes,Saudi Arabia,"One or more countries, but not all countries",,,,,,,No special population targeted,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1OovDWAsrzSYEil,https://www.globalcompliancenews.com/2021/09/02/saudi-arabia-mandatory-vaccination-to-attend-the-workplace-16082021/,2022-01-23,2022-01-23T15:41:49Z,526814,8249,507374,98862,25226779,701.711,,27322817,376276,76,10467,170,62.1,0,-0.824784338474274,-1.49370527267456,8,49,33099147,684951803048.357,-0.741502651543101,17.3150180696225,27.2526143122199,2,0,-0.577029062402095,-0.515611777471871,10771366
R_29ijcbzUrnWiYPCNA,4706265,new_entry,,,"","On March 23rd, 2020, Saudi Arabia enforced a partial curfew from 7 P.M. until 6 A.M. for a period of 21 days.",2020-03-22,2020-03-23,2020-04-13,The policy has a clear end date,Saudi Arabia,SAU,SA,National,1,,,,Curfew,,,"",,,,,,"","","","","","","","","","","",,,,"",No,Saudi Arabia,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines,Mandatory with Exceptions (Please list exceptions in the text entry)","National Government,Military,Police",82.4818184262644,78.6815016202191,74.7073490093604,133,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2473hcOMi6BhunF,https://twitter.com/KSAmofaEN/status/1241871472991318017,2020-04-06,2020-04-06T19:12:23Z,562,0,16,7002,67170,1.868,,,,,,170,62.1,0,-0.824784338474274,-1.49370527267456,8,49,33099147,684951803048.357,-0.741502651543101,17.3150180696225,27.2526143122199,2,0,-0.577029062402095,-0.515611777471871,10771366
R_1gusBkZthbY1RjcNA,4706265,update,Change of Policy,Strengthening,timing of policy strengthening,"On March 23rd, 2020, Saudi Arabia enforced a partial curfew from 7 P.M. until 6 A.M. for a period of 21 days. On April 12th, the nationwide curfew was indefinitely extended by the government until further notice. The nationwide curfew would be enforced from 15:00-6:00 daily. Residents nationwide are only permitted to leave their homes for groceries, medical needs, and other essentials from 0600-1500 daily. UPDATE: The original nationwide curfew was set to last for 21 days, but was indefinitely extended on April 12th.",2020-04-11,2020-04-12,2020-06-21,The policy has a clear end date,Saudi Arabia,SAU,SA,National,1,,,,Curfew,,,"",,,,,,"","","","","","","","","","","",,,,"",No,Saudi Arabia,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines,Mandatory with Exceptions (Please list exceptions in the text entry)","National Government,Military,Police",95.3133278547661,93.8324101302551,91.8674846391902,139,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2473hcOMi6BhunF ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2ccL25NUPpSyvwQ,NA ; https://www.worldaware.com/covid-19-alert-saudi-arabia-extends-nationwide-curfew-april-12-until-further-notice,2020-08-12,2020-08-12T14:40:17Z,4462,59,761,7365,204184,5.68,,,,,,170,62.1,0,-0.824784338474274,-1.49370527267456,8,49,33099147,684951803048.357,-0.741502651543101,17.3150180696225,27.2526143122199,2,0,-0.577029062402095,-0.515611777471871,10771366
