record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,pdf_link,link,collab,collab_id,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,muni_IDC,dispersive_IDC,constraining_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS
R_2wBSqxnO6JtgByiEr,1500422Er,new_entry,,,"",Seychelles closes school for 14 days from 16 March 2020 onwards.,2020-03-15,2020-03-16,2020-03-29,The policy has a clear end date,Seychelles,SYC,SC,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,Seychelles,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2e9XovcER8aO1g3,NA,CoronaNet (original),,2020-06-18,2020-06-18T11:23:58Z,8,0,0,,,,,,,,,63,28.6,2,0.480218321084976,0.548431634902954,0,60,95843,1343227007.52147,4.332388098528,11.4704667150297,21.0183407703759,2,2,1.98705272277269,-0.327542997280702,12791
R_2wBSqxnO6JtgByiGc,1500422Gc,new_entry,,,"",Seychelles closes school for 14 days from 16 March 2020 onwards.,2020-03-15,2020-03-16,2020-03-29,The policy has a clear end date,Seychelles,SYC,SC,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,,"",,Seychelles,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2e9XovcER8aO1g3,NA,CoronaNet (original),,2020-06-18,2020-06-18T11:23:58Z,8,0,0,,,,,,,,,63,28.6,2,0.480218321084976,0.548431634902954,0,60,95843,1343227007.52147,4.332388098528,11.4704667150297,21.0183407703759,2,2,1.98705272277269,-0.327542997280702,12791
R_3fBi2dGKu0kZb1uEr,1500422Er,update,Change of Policy,Strengthening,timing of policy strengthening,"Seychelles closes school for 14 days from 16 March 2020 onwards. UPDATE: The original school closure was set to last until March 29 2020, it has been extended until further notice",2020-03-15,2020-03-16,,The policy’s end date is unknown or unreported,Seychelles,SYC,SC,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",,Seychelles,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2e9XovcER8aO1g3 ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2VjUjmvllcqtFBN,NA ; https://web.archive.org/web/20200528193621/http://www.seychellesnewsagency.com/articles/12626/Seychelles+and+COVID-+New+major+measures+travel+banned+for++days%2C+schools+and+daycares+closed%2C+salaries+assured,OxCGRT,OXCGRT_Seychelles_20200323_school,2022-03-14,2022-03-14T14:34:00Z,8,0,0,,,,,,,,,63,28.6,2,0.480218321084976,0.548431634902954,0,60,95843,1343227007.52147,4.332388098528,11.4704667150297,21.0183407703759,2,2,1.98705272277269,-0.327542997280702,12791
R_3fBi2dGKu0kZb1uGc,1500422Gc,update,Change of Policy,Strengthening,timing of policy strengthening,"Seychelles closes school for 14 days from 16 March 2020 onwards. UPDATE: The original school closure was set to last until March 29 2020, it has been extended until further notice",2020-03-15,2020-03-16,,The policy’s end date is unknown or unreported,Seychelles,SYC,SC,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",,Seychelles,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2e9XovcER8aO1g3 ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2VjUjmvllcqtFBN,NA ; https://web.archive.org/web/20200528193621/http://www.seychellesnewsagency.com/articles/12626/Seychelles+and+COVID-+New+major+measures+travel+banned+for++days%2C+schools+and+daycares+closed%2C+salaries+assured,OxCGRT,OXCGRT_Seychelles_20200323_school,2022-03-14,2022-03-14T14:34:00Z,8,0,0,,,,,,,,,63,28.6,2,0.480218321084976,0.548431634902954,0,60,95843,1343227007.52147,4.332388098528,11.4704667150297,21.0183407703759,2,2,1.98705272277269,-0.327542997280702,12791
R_1PZe7rdct2xiTfkEr,1500422Er,update,End of Policy,,"",Seychelles closes school for 14 days from 16 March 2020 onwards. UPDATE: All primary and secondary schools reopen 11 May 2020.,2020-03-15,2020-04-16,2020-03-29,The policy has a clear end date,Seychelles,SYC,SC,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",,Seychelles,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2e9XovcER8aO1g3 ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2sdw54vMv4UBqQD,NA ; http://www.statehouse.gov.sc/news/4826/address-by-president-danny-faure-on-the-easing-of-restrictions-related-to-the-covid-19-situation,OxCGRT,OXCGRT_Seychelles_20200323_school,2020-05-16,2020-05-16T02:13:16Z,11,0,0,,,,,,,,,63,28.6,2,0.480218321084976,0.548431634902954,0,60,95843,1343227007.52147,4.332388098528,11.4704667150297,21.0183407703759,2,2,1.98705272277269,-0.327542997280702,12791
R_1PZe7rdct2xiTfkGc,1500422Gc,update,End of Policy,,"",Seychelles closes school for 14 days from 16 March 2020 onwards. UPDATE: All primary and secondary schools reopen 11 May 2020.,2020-03-15,2020-04-16,2020-03-29,The policy has a clear end date,Seychelles,SYC,SC,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",,Seychelles,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2e9XovcER8aO1g3 ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2sdw54vMv4UBqQD,NA ; http://www.statehouse.gov.sc/news/4826/address-by-president-danny-faure-on-the-easing-of-restrictions-related-to-the-covid-19-situation,OxCGRT,OXCGRT_Seychelles_20200323_school,2020-05-16,2020-05-16T02:13:16Z,11,0,0,,,,,,,,,63,28.6,2,0.480218321084976,0.548431634902954,0,60,95843,1343227007.52147,4.332388098528,11.4704667150297,21.0183407703759,2,2,1.98705272277269,-0.327542997280702,12791
R_2SHatLXS6Z020aAEq,5411647Eq,new_entry,,,"","In Seychelles from 11 May, day-care services, post-secondary institutions, Guy Morel institute and University of Seychelles will reopen.",2020-04-28,2020-05-11,,The policy’s end date is unknown or unreported,Seychelles,SYC,SC,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities allowed to open with no conditions,"",Yes,Seychelles,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3ndzQixfiWz1SLd ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2l841RCHFdlg8ut,NA ; http://www.seychellesnewsagency.com/articles/12813/Seychelles+and+COVID-+Movement+restrictions+to+be+lifted+next+week%3B+schools%2C+daycare+to+reopen+later+in+May,OxCGRT,OXCGRT_Seychelles_20200504_school,2022-03-29,2022-03-29T21:35:00Z,11,0,10,,,,,,,,,63,28.6,2,0.480218321084976,0.548431634902954,0,60,95843,1343227007.52147,4.332388098528,11.4704667150297,21.0183407703759,2,2,1.98705272277269,-0.327542997280702,12791
R_2SHatLXS6Z020aACf,5411647Cf,new_entry,,,"","In Seychelles from 11 May, day-care services, post-secondary institutions, Guy Morel institute and University of Seychelles will reopen.",2020-04-28,2020-05-11,,The policy’s end date is unknown or unreported,Seychelles,SYC,SC,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions allowed to open with no conditions,"",Yes,Seychelles,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3ndzQixfiWz1SLd ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2l841RCHFdlg8ut,NA ; http://www.seychellesnewsagency.com/articles/12813/Seychelles+and+COVID-+Movement+restrictions+to+be+lifted+next+week%3B+schools%2C+daycare+to+reopen+later+in+May,OxCGRT,OXCGRT_Seychelles_20200504_school,2022-03-29,2022-03-29T21:35:00Z,11,0,10,,,,,,,,,63,28.6,2,0.480218321084976,0.548431634902954,0,60,95843,1343227007.52147,4.332388098528,11.4704667150297,21.0183407703759,2,2,1.98705272277269,-0.327542997280702,12791
R_10veKbeTzmC0OR3Er,5278490Er,new_entry,,,"","In Seychelles from 18 May, Primary and Secondary schools will reopen.",2020-04-28,2020-05-11,,The policy’s end date is unknown or unreported,Seychelles,SYC,SC,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools allowed to open with no conditions,"",Yes,Seychelles,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2WAWLycof7oDmLI,http://www.seychellesnewsagency.com/articles/12813/Seychelles+and+COVID-+Movement+restrictions+to+be+lifted+next+week%3B+schools%2C+daycare+to+reopen+later+in+May ; https://web.archive.org/web/20200528193834/https://www.seychellesbookings.com/seychelles-corona,OxCGRT,OXCGRT_Seychelles_20200504_school,2022-03-29,2022-03-29T21:49:24Z,11,0,10,,,,,,,,,63,28.6,2,0.480218321084976,0.548431634902954,0,60,95843,1343227007.52147,4.332388098528,11.4704667150297,21.0183407703759,2,2,1.98705272277269,-0.327542997280702,12791
R_10veKbeTzmC0OR3Gc,5278490Gc,new_entry,,,"","In Seychelles from 18 May, Primary and Secondary schools will reopen.",2020-04-28,2020-05-11,,The policy’s end date is unknown or unreported,Seychelles,SYC,SC,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools allowed to open with no conditions,"",Yes,Seychelles,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2WAWLycof7oDmLI,http://www.seychellesnewsagency.com/articles/12813/Seychelles+and+COVID-+Movement+restrictions+to+be+lifted+next+week%3B+schools%2C+daycare+to+reopen+later+in+May ; https://web.archive.org/web/20200528193834/https://www.seychellesbookings.com/seychelles-corona,OxCGRT,OXCGRT_Seychelles_20200504_school,2022-03-29,2022-03-29T21:49:24Z,11,0,10,,,,,,,,,63,28.6,2,0.480218321084976,0.548431634902954,0,60,95843,1343227007.52147,4.332388098528,11.4704667150297,21.0183407703759,2,2,1.98705272277269,-0.327542997280702,12791
