record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,pdf_link,link,collab,collab_id,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,muni_IDC,dispersive_IDC,constraining_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS
R_dnUPl0OtdU0dHLbNA,8194443,new_entry,,,"","From June 3, South Sudan has indefinitely suspended the issuance of COVID-19 negativity certificates to prevent forgery.",2020-06-03,2020-06-03,,The policy’s end date is unknown or unreported,South Sudan,SSD,SS,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,South Sudan,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),"Ministry/Department of Health,New (COVID-19 specific) Task Force",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3iWi2hrzx9MfxOR,https://reliefweb.int/report/south-sudan/south-sudan-covid-19-update-21-may-05-june-2020,CoronaNet (original),,2022-11-15,2022-11-15T23:59:59Z,994,10,6,,,,,,,,,138,44.4,1,0.453119218349457,-0.0487236380577087,22,12,10910759,7832417783.83885,-10.7933646235582,16.205259924592,22.7815370839387,1,0,-2.36157360390935,-0.314669903238065,844122
R_1KfiPemmkvHYeJ8Er,8390Er,new_entry,,,"","South Sudan has closed all schools and universities for a month, beginning March 20.",2020-03-20,2020-03-20,2020-04-20,The policy has a clear end date,South Sudan,SSD,SS,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",,South Sudan,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_11Yn1eCXAYzesn1,https://radiotamazuj.org/en/news/article/south-sudan-closes-schools-universities-amid-coronavirus-fears,CoronaNet (original),,2020-04-03,2020-04-03T19:14:58Z,0,0,0,,,,,,,,,138,44.4,1,0.453119218349457,-0.0487236380577087,22,12,10910759,7832417783.83885,-10.7933646235582,16.205259924592,22.7815370839387,1,0,-2.36157360390935,-0.314669903238065,844122
R_1KfiPemmkvHYeJ8Gc,8390Gc,new_entry,,,"","South Sudan has closed all schools and universities for a month, beginning March 20.",2020-03-20,2020-03-20,2020-04-20,The policy has a clear end date,South Sudan,SSD,SS,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",,South Sudan,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_11Yn1eCXAYzesn1,https://radiotamazuj.org/en/news/article/south-sudan-closes-schools-universities-amid-coronavirus-fears,CoronaNet (original),,2020-04-03,2020-04-03T19:14:58Z,0,0,0,,,,,,,,,138,44.4,1,0.453119218349457,-0.0487236380577087,22,12,10910759,7832417783.83885,-10.7933646235582,16.205259924592,22.7815370839387,1,0,-2.36157360390935,-0.314669903238065,844122
R_1KfiPemmkvHYeJ8Cf,8390Cf,new_entry,,,"","South Sudan has closed all schools and universities for a month, beginning March 20.",2020-03-20,2020-03-20,2020-04-20,The policy has a clear end date,South Sudan,SSD,SS,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",,South Sudan,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_11Yn1eCXAYzesn1,https://radiotamazuj.org/en/news/article/south-sudan-closes-schools-universities-amid-coronavirus-fears,CoronaNet (original),,2020-04-03,2020-04-03T19:14:58Z,0,0,0,,,,,,,,,138,44.4,1,0.453119218349457,-0.0487236380577087,22,12,10910759,7832417783.83885,-10.7933646235582,16.205259924592,22.7815370839387,1,0,-2.36157360390935,-0.314669903238065,844122
R_6nWuYUIrdXOcR2hEr,1283142Er,new_entry,,,"","Authorities in South Sudan on September 12, 2020, ordered all schools to reopen across the country after nearly six months of closure to help prevent the spread of the novel coronavirus.",2020-09-12,2020-09-12,,The policy’s end date is unknown or unreported,South Sudan,SSD,SS,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools allowed to open with no conditions,"",Yes,South Sudan,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Other population not specifed above,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1HiX0r7JoUJ3TSw,https://www.aa.com.tr/en/africa/south-sudan-to-reopen-schools-after-covid-19-closure/1971324,John Hopkins HIT-COVID dataset,"JHU_6754_nursery_school,6754_primary_school,6754_sec_school,6754_post_school",2023-07-01,2023-07-01T21:44:57Z,2578,49,1290,,,,,,,,,138,44.4,1,0.453119218349457,-0.0487236380577087,22,12,10910759,7832417783.83885,-10.7933646235582,16.205259924592,22.7815370839387,1,0,-2.36157360390935,-0.314669903238065,844122
R_6nWuYUIrdXOcR2hGc,1283142Gc,new_entry,,,"","Authorities in South Sudan on September 12, 2020, ordered all schools to reopen across the country after nearly six months of closure to help prevent the spread of the novel coronavirus.",2020-09-12,2020-09-12,,The policy’s end date is unknown or unreported,South Sudan,SSD,SS,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools allowed to open with no conditions,"",Yes,South Sudan,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Other population not specifed above,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1HiX0r7JoUJ3TSw,https://www.aa.com.tr/en/africa/south-sudan-to-reopen-schools-after-covid-19-closure/1971324,John Hopkins HIT-COVID dataset,"JHU_6754_nursery_school,6754_primary_school,6754_sec_school,6754_post_school",2023-07-01,2023-07-01T21:44:57Z,2578,49,1290,,,,,,,,,138,44.4,1,0.453119218349457,-0.0487236380577087,22,12,10910759,7832417783.83885,-10.7933646235582,16.205259924592,22.7815370839387,1,0,-2.36157360390935,-0.314669903238065,844122
R_6nWuYUIrdXOcR2hCf,1283142Cf,new_entry,,,"","Authorities in South Sudan on September 12, 2020, ordered all schools to reopen across the country after nearly six months of closure to help prevent the spread of the novel coronavirus.",2020-09-12,2020-09-12,,The policy’s end date is unknown or unreported,South Sudan,SSD,SS,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions allowed to open with no conditions,"",Yes,South Sudan,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Other population not specifed above,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1HiX0r7JoUJ3TSw,https://www.aa.com.tr/en/africa/south-sudan-to-reopen-schools-after-covid-19-closure/1971324,John Hopkins HIT-COVID dataset,"JHU_6754_nursery_school,6754_primary_school,6754_sec_school,6754_post_school",2023-07-01,2023-07-01T21:44:57Z,2578,49,1290,,,,,,,,,138,44.4,1,0.453119218349457,-0.0487236380577087,22,12,10910759,7832417783.83885,-10.7933646235582,16.205259924592,22.7815370839387,1,0,-2.36157360390935,-0.314669903238065,844122
R_3h3bQP229lmgjmYEr,8667225Er,new_entry,,,"","On October 29, the government is re-opening schools in South Sudan 
",2020-10-05,2020-10-05,,The policy’s end date is unknown or unreported,South Sudan,SSD,SS,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools allowed to open with conditions,"Regular cleaning and sanitary procedures applied to classrooms (e.g. classrooms must be aired out after each class),Other conditions not listed above (please provide detail in the text entry)",Yes,South Sudan,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),"Students,Teachers",,,Voluntary/Recommended but No Penalties,National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_cA4HF1TghiooGMu,https://en.unesco.org/news/unicef-and-unesco-welcome-decision-reopen-schools-south-sudan,CoronaNet (original),,2022-08-04,2022-08-04T15:14:30Z,2726,50,1290,,30772,2.863,,,,,,138,44.4,1,0.453119218349457,-0.0487236380577087,22,12,10910759,7832417783.83885,-10.7933646235582,16.205259924592,22.7815370839387,1,0,-2.36157360390935,-0.314669903238065,844122
R_3h3bQP229lmgjmYGc,8667225Gc,new_entry,,,"","On October 29, the government is re-opening schools in South Sudan 
",2020-10-05,2020-10-05,,The policy’s end date is unknown or unreported,South Sudan,SSD,SS,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools allowed to open with conditions,"Regular cleaning and sanitary procedures applied to classrooms (e.g. classrooms must be aired out after each class),Other conditions not listed above (please provide detail in the text entry)",Yes,South Sudan,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),"Students,Teachers",,,Voluntary/Recommended but No Penalties,National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_cA4HF1TghiooGMu,https://en.unesco.org/news/unicef-and-unesco-welcome-decision-reopen-schools-south-sudan,CoronaNet (original),,2022-08-04,2022-08-04T15:14:30Z,2726,50,1290,,30772,2.863,,,,,,138,44.4,1,0.453119218349457,-0.0487236380577087,22,12,10910759,7832417783.83885,-10.7933646235582,16.205259924592,22.7815370839387,1,0,-2.36157360390935,-0.314669903238065,844122
R_1i3Ai8xuLX6lbymEr,8667225Er,update,End of Policy,,"","On October 5, the government is re-opening schools in South Sudan under the Phase-1 plan for Primary 8 and Senior 4. UPDATE: There is a closure of all pre-schools, schools, universities and all the other institutions of learning.",2020-10-05,2020-10-05,,The policy’s end date is unknown or unreported,South Sudan,SSD,SS,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools allowed to open with conditions,"Regular cleaning and sanitary procedures applied to classrooms (e.g. classrooms must be aired out after each class),Other conditions not listed above (please provide detail in the text entry)",Yes,South Sudan,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),"Students,Teachers",,,Voluntary/Recommended but No Penalties,National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3NUHHbSD6HUslSQ,https://en.unesco.org/news/unicef-and-unesco-welcome-decision-reopen-schools-south-sudan,CoronaNet (original),,2021-03-23,2021-03-23T16:20:02Z,2726,50,1290,,30772,2.863,,,,,,138,44.4,1,0.453119218349457,-0.0487236380577087,22,12,10910759,7832417783.83885,-10.7933646235582,16.205259924592,22.7815370839387,1,0,-2.36157360390935,-0.314669903238065,844122
