record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,pdf_link,link,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,muni_IDC,dispersive_IDC,constraining_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS
R_xl3bYOQlEZS2PTzBe,7552320,new_entry,,,"","September 14, 2020: With Bulletin N. 262, the Italian Ministry of Health announced that the Italian Minister of Health, Roberto Speranza, has attended the 70th session of the WHO Regional Committee for Europe (RC70), organised by the WHO Regional Office for Europe, on September 14 and 15, 2020. Representatives of 53 countries in the WHO European Region have attended. Representatives of WHO partners such as United Nations agencies and other intergovernmental organisations and regional networks, were also present. Non-State actors (NSAs) in official relations with WHO and regional NSAs accredited by the Regional Committee, have followed the webstream and had the opportunity to submit video and written statements in advance. The key health issues and future plans have been discussed, particularly on themes regarding the response to the COVID-19 pandemic and lessons learned from the pandemic, both globally and regionally.",2020-09-14,2020-09-14,2020-09-15,The policy has a clear end date,"Albania,Andorra,Armenia,Austria,Azerbaijan,Belarus,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Cyprus,Czechia,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,Hungary,Iceland,Ireland,Israel,Italy,Kazakhstan,Kyrgyzstan,Latvia,Lithuania,Luxembourg,Malta,Moldova,Monaco,Montenegro,Netherlands,North Macedonia,Norway,Poland,Portugal,Romania,Russia,San Marino,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,Tajikistan,Turkey,Turkmenistan,Ukraine,United Kingdom,Uzbekistan",,,National,1,,,,"New Task Force, Bureau or Administrative Configuration",Cooperation among different jurisdictional entities (e.g. treaties or agreements among countries or provinces),Sharing information,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Italy,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Ministry/Department of Health,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_SNuQoepgbNRNX0t,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioComunicatiNuovoCoronavirus.jsp?lingua=italiano&menu=salastampa&p=comunicatistampa&id=5646 ; https://www.euro.who.int/en/about-us/governance/regional-committee-for-europe/70th-session/on-the-agenda,2021-04-11,2021-04-11T10:32:02Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1LUMHChPSjPtwZ5Be,141874,new_entry,,,"","On April 7, New Zealand government announced the country will enter into transit arrangements with a range of countries to make it easier for each other’s citizens to get home.",2020-04-07,2020-04-07,,The policy’s end date is unknown or unreported,"Argentina,Austria,Belgium,Brazil,Bulgaria,Canada,China,Croatia,Czechia,Denmark,Ecuador,Finland,France,Germany,Italy,Japan,Malaysia,Mexico,Netherlands,North Macedonia,Norway,Philippines,Poland,Qatar,Singapore,Slovakia,Slovenia,South Korea,Spain,Sweden,Switzerland,United Kingdom,United States,Uruguay",,,National,1,,,,"New Task Force, Bureau or Administrative Configuration",Cooperation among different jurisdictional entities (e.g. treaties or agreements among countries or provinces),,"",,,,,,"","","","","","","","","","","",,,,"",No,"Argentina,Australia,Austria,Belgium,Brazil,Bulgaria,Canada,China,Croatia,Czechia,Denmark,Ecuador,Finland,France,Germany,Italy,Japan,Malaysia,Mexico,Netherlands,North Macedonia,Norway,Philippines,Poland,Qatar,Singapore,Slovakia,Slovenia,South Korea,Spain,Sweden,Switzerland,United Kingdom,United States,Uruguay","One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1K88XO2d5rw6LMP,https://www.immigration.govt.nz/about-us/covid-19/coronavirus-update-inz-response,2022-07-11,2022-07-11T23:59:59Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3nINd96ZhmyVuxrBe,4354185,new_entry,,,"","March 11, 2020: With Bulletin N. 107, the Italian Ministry of Health announced that the Italian Minister of Health participated in a meeting with Health Ministers of other European countries including Austria, Denmark, France, Germany, The Netherlands, Poland, Spain, Sweden, Switzerland and UK. During the conference call, each State provided an update on the local epidemiological situation and outlined the measures adopted to fight the COVID-19 emergency.",2020-03-11,2020-03-11,2020-03-11,The policy has a clear end date,"Austria,Denmark,France,Germany,Italy,Netherlands,Poland,Spain,Sweden,Switzerland,United Kingdom",,,National,1,,,,"New Task Force, Bureau or Administrative Configuration",Cooperation among different jurisdictional entities (e.g. treaties or agreements among countries or provinces),Sharing information,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Italy,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Ministry/Department of Health,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3nkBTBHXBQrj0bo,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioComunicatiNuovoCoronavirus.jsp?lingua=italiano&menu=salastampa&p=comunicatistampa&id=5476,2021-04-22,2021-04-22T15:23:53Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_WfbrFSTrTOnanRvNA,8196541,new_entry,,,"","The Swedish National Board of Health and Welfare have clarified that elderly will not be exempt from ICU care due to age discrimination, debunking a rumour that the Board claims to have been spread by media. This was anounced on April 27th, 2020. The Board clarifies that the law states that the patient(s) with highest chance of survival should be prioritized if the ICU unit doesn't have sufficient capacity, in accordance with Swedish law.",2020-04-27,2020-04-27,2020-04-28,The policy has a clear end date,Sweden,SWE,SE,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Sweden,"One or more countries, but not all countries",,,,,,All (Travelers + Residents),No special population targeted,,,Voluntary/Recommended but No Penalties,Other (Please specify in the text box),61.6116135189874,59.5185101595597,57.3391280108873,26,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_10VsZ3wCyKDcVQ0,https://www.krisinformation.se/en/news/2020/april/age-does-not-determine-the-right-to-healthcare,2020-12-13,2020-12-13T16:56:51Z,19426,2274,0,,,,,,,,,4,9.25,2,0.41813737154007,0.309990167617798,0,85,10183175,589823541463.317,2.22523861239767,16.1362474065114,27.1030892468466,2,2,2.49917945942907,4.66464682875734,2005210
R_1FkoV6rcKwLZlqsNA,3941807,new_entry,,,"","On Apr. 27, 2020, the Swedish National Board of Health and Welfare published an article opposing rumors that elderly people should not be offered intensive care. ""The national principles for prioritizing intensive care stipulate that everyone must have care on equal terms, regardless of age, as has been long established by law""",2020-04-27,2020-04-27,2020-04-28,The policy is a one-time measure (e.g. publication of guidelines),Sweden,SWE,SE,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Sweden,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Ministry/Department of Health,61.6116135189874,59.5185101595597,57.3391280108873,26,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_5jwHIe7oltkyoCt,https://www.krisinformation.se/en/news/2020/april/age-does-not-determine-the-right-to-healthcare,2022-12-07,2022-12-07T22:08:14Z,19426,2274,0,,,,,,,,,4,9.25,2,0.41813737154007,0.309990167617798,0,85,10183175,589823541463.317,2.22523861239767,16.1362474065114,27.1030892468466,2,2,2.49917945942907,4.66464682875734,2005210
R_1DzHR4ErAlPfp8TNA,9292653,new_entry,,,"","On Jun. 8, 2020, the Swedish Food Agency, in collaboration with other authorities published an article stating that it is illegal to claim that dietary supplements and other foods protect against COVID-19.",2020-06-08,2020-06-08,2023-01-24,The policy has an unlimited time span (e.g. recommendation to wash one's hands; passing of a legal bill),Sweden,SWE,SE,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Sweden,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory with Legal Penalties (Jail Time),"National Government,Ministry/Department of Health,Other (Please specify in the text box)",61.4498553459941,59.1207124999106,56.9223640050754,47,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2XjwJgqciSi7X6z,https://web.archive.org/web/20210204083444/https://www.livsmedelsverket.se/om-oss/press/nyheter/pressmeddelanden/olagligt-att-pasta-att-kosttillskott-och-andra-livsmedel-skyddar-mot-covid-19,2022-12-08,2022-12-08T09:14:04Z,45363,4694,0,,,,,,,,,4,9.25,2,0.41813737154007,0.309990167617798,0,85,10183175,589823541463.317,2.22523861239767,16.1362474065114,27.1030892468466,2,2,2.49917945942907,4.66464682875734,2005210
R_Y6n3mc6OMdIPHdnNA,6835065,new_entry,,,"","The Swedish National Board of Health and Welfare has anounced that the media reporting of risky masks distributed by the Board are untrue. The Board points out that the masks have been tested and certified, as well as approved by the Swedish Work Environment Authority.This was anounced on July 10th, 2020.",2020-07-10,2020-07-10,2020-07-11,The policy has a clear end date,Sweden,SWE,SE,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Sweden,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Voluntary/Recommended but No Penalties,Other (Please specify in the text box),58.8046724572389,56.6468528135638,54.2637145888374,59,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1Du89sN3dX1JuHj,https://www.socialstyrelsen.se/om-socialstyrelsen/pressrum/press/inget-hinder-att-anvanda-maskerna-fran-socialstyrelsen/,2020-12-13,2020-12-13T16:51:55Z,72459,5526,0,11869,141868,13.554,,,,,,4,9.25,2,0.41813737154007,0.309990167617798,0,85,10183175,589823541463.317,2.22523861239767,16.1362474065114,27.1030892468466,2,2,2.49917945942907,4.66464682875734,2005210
R_3k7WYoMELkjCMvcNA,135831,new_entry,,,"","On Nov. 10, 2020, the PHA of Sweden announced that everyone in Blekinge County is encouraged to avoid certain types of activities if they are impossible to carry out by physically distancing themselves from other people, such as contact sports, healthcare, or beauty treatments that are not for medical reasons.
",2020-11-10,2020-11-11,2020-11-30,The policy has a clear end date,Sweden,SWE,SE,Provincial,1,Blekinge,SE-K,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Sweden,One or more provinces within one or more countries,,Blekinge,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Voluntary/Recommended but No Penalties,"Ministry/Department of Health,Provincial/State Government",60.9074518145712,58.5255245847255,56.3294454727095,76,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_DHP85uOINw10jbX,https://www.krisinformation.se/en/news/2020/november/skarpta-regionala-rad-i-blekinge,2022-12-08,2022-12-08T11:06:34Z,166707,6082,0,37239,2271938,217.055,,,,,,4,9.25,2,0.41813737154007,0.309990167617798,0,85,10183175,589823541463.317,2.22523861239767,16.1362474065114,27.1030892468466,2,2,2.49917945942907,4.66464682875734,2005210
R_2z7a5WfUO4q95hgCf,9743158Cf,new_entry,,,"","In Sweden, the University and College Council (UHR) decided to cancel the spring university entrance exam, on Mar. 13, 2020.",2020-03-13,2020-03-13,2020-03-14,The policy is a one-time measure (e.g. publication of guidelines),Sweden,SWE,SE,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",Yes,Sweden,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Ministry/Department of Education,45.2498348772858,42.3626671104449,39.1767312621446,69,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3Ht3RquXUSoGzV6,https://www.regeringen.se/regeringens-politik/regeringens-arbete-med-coronapandemin/om-skola-och-utbildning-med-anledning-av-covid-19/sa-arbetar-regeringen-for-att-hogskoleprovet-ska-kunna-genomforas/,2022-06-23,2022-06-23T13:53:23Z,923,3,0,,,,,,,,,4,9.25,2,0.41813737154007,0.309990167617798,0,85,10183175,589823541463.317,2.22523861239767,16.1362474065114,27.1030892468466,2,2,2.49917945942907,4.66464682875734,2005210
R_2uwaLIRhCuQyYBjCf,7204548Cf,new_entry,,,"","In Sweden the University and College Council (UHR) decided to cancel the spring university entrance exam, on Mar. 13, 2020.",2020-03-13,2020-03-13,2020-03-14,The policy is a one-time measure (e.g. publication of guidelines),Sweden,SWE,SE,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",Yes,Sweden,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Ministry/Department of Education,45.2498348772858,42.3626671104449,39.1767312621446,69,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1jeS8AwZkKo5odd,https://www.regeringen.se/regeringens-politik/regeringens-arbete-med-coronapandemin/om-skola-och-utbildning-med-anledning-av-covid-19/sa-arbetar-regeringen-for-att-hogskoleprovet-ska-kunna-genomforas/,2022-06-24,2022-06-24T13:48:13Z,923,3,0,,,,,,,,,4,9.25,2,0.41813737154007,0.309990167617798,0,85,10183175,589823541463.317,2.22523861239767,16.1362474065114,27.1030892468466,2,2,2.49917945942907,4.66464682875734,2005210
R_3nBqi7oOZcrv43HGb,9100133Gb,new_entry,,,"","Sweden announces the closure of High Schools, Universities and Adult Education - with the recommendation of distance education from March 18 2020.",2020-03-17,2020-03-18,2023-01-24,The policy has an unlimited time span (e.g. recommendation to wash one's hands; passing of a legal bill),Sweden,SWE,SE,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,,"",,Sweden,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Voluntary/Recommended but No Penalties,National Government,49.6577611552785,47.1172726721477,44.5524890134283,46,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2xyIiChfes4HrsU,https://www.expressen.se/nyheter/skolorna-stangs-i-sverige-det-galler-for-dig-/,2021-04-01,2021-04-01T13:06:12Z,1410,21,0,,,,,,,,,4,9.25,2,0.41813737154007,0.309990167617798,0,85,10183175,589823541463.317,2.22523861239767,16.1362474065114,27.1030892468466,2,2,2.49917945942907,4.66464682875734,2005210
R_3nBqi7oOZcrv43HCf,9100133Cf,new_entry,,,"","Sweden announces the closure of High Schools, Universities and Adult Education - with the recommendation of distance education from March 18 2020.",2020-03-17,2020-03-18,2023-01-24,The policy has an unlimited time span (e.g. recommendation to wash one's hands; passing of a legal bill),Sweden,SWE,SE,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,,"",,Sweden,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Voluntary/Recommended but No Penalties,National Government,49.6577611552785,47.1172726721477,44.5524890134283,46,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2xyIiChfes4HrsU,https://www.expressen.se/nyheter/skolorna-stangs-i-sverige-det-galler-for-dig-/,2021-04-01,2021-04-01T13:06:12Z,1410,21,0,,,,,,,,,4,9.25,2,0.41813737154007,0.309990167617798,0,85,10183175,589823541463.317,2.22523861239767,16.1362474065114,27.1030892468466,2,2,2.49917945942907,4.66464682875734,2005210
