record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,pdf_link,link,collab,collab_id,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,muni_IDC,dispersive_IDC,constraining_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS
R_3m2UJlrlEHl0Sb3Eq,7988092Eq,new_entry,,,"","The Syrian Government ordered the closure of universities, schools and institutions from March 14 to April 2.",2020-03-14,2020-03-14,2020-04-02,The policy has a clear end date,Syria,SYR,SY,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,Syria,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3kHe60YWpjqkiWk,https://www.al-monitor.com/pulse/originals/2020/03/syria-coronavirus-who-pandemic-denial-cases-detention-camps.html,CoronaNet (original),,2021-06-04,2021-06-04T16:56:02Z,0,0,0,,,,,,,,,174,72.5,1,-0.824784338474274,-0.607978701591492,15,14,17068002,41527452494.0871,1.74655401373543,16.6527160404684,24.4496205513661,1,0,-1.01405542033722,1.77314920803172,871174
R_3m2UJlrlEHl0Sb3Er,7988092Er,new_entry,,,"","The Syrian Government ordered the closure of universities, schools and institutions from March 14 to April 2.",2020-03-14,2020-03-14,2020-04-02,The policy has a clear end date,Syria,SYR,SY,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,Syria,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3kHe60YWpjqkiWk,https://www.al-monitor.com/pulse/originals/2020/03/syria-coronavirus-who-pandemic-denial-cases-detention-camps.html,CoronaNet (original),,2021-06-04,2021-06-04T16:56:02Z,0,0,0,,,,,,,,,174,72.5,1,-0.824784338474274,-0.607978701591492,15,14,17068002,41527452494.0871,1.74655401373543,16.6527160404684,24.4496205513661,1,0,-1.01405542033722,1.77314920803172,871174
R_3m2UJlrlEHl0Sb3Gc,7988092Gc,new_entry,,,"","The Syrian Government ordered the closure of universities, schools and institutions from March 14 to April 2.",2020-03-14,2020-03-14,2020-04-02,The policy has a clear end date,Syria,SYR,SY,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,,"",,Syria,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3kHe60YWpjqkiWk,https://www.al-monitor.com/pulse/originals/2020/03/syria-coronavirus-who-pandemic-denial-cases-detention-camps.html,CoronaNet (original),,2021-06-04,2021-06-04T16:56:02Z,0,0,0,,,,,,,,,174,72.5,1,-0.824784338474274,-0.607978701591492,15,14,17068002,41527452494.0871,1.74655401373543,16.6527160404684,24.4496205513661,1,0,-1.01405542033722,1.77314920803172,871174
R_3m2UJlrlEHl0Sb3Cf,7988092Cf,new_entry,,,"","The Syrian Government ordered the closure of universities, schools and institutions from March 14 to April 2.",2020-03-14,2020-03-14,2020-04-02,The policy has a clear end date,Syria,SYR,SY,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,,"",,Syria,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3kHe60YWpjqkiWk,https://www.al-monitor.com/pulse/originals/2020/03/syria-coronavirus-who-pandemic-denial-cases-detention-camps.html,CoronaNet (original),,2021-06-04,2021-06-04T16:56:02Z,0,0,0,,,,,,,,,174,72.5,1,-0.824784338474274,-0.607978701591492,15,14,17068002,41527452494.0871,1.74655401373543,16.6527160404684,24.4496205513661,1,0,-1.01405542033722,1.77314920803172,871174
R_27k72gQBe5K5k1SEq,7988092Eq,update,Change of Policy,Strengthening,timing of policy strengthening,"The Syrian Government ordered the closure of universities, schools and institutions from March 14 to April 2. UPDATE: Government team decides to expand holiday for universities and higher institutes from April 2nd to April 16th, 2020",2020-03-28,2020-03-28,2020-04-16,The policy has a clear end date,Syria,SYR,SY,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",,Syria,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3kHe60YWpjqkiWk ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_PBbqWdc7dznOXhT,NA ; https://sana.sy/en/?p=189043,CoronaNet (original),,2023-07-25,2023-07-25T20:16:12Z,5,0,0,,,,,,,,,174,72.5,1,-0.824784338474274,-0.607978701591492,15,14,17068002,41527452494.0871,1.74655401373543,16.6527160404684,24.4496205513661,1,0,-1.01405542033722,1.77314920803172,871174
R_27k72gQBe5K5k1SEr,7988092Er,update,Change of Policy,Strengthening,timing of policy strengthening,"The Syrian Government ordered the closure of universities, schools and institutions from March 14 to April 2. UPDATE: Government team decides to expand holiday for universities and higher institutes from April 2nd to April 16th, 2020",2020-03-28,2020-03-28,2020-04-16,The policy has a clear end date,Syria,SYR,SY,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",,Syria,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3kHe60YWpjqkiWk ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_PBbqWdc7dznOXhT,NA ; https://sana.sy/en/?p=189043,CoronaNet (original),,2023-07-25,2023-07-25T20:16:12Z,5,0,0,,,,,,,,,174,72.5,1,-0.824784338474274,-0.607978701591492,15,14,17068002,41527452494.0871,1.74655401373543,16.6527160404684,24.4496205513661,1,0,-1.01405542033722,1.77314920803172,871174
R_27k72gQBe5K5k1SGc,7988092Gc,update,Change of Policy,Strengthening,timing of policy strengthening,"The Syrian Government ordered the closure of universities, schools and institutions from March 14 to April 2. UPDATE: Government team decides to expand holiday for universities and higher institutes from April 2nd to April 16th, 2020",2020-03-28,2020-03-28,2020-04-16,The policy has a clear end date,Syria,SYR,SY,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",,Syria,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3kHe60YWpjqkiWk ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_PBbqWdc7dznOXhT,NA ; https://sana.sy/en/?p=189043,CoronaNet (original),,2023-07-25,2023-07-25T20:16:12Z,5,0,0,,,,,,,,,174,72.5,1,-0.824784338474274,-0.607978701591492,15,14,17068002,41527452494.0871,1.74655401373543,16.6527160404684,24.4496205513661,1,0,-1.01405542033722,1.77314920803172,871174
R_27k72gQBe5K5k1SCf,7988092Cf,update,Change of Policy,Strengthening,timing of policy strengthening,"The Syrian Government ordered the closure of universities, schools and institutions from March 14 to April 2. UPDATE: Government team decides to expand holiday for universities and higher institutes from April 2nd to April 16th, 2020",2020-03-28,2020-03-28,2020-04-16,The policy has a clear end date,Syria,SYR,SY,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",,Syria,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3kHe60YWpjqkiWk ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_PBbqWdc7dznOXhT,NA ; https://sana.sy/en/?p=189043,CoronaNet (original),,2023-07-25,2023-07-25T20:16:12Z,5,0,0,,,,,,,,,174,72.5,1,-0.824784338474274,-0.607978701591492,15,14,17068002,41527452494.0871,1.74655401373543,16.6527160404684,24.4496205513661,1,0,-1.01405542033722,1.77314920803172,871174
R_3062hmAKz7zyY2CEq,7988092Eq,update,Change of Policy,Strengthening,timing of policy strengthening,"The Syrian Government ordered the closure of universities, schools and institutions from March 14 to April 2. UPDATE: Government of Syria extended holidays for students from April 2nd to April 16th; then, from April 16th to May 2nd, 2020.",2020-03-14,2020-04-11,2020-05-02,The policy has a clear end date,Syria,SYR,SY,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",,Syria,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3kHe60YWpjqkiWk ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2Yt966vBFRMlOsm,NA ; https://web.archive.org/web/20200415111425/https://www.sana.sy/?p=1135292,OxCGRT,OXCGRT_Syria_20200413_school,2023-07-25,2023-07-25T20:37:17Z,25,2,5,,,,,,,,,174,72.5,1,-0.824784338474274,-0.607978701591492,15,14,17068002,41527452494.0871,1.74655401373543,16.6527160404684,24.4496205513661,1,0,-1.01405542033722,1.77314920803172,871174
R_3062hmAKz7zyY2CEr,7988092Er,update,Change of Policy,Strengthening,timing of policy strengthening,"The Syrian Government ordered the closure of universities, schools and institutions from March 14 to April 2. UPDATE: Government of Syria extended holidays for students from April 2nd to April 16th; then, from April 16th to May 2nd, 2020.",2020-03-14,2020-04-11,2020-05-02,The policy has a clear end date,Syria,SYR,SY,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",,Syria,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3kHe60YWpjqkiWk ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2Yt966vBFRMlOsm,NA ; https://web.archive.org/web/20200415111425/https://www.sana.sy/?p=1135292,OxCGRT,OXCGRT_Syria_20200413_school,2023-07-25,2023-07-25T20:37:17Z,25,2,5,,,,,,,,,174,72.5,1,-0.824784338474274,-0.607978701591492,15,14,17068002,41527452494.0871,1.74655401373543,16.6527160404684,24.4496205513661,1,0,-1.01405542033722,1.77314920803172,871174
