record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,pdf_link,link,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,muni_IDC,dispersive_IDC,constraining_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS
R_3rGQkxPFvZCXVIENA,815450,new_entry,,,"",In Tanzania IMA World Health has been able to work quickly with Tanzania's Ministry of Health to set up a call center that will provide essential health information about COVID-19 as well as counter misinformation about the coronavirus on March 30.,2020-03-30,2020-03-30,2023-02-07,The policy has an unlimited time span (e.g. recommendation to wash one's hands; passing of a legal bill),Tanzania,TZA,TZ,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",,Tanzania,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3imX7OHMMWsngGk,https://reliefweb.int/report/united-republic-tanzania/ima-world-health-launches-coronavirus-health-information-initiative,2021-11-22,2021-11-22T14:42:30Z,19,0,1,,,,,,,,,124,40.2,0,-0.062896437942981,0.823284327983856,10,36,56318348,52444869125.4334,5.44496763189639,17.8465309369975,24.6830283428937,2,1,0.560217783422674,1.02307969898258,509166
R_33fKypmgj5nUI4PEq,6605799Eq,new_entry,,,"","""On 16 March, 2020, Tanzanian Prime Minister Kassim Majaliwa announced the shutting down of all nursery, primary and secondary schools for 30 days following an outbreak of COVID-19 in Tanzania.""",2020-03-16,2020-03-17,2020-04-15,The policy has a clear end date,Tanzania,TZA,TZ,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,Tanzania,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3paLShxKIrKt7t9,http://www.xinhuanet.com/english/2020-03/17/c_138888678.htm ; https://www.thenewhumanitarian.org/news/2020/03/24/coronavirus-tanzania-africa,2021-02-23,2021-02-23T18:31:20Z,1,0,0,,,,,,,,,124,40.2,0,-0.062896437942981,0.823284327983856,10,36,56318348,52444869125.4334,5.44496763189639,17.8465309369975,24.6830283428937,2,1,0.560217783422674,1.02307969898258,509166
R_33fKypmgj5nUI4PEr,6605799Er,new_entry,,,"","""On 16 March, 2020, Tanzanian Prime Minister Kassim Majaliwa announced the shutting down of all nursery, primary and secondary schools for 30 days following an outbreak of COVID-19 in Tanzania.""",2020-03-16,2020-03-17,2020-04-15,The policy has a clear end date,Tanzania,TZA,TZ,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,Tanzania,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3paLShxKIrKt7t9,http://www.xinhuanet.com/english/2020-03/17/c_138888678.htm ; https://www.thenewhumanitarian.org/news/2020/03/24/coronavirus-tanzania-africa,2021-02-23,2021-02-23T18:31:20Z,1,0,0,,,,,,,,,124,40.2,0,-0.062896437942981,0.823284327983856,10,36,56318348,52444869125.4334,5.44496763189639,17.8465309369975,24.6830283428937,2,1,0.560217783422674,1.02307969898258,509166
R_33fKypmgj5nUI4PGb,6605799Gb,new_entry,,,"","""On 16 March, 2020, Tanzanian Prime Minister Kassim Majaliwa announced the shutting down of all nursery, primary and secondary schools for 30 days following an outbreak of COVID-19 in Tanzania.""",2020-03-16,2020-03-17,2020-04-15,The policy has a clear end date,Tanzania,TZA,TZ,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,,"",,Tanzania,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3paLShxKIrKt7t9,http://www.xinhuanet.com/english/2020-03/17/c_138888678.htm ; https://www.thenewhumanitarian.org/news/2020/03/24/coronavirus-tanzania-africa,2021-02-23,2021-02-23T18:31:20Z,1,0,0,,,,,,,,,124,40.2,0,-0.062896437942981,0.823284327983856,10,36,56318348,52444869125.4334,5.44496763189639,17.8465309369975,24.6830283428937,2,1,0.560217783422674,1.02307969898258,509166
R_33fKypmgj5nUI4PCf,6605799Cf,new_entry,,,"","""On 16 March, 2020, Tanzanian Prime Minister Kassim Majaliwa announced the shutting down of all nursery, primary and secondary schools for 30 days following an outbreak of COVID-19 in Tanzania.""",2020-03-16,2020-03-17,2020-04-15,The policy has a clear end date,Tanzania,TZA,TZ,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,,"",,Tanzania,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3paLShxKIrKt7t9,http://www.xinhuanet.com/english/2020-03/17/c_138888678.htm ; https://www.thenewhumanitarian.org/news/2020/03/24/coronavirus-tanzania-africa,2021-02-23,2021-02-23T18:31:20Z,1,0,0,,,,,,,,,124,40.2,0,-0.062896437942981,0.823284327983856,10,36,56318348,52444869125.4334,5.44496763189639,17.8465309369975,24.6830283428937,2,1,0.560217783422674,1.02307969898258,509166
R_3qmtiOPghSTqqCwEq,3536772Eq,new_entry,,,"",Tanzanian Prime Minister Kassim Majaliwa announced the closure of all schools (extending this to universities the following day) on March 17.,2020-03-17,2020-03-17,,The policy’s end date is unknown or unreported,Tanzania,TZA,TZ,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,Tanzania,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2qfSjYPbQAj4m2O,https://www.thenewhumanitarian.org/news/2020/03/24/coronavirus-tanzania-africa,2021-11-22,2021-11-22T14:44:58Z,1,0,0,,,,,,,,,124,40.2,0,-0.062896437942981,0.823284327983856,10,36,56318348,52444869125.4334,5.44496763189639,17.8465309369975,24.6830283428937,2,1,0.560217783422674,1.02307969898258,509166
R_3qmtiOPghSTqqCwEr,3536772Er,new_entry,,,"",Tanzanian Prime Minister Kassim Majaliwa announced the closure of all schools (extending this to universities the following day) on March 17.,2020-03-17,2020-03-17,,The policy’s end date is unknown or unreported,Tanzania,TZA,TZ,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,Tanzania,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2qfSjYPbQAj4m2O,https://www.thenewhumanitarian.org/news/2020/03/24/coronavirus-tanzania-africa,2021-11-22,2021-11-22T14:44:58Z,1,0,0,,,,,,,,,124,40.2,0,-0.062896437942981,0.823284327983856,10,36,56318348,52444869125.4334,5.44496763189639,17.8465309369975,24.6830283428937,2,1,0.560217783422674,1.02307969898258,509166
R_3qmtiOPghSTqqCwGb,3536772Gb,new_entry,,,"",Tanzanian Prime Minister Kassim Majaliwa announced the closure of all schools (extending this to universities the following day) on March 17.,2020-03-17,2020-03-17,,The policy’s end date is unknown or unreported,Tanzania,TZA,TZ,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,,"",,Tanzania,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2qfSjYPbQAj4m2O,https://www.thenewhumanitarian.org/news/2020/03/24/coronavirus-tanzania-africa,2021-11-22,2021-11-22T14:44:58Z,1,0,0,,,,,,,,,124,40.2,0,-0.062896437942981,0.823284327983856,10,36,56318348,52444869125.4334,5.44496763189639,17.8465309369975,24.6830283428937,2,1,0.560217783422674,1.02307969898258,509166
R_3qmtiOPghSTqqCwCf,3536772Cf,new_entry,,,"",Tanzanian Prime Minister Kassim Majaliwa announced the closure of all schools (extending this to universities the following day) on March 17.,2020-03-17,2020-03-17,,The policy’s end date is unknown or unreported,Tanzania,TZA,TZ,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,,"",,Tanzania,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2qfSjYPbQAj4m2O,https://www.thenewhumanitarian.org/news/2020/03/24/coronavirus-tanzania-africa,2021-11-22,2021-11-22T14:44:58Z,1,0,0,,,,,,,,,124,40.2,0,-0.062896437942981,0.823284327983856,10,36,56318348,52444869125.4334,5.44496763189639,17.8465309369975,24.6830283428937,2,1,0.560217783422674,1.02307969898258,509166
R_295GPTQcNVvg75MCf,5628427Cf,new_entry,,,"","On 20 April, All universities and colleges across Tanzania to be closed.",2020-03-18,2020-04-20,2020-04-20,The policy has a clear end date,Tanzania,TZA,TZ,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,,"",,Tanzania,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Provincial/State Government,Police",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1IoO2c7231npEb0,https://www.youtube.com/watch?v=0YVAnn0lTaI,2020-06-10,2020-06-10T11:12:10Z,254,10,11,,,,,,,,,124,40.2,0,-0.062896437942981,0.823284327983856,10,36,56318348,52444869125.4334,5.44496763189639,17.8465309369975,24.6830283428937,2,1,0.560217783422674,1.02307969898258,509166
