record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,pdf_link,link,collab,collab_id,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,muni_IDC,dispersive_IDC,constraining_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS
R_xl3bYOQlEZS2PTzBe,7552320,new_entry,,,"","September 14, 2020: With Bulletin N. 262, the Italian Ministry of Health announced that the Italian Minister of Health, Roberto Speranza, has attended the 70th session of the WHO Regional Committee for Europe (RC70), organised by the WHO Regional Office for Europe, on September 14 and 15, 2020. Representatives of 53 countries in the WHO European Region have attended. Representatives of WHO partners such as United Nations agencies and other intergovernmental organisations and regional networks, were also present. Non-State actors (NSAs) in official relations with WHO and regional NSAs accredited by the Regional Committee, have followed the webstream and had the opportunity to submit video and written statements in advance. The key health issues and future plans have been discussed, particularly on themes regarding the response to the COVID-19 pandemic and lessons learned from the pandemic, both globally and regionally.",2020-09-14,2020-09-14,2020-09-15,The policy has a clear end date,"Albania,Andorra,Armenia,Austria,Azerbaijan,Belarus,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Cyprus,Czechia,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,Hungary,Iceland,Ireland,Israel,Italy,Kazakhstan,Kyrgyzstan,Latvia,Lithuania,Luxembourg,Malta,Moldova,Monaco,Montenegro,Netherlands,North Macedonia,Norway,Poland,Portugal,Romania,Russia,San Marino,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,Tajikistan,Turkey,Turkmenistan,Ukraine,United Kingdom,Uzbekistan",,,National,1,,,,"New Task Force, Bureau or Administrative Configuration",Cooperation among different jurisdictional entities (e.g. treaties or agreements among countries or provinces),Sharing information,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Italy,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Ministry/Department of Health,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_SNuQoepgbNRNX0t,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioComunicatiNuovoCoronavirus.jsp?lingua=italiano&menu=salastampa&p=comunicatistampa&id=5646 ; https://www.euro.who.int/en/about-us/governance/regional-committee-for-europe/70th-session/on-the-agenda,CoronaNet (original),,2021-04-11,2021-04-11T12:32:02Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_25XALnQU48fAcilBe,6962465,new_entry,,,"","Belarus, on May 14, It is reported that CIS countries will develop joint recommendations for the management of patients with diabetes and COVID-19",2020-05-14,2020-05-14,,The policy’s end date is unknown or unreported,"Armenia,Azerbaijan,Belarus,Kazakhstan,Kyrgyzstan,Moldova,Russia,Tajikistan,Uzbekistan",,,National,1,,,,"New Task Force, Bureau or Administrative Configuration",Cooperation among different jurisdictional entities (e.g. treaties or agreements among countries or provinces),Coordinating timing on a policy roll out,"",,,,,,"","","","","","","","","","","",,,,"",Yes,,,,,,,,All Residents (Citizen Residents + Foreign Residents),People with certain health conditions (please note which health conditions in the text entry),,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_29nUMoNg2C6gMvA,https://www.belta.by/society/view/strany-sng-vyrabotajut-sovmestnye-rekomendatsii-po-vedeniju-patsientov-s-saharnym-diabetom-i-covid-19-390896-2020/,WHO EURO,EURO_1151301_1,2023-05-02,2023-05-02T14:40:42Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_WiVTRjVTkVSaozDNA,1954009,new_entry,,,"","On March 26, 2020, The President of Uzbekistan Shavkat Mirziyoyev signed the Law “On amendments and additions to the Criminal, Criminal Procedure Codes and the Code of Administrative Responsibility”. In accordance with the Law, the dissemination of false information about the spread of quarantine and other infections dangerous to humans in the context of the emergence and spread of quarantine and other infections dangerous to humans is punished:
a fine of up to 200 BEV (44 million 600 thousand soums);
compulsory community service up to 300 hours;
correctional labor up to 2 years.",2020-03-26,2020-03-26,2023-08-08,The policy has an unlimited time span (e.g. recommendation to wash one's hands; passing of a legal bill),Uzbekistan,UZB,UZ,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",,Uzbekistan,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines",National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1lzaqxI4ZdqIwAD,https://uzdaily.uz/en/post/55641,CoronaNet (original),,2021-02-10,2021-02-10T13:42:45Z,75,0,0,,,,,,,,,156,53,1,-0.824784338474274,-0.14891542494297,11,22,32388600,74182176582.1148,4.46153973331471,17.2933170669963,25.029789750477,2,0,-0.014553610629442,-1.53542163191555,1170873
R_1CKg5IEzdefCg7ONA,9868429,new_entry,,,"","According to the news report on April 1, 2020, in Uzbekistan, The Special Commission introduces a hefty fine for concealing information about a person with coronavirus. For concealing information about a person with coronavirus, you can get a fine of up to 11.1 million soums.",2020-04-01,2020-04-01,2023-08-08,The policy has an unlimited time span (e.g. recommendation to wash one's hands; passing of a legal bill),Uzbekistan,UZB,UZ,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",Uzbekistan introduces a hefty fine for concealing information about a person with coronavirus.,,,"",Yes,Uzbekistan,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Fines,Other (Please specify in the text box),https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2VfryLz7frTRoJE,https://podrobno.uz/cat/obchestvo/v-uzbekistane-za-sokrytie-informatsii-o-cheloveke-s-koronavirusom-mozhno-poluchit-shtraf-do-11-1-mil/,CoronaNet (original),,2021-05-08,2021-05-08T08:33:05Z,181,2,12,,,,,,,,,156,53,1,-0.824784338474274,-0.14891542494297,11,22,32388600,74182176582.1148,4.46153973331471,17.2933170669963,25.029789750477,2,0,-0.014553610629442,-1.53542163191555,1170873
R_ve5m5YJaxBXRKFPNA,6652610,new_entry,,,"","As announced on the 5th of August 2021, UNICEF and WHO, in cooperation with the Ministry of Health, launched the Health Buddy+ chatbot, with which you can get reliable information about COVID-19.",2021-08-05,2021-08-05,,The policy’s end date is unknown or unreported,Uzbekistan,UZB,UZ,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Uzbekistan,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Ministry/Department of Health,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2ZNWcFtrJ1syzsw,https://www.gazeta.uz/ru/2021/08/05/health-buddy/,CoronaNet (original),,2022-06-27,2022-06-27T18:36:07Z,133852,910,0,,,,,8666096,190789,25.03,5510,156,53,1,-0.824784338474274,-0.14891542494297,11,22,32388600,74182176582.1148,4.46153973331471,17.2933170669963,25.029789750477,2,0,-0.014553610629442,-1.53542163191555,1170873
R_5heNbZOMYHjilodEr,5255186Er,new_entry,,,"","The Ministry of Health in Uzbekistan asked schools and Universities ""to refrain from holding international forums, academic competitions"" on March 4, 2020.",2020-03-04,2020-03-04,,The policy’s end date is unknown or unreported,Uzbekistan,UZB,UZ,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools allowed to open with conditions,School event cancelled or postponed,,Uzbekistan,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Voluntary/Recommended but No Penalties,"Ministry/Department of Health,New (COVID-19 specific) Task Force",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3KHevS3et4fKrn1,https://advance.lexis.com/api/permalink/bd067768-8bf3-4c28-8323-21e87b7934cc/?context=1516831,CoronaNet (original),,2021-05-07,2021-05-07T11:57:47Z,0,0,0,,,,,,,,,156,53,1,-0.824784338474274,-0.14891542494297,11,22,32388600,74182176582.1148,4.46153973331471,17.2933170669963,25.029789750477,2,0,-0.014553610629442,-1.53542163191555,1170873
R_5heNbZOMYHjilodGc,5255186Gc,new_entry,,,"","The Ministry of Health in Uzbekistan asked schools and Universities ""to refrain from holding international forums, academic competitions"" on March 4, 2020.",2020-03-04,2020-03-04,,The policy’s end date is unknown or unreported,Uzbekistan,UZB,UZ,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools allowed to open with conditions,School event cancelled or postponed,,Uzbekistan,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Voluntary/Recommended but No Penalties,"Ministry/Department of Health,New (COVID-19 specific) Task Force",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3KHevS3et4fKrn1,https://advance.lexis.com/api/permalink/bd067768-8bf3-4c28-8323-21e87b7934cc/?context=1516831,CoronaNet (original),,2021-05-07,2021-05-07T11:57:47Z,0,0,0,,,,,,,,,156,53,1,-0.824784338474274,-0.14891542494297,11,22,32388600,74182176582.1148,4.46153973331471,17.2933170669963,25.029789750477,2,0,-0.014553610629442,-1.53542163191555,1170873
R_5heNbZOMYHjilodCf,5255186Cf,new_entry,,,"","The Ministry of Health in Uzbekistan asked schools and Universities ""to refrain from holding international forums, academic competitions"" on March 4, 2020.",2020-03-04,2020-03-04,,The policy’s end date is unknown or unreported,Uzbekistan,UZB,UZ,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions allowed to open with conditions,School event cancelled or postponed,,Uzbekistan,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Voluntary/Recommended but No Penalties,"Ministry/Department of Health,New (COVID-19 specific) Task Force",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3KHevS3et4fKrn1,https://advance.lexis.com/api/permalink/bd067768-8bf3-4c28-8323-21e87b7934cc/?context=1516831,CoronaNet (original),,2021-05-07,2021-05-07T11:57:47Z,0,0,0,,,,,,,,,156,53,1,-0.824784338474274,-0.14891542494297,11,22,32388600,74182176582.1148,4.46153973331471,17.2933170669963,25.029789750477,2,0,-0.014553610629442,-1.53542163191555,1170873
R_yImNkIZl4AMHAKlEr,5524082Er,new_entry,,,"","According to the news report on March 4, 2020, The Ministry of Health, in Uzbekistan, announced measures for school and university students including the daily measurement of body temperature, monitoring of identified symptoms of acute respiratory infections.",2020-03-04,2020-03-04,,The policy’s end date is unknown or unreported,Uzbekistan,UZB,UZ,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools allowed to open with conditions,Temperature Check,No,Uzbekistan,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Not specified,,,Mandatory (Unspecified/Implied),Ministry/Department of Health,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2s0jZ4H2f0R7jH4,https://advance.lexis.com/api/permalink/4d6513eb-9c1d-4067-8cbb-9ecb23e365b4/?context=1516831,CoronaNet (original),,2021-05-07,2021-05-07T14:13:01Z,0,0,0,,,,,,,,,156,53,1,-0.824784338474274,-0.14891542494297,11,22,32388600,74182176582.1148,4.46153973331471,17.2933170669963,25.029789750477,2,0,-0.014553610629442,-1.53542163191555,1170873
R_yImNkIZl4AMHAKlGc,5524082Gc,new_entry,,,"","According to the news report on March 4, 2020, The Ministry of Health, in Uzbekistan, announced measures for school and university students including the daily measurement of body temperature, monitoring of identified symptoms of acute respiratory infections.",2020-03-04,2020-03-04,,The policy’s end date is unknown or unreported,Uzbekistan,UZB,UZ,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools allowed to open with conditions,Temperature Check,No,Uzbekistan,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Not specified,,,Mandatory (Unspecified/Implied),Ministry/Department of Health,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2s0jZ4H2f0R7jH4,https://advance.lexis.com/api/permalink/4d6513eb-9c1d-4067-8cbb-9ecb23e365b4/?context=1516831,CoronaNet (original),,2021-05-07,2021-05-07T14:13:01Z,0,0,0,,,,,,,,,156,53,1,-0.824784338474274,-0.14891542494297,11,22,32388600,74182176582.1148,4.46153973331471,17.2933170669963,25.029789750477,2,0,-0.014553610629442,-1.53542163191555,1170873
