record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,link,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,state_IDC,muni_IDC,dispersive_IDC,constraining_IDC,inclusive_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,gdppc_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,lngdppc_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS,v2x_polyarchy_VDEM
R_2SqO9eocyYwfH0wNA,7484894,new_entry,correction,,,"On May 8th, The Health Ministry of Brunei urged the public not to discriminate against coronavirus-infected people.",2020-05-08,2020-05-08,,Brunei,BRN,BN,National,1,,,,Anti-Disinformation Measures,,,,Brunei,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,Ministry/Department of Health,57.0226815344075,54.4525601479769,51.961382472633,15,https://thescoop.co/2020/05/01/covid-19-live-updates-3/,2020-12-30,2020-12-30T12:20:47Z,141,1,132,,,,,,,,,156,5372,0,0,-0.82478433,,-0.20141026,,58,423188,13637697103,32226.0959,-0.5668146,12.9555718,23.3361036,10.3805318,2,2,3.375272989,,48459,
R_3O1azVXcWbGkIkMNA,1812963,new_entry,correction,,,"On May 8th, The Brunei Health Ministry advised the public not to be fooled and believe in information and news being disseminated over the Internet or through other media such as  Whatsapp, Twitter, and  Facebook without ascertaining its authenticity.",2020-05-08,2020-05-08,,Brunei,BRN,BN,National,1,,,,Anti-Disinformation Measures,,,,Brunei,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,Ministry/Department of Health,57.0226815344075,54.4525601479769,51.961382472633,15,https://thescoop.co/2020/05/01/covid-19-live-updates-3/,2020-12-30,2020-12-30T12:21:38Z,141,1,132,,,,,,,,,156,5372,0,0,-0.82478433,,-0.20141026,,58,423188,13637697103,32226.0959,-0.5668146,12.9555718,23.3361036,10.3805318,2,2,3.375272989,,48459,
R_2v5NuVvNq8Iq9bXNA,9468971,new_entry,correction,,,"On May 8th, the Brunei Health Ministry informed that whether orally or in writing or by any other means, disseminates false reports, or makes false statements, resulting in disruptive public order is punishable by up to three-year imprisonment and fined up to BND3,000.",2020-05-08,2020-05-08,,Brunei,BRN,BN,National,1,,,,Anti-Disinformation Measures,,,,Brunei,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines",Ministry/Department of Health,57.0226815344075,54.4525601479769,51.961382472633,15,https://thescoop.co/2020/05/01/covid-19-live-updates-3/,2020-12-30,2020-12-30T12:22:43Z,141,1,132,,,,,,,,,156,5372,0,0,-0.82478433,,-0.20141026,,58,423188,13637697103,32226.0959,-0.5668146,12.9555718,23.3361036,10.3805318,2,2,3.375272989,,48459,
R_2ASUMprEgyabm74Ea,1531726Ea,new_entry,original,,,school term break in Brunei is moved up,2020-02-10,2020-03-11,,Brunei,BRN,BN,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Brunei,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Other (Please specify in the text box)",41.3261144764049,38.2242505162358,35.2192253508263,75,https://www.straitstimes.com/asia/se-asia/coronavirus-brunei-reports-5-more-cases-bringing-total-to-six,2020-04-06,2020-04-06T21:41:58Z,11,0,0,,,,,,,,,156,5372,0,0,-0.82478433,,-0.20141026,,58,423188,13637697103,32226.0959,-0.5668146,12.9555718,23.3361036,10.3805318,2,2,3.375272989,,48459,
R_1InI93J6u5x7jt0Ce,4707216Ce,new_entry,correction,,,"On March 13th, Brunei Universities suspend classroom learning",2020-03-13,2020-03-13,,Brunei,BRN,BN,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,,Brunei,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,44.772531874648,41.863191609966,38.9160992169882,67,https://thescoop.co/2020/03/13/covid-19-cases-more-than-double-to-reach-25/,2021-01-05,2021-01-05T11:51:42Z,37,0,0,,,,,,,,,156,5372,0,0,-0.82478433,,-0.20141026,,58,423188,13637697103,32226.0959,-0.5668146,12.9555718,23.3361036,10.3805318,2,2,3.375272989,,48459,
R_57JAJ549auWarHbCe,4707216Ce,update,original,,Strengthening,All Bruneian' schools and universities to move classes online UPDATE: The requirement for university online teaching is now extended to all schools,2020-03-25,2020-03-29,,Brunei,BRN,BN,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Brunei,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,52.9210958486828,50.4012220283752,47.5077470497299,15,https://thescoop.co/2020/03/13/covid-19-live-updates/,2020-04-21,2020-04-21T21:53:22Z,126,1,34,,,,,,,,,156,5372,0,0,-0.82478433,,-0.20141026,,58,423188,13637697103,32226.0959,-0.5668146,12.9555718,23.3361036,10.3805318,2,2,3.375272989,,48459,
R_3NxlsxDe5TGxgkYCe,4707216Ce,update,correction,,Strengthening,"Starting on March 29th, all Bruneian' schools and universities are to move classes online. UPDATE: The requirement for university online teaching is now extended to all schools",2020-03-25,2020-03-29,,Brunei,BRN,BN,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Brunei,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,52.9210958486828,50.4012220283752,47.5077470497299,15,https://thescoop.co/2020/03/13/covid-19-live-updates/,2020-12-03,2020-12-03T11:44:02Z,126,1,34,,,,,,,,,156,5372,0,0,-0.82478433,,-0.20141026,,58,423188,13637697103,32226.0959,-0.5668146,12.9555718,23.3361036,10.3805318,2,2,3.375272989,,48459,
R_T4LleYVkFoey29HFj,9161672Fj,new_entry,original,,,"Brunei will restart in-school learning on June 2 for students who are sitting for public exams. Students in Year 6, 8, 10 Express, 11, 12 and 13 will be the first group to return to schools in the first phase of reopening, while other pupils will continue with online lessons. Teachers will conduct face-to-face learning from June 2-13 in the first phase of school reopening, after which the education ministry will decide whether to expand the number of returning students in the next phase.",2020-05-21,2020-06-02,2020-06-13,Brunei,BRN,BN,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools allowed to open with conditions,Brunei,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Exceptions (Please list exceptions in the text entry),"National Government,Other (Please specify in the text box)",53.5306591583143,51.0373098684661,48.6000211961793,20,https://thescoop.co/2020/05/21/brunei-partially-reopens-schools-on-june-2-as-coronavirus-concerns-ease/,2020-09-24,2020-09-24T13:48:00Z,141,2,138,,,,,,,,,156,5372,0,0,-0.82478433,,-0.20141026,,58,423188,13637697103,32226.0959,-0.5668146,12.9555718,23.3361036,10.3805318,2,2,3.375272989,,48459,
R_T4LleYVkFoey29HCe,9161672Ce,new_entry,original,,,"Brunei will restart in-school learning on June 2 for students who are sitting for public exams. Students in Year 6, 8, 10 Express, 11, 12 and 13 will be the first group to return to schools in the first phase of reopening, while other pupils will continue with online lessons. Teachers will conduct face-to-face learning from June 2-13 in the first phase of school reopening, after which the education ministry will decide whether to expand the number of returning students in the next phase.",2020-05-21,2020-06-02,2020-06-13,Brunei,BRN,BN,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions allowed to open with conditions,Brunei,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Exceptions (Please list exceptions in the text entry),"National Government,Other (Please specify in the text box)",53.5306591583143,51.0373098684661,48.6000211961793,20,https://thescoop.co/2020/05/21/brunei-partially-reopens-schools-on-june-2-as-coronavirus-concerns-ease/,2020-09-24,2020-09-24T13:48:00Z,141,2,138,,,,,,,,,156,5372,0,0,-0.82478433,,-0.20141026,,58,423188,13637697103,32226.0959,-0.5668146,12.9555718,23.3361036,10.3805318,2,2,3.375272989,,48459,
R_2UfnlFa339myNDpDy,4051694Dy,new_entry,original,,,"Nursery, primary students in Brunei return to schools from June 18 in second phase of reopening, with safe distancing measures in place. 
",2020-06-16,2020-06-18,,Brunei,BRN,BN,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities allowed to open with conditions,Brunei,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Other (Please specify in the text box)",53.6478523844689,51.4441291443083,49.0461964897556,29,https://thescoop.co/2020/06/01/covid-19-live-updates-4/,2020-09-24,2020-09-24T15:50:05Z,141,3,138,,,,,,,,,156,5372,0,0,-0.82478433,,-0.20141026,,58,423188,13637697103,32226.0959,-0.5668146,12.9555718,23.3361036,10.3805318,2,2,3.375272989,,48459,
