record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,pdf_link,link,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,muni_IDC,dispersive_IDC,constraining_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS
R_4UtH2Ag5xRIoeFHNA,7898159,new_entry,,,"","Effective March 28, 2020 the Government of Cabo Verde has declared a “State of Emergency” that will remain in place through April 17. The state of emergency will allow the government to enforce social-isolation and social-distancing measures more strictly and oblige non-essential businesses to close.",2020-03-28,2020-03-28,2020-04-17,The policy has a clear end date,Cape Verde,CPV,CV,National,1,,,,Declaration of Emergency,,,"",,,,,,"","","","","","","","","","","",,,,"",,Cabo Verde,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,62.4688143944866,59.3834944166496,56.5760441418355,44,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2TN2KUsfx0X6cv3,https://cv.usembassy.gov/covid-19-information/,2020-04-04,2020-04-04T09:43:36Z,5,1,0,,,,,,,,,25,20.1,1,-0.435670435428619,-0.164329990744591,5,57,543767,2044320991.45055,5.07755082887782,13.2062761252641,21.4383315377853,2,2,1.54537667905169,-0.685171818257238,15664
R_3PiZtlxCuNI7qO5NA,8761244,new_entry,,,"","Republic of Cabo Verde - República de Cabo Verde
- Cabo Verde is and island country

-March 28, 2020: The Government of Cabo Verde has declared a ""State of Emergency"" that will remain in place through April 17. The state of emergency will allow the government to enforce social - isolation and social - distancing measures more strictly and oblige non-essential businesses to close. 
",2020-03-28,2020-03-28,2020-04-17,The policy has a clear end date,Cape Verde,CPV,CV,National,1,,,,Declaration of Emergency,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Cabo Verde,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",62.4688143944866,59.3834944166496,56.5760441418355,44,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1H0hpritacF9Mw0,'-	https://cv.usembassy.gov/covid-19-information/ ; '-	https://www.larepublica.co/especial-covid-19/cabo-verde ; '-	https://caboverdeairlines.com/faqcovid19/ ; '-	http://spanish.xinhuanet.com/2020-03/20/c_138899126.htm ; '-	http://spanish.xinhuanet.com/2020-03/20/c_138899126.htm ; '-	http://www.africafundacion.org/spip.php?article37082,2021-11-30,2021-11-30T10:16:44Z,5,1,0,,,,,,,,,25,20.1,1,-0.435670435428619,-0.164329990744591,5,57,543767,2044320991.45055,5.07755082887782,13.2062761252641,21.4383315377853,2,2,1.54537667905169,-0.685171818257238,15664
R_yl1h6fYVdiAr2uZNA,7898159,update,End of Policy,,"","Effective March 28, 2020 the Government of Cabo Verde has declared a “State of Emergency” that will remain in place through April 17. The state of emergency will allow the government to enforce social-isolation and social-distancing measures more strictly and oblige non-essential businesses to close. UPDATE: The national state of emergency has ended at a national level on April 16th.",2020-03-28,2020-03-28,2020-04-16,The policy has a clear end date,Cape Verde,CPV,CV,National,1,,,,Declaration of Emergency,,,"",,,,,,"","","","","","","","","","","",,,,"",,Cabo Verde,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,62.4688143944866,59.3834944166496,56.5760441418355,44,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2TN2KUsfx0X6cv3 ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_zUOdF4N3kp9F4Ih,NA ; https://cv.usembassy.gov/alert-u-s-embassy-praia-cabo-verde/,2020-05-29,2020-05-29T22:08:39Z,5,1,0,,,,,,,,,25,20.1,1,-0.435670435428619,-0.164329990744591,5,57,543767,2044320991.45055,5.07755082887782,13.2062761252641,21.4383315377853,2,2,1.54537667905169,-0.685171818257238,15664
R_3hiq3VxbAndvgB5Ge,4852234,new_entry,,,"","The Cape Verdean Government has suspended all air connections from Italy for a period of three weeks, until March 20, but which may be extended.",2020-03-02,2020-03-02,2020-03-20,The policy has a clear end date,Cape Verde,CPV,CV,National,0,,,,External Border Restrictions,Total border crossing ban,,"",,,,,,"","","","","","","","","","","",,,,"",No,Italy,"One or more countries, but not all countries",,,,,,All Travelers (Citizen Travelers + Foreign Travelers ),,Inbound,Flights,Mandatory (Unspecified/Implied),National Government,27.7113086990418,22.858022221878,18.0306347218263,57,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_8vRJ2HCnz4w7niN,https://jornaleconomico.sapo.pt/en/news/covid-19-suspected-case-in-cape-verde-was-in-portugal-553737,2020-04-04,2020-04-04T10:20:34Z,0,0,0,,,,,,,,,25,20.1,1,-0.435670435428619,-0.164329990744591,5,57,543767,2044320991.45055,5.07755082887782,13.2062761252641,21.4383315377853,2,2,1.54537667905169,-0.685171818257238,15664
R_2qvINeJbTyM2b9DGh,163130,new_entry,,,"","As of March 19,  the Government of Cabo Verde has suspended commercial passenger flights in and out of Cabo Verde, including flights to Portugal, Senegal, the United States, and other European countries, with limited exceptions for citizens returning home from Cabo Verde and for medical emergencies.  In addition, passengers on board cruise ships and sailboats will not be allowed to disembark.  The government announced that these restrictions will remain in place for three weeks and may be renewed.",2020-03-19,2020-03-19,2020-04-09,The policy has a clear end date,Cape Verde,CPV,CV,National,0,,,,External Border Restrictions,Travel History Form (e.g. documents where traveler has recently been),,"",,,,,,"","","","","","","","","","","",,,,"",No,"Portugal,Senegal,United States,Ukraine,France,Spain,Sweden,Norway,Germany,Finland,Poland,Italy,United Kingdom,Romania,Belarus,Greece,Bulgaria,Iceland,Hungary,Portugal,Austria,Czech Republic,Serbia,Ireland,Lithuania,Latvia,Croatia,Bosnia and Herzegovina,Slovakia,Estonia,Denmark,Switzerland,Netherlands,Moldova,Belgium,Armenia,Albania,Macedonia,Slovenia,Montenegro,Kosovo,Cyprus,Luxembourg,Georgia,Andorra,Malta,Liechtenstein,San Marino,Monaco,Vatican",One or more countries and one or more regional groupings,Europe,,,,,All (Travelers + Residents),,Inbound/Outbound,"Flights,Cruises,Other (please specify)",Mandatory (Unspecified/Implied),National Government,51.6580126692121,48.1798468880724,45.0284011007966,44,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1K222ENPXd3uZ5R,https://cv.usembassy.gov/covid-19-information/,2021-06-04,2021-06-04T11:42:49Z,0,0,0,,,,,,,,,25,20.1,1,-0.435670435428619,-0.164329990744591,5,57,543767,2044320991.45055,5.07755082887782,13.2062761252641,21.4383315377853,2,2,1.54537667905169,-0.685171818257238,15664
R_2sR3dKDS7Myx9EwGe,6714882,new_entry,,,"","As of March 19, non-Cabo Verdean citizens will not be permitted entry for a period of three weeks. This travel restriction will reviewed by the Government of Cabo Verde at the end of this period.",2020-03-19,2020-03-19,2020-04-09,The policy has a clear end date,Cape Verde,CPV,CV,National,0,,,,External Border Restrictions,Total border crossing ban,,"",,,,,,"","","","","","","","","","","",,,,"",No,,All countries,,,,,,All Foreign Nationals (Foreign Residents + Foreign Travelers),,Inbound,All kinds of transport,Mandatory (Unspecified/Implied),National Government,51.6580126692121,48.1798468880724,45.0284011007966,44,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_32M8tX8QAwibYjn,https://cv.usembassy.gov/covid-19-information/,2021-06-04,2021-06-04T11:49:02Z,0,0,0,,,,,,,,,25,20.1,1,-0.435670435428619,-0.164329990744591,5,57,543767,2044320991.45055,5.07755082887782,13.2062761252641,21.4383315377853,2,2,1.54537667905169,-0.685171818257238,15664
R_2TMDbk4bY3ELZolGe,9538663,new_entry,,,"","'-March 18, 2020: The Cabo Verde Government decided to ban all air connections with Portugal and all European countries with COVID -19 cases, as well as with the United States, Brazil, Senegal, and Nigeria. Consequently, since this decision impacts all Cabo Verde Airlines routes, Cabo Verde Airlines will suspend all its flights from 18 March 2020 through 30 June 2020. 

-March 19, 2020: The Government of Cabo Verde has suspended commercial passenger flights in and out of Cabo Verde, including flights to Portugal, Senegal, the United States, and other European countries, with limited exceptions for citizens returning home from Cabo Verde and for medical emergencies. In addition, passengers onboard cruise ships and sailboats will not be allowed to disembark. The Government of Cabo Verde announced that these restrictions will remain in place for 3 weeks and may be renewed. 

-March 19, 2020: Non-Cabo Verdean citizens will not be permitted entry for a period of three weeks. This travel restriction will be reviewed by the Government of Cabo Verde and the end of the period.",2020-03-19,2020-04-19,,,Cape Verde,CPV,CV,National,0,,,,External Border Restrictions,Total border crossing ban,,"",,,,,,"","","","","","","","","","","",,,,"",No,,One or more regional groupings,Other Regions (please specify below),,,,,All Travelers (Citizen Travelers + Foreign Travelers ),,Outbound,"Flights,Cruises,Other (please specify)",Mandatory with Exceptions (Please list exceptions in the text entry),National Government,67.1278701676209,64.4336180772526,61.1063136365993,41,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2aDh0eN5mzBYNUK,https://cv.usembassy.gov/covid-19-information/ ; https://www.larepublica.co/especial-covid-19/cabo-verde ; https://caboverdeairlines.com/faqcovid19/ ; http://spanish.xinhuanet.com/2020-03/20/c_138899126.htm ; https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Cape_Verde ; http://www.africafundacion.org/spip.php?article37082,2020-12-02,2020-12-02T10:04:40Z,61,1,1,,,,,,,,,25,20.1,1,-0.435670435428619,-0.164329990744591,5,57,543767,2044320991.45055,5.07755082887782,13.2062761252641,21.4383315377853,2,2,1.54537667905169,-0.685171818257238,15664
R_126kyC5oXW9K8uHNA,5080022,new_entry,,,"","'-March 15, 2020: Cabo Verde has lab facilities to test for COVID – 19.
- March 16, 2020: Tests are being made in Cabo Verde rather than abroad, by the Laboratório de Virologia de Cabo Verde in Praia. 
-- The health system is prepared to isolate those displaying symptoms within hospital rooms specifically prepared to quarantine those with suspected cases of COVID-19.",2020-03-15,2020-03-16,,,Cape Verde,CPV,CV,National,0,,,,Health Resources,,,"",,,,,,"","","","","","","","","","","",,,,"",No,,All countries,,,,,,All Residents (Citizen Residents +Foreign Residents),,Outbound,"Flights,Cruises,Other (please specify)",Mandatory with Exceptions (Please list exceptions in the text entry),National Government,44.7763005231896,41.0436259712512,37.3738875231968,38,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_237zz9HOyx7KexJ,'-	https://cv.usembassy.gov/covid-19-information/ ; '-	https://www.larepublica.co/especial-covid-19/cabo-verde ; '-	https://caboverdeairlines.com/faqcovid19/ ; '-	http://spanish.xinhuanet.com/2020-03/20/c_138899126.htm ; '-	https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Cape_Verde ; '-	http://www.africafundacion.org/spip.php?article37082,2020-04-09,2020-04-09T18:45:27Z,0,0,0,,,,,,,,,25,20.1,1,-0.435670435428619,-0.164329990744591,5,57,543767,2044320991.45055,5.07755082887782,13.2062761252641,21.4383315377853,2,2,1.54537667905169,-0.685171818257238,15664
R_DHJNn2Mn9yUPWSdNA,3159929,new_entry,,,"","In response to the dramatic increase in the number of confirmed COVID-19 cases in Boa Vista, the Prime Minister announced that the only exception to the current ban on inter-island movement of people is for those who are returning home to another island after being unable to travel due to the state of emergency.  Those requesting this exception to the travel ban also require testing to ensure they do not pose a risk to public health.",2020-04-21,2020-04-21,,The policy’s end date is unknown or unreported,Cape Verde,CPV,CV,National,1,,,,Internal Border Restrictions,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Cabo Verde,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,67.3423520623256,64.4734535529117,61.3740455858898,42,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2zMZHOro7lxAYgG,https://cv.usembassy.gov/health-alert-u-s-embassy-praia-cabo-verde-april-21-2020/,2021-06-04,2021-06-04T13:24:52Z,68,1,1,,,,,,,,,25,20.1,1,-0.435670435428619,-0.164329990744591,5,57,543767,2044320991.45055,5.07755082887782,13.2062761252641,21.4383315377853,2,2,1.54537667905169,-0.685171818257238,15664
R_27qyLTIysyRnV9bNA,3159929,update,Change of Policy,Strengthening,timing of policy strengthening,"In response to the dramatic increase in the number of confirmed COVID-19 cases in Boa Vista, the Prime Minister announced that the only exception to the current ban on inter-island movement of people is for those who are returning home to another island after being unable to travel due to the state of emergency.  Those requesting this exception to the travel ban also require testing to ensure they do not pose a risk to public health.
On May 1, the Cabo Verdean government extended the State of Emergency for the islands of Santiago and Boa Vista through May 14, as well as nation-wide restrictions on inter-island movement of people to prevent the spread of the COVID-19 virus. UPDATE: Extension of restriction on inter-island travel",2020-04-21,2020-04-21,2020-05-14,The policy has a clear end date,Cape Verde,CPV,CV,National,1,,,,Internal Border Restrictions,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Cabo Verde,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,67.3423520623256,64.4734535529117,61.3740455858898,42,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2zMZHOro7lxAYgG ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3h0isS0YqD9ZcDn,NA ; https://cv.usembassy.gov/health-alert-u-s-embassy-praia-cabo-verde-april-21-2020/ ; https://cv.usembassy.gov/health-alert-u-s-embassy-praia-cabo-verde-may-2-2020/,2020-05-29,2020-05-29T23:06:54Z,68,1,1,,,,,,,,,25,20.1,1,-0.435670435428619,-0.164329990744591,5,57,543767,2044320991.45055,5.07755082887782,13.2062761252641,21.4383315377853,2,2,1.54537667905169,-0.685171818257238,15664
