record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,link,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,state_IDC,muni_IDC,dispersive_IDC,constraining_IDC,inclusive_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,gdppc_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,lngdppc_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS,v2x_polyarchy_VDEM
R_3D1Ji8fpFR7j4ilDy,9449840Dy,new_entry,original,,,"Chile, the Aysen region suspends classes in schools and kindergartens in Caleta Tortel from March 14 for two weeks.",2020-03-14,2020-03-14,2020-03-28,Chile,CHL,CL,Provincial,1,Aysen,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Chile,One or more geographical or administrative units within one or more countries,,Aysen,Caleta Tortel (Capitan Prat),,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"Provincial/State Government,Municipal Government",39.1756622288564,34.3061684500154,29.0672107479341,34,https://www.minsal.cl/seremi-de-salud-de-aysen-decreta-cuarentena-en-caleta-tortel/ ; https://radio.uchile.cl/2020/03/15/caleta-tortel-inicia-cuarentena-y-suspenden-servicios-de-transporte-en-la-comuna/,2021-01-29,2021-01-29T18:45:58Z,88,0,0,,,,,,,,,33,2053,0,1,-0.34559944,0.394925088,-0.20141026,2,66,17948141,2.63129e+11,14660.5053,2.305566995,16.7029971,26.2959095,9.59291244,2,2,1.137296081,2.419119426,604008,0.82785426
R_3D1Ji8fpFR7j4ilEa,9449840Ea,new_entry,original,,,"Chile, the Aysen region suspends classes in schools and kindergartens in Caleta Tortel from March 14 for two weeks.",2020-03-14,2020-03-14,2020-03-28,Chile,CHL,CL,Provincial,1,Aysen,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Chile,One or more geographical or administrative units within one or more countries,,Aysen,Caleta Tortel (Capitan Prat),,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"Provincial/State Government,Municipal Government",39.1756622288564,34.3061684500154,29.0672107479341,34,https://www.minsal.cl/seremi-de-salud-de-aysen-decreta-cuarentena-en-caleta-tortel/ ; https://radio.uchile.cl/2020/03/15/caleta-tortel-inicia-cuarentena-y-suspenden-servicios-de-transporte-en-la-comuna/,2021-01-29,2021-01-29T18:45:58Z,88,0,0,,,,,,,,,33,2053,0,1,-0.34559944,0.394925088,-0.20141026,2,66,17948141,2.63129e+11,14660.5053,2.305566995,16.7029971,26.2959095,9.59291244,2,2,1.137296081,2.419119426,604008,0.82785426
R_3D1Ji8fpFR7j4ilFj,9449840Fj,new_entry,original,,,"Chile, the Aysen region suspends classes in schools and kindergartens in Caleta Tortel from March 14 for two weeks.",2020-03-14,2020-03-14,2020-03-28,Chile,CHL,CL,Provincial,1,Aysen,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Chile,One or more geographical or administrative units within one or more countries,,Aysen,Caleta Tortel (Capitan Prat),,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"Provincial/State Government,Municipal Government",39.1756622288564,34.3061684500154,29.0672107479341,34,https://www.minsal.cl/seremi-de-salud-de-aysen-decreta-cuarentena-en-caleta-tortel/ ; https://radio.uchile.cl/2020/03/15/caleta-tortel-inicia-cuarentena-y-suspenden-servicios-de-transporte-en-la-comuna/,2021-01-29,2021-01-29T18:45:58Z,88,0,0,,,,,,,,,33,2053,0,1,-0.34559944,0.394925088,-0.20141026,2,66,17948141,2.63129e+11,14660.5053,2.305566995,16.7029971,26.2959095,9.59291244,2,2,1.137296081,2.419119426,604008,0.82785426
R_2y9DkL0BcFISzHrDy,5372050Dy,new_entry,correction,,,"Chile suspends classes in kindergartens, municipal and charter schools from March 16 to March 27.
",2020-03-16,2020-03-16,2020-03-27,Chile,CHL,CL,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,,Chile,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,45.8127116328956,41.5971695750849,36.4980435967458,40,https://www.gob.cl/noticias/suspension-de-clases-mineduc-repartira-canastas-de-alimentacion-estudiantes/,2021-01-24,2021-01-24T20:15:54Z,182,0,0,,,,,,,,,33,2053,0,1,-0.34559944,0.394925088,-0.20141026,2,66,17948141,2.63129e+11,14660.5053,2.305566995,16.7029971,26.2959095,9.59291244,2,2,1.137296081,2.419119426,604008,0.82785426
R_2y9DkL0BcFISzHrEa,5372050Ea,new_entry,correction,,,"Chile suspends classes in kindergartens, municipal and charter schools from March 16 to March 27.
",2020-03-16,2020-03-16,2020-03-27,Chile,CHL,CL,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,,Chile,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,45.8127116328956,41.5971695750849,36.4980435967458,40,https://www.gob.cl/noticias/suspension-de-clases-mineduc-repartira-canastas-de-alimentacion-estudiantes/,2021-01-24,2021-01-24T20:15:54Z,182,0,0,,,,,,,,,33,2053,0,1,-0.34559944,0.394925088,-0.20141026,2,66,17948141,2.63129e+11,14660.5053,2.305566995,16.7029971,26.2959095,9.59291244,2,2,1.137296081,2.419119426,604008,0.82785426
R_2y9DkL0BcFISzHrFj,5372050Fj,new_entry,correction,,,"Chile suspends classes in kindergartens, municipal and charter schools from March 16 to March 27.
",2020-03-16,2020-03-16,2020-03-27,Chile,CHL,CL,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,,Chile,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,45.8127116328956,41.5971695750849,36.4980435967458,40,https://www.gob.cl/noticias/suspension-de-clases-mineduc-repartira-canastas-de-alimentacion-estudiantes/,2021-01-24,2021-01-24T20:15:54Z,182,0,0,,,,,,,,,33,2053,0,1,-0.34559944,0.394925088,-0.20141026,2,66,17948141,2.63129e+11,14660.5053,2.305566995,16.7029971,26.2959095,9.59291244,2,2,1.137296081,2.419119426,604008,0.82785426
R_2y9DkL0BcFISzHrCe,5372050Ce,new_entry,correction,,,"Chile suspends classes in kindergartens, municipal and charter schools from March 16 to March 27.
",2020-03-16,2020-03-16,2020-03-27,Chile,CHL,CL,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,,Chile,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,45.8127116328956,41.5971695750849,36.4980435967458,40,https://www.gob.cl/noticias/suspension-de-clases-mineduc-repartira-canastas-de-alimentacion-estudiantes/,2021-01-24,2021-01-24T20:15:54Z,182,0,0,,,,,,,,,33,2053,0,1,-0.34559944,0.394925088,-0.20141026,2,66,17948141,2.63129e+11,14660.5053,2.305566995,16.7029971,26.2959095,9.59291244,2,2,1.137296081,2.419119426,604008,0.82785426
R_2BzzhDyThmiZFV1Dy,9449840Dy,update,original,End of Policy,,"Chile, the Aysen region suspends classes in schools and kindergartens in Caleta Tortel from March 14 for two weeks. The policy ends on May 16. UPDATE: The policy enforced from May 14 ends on May 16 because a policy at the national level is announced closing all schools around the country from May 16.",2020-03-15,2020-03-16,2020-03-16,Chile,CHL,CL,Provincial,1,Aysen,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Chile,One or more geographical or administrative units within one or more countries,,Aysen,Caleta Tortel (Capitan Prat),,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"Provincial/State Government,Municipal Government",45.8127116328956,41.5971695750849,36.4980435967458,40,NA ; https://www.minsal.cl/presidente-anuncia-suspension-de-clases-y-reduce-actos-publicos/,2021-01-30,2021-01-30T16:55:33Z,182,0,0,,,,,,,,,33,2053,0,1,-0.34559944,0.394925088,-0.20141026,2,66,17948141,2.63129e+11,14660.5053,2.305566995,16.7029971,26.2959095,9.59291244,2,2,1.137296081,2.419119426,604008,0.82785426
R_2BzzhDyThmiZFV1Ea,9449840Ea,update,original,End of Policy,,"Chile, the Aysen region suspends classes in schools and kindergartens in Caleta Tortel from March 14 for two weeks. The policy ends on May 16. UPDATE: The policy enforced from May 14 ends on May 16 because a policy at the national level is announced closing all schools around the country from May 16.",2020-03-15,2020-03-16,2020-03-16,Chile,CHL,CL,Provincial,1,Aysen,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Chile,One or more geographical or administrative units within one or more countries,,Aysen,Caleta Tortel (Capitan Prat),,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"Provincial/State Government,Municipal Government",45.8127116328956,41.5971695750849,36.4980435967458,40,NA ; https://www.minsal.cl/presidente-anuncia-suspension-de-clases-y-reduce-actos-publicos/,2021-01-30,2021-01-30T16:55:33Z,182,0,0,,,,,,,,,33,2053,0,1,-0.34559944,0.394925088,-0.20141026,2,66,17948141,2.63129e+11,14660.5053,2.305566995,16.7029971,26.2959095,9.59291244,2,2,1.137296081,2.419119426,604008,0.82785426
R_2BzzhDyThmiZFV1Fj,9449840Fj,update,original,End of Policy,,"Chile, the Aysen region suspends classes in schools and kindergartens in Caleta Tortel from March 14 for two weeks. The policy ends on May 16. UPDATE: The policy enforced from May 14 ends on May 16 because a policy at the national level is announced closing all schools around the country from May 16.",2020-03-15,2020-03-16,2020-03-16,Chile,CHL,CL,Provincial,1,Aysen,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Chile,One or more geographical or administrative units within one or more countries,,Aysen,Caleta Tortel (Capitan Prat),,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"Provincial/State Government,Municipal Government",45.8127116328956,41.5971695750849,36.4980435967458,40,NA ; https://www.minsal.cl/presidente-anuncia-suspension-de-clases-y-reduce-actos-publicos/,2021-01-30,2021-01-30T16:55:33Z,182,0,0,,,,,,,,,33,2053,0,1,-0.34559944,0.394925088,-0.20141026,2,66,17948141,2.63129e+11,14660.5053,2.305566995,16.7029971,26.2959095,9.59291244,2,2,1.137296081,2.419119426,604008,0.82785426
