record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,link,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,state_IDC,muni_IDC,dispersive_IDC,constraining_IDC,inclusive_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,gdppc_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,lngdppc_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS,v2x_polyarchy_VDEM
R_3GeyHUlhw3cDdCvEa,3750471Ea,new_entry,original,,,"""Cuba’s government said on Monday it was banning Cubans from leaving the country, closing schools and suspending interregional public transport in its fight to prevent the spread of the novel coronavirus."" - after Mar. 24",2020-03-24,2020-03-24,2020-04-20,Cuba,CUB,CU,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Cuba,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,64.1330672238681,60.1969741144984,55.9660193097336,75,https://uk.reuters.com/article/uk-health-coronavirus-cuba/cuban-government-bans-cubans-from-leaving-island-suspends-schools-over-coronavirus-idUKKBN21B04X,2020-04-02,2020-04-02T13:15:48Z,48,1,1,113,738,0.065,,,,,,173,7175,0,1,-0.3437505,-0.6776241,-0.20141026,5,47,11389562,73868812486,6485.65875,4.438333589,16.2482078,25.0255565,8.77734867,2,0,0.055565346,-0.88181039,1476344,0.20117772
R_3GeyHUlhw3cDdCvFj,3750471Fj,new_entry,original,,,"""Cuba’s government said on Monday it was banning Cubans from leaving the country, closing schools and suspending interregional public transport in its fight to prevent the spread of the novel coronavirus."" - after Mar. 24",2020-03-24,2020-03-24,2020-04-20,Cuba,CUB,CU,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Cuba,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,64.1330672238681,60.1969741144984,55.9660193097336,75,https://uk.reuters.com/article/uk-health-coronavirus-cuba/cuban-government-bans-cubans-from-leaving-island-suspends-schools-over-coronavirus-idUKKBN21B04X,2020-04-02,2020-04-02T13:15:48Z,48,1,1,113,738,0.065,,,,,,173,7175,0,1,-0.3437505,-0.6776241,-0.20141026,5,47,11389562,73868812486,6485.65875,4.438333589,16.2482078,25.0255565,8.77734867,2,0,0.055565346,-0.88181039,1476344,0.20117772
R_3GeyHUlhw3cDdCvCe,3750471Ce,new_entry,original,,,"""Cuba’s government said on Monday it was banning Cubans from leaving the country, closing schools and suspending interregional public transport in its fight to prevent the spread of the novel coronavirus."" - after Mar. 24",2020-03-24,2020-03-24,2020-04-20,Cuba,CUB,CU,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Cuba,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,64.1330672238681,60.1969741144984,55.9660193097336,75,https://uk.reuters.com/article/uk-health-coronavirus-cuba/cuban-government-bans-cubans-from-leaving-island-suspends-schools-over-coronavirus-idUKKBN21B04X,2020-04-02,2020-04-02T13:15:48Z,48,1,1,113,738,0.065,,,,,,173,7175,0,1,-0.3437505,-0.6776241,-0.20141026,5,47,11389562,73868812486,6485.65875,4.438333589,16.2482078,25.0255565,8.77734867,2,0,0.055565346,-0.88181039,1476344,0.20117772
R_2UY4wCFouRnwhyBNA,8773808,new_entry,original,,,"""Cuban leader Miguel Díaz-Canel announced Friday night that the country is shutting down most air travel and will not be admitting tourists starting Tuesday."" after Mar. 20 
",2020-03-20,2020-03-20,,Cuba,CUB,CU,National,0,,,,External Border Restrictions,,,,All countries,All countries,,,,,Foreign Travelers,Inbound,All kinds of transport,Mandatory (Unspecified/Implied),National Government,46.2874230745964,42.0741305849629,36.6061860241292,21,https://www.miamiherald.com/news/nation-world/world/americas/cuba/article241387431.html,2020-04-02,2020-04-02T17:26:36Z,16,1,0,,,,,,,,,173,7175,0,1,-0.3437505,-0.6776241,-0.20141026,5,47,11389562,73868812486,6485.65875,4.438333589,16.2482078,25.0255565,8.77734867,2,0,0.055565346,-0.88181039,1476344,0.20117772
R_1EiinbpJB3ISCJ7NA,3880029,new_entry,original,,,"Cuba suspends all flights, except humanitarian, from April 2",2020-04-02,2020-04-02,,Cuba,CUB,CU,National,0,,,,External Border Restrictions,,,,All countries,All countries,,,,,All Travelers (Citizen Travelers + Foreign Travelers ),Inbound/Outbound,Flights,Mandatory (Unspecified/Implied),National Government,72.6197490745637,68.7431539512695,65.0018860009048,78,https://www.aljazeera.com/news/2020/03/coronavirus-travel-restrictions-border-shutdowns-country-200318091505922.html,2020-04-03,2020-04-03T11:26:38Z,233,6,13,803,4145,0.366,,,,,,173,7175,0,1,-0.3437505,-0.6776241,-0.20141026,5,47,11389562,73868812486,6485.65875,4.438333589,16.2482078,25.0255565,8.77734867,2,0,0.055565346,-0.88181039,1476344,0.20117772
R_CeMUKqJLmmaFSx3NA,9449998,new_entry,original,,,"Cuba ""announced the suspension of all commercial and charter flights to the island starting Apr. 2, prohibiting also all foreign sea traffic in Cuban waters.""",2020-03-31,2020-04-02,,Cuba,CUB,CU,National,0,,,,External Border Restrictions,,,,All countries,All countries,,,,,All Travelers (Citizen Travelers + Foreign Travelers ),Inbound,"Flights,Seaports,Cruises,Ferries",Mandatory (Unspecified/Implied),National Government,72.6197490745637,68.7431539512695,65.0018860009048,78,https://www.as-coa.org/articles/where-coronavirus-latin-america#dr,2020-04-03,2020-04-03T16:02:42Z,233,6,13,803,4145,0.366,,,,,,173,7175,0,1,-0.3437505,-0.6776241,-0.20141026,5,47,11389562,73868812486,6485.65875,4.438333589,16.2482078,25.0255565,8.77734867,2,0,0.055565346,-0.88181039,1476344,0.20117772
R_2EcqvfwSQ467iwINA,1133165,new_entry,original,,,"In Cuba a ""patient undergoes a rapid test, which allows specialists to learn in less than 30 minutes if people have been or not infected.

In case of testing positive for Covid-19, the real-time PCR test is also implemented, which has a very small margin of error, Duran said.

If patient is positive, 15 days after being admitted with treatment, and if he shows a favorable clinical progress, the real-time PCR test is repeated."" after Apr. 3",2020-04-03,2020-04-03,,Cuba,CUB,CU,National,1,,,,Health Monitoring,,,,Cuba,One or more provinces within one or more countries,,,,,All Residents (Citizen Residents + Foreign Residents),,Not Applicable,Mandatory (Unspecified/Implied),Ministry/Department of Health,72.7777063629555,68.8050034672632,65.2530139046143,77,https://www.plenglish.com/index.php?o=rn&id=54207&SEO=cuba-takes-all-measures-for-early-diagnosis-of-covid-19-patients,2020-04-12,2020-04-12T11:12:27Z,269,6,15,1057,5202,0.459,,,,,,173,7175,0,1,-0.3437505,-0.6776241,-0.20141026,5,47,11389562,73868812486,6485.65875,4.438333589,16.2482078,25.0255565,8.77734867,2,0,0.055565346,-0.88181039,1476344,0.20117772
R_2R8po4PFKCIJGE5Dr,6144046,new_entry,original,,,Cuba starts the deployment of military hospital to strengthen public health system capacity. Measures are taken by the government but described in public media after Mar. 9,2020-03-09,2020-03-09,,Cuba,CUB,CU,National,1,,,,Health Resources,Personal Protective Equipment,,,Cuba,One or more other geographical or administrative units within one or more countries (e.g. county),,,,,All Residents (Citizen Residents + Foreign Residents),Inbound,All kinds of transport,Mandatory with Legal Penalties (Jail Time),"National Government,Ministry/Department of Health",26.5282909486533,20.4442904729896,14.847917798225,10,http://www.cubadebate.cu/noticias/2020/03/09/gobierno-cubano-informa-medidas-para-enfrentar-la-covid-19-video/#anexo-1333951,2020-04-02,2020-04-02T10:41:33Z,0,0,0,,,,,,,,,173,7175,0,1,-0.3437505,-0.6776241,-0.20141026,5,47,11389562,73868812486,6485.65875,4.438333589,16.2482078,25.0255565,8.77734867,2,0,0.055565346,-0.88181039,1476344,0.20117772
R_2R8po4PFKCIJGE5Cf,6144046,new_entry,original,,,Cuba starts the deployment of military hospital to strengthen public health system capacity. Measures are taken by the government but described in public media after Mar. 9,2020-03-09,2020-03-09,,Cuba,CUB,CU,National,1,,,,Health Resources,Hospitals,,,Cuba,One or more other geographical or administrative units within one or more countries (e.g. county),,,,,All Residents (Citizen Residents + Foreign Residents),Inbound,All kinds of transport,Mandatory with Legal Penalties (Jail Time),"National Government,Ministry/Department of Health",26.5282909486533,20.4442904729896,14.847917798225,10,http://www.cubadebate.cu/noticias/2020/03/09/gobierno-cubano-informa-medidas-para-enfrentar-la-covid-19-video/#anexo-1333951,2020-04-02,2020-04-02T10:41:33Z,0,0,0,,,,,,,,,173,7175,0,1,-0.3437505,-0.6776241,-0.20141026,5,47,11389562,73868812486,6485.65875,4.438333589,16.2482078,25.0255565,8.77734867,2,0,0.055565346,-0.88181039,1476344,0.20117772
R_31gE0SHUymAbZOIDf,7461579,new_entry,original,,,Cuba is using the Interferon Alfa-2B to combat the effects of COVID-19 after Mar. 18,2020-03-18,2020-03-18,,Cuba,CUB,CU,National,1,,,,Health Resources,Other Health Materials,,,Cuba,One or more geographical or administrative units within one or more countries,,,,,All Residents (Citizen Residents + Foreign Residents),Inbound,Not Applicable,Mandatory (Unspecified/Implied),National Government,39.3918958348031,33.9001867121713,28.669635092996,15,https://blogs.lse.ac.uk/latamcaribbean/2020/03/18/cuba-and-coronavirus-how-cuban-biotech-came-to-combat-covid-19/,2020-04-02,2020-04-02T15:59:23Z,7,1,0,,,,,,,,,173,7175,0,1,-0.3437505,-0.6776241,-0.20141026,5,47,11389562,73868812486,6485.65875,4.438333589,16.2482078,25.0255565,8.77734867,2,0,0.055565346,-0.88181039,1476344,0.20117772
R_24u5EeXfojFGvFiGc,9009722,new_entry,correction,,,"""Cuba has reportedly sent 144 health workers to Jamaica, 136 doctors to Venezuela, and 50 doctors to Suriname. In all of these cases, the medical workers will be assisting in the fight against coronavirus.""  - Mar.22",2020-03-22,2020-03-22,,Cuba,CUB,CU,National,1,,,,Health Resources,Unspecified Health Staff,,,"Italy,Jamaica,Suriname,Venezuela","One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),Inbound/Outbound,Not Applicable,Voluntary/Recommended but No Penalties,National Government,53.9619511696141,49.8480660486679,45.7211041292946,35,https://www.thecanary.co/uk/analysis/2020/03/26/corbyn-praises-cubas-inspirational-coronavirus-efforts-part-of-its-longstanding-medical-solidarity-around-the-world/,2020-08-11,2020-08-11T13:15:36Z,35,1,0,,518,0.046,,,,,,173,7175,0,1,-0.3437505,-0.6776241,-0.20141026,5,47,11389562,73868812486,6485.65875,4.438333589,16.2482078,25.0255565,8.77734867,2,0,0.055565346,-0.88181039,1476344,0.20117772
R_oXcSKRRHuLl2vn3Co,9128823,new_entry,original,,,Cuba enforces inhabitants to wear masks anytime they leave their house after Mar. 26.,2020-03-26,2020-03-26,,Cuba,CUB,CU,National,1,,,,Health Resources,Masks,,,Cuba,One or more provinces within one or more countries,,,,,All Residents (Citizen Residents + Foreign Residents),Inbound,Not Applicable,Mandatory (Unspecified/Implied),Ministry/Department of Health,69.1373329519628,65.3320372744919,61.2908364129954,89,https://temas.sld.cu/coronavirus/2020/03/26/toda-la-poblacion-debe-usar-el-nasobuco-fuera-de-casa/,2020-04-02,2020-04-02T12:51:22Z,67,2,1,146,1039,0.092,,,,,,173,7175,0,1,-0.3437505,-0.6776241,-0.20141026,5,47,11389562,73868812486,6485.65875,4.438333589,16.2482078,25.0255565,8.77734867,2,0,0.055565346,-0.88181039,1476344,0.20117772
R_yrvCyAkcYhw41nrBi,9009722,update,original,,,Cuba has yet sent another medical brigade to help fight CoVid-19. This time they are supporting Saint Kitts and Nevis after Mar. 29 UPDATE: Cuba sends medical brigades as well to Saint Kitts and Nevis after Mar. 29,2020-03-29,2020-03-29,,Cuba,CUB,CU,National,0,,,,Health Resources,Doctors,,,Saint Kitts and Nevis,"One or more countries, but not all countries",,,,,Health Staff,Outbound,Not Applicable,Mandatory (Unspecified/Implied),National Government,71.5852195673778,67.7154698042206,64.0028293803565,87,https://www.plenglish.com/index.php?o=rn&id=53966&SEO=cubas-medical-aid-to-fight-covid-19-highlighted-in-st.-kitts-nevis,2020-04-03,2020-04-03T08:28:18Z,139,3,4,342,2007,0.177,,,,,,173,7175,0,1,-0.3437505,-0.6776241,-0.20141026,5,47,11389562,73868812486,6485.65875,4.438333589,16.2482078,25.0255565,8.77734867,2,0,0.055565346,-0.88181039,1476344,0.20117772
