record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,pdf_link,link,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,muni_IDC,dispersive_IDC,constraining_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS
R_yEkdEStpBat6pgdEz,5731809Ez,new_entry,,,"","Grenada: ""The Government of Grenada announces that with effect from Monday, March 16th, ALL schools in Grenada, Carriacou and Petite Martinique will be closed, until further notice, as a necessary precaution against the contracting or spread of COVID- 19.""",2020-03-13,2020-03-16,2020-08-31,The policy has a clear end date,Grenada,GRD,GD,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,Grenada,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,22.3113274631283,11.5620020065851,5.90120177405256,2,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_DqvcTg6WfK0CREt,https://www.mgovernance.net/closure-schools,2020-08-11,2020-08-11T12:52:49Z,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
R_yEkdEStpBat6pgdFb,5731809Fb,new_entry,,,"","Grenada: ""The Government of Grenada announces that with effect from Monday, March 16th, ALL schools in Grenada, Carriacou and Petite Martinique will be closed, until further notice, as a necessary precaution against the contracting or spread of COVID- 19.""",2020-03-13,2020-03-16,2020-08-31,The policy has a clear end date,Grenada,GRD,GD,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,Grenada,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,22.3113274631283,11.5620020065851,5.90120177405256,2,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_DqvcTg6WfK0CREt,https://www.mgovernance.net/closure-schools,2020-08-11,2020-08-11T12:52:49Z,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
R_yEkdEStpBat6pgdGl,5731809Gl,new_entry,,,"","Grenada: ""The Government of Grenada announces that with effect from Monday, March 16th, ALL schools in Grenada, Carriacou and Petite Martinique will be closed, until further notice, as a necessary precaution against the contracting or spread of COVID- 19.""",2020-03-13,2020-03-16,2020-08-31,The policy has a clear end date,Grenada,GRD,GD,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,,"",,Grenada,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,22.3113274631283,11.5620020065851,5.90120177405256,2,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_DqvcTg6WfK0CREt,https://www.mgovernance.net/closure-schools,2020-08-11,2020-08-11T12:52:49Z,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
R_yEkdEStpBat6pgdCr,5731809Cr,new_entry,,,"","Grenada: ""The Government of Grenada announces that with effect from Monday, March 16th, ALL schools in Grenada, Carriacou and Petite Martinique will be closed, until further notice, as a necessary precaution against the contracting or spread of COVID- 19.""",2020-03-13,2020-03-16,2020-08-31,The policy has a clear end date,Grenada,GRD,GD,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,,"",,Grenada,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,22.3113274631283,11.5620020065851,5.90120177405256,2,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_DqvcTg6WfK0CREt,https://www.mgovernance.net/closure-schools,2020-08-11,2020-08-11T12:52:49Z,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
R_3FVblLXJluPJXASEz,5731809Ez,update,,,"","Grenada: ""The Government of Grenada announces that with effect from Monday, March 16th, ALL schools in Grenada, Carriacou and Petite Martinique will be closed, until further notice, as a necessary precaution against the contracting or spread of COVID- 19."" UPDATE: School closure not only for two weeks, but until further notice.",2020-03-13,2020-03-16,,,Grenada,GRD,GD,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",,Grenada,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,,National Government,22.3113274631283,11.5620020065851,5.90120177405256,2,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_DqvcTg6WfK0CREt,https://www.mgovernance.net/closure-schools,2020-04-01,2020-04-01T14:17:48Z,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
R_3FVblLXJluPJXASFb,5731809Fb,update,,,"","Grenada: ""The Government of Grenada announces that with effect from Monday, March 16th, ALL schools in Grenada, Carriacou and Petite Martinique will be closed, until further notice, as a necessary precaution against the contracting or spread of COVID- 19."" UPDATE: School closure not only for two weeks, but until further notice.",2020-03-13,2020-03-16,,,Grenada,GRD,GD,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",,Grenada,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,,National Government,22.3113274631283,11.5620020065851,5.90120177405256,2,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_DqvcTg6WfK0CREt,https://www.mgovernance.net/closure-schools,2020-04-01,2020-04-01T14:17:48Z,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
R_3FVblLXJluPJXASGl,5731809Gl,update,,,"","Grenada: ""The Government of Grenada announces that with effect from Monday, March 16th, ALL schools in Grenada, Carriacou and Petite Martinique will be closed, until further notice, as a necessary precaution against the contracting or spread of COVID- 19."" UPDATE: School closure not only for two weeks, but until further notice.",2020-03-13,2020-03-16,,,Grenada,GRD,GD,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",,Grenada,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,,National Government,22.3113274631283,11.5620020065851,5.90120177405256,2,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_DqvcTg6WfK0CREt,https://www.mgovernance.net/closure-schools,2020-04-01,2020-04-01T14:17:48Z,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
R_3FVblLXJluPJXASCr,5731809Cr,update,,,"","Grenada: ""The Government of Grenada announces that with effect from Monday, March 16th, ALL schools in Grenada, Carriacou and Petite Martinique will be closed, until further notice, as a necessary precaution against the contracting or spread of COVID- 19."" UPDATE: School closure not only for two weeks, but until further notice.",2020-03-13,2020-03-16,,,Grenada,GRD,GD,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",,Grenada,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,,National Government,22.3113274631283,11.5620020065851,5.90120177405256,2,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_DqvcTg6WfK0CREt,https://www.mgovernance.net/closure-schools,2020-04-01,2020-04-01T14:17:48Z,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
R_2D7ZhDCULhwDzOiEz,5731809Ez,update,End of Policy,Relaxing,timing of policy relaxing,"Grenada: ""The Government of Grenada announces that with effect from Monday, March 16th, ALL schools in Grenada, Carriacou and Petite Martinique will be closed, until further notice, as a necessary precaution against the contracting or spread of COVID- 19."" UPDATE: School closure not only for two weeks, but until further notice.",2020-03-13,2020-03-16,,The policy’s end date is unknown or unreported,Grenada,GRD,GD,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",,Grenada,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,22.3113274631283,11.5620020065851,5.90120177405256,2,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_DqvcTg6WfK0CREt ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3NO4ory8cDmXqxc,https://www.mgovernance.net/closure-schools,2022-01-21,2022-01-21T14:29:26Z,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
R_2D7ZhDCULhwDzOiFb,5731809Fb,update,End of Policy,Relaxing,timing of policy relaxing,"Grenada: ""The Government of Grenada announces that with effect from Monday, March 16th, ALL schools in Grenada, Carriacou and Petite Martinique will be closed, until further notice, as a necessary precaution against the contracting or spread of COVID- 19."" UPDATE: School closure not only for two weeks, but until further notice.",2020-03-13,2020-03-16,,The policy’s end date is unknown or unreported,Grenada,GRD,GD,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",,Grenada,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,22.3113274631283,11.5620020065851,5.90120177405256,2,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_DqvcTg6WfK0CREt ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3NO4ory8cDmXqxc,https://www.mgovernance.net/closure-schools,2022-01-21,2022-01-21T14:29:26Z,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
