record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,pdf_link,link,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,muni_IDC,dispersive_IDC,constraining_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS
R_AcGeTo2Nuyy4ciBNA,8219416,new_entry,,,"","As part of their February 2020 plan to contain and respond to the coronavirus, Honduras announced on February 27th that only official data from the health secretary can be used to prevent false information.",2020-02-27,2020-02-27,2020-02-28,The policy is a one-time measure (e.g. publication of guidelines),Honduras,HND,HN,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Honduras,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",22.2284102525038,14.8814252357825,9.66910059924948,10,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_BS14Brg8pa1CK7D,https://covid19honduras.org/sites/default/files/Honduras_Plan_Coronavirus.pdf,2021-03-03,2021-03-03T07:22:44Z,0,0,0,,,,,,,,,148,48.2,2,-0.281669557094574,-0.0487236380577087,7,29,9429013,20509572686.0089,4.78802694524671,16.0593019831721,23.7441575743919,1,1,-0.36486222016066,0.190235002406633,38317
R_1OIxC46a4z5AP1rNA,4214301,new_entry,,,"","On April 9, Honduras prohibited any natural or lawful person from interfering with any public communication means that could impede the work of agroindustrial workers or the food supply chain, or that which could otherwise put in danger food security of Honduran villages.",2020-04-09,2020-04-09,2020-04-23,The policy has an imprecise natural end date (e.g. masks will be distributed until they run out),Honduras,HND,HN,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Honduras,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),"National Government,Military,Police",87.9651993949562,84.5171780637681,80.5256610683931,138,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1OpFKDFbuU6CfKr,http://www.consejosecretariosdeestado.gob.hn/content/medidas-para-asegurar-la-soberan%C3%ADa-y-seguridad-alimentaria,2021-03-03,2021-03-03T07:17:45Z,343,23,6,,,,,,,,,148,48.2,2,-0.281669557094574,-0.0487236380577087,7,29,9429013,20509572686.0089,4.78802694524671,16.0593019831721,23.7441575743919,1,1,-0.36486222016066,0.190235002406633,38317
R_3dXR6MCxQhJLq6eEe,7167599Ee,new_entry,,,"","Effective March 13, Honduras's Secretary of State of the Office of Education was instructed to suspend classes across the whole country for 14 days. This applies to both non-governmental and governmental education at all levels.",2020-03-13,2020-03-13,2020-03-27,The policy has a clear end date,Honduras,HND,HN,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",Yes,Honduras,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),"National Government,Military,Other (Please specify in the text box)",49.0517345814204,43.5017883581789,37.9397885648131,78,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_ROnBvOUAdzJV0Y1,http://www.consejosecretariosdeestado.gob.hn/content/suspensi%C3%B3n-de-clases-en-todo-el-pa%C3%ADs-por-14-d%C3%ADas,2020-07-26,2020-07-26T05:51:35Z,2,0,0,,,,,,,,,148,48.2,2,-0.281669557094574,-0.0487236380577087,7,29,9429013,20509572686.0089,4.78802694524671,16.0593019831721,23.7441575743919,1,1,-0.36486222016066,0.190235002406633,38317
R_3dXR6MCxQhJLq6eEf,7167599Ef,new_entry,,,"","Effective March 13, Honduras's Secretary of State of the Office of Education was instructed to suspend classes across the whole country for 14 days. This applies to both non-governmental and governmental education at all levels.",2020-03-13,2020-03-13,2020-03-27,The policy has a clear end date,Honduras,HND,HN,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",Yes,Honduras,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),"National Government,Military,Other (Please specify in the text box)",49.0517345814204,43.5017883581789,37.9397885648131,78,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_ROnBvOUAdzJV0Y1,http://www.consejosecretariosdeestado.gob.hn/content/suspensi%C3%B3n-de-clases-en-todo-el-pa%C3%ADs-por-14-d%C3%ADas,2020-07-26,2020-07-26T05:51:35Z,2,0,0,,,,,,,,,148,48.2,2,-0.281669557094574,-0.0487236380577087,7,29,9429013,20509572686.0089,4.78802694524671,16.0593019831721,23.7441575743919,1,1,-0.36486222016066,0.190235002406633,38317
R_3dXR6MCxQhJLq6eFp,7167599Fp,new_entry,,,"","Effective March 13, Honduras's Secretary of State of the Office of Education was instructed to suspend classes across the whole country for 14 days. This applies to both non-governmental and governmental education at all levels.",2020-03-13,2020-03-13,2020-03-27,The policy has a clear end date,Honduras,HND,HN,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",Yes,Honduras,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),"National Government,Military,Other (Please specify in the text box)",49.0517345814204,43.5017883581789,37.9397885648131,78,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_ROnBvOUAdzJV0Y1,http://www.consejosecretariosdeestado.gob.hn/content/suspensi%C3%B3n-de-clases-en-todo-el-pa%C3%ADs-por-14-d%C3%ADas,2020-07-26,2020-07-26T05:51:35Z,2,0,0,,,,,,,,,148,48.2,2,-0.281669557094574,-0.0487236380577087,7,29,9429013,20509572686.0089,4.78802694524671,16.0593019831721,23.7441575743919,1,1,-0.36486222016066,0.190235002406633,38317
R_AtlK80LYvkYdNkZCb,7675476Cb,new_entry,,,"",The National Autonomous University of Honduras in accordance with the Superior Education Council recommended all classes be suspended from March 16 to April 6. This would include the cancellation of all events for the related time period.,2020-03-13,2020-03-16,2020-04-06,The policy has a clear end date,Honduras,HND,HN,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",Yes,Honduras,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),"National Government,Other (Please specify in the text box)",74.0569608660173,68.9258611772916,63.7923652161568,135,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3haJvOM1GdZAAn9,https://tiempo.hn/covid-19-suspenden-clases-en-todas-las-universidades-de-honduras/,2020-11-15,2020-11-15T03:01:52Z,6,0,0,,,,,,,,,148,48.2,2,-0.281669557094574,-0.0487236380577087,7,29,9429013,20509572686.0089,4.78802694524671,16.0593019831721,23.7441575743919,1,1,-0.36486222016066,0.190235002406633,38317
R_1FtDwfeH50lDaUYFp,9794568Fp,new_entry,,,"","On August 31, 2020, a Honduran Secretary of Education Arnaldo Bueso informed that the practices of the Trabajo Educativo Social program would be conducted virtually.",2020-09-01,2020-08-31,2022-04-22,The policy has an unlimited time span (e.g. recommendation to wash one's hands; passing of a legal bill),Honduras,HND,HN,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools allowed to open with conditions,Special provisions for all students in a school (e.g. students in primary school do not have to social distance),Yes,Honduras,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),"National Government,Other (Please specify in the text box)",81.78293736657,77.3997576354855,73.1186209344241,132,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1FCzDkOO21Xsj7u,https://www.se.gob.hn/detalle-articulo/1467/,2021-05-01,2021-05-01T09:11:39Z,61014,1873,10396,,,,,,,,,148,48.2,2,-0.281669557094574,-0.0487236380577087,7,29,9429013,20509572686.0089,4.78802694524671,16.0593019831721,23.7441575743919,1,1,-0.36486222016066,0.190235002406633,38317
R_2AXzq4yXZna2DJECy,1576615,new_entry,,,"","The Honduran Government permitted the populations of the Central District, La Ceiba, and Choluteca to supply themselves in (super)markets, pharmacies, convenience stores, juiceries, Banasupro (state run markets), and bread stores on March 19 from 7 am to 4 pm.",2020-03-19,2020-03-19,2020-03-19,The policy has a clear end date,Honduras,HND,HN,National,1,,,,Curfew,No the curfew times are always the same regardless of the day of the week,,"",,,,,,"","","","","","","","","","","",,,,"",No,Honduras,One or more cities within one or more countries,,,La Ceiba (Atlántida); Choluteca (Choluteca); Distrito Central (Francisco Morazan),,,All Citizens (Citizen Residents + Citizen Travelers),No special population targeted,,,Mandatory (Unspecified/Implied),"National Government,Other (Please specify in the text box)",84.4905235250438,80.7034363161447,76.2863385501949,138,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2zZUmAXhAbtgw74,https://docs.google.com/viewerng/viewer?url=https://covid19honduras.org/sites/default/files/CONGELAMIENTO%2520PRECIOS_0.pdf,2020-11-26,2020-11-26T00:24:08Z,12,0,0,,,,,,,,,148,48.2,2,-0.281669557094574,-0.0487236380577087,7,29,9429013,20509572686.0089,4.78802694524671,16.0593019831721,23.7441575743919,1,1,-0.36486222016066,0.190235002406633,38317
R_25ymjtxkZ210caMNA,1146169,new_entry,,,"","In Honduras, on March 19, 2020, the cities of Puerto Cortés, Santa Cruz de Yojoa and El Triunfo are put on curfew from 7:00am-6:00pm. During this time people can only go to supermarkets, pharmacies, and gas stations.",2020-03-19,2020-03-19,,The policy’s end date is unknown or unreported,Honduras,HND,HN,National,1,,,,Curfew,,,"",,,,,,"","","","","","","","","","","",,,,"",No,Honduras,One or more cities within one or more countries,,,Puerto Cortés; Santa Cruz de Yojoa; El Triunfo,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),"National Government,Provincial/State Government,Police",84.4905235250438,80.7034363161447,76.2863385501949,138,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3R4Owi2EF6tEZnt,https://www.oncenoticias.hn/puerto-cortes-santa-cruz-de-yojoa-y-el-triunfo-a-toque-de-queda-absoluto/,2021-06-04,2021-06-04T18:27:03Z,12,0,0,,,,,,,,,148,48.2,2,-0.281669557094574,-0.0487236380577087,7,29,9429013,20509572686.0089,4.78802694524671,16.0593019831721,23.7441575743919,1,1,-0.36486222016066,0.190235002406633,38317
R_3HTCtfqjKYuJpSGCy,400515,new_entry,,,"","On March 19, 2020, the Honduran National Police established a curfew ""after midnight for the cities of Puerto Cortes, Santa Cruz de Yojoa and El Triunfo in the department of Choluteca, starting on March 19, 2020. This does not apply to the port of Puerto Cortes.""",2020-03-19,2020-03-19,,The policy’s end date is unknown or unreported,Honduras,HND,HN,National,1,,,,Curfew,No the curfew times are always the same regardless of the day of the week,,"",,,,,,"","","","","","","","","","","",,,,"",No,Honduras,One or more cities within one or more countries,,"Choluteca,NA",Puerto Cortes (Choluteca); Santa Cruz de Yojoa (Choluteca); El Triunfo (Choluteca),,,All (Travelers + Residents),Other population not specifed above,,,Mandatory with Exceptions (Please list exceptions in the text entry),"National Government,Police",84.4905235250438,80.7034363161447,76.2863385501949,138,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_29occN2dbNaSn2p,https://www.blplegal.com/en/Normative-provisions-based-on-Covid19-Coronavirus-Honduras,2021-06-04,2021-06-04T18:32:05Z,12,0,0,,,,,,,,,148,48.2,2,-0.281669557094574,-0.0487236380577087,7,29,9429013,20509572686.0089,4.78802694524671,16.0593019831721,23.7441575743919,1,1,-0.36486222016066,0.190235002406633,38317
