record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,pdf_link,link,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,muni_IDC,dispersive_IDC,constraining_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS
R_3JqKZlI8bjqwtxEFx,514200Fx,new_entry,,,"",Iceland announced the closing of upper secondary schools and universities starting March 16th. Preschools and elementary schools will be place under special conditions.,2020-03-13,2020-03-16,2020-04-13,The policy has a clear end date,Iceland,ISL,IS,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",,Iceland,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,45.3444596041603,42.2897091803262,39.138818394302,46,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_qIUDqqwfhyLfpp7,https://www.government.is/diplomatic-missions/embassy-article/2020/03/13/Stricter-measures-to-slow-down-the-spread-of-COVID-19-/,2020-04-02,2020-04-02T17:01:19Z,180,0,0,1707,4586,12.435,,,,,,15,15.1,2,-0.062896437942981,-0.351708650588989,0,76,353574,18422326336.9074,4.61147602956513,12.7758480776304,23.6368291538766,2,2,4.62989868232259,-0.685171818257238,52404
R_3JqKZlI8bjqwtxECe,514200Ce,new_entry,,,"",Iceland announced the closing of upper secondary schools and universities starting March 16th. Preschools and elementary schools will be place under special conditions.,2020-03-13,2020-03-16,2020-04-13,The policy has a clear end date,Iceland,ISL,IS,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",,Iceland,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,45.3444596041603,42.2897091803262,39.138818394302,46,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_qIUDqqwfhyLfpp7,https://www.government.is/diplomatic-missions/embassy-article/2020/03/13/Stricter-measures-to-slow-down-the-spread-of-COVID-19-/,2020-04-02,2020-04-02T17:01:19Z,180,0,0,1707,4586,12.435,,,,,,15,15.1,2,-0.062896437942981,-0.351708650588989,0,76,353574,18422326336.9074,4.61147602956513,12.7758480776304,23.6368291538766,2,2,4.62989868232259,-0.685171818257238,52404
R_8igHsWAHISu9Nq9Fx,514200Fx,update,,Strengthening,"",The icelandic Minister of Health prolongs ban on gatherings and closures of schools from the 13th of April to the 4th of May. UPDATE: Iceland prolongs ban on gatherings and closures of schools from the 13th of April to the 4th of May,2020-04-03,2020-04-13,2020-05-04,The policy has a clear end date,Iceland,ISL,IS,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",,Iceland,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,53.10048675278,50.3812158118234,47.5370520123053,11,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2uWAKDRYFr6kWR2 ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1qUGeHKP4l4uuJk,https://www.covid.is/categories/icelands-response,2020-04-14,2020-04-14T14:13:49Z,1711,8,933,851,36275,98.362,,,,,,15,15.1,2,-0.062896437942981,-0.351708650588989,0,76,353574,18422326336.9074,4.61147602956513,12.7758480776304,23.6368291538766,2,2,4.62989868232259,-0.685171818257238,52404
R_8igHsWAHISu9Nq9Ce,514200Ce,update,,Strengthening,"",The icelandic Minister of Health prolongs ban on gatherings and closures of schools from the 13th of April to the 4th of May. UPDATE: Iceland prolongs ban on gatherings and closures of schools from the 13th of April to the 4th of May,2020-04-03,2020-04-13,2020-05-04,The policy has a clear end date,Iceland,ISL,IS,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",,Iceland,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,53.10048675278,50.3812158118234,47.5370520123053,11,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2uWAKDRYFr6kWR2 ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1qUGeHKP4l4uuJk,https://www.covid.is/categories/icelands-response,2020-04-14,2020-04-14T14:13:49Z,1711,8,933,851,36275,98.362,,,,,,15,15.1,2,-0.062896437942981,-0.351708650588989,0,76,353574,18422326336.9074,4.61147602956513,12.7758480776304,23.6368291538766,2,2,4.62989868232259,-0.685171818257238,52404
R_bIzZet9xGLvbfqNFx,514200Fx,update,,Strengthening,"","On May 4, the gathering ban will be raised to 50 individuals. Preschools and elementary schools, which have operated at a limited capacity, will resume regular operation, and junior colleges and universities will reopen. All schools must limit student groups according to the 50-person limit. UPDATE: On May 4th preschools and elementry schools will resume regular operation and junior colleges and universities will reopen",2020-04-14,2020-05-04,,,Iceland,ISL,IS,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",,Iceland,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,,National Government,53.5862931324193,50.9006937393867,48.2521918812476,12,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1q4gLUQ66GTH4RP,https://www.icelandreview.com/society/iceland-to-loosen-covid-19-restrictions-starting-may-4/,2020-04-14,2020-04-14T13:57:39Z,1799,10,1723,868,51281,139.051,,,,,,15,15.1,2,-0.062896437942981,-0.351708650588989,0,76,353574,18422326336.9074,4.61147602956513,12.7758480776304,23.6368291538766,2,2,4.62989868232259,-0.685171818257238,52404
R_bIzZet9xGLvbfqNCe,514200Ce,update,,Strengthening,"","On May 4, the gathering ban will be raised to 50 individuals. Preschools and elementary schools, which have operated at a limited capacity, will resume regular operation, and junior colleges and universities will reopen. All schools must limit student groups according to the 50-person limit. UPDATE: On May 4th preschools and elementry schools will resume regular operation and junior colleges and universities will reopen",2020-04-14,2020-05-04,,,Iceland,ISL,IS,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",,Iceland,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,,National Government,53.5862931324193,50.9006937393867,48.2521918812476,12,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1q4gLUQ66GTH4RP,https://www.icelandreview.com/society/iceland-to-loosen-covid-19-restrictions-starting-may-4/,2020-04-14,2020-04-14T13:57:39Z,1799,10,1723,868,51281,139.051,,,,,,15,15.1,2,-0.062896437942981,-0.351708650588989,0,76,353574,18422326336.9074,4.61147602956513,12.7758480776304,23.6368291538766,2,2,4.62989868232259,-0.685171818257238,52404
R_O8q8VRfRRlKHKtbFx,514200Fx,update,End of Policy,,"","Update: On 13 March the Minister of Health in Iceland announced that the operations of pre-primary and elementary schools would be limited and upper secondary schools (VET included) and universities were closed. As of 4 May, upper secondary schools and universities reopened with certain limitations, while elementary schools and pre-schools returned mostly to normal. UPDATE: On 13 March the Minister of Health announced that the operations of pre-primary and elementary schools would be limited and upper secondary schools and universities were closed. As of 4 May, upper secondary schools and universities reopened with certain limitations, while elementary schools and pre-schools returned mostly to normal.",2020-04-14,2020-05-04,,The policy’s end date is unknown or unreported,Iceland,ISL,IS,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",,Iceland,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,53.5862931324193,50.9006937393867,48.2521918812476,12,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_qIUDqqwfhyLfpp7 ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1qUGeHKP4l4uuJk,https://www.government.is/diplomatic-missions/embassy-article/2020/03/13/Stricter-measures-to-slow-down-the-spread-of-COVID-19-/,2021-04-30,2021-04-30T14:07:01Z,1799,10,1723,868,51281,139.051,,,,,,15,15.1,2,-0.062896437942981,-0.351708650588989,0,76,353574,18422326336.9074,4.61147602956513,12.7758480776304,23.6368291538766,2,2,4.62989868232259,-0.685171818257238,52404
R_O8q8VRfRRlKHKtbCe,514200Ce,update,End of Policy,,"","Update: On 13 March the Minister of Health in Iceland announced that the operations of pre-primary and elementary schools would be limited and upper secondary schools (VET included) and universities were closed. As of 4 May, upper secondary schools and universities reopened with certain limitations, while elementary schools and pre-schools returned mostly to normal. UPDATE: On 13 March the Minister of Health announced that the operations of pre-primary and elementary schools would be limited and upper secondary schools and universities were closed. As of 4 May, upper secondary schools and universities reopened with certain limitations, while elementary schools and pre-schools returned mostly to normal.",2020-04-14,2020-05-04,,The policy’s end date is unknown or unreported,Iceland,ISL,IS,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",,Iceland,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,53.5862931324193,50.9006937393867,48.2521918812476,12,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_qIUDqqwfhyLfpp7 ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1qUGeHKP4l4uuJk,https://www.government.is/diplomatic-missions/embassy-article/2020/03/13/Stricter-measures-to-slow-down-the-spread-of-COVID-19-/,2021-04-30,2021-04-30T14:07:01Z,1799,10,1723,868,51281,139.051,,,,,,15,15.1,2,-0.062896437942981,-0.351708650588989,0,76,353574,18422326336.9074,4.61147602956513,12.7758480776304,23.6368291538766,2,2,4.62989868232259,-0.685171818257238,52404
R_O2w9Xx58IKW2fXrFx,514200Fx,update,End of Policy,,"","Update: On 13 March the Minister of Health in Iceland announced that the operations of pre-primary and elementary schools would be limited and upper secondary schools (VET included) and universities were closed. As of 4 May, upper secondary schools and universities reopened with certain limitations, while elementary schools and pre-schools returned mostly to normal. UPDATE: On May 4th preschools and elementry schools will resume regular operation and junior colleges and universities will reopen",2020-04-14,2020-05-04,,The policy’s end date is unknown or unreported,Iceland,ISL,IS,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",,Iceland,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,53.5862931324193,50.9006937393867,48.2521918812476,12,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_qIUDqqwfhyLfpp7 ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1qUGeHKP4l4uuJk,NA,2021-05-07,2021-05-07T11:33:25Z,1799,10,1723,868,51281,139.051,,,,,,15,15.1,2,-0.062896437942981,-0.351708650588989,0,76,353574,18422326336.9074,4.61147602956513,12.7758480776304,23.6368291538766,2,2,4.62989868232259,-0.685171818257238,52404
R_O2w9Xx58IKW2fXrCe,514200Ce,update,End of Policy,,"","Update: On 13 March the Minister of Health in Iceland announced that the operations of pre-primary and elementary schools would be limited and upper secondary schools (VET included) and universities were closed. As of 4 May, upper secondary schools and universities reopened with certain limitations, while elementary schools and pre-schools returned mostly to normal. UPDATE: On May 4th preschools and elementry schools will resume regular operation and junior colleges and universities will reopen",2020-04-14,2020-05-04,,The policy’s end date is unknown or unreported,Iceland,ISL,IS,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",,Iceland,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,53.5862931324193,50.9006937393867,48.2521918812476,12,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_qIUDqqwfhyLfpp7 ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1qUGeHKP4l4uuJk,NA,2021-05-07,2021-05-07T11:33:25Z,1799,10,1723,868,51281,139.051,,,,,,15,15.1,2,-0.062896437942981,-0.351708650588989,0,76,353574,18422326336.9074,4.61147602956513,12.7758480776304,23.6368291538766,2,2,4.62989868232259,-0.685171818257238,52404
