record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,link,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,state_IDC,muni_IDC,dispersive_IDC,constraining_IDC,inclusive_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,gdppc_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,lngdppc_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS,v2x_polyarchy_VDEM
R_1CI4xlvjnlHWQmYNA,9064618,new_entry,original,,,"February 4, 2020: The Minister of Health Roberto Speranza has stated in a press release that the Government will be collaborating with Twitter to contrast the circulation of fake news regarding COVID-19 on the platform. The platform will always display an insert of the official Ministry of Health website at the top of every search that includes COVID-19 related hashtags.",2020-02-04,2020-02-04,2021-04-28,Italy,ITA,IT,National,1,,,,Anti-Disinformation Measures,,,,Italy,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,"Ministry/Department of Health,Other (Please specify in the text box)",24.6235572930193,18.4622584328106,12.9445398855323,122,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioComunicatiNuovoCoronavirus.jsp?lingua=italiano&menu=salastampa&p=comunicatistampa&id=5406,2021-04-08,2021-04-08T19:14:19Z,2,0,0,,,,,,,,,52,2626,2,2,1.956452727,0.548431635,,0,47,60730582,2.05811e+12,33889.2453,0.731730561,17.9219579,28.3528109,10.430853,2,2,1.281103969,4.830110211,2963875,0.83012044
R_3NO3XfVzgoeNnXENA,3115620,new_entry,original,,,"February 7, 2020: The Minister of Health Roberto Speranza has stated in a press release that the Government will be collaborating with Facebook to contrast the circulation of fake news regarding COVID-19 on the platform. Facebook will display an insert of the Ministry of Health in every Facebook research that includes COVID-19 related keywords.",2020-02-07,2020-02-07,2021-04-28,Italy,ITA,IT,National,1,,,,Anti-Disinformation Measures,,,,Italy,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,"National Government,Other (Please specify in the text box)",26.9818390199008,20.2151962200626,15.0118162332766,128,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioComunicatiNuovoCoronavirus.jsp?lingua=italiano&menu=salastampa&p=comunicatistampa&id=5415,2021-04-08,2021-04-08T19:22:29Z,3,0,0,,,,,,,,,52,2626,2,2,1.956452727,0.548431635,,0,47,60730582,2.05811e+12,33889.2453,0.731730561,17.9219579,28.3528109,10.430853,2,2,1.281103969,4.830110211,2963875,0.83012044
R_33d9f2OBQ4W5uvQNA,4990959,new_entry,original,,,"February 28, 2020: The Minister of Health Roberto Speranza has stated in a press release that the government has reached an agreement with Youtube and Google. Google will display an insert of the Ministry of Health website in every browser/Youtube research that includes COVID-19 related keywords.",2020-02-28,2020-02-28,2021-04-28,Italy,ITA,IT,National,1,,,,Anti-Disinformation Measures,,,,Italy,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,"Ministry/Department of Health,Other (Please specify in the text box)",68.38188523788,64.9696827545385,61.7086450982748,137,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioComunicatiNuovoCoronavirus.jsp?lingua=italiano&menu=salastampa&p=comunicatistampa&id=5461,2021-04-08,2021-04-08T19:32:41Z,888,21,46,3681,15695,0.26,,,,,,52,2626,2,2,1.956452727,0.548431635,,0,47,60730582,2.05811e+12,33889.2453,0.731730561,17.9219579,28.3528109,10.430853,2,2,1.281103969,4.830110211,2963875,0.83012044
R_2X5tIPEhYrQnseGNA,7018250,new_entry,original,,,"March 28, 2020: The Government has instituted a new COVID-19 task forced dedicated specifically to monitoring and neutralizing the circulation of fake news as well as ensuring the spread of accurate information regarding the virus and COVID-19 related policies and increasing public awareness of current government guidelines. It will work closely with social media outlets and national newspapers.",2020-03-28,2020-03-28,2021-04-28,Italy,ITA,IT,National,1,,,,Anti-Disinformation Measures,,,,Italy,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,"Ministry/Department of Health,New (COVID-19 specific) Task Force",85.3893557040884,82.532187587102,79.556455981586,135,https://www.repubblica.it/politica/2020/04/05/news/task_force_anti_fake_news_martella_meloni-253198490/,2021-04-08,2021-04-08T19:44:37Z,92472,10023,12384,35447,429526,7.104,,,,,,52,2626,2,2,1.956452727,0.548431635,,0,47,60730582,2.05811e+12,33889.2453,0.731730561,17.9219579,28.3528109,10.430853,2,2,1.281103969,4.830110211,2963875,0.83012044
R_3G96WnKTKZwxquiNA,8198592,new_entry,correction,,,"April 14, 2020: The Italian Ministry of Health, with Comunicato n. 138, has inaugurated its own official Telegram channel. Upon subscription, the channel keeps its followers updated with accurate COVID-19 related information as policies/campaigns unfold.",2020-04-14,2020-04-14,,Italy,ITA,IT,National,1,,,,Anti-Disinformation Measures,,,,Italy,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,Ministry/Department of Health,83.6957531438541,80.6106084232965,77.4382781274996,128,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioComunicatiNuovoCoronavirus.jsp?lingua=italiano&menu=salastampa&p=comunicatistampa&id=5512,2021-04-28,2021-04-28T15:28:46Z,162488,21067,37130,26779,1073689,17.758,,,,,,52,2626,2,2,1.956452727,0.548431635,,0,47,60730582,2.05811e+12,33889.2453,0.731730561,17.9219579,28.3528109,10.430853,2,2,1.281103969,4.830110211,2963875,0.83012044
R_D2z16MhnikMYannNA,5892624,new_entry,correction,,,"April 16, 2020: the Italian Ministry of Health published refutations of leading fake news surrounding the virus.",2020-04-16,2020-04-16,,Italy,ITA,IT,National,1,,,,Anti-Disinformation Measures,,,,Italy,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,Ministry/Department of Health,84.0476297502867,80.8919455551499,77.64506653122,129,http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=4485,2021-04-20,2021-04-20T16:44:29Z,168941,22170,40164,60999,1178403,19.49,,,,,,52,2626,2,2,1.956452727,0.548431635,,0,47,60730582,2.05811e+12,33889.2453,0.731730561,17.9219579,28.3528109,10.430853,2,2,1.281103969,4.830110211,2963875,0.83012044
R_11ZokhyD43EwbuaNA,1437163,new_entry,original,,,"June 30, 2020: The Ministry of Health, the Institute of Health and the social media platform Tik Tok have collaborated to create a series of live virtual talks (“Parliamo di COVID-19”) in an effort to reach out to younger generations and address their questions and worries regarding COVID-19, as well as educating them on correct scientific information and health guidelines.",2020-06-30,2020-06-30,2021-04-28,Italy,ITA,IT,National,1,,,,Anti-Disinformation Measures,,,,Italy,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,"Ministry/Department of Health,Other (Please specify in the text box)",58.6381095476807,55.208880336398,51.6947075864774,47,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioComunicatiNuovoCoronavirus.jsp?lingua=italiano&menu=salastampa&p=comunicatistampa&id=5590,2021-04-08,2021-04-08T22:50:10Z,240578,34767,190248,48273,5390110,89.149,,,,,,52,2626,2,2,1.956452727,0.548431635,,0,47,60730582,2.05811e+12,33889.2453,0.731730561,17.9219579,28.3528109,10.430853,2,2,1.281103969,4.830110211,2963875,0.83012044
R_3rGSQIvZvP0s7ytCe,5811092Ce,new_entry,correction,,,"February 1, 2020: the Italian Ministry of Health stated that Italian students (tertiary education) should follow hygienic prevention measures: avoiding contacts with people showing symptoms and in case of use of paper handkerchiefs once used they must be thrown away",2020-02-01,2020-02-01,,Italy,ITA,IT,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions allowed to open with no conditions,Italy,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,"National Government,Ministry/Department of Health,Ministry/Department of Education",23.4351965521181,17.3156809422368,11.7871208766019,120,https://www.miur.gov.it/documents/20182/0/Circolare+Scuola.pdf/b0ec8ca3-be19-14eb-1e7f-98227b9ed495?version=1.1&t=1580573247760,2021-04-11,2021-04-11T19:26:31Z,2,0,0,,,,,,,,,52,2626,2,2,1.956452727,0.548431635,,0,47,60730582,2.05811e+12,33889.2453,0.731730561,17.9219579,28.3528109,10.430853,2,2,1.281103969,4.830110211,2963875,0.83012044
R_1cZkGzzdHbciKVxEa,1218410Ea,new_entry,original,,,"February 8, 2020: The Italian Ministry of Health issues an informative notice (Comunicato n.56) declaring that the memo for educational services has been updated, inspired by the principle of maximum precaution: all students’ health that in the previous 14 days have been in some affected areas of China, must be monitored daily by the Department of Prevention of the local health board, on the recommendation of the school manager and of the family.",2020-02-08,2020-02-08,,Italy,ITA,IT,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools allowed to open with no conditions,Italy,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Ministry/Department of Health,27.4610374214432,20.6700861015743,15.4033240018066,128,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioComunicatiNuovoCoronavirus.jsp?lingua=italiano&menu=salastampa&p=comunicatistampa&id=5418,2021-04-02,2021-04-02T08:53:10Z,3,0,0,,,,,,,,,52,2626,2,2,1.956452727,0.548431635,,0,47,60730582,2.05811e+12,33889.2453,0.731730561,17.9219579,28.3528109,10.430853,2,2,1.281103969,4.830110211,2963875,0.83012044
R_1cZkGzzdHbciKVxFj,1218410Fj,new_entry,original,,,"February 8, 2020: The Italian Ministry of Health issues an informative notice (Comunicato n.56) declaring that the memo for educational services has been updated, inspired by the principle of maximum precaution: all students’ health that in the previous 14 days have been in some affected areas of China, must be monitored daily by the Department of Prevention of the local health board, on the recommendation of the school manager and of the family.",2020-02-08,2020-02-08,,Italy,ITA,IT,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools allowed to open with no conditions,Italy,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Ministry/Department of Health,27.4610374214432,20.6700861015743,15.4033240018066,128,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioComunicatiNuovoCoronavirus.jsp?lingua=italiano&menu=salastampa&p=comunicatistampa&id=5418,2021-04-02,2021-04-02T08:53:10Z,3,0,0,,,,,,,,,52,2626,2,2,1.956452727,0.548431635,,0,47,60730582,2.05811e+12,33889.2453,0.731730561,17.9219579,28.3528109,10.430853,2,2,1.281103969,4.830110211,2963875,0.83012044
R_1cZkGzzdHbciKVxCe,1218410Ce,new_entry,original,,,"February 8, 2020: The Italian Ministry of Health issues an informative notice (Comunicato n.56) declaring that the memo for educational services has been updated, inspired by the principle of maximum precaution: all students’ health that in the previous 14 days have been in some affected areas of China, must be monitored daily by the Department of Prevention of the local health board, on the recommendation of the school manager and of the family.",2020-02-08,2020-02-08,,Italy,ITA,IT,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions allowed to open with no conditions,Italy,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Ministry/Department of Health,27.4610374214432,20.6700861015743,15.4033240018066,128,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioComunicatiNuovoCoronavirus.jsp?lingua=italiano&menu=salastampa&p=comunicatistampa&id=5418,2021-04-02,2021-04-02T08:53:10Z,3,0,0,,,,,,,,,52,2626,2,2,1.956452727,0.548431635,,0,47,60730582,2.05811e+12,33889.2453,0.731730561,17.9219579,28.3528109,10.430853,2,2,1.281103969,4.830110211,2963875,0.83012044
R_3fLAQq3aP6aCzHbDy,6850900Dy,new_entry,correction,,,"February 22, 2020: Italy is enforcing a School Closure in ten Municipalities in the northern region of Lombardy and Venetia:  Codogno; Castiglione; d’Adda; Casalpusterlengo; Fombio; Maleo; Somaglia; Bertonico; Terranova dei Passerini; Castelgerundo; San Fiorano; Vo.",2020-02-21,2020-02-22,2020-03-09,Italy,ITA,IT,Municipal,1,,,Codogno; Castiglione; d’Adda; Casalpusterlengo; Fombio; Maleo; Somaglia; Bertonico; Terranova dei Passerini; Castelgerundo; San Fiorano; Vo;,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,,Italy,,,,Codogno; Castiglione; d’Adda; Casalpusterlengo; Fombio; Maleo; Somaglia; Bertonico; Terranova dei Passerini; Castelgerundo; San Fiorano; Vo;,,All Residents (Citizen Residents + Foreign Residents),,,,National Government,53.901569342619,49.85096217613,46.2297393031482,135,https://www.spiegel.de/wissenschaft/medizin/italien-regierung-will-staedte-abriegeln-um-ausbreitung-von-coronavirus-a-c062891c-5c59-48a1-b8e3-eaf2578d2b9f,2021-01-18,2021-01-18T18:27:19Z,62,2,1,,,,,,,,,52,2626,2,2,1.956452727,0.548431635,,0,47,60730582,2.05811e+12,33889.2453,0.731730561,17.9219579,28.3528109,10.430853,2,2,1.281103969,4.830110211,2963875,0.83012044
