record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,pdf_link,link,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,muni_IDC,dispersive_IDC,constraining_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS
R_u7ErH6kopWttQnDEe,8464172Ee,new_entry,,,"","The Liberian Minister of Education Outlines Plans for the Reopening of Schools for 12th Graders only in 707 senior high schools in Liberia by June 29, 2020.",2020-06-05,2020-06-29,2020-07-13,The policy has an imprecise natural end date (e.g. masks will be distributed until they run out),Liberia,LBR,LR,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities allowed to open with conditions,Other conditions not listed above (please provide detail in the text entry),Yes,Liberia,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),People of a certain age (please note age range in the text entry),,,Mandatory (Unspecified/Implied),Other (Please specify in the text box),,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3noa7AOIb190V2i,https://www.liberianobserver.com/news/moe-outlined-plans-for-the-reopening-of-schools-for-12th-graders/,2021-06-07,2021-06-07T12:05:10Z,768,34,312,,,,,,,,,95,32.2,0,-0.452010333538055,0.838698863983154,13,31,4702228,2576870497.6872,2.46862609505123,15.3635469969108,21.6698415142252,2,1,0.542246482730488,-0.643403465316116,113779
R_u7ErH6kopWttQnDFp,8464172Fp,new_entry,,,"","The Liberian Minister of Education Outlines Plans for the Reopening of Schools for 12th Graders only in 707 senior high schools in Liberia by June 29, 2020.",2020-06-05,2020-06-29,2020-07-13,The policy has an imprecise natural end date (e.g. masks will be distributed until they run out),Liberia,LBR,LR,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools allowed to open with conditions,"Special provisions for all students in a school (e.g. students in primary school do not have to social distance),Other conditions not listed above (please provide detail in the text entry)",Yes,Liberia,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),People of a certain age (please note age range in the text entry),,,Mandatory (Unspecified/Implied),Other (Please specify in the text box),,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3noa7AOIb190V2i,https://www.liberianobserver.com/news/moe-outlined-plans-for-the-reopening-of-schools-for-12th-graders/,2021-06-07,2021-06-07T12:05:10Z,768,34,312,,,,,,,,,95,32.2,0,-0.452010333538055,0.838698863983154,13,31,4702228,2576870497.6872,2.46862609505123,15.3635469969108,21.6698415142252,2,1,0.542246482730488,-0.643403465316116,113779
R_u7ErH6kopWttQnDCb,8464172Cb,new_entry,,,"","The Liberian Minister of Education Outlines Plans for the Reopening of Schools for 12th Graders only in 707 senior high schools in Liberia by June 29, 2020.",2020-06-05,2020-06-29,2020-07-13,The policy has an imprecise natural end date (e.g. masks will be distributed until they run out),Liberia,LBR,LR,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",Yes,Liberia,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),People of a certain age (please note age range in the text entry),,,Mandatory (Unspecified/Implied),Other (Please specify in the text box),,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3noa7AOIb190V2i,https://www.liberianobserver.com/news/moe-outlined-plans-for-the-reopening-of-schools-for-12th-graders/,2021-06-07,2021-06-07T12:05:10Z,768,34,312,,,,,,,,,95,32.2,0,-0.452010333538055,0.838698863983154,13,31,4702228,2576870497.6872,2.46862609505123,15.3635469969108,21.6698415142252,2,1,0.542246482730488,-0.643403465316116,113779
R_3kn3EOm3Olgv87yCy,9447103,new_entry,,,"","On April 24, Liberian President George Weah announced  measures to  prevent the spread of coronavirus disease (COVID-19) Among other restrictions remaining in effect is a daily curfew at 15:00 (local time).",2020-04-24,2020-04-24,,The policy’s end date is unknown or unreported,Liberia,LBR,LR,National,1,,,,Curfew,No the curfew times are always the same regardless of the day of the week,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Liberia,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),"National Government,Police",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_RPG2FIICk3Alb4l,https://www.reuters.com/article/us-health-coronavirus-liberia-idUSKCN21U0QU ; https://www.garda.com/crisis24/news-alerts/336071/liberia-president-extends-lockdown-measures-for-two-weeks-from-april-24-update-6,2021-11-07,2021-11-07T08:21:12Z,101,8,25,,,,,,,,,95,32.2,0,-0.452010333538055,0.838698863983154,13,31,4702228,2576870497.6872,2.46862609505123,15.3635469969108,21.6698415142252,2,1,0.542246482730488,-0.643403465316116,113779
R_1gbAb2z7Gdh29ppNA,9869450,new_entry,,,"",The Government of Liberia has declared a state of national health emergency.,2020-03-21,2020-03-21,2020-04-11,The policy has a clear end date,Liberia,LBR,LR,National,1,,,,Declaration of Emergency,,,"",,,,,,"","","","","","","","","","","",,,,"",,Liberia,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Exceptions (Please list exceptions in the text entry),"National Government,Ministry/Department of Health",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_25udTEK7pBtRWAS,https://frontpageafricaonline.com/news/liberia-declares-a-state-of-health-emergency-in-wake-of-coronavirus-pandemic/,2021-06-07,2021-06-07T12:09:17Z,3,0,0,,,,,,,,,95,32.2,0,-0.452010333538055,0.838698863983154,13,31,4702228,2576870497.6872,2.46862609505123,15.3635469969108,21.6698415142252,2,1,0.542246482730488,-0.643403465316116,113779
R_WClhRDRhuDwHsGdNA,6583590,new_entry,,,"","""On March 22, the Liberian Ministry of Health released a Declaration of National Health Emergency."" The Declaration announces school closures and restrictions on public gatherings in Monteserrado and Margibi counties, as well as the closure of Roberts International Airport (with limited exceptions).",2020-03-22,2020-03-23,2020-04-11,The policy has a clear end date,Liberia,LBR,LR,National,1,,,,Declaration of Emergency,,,"",,,,,,"","","","","","","","","","","",,,,"",,Liberia,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),Ministry/Department of Health,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_pz8gPl1cWfvXf69,https://lr.usembassy.gov/covid-19-information/,2021-06-07,2021-06-07T12:13:35Z,3,0,0,,,,,,,,,95,32.2,0,-0.452010333538055,0.838698863983154,13,31,4702228,2576870497.6872,2.46862609505123,15.3635469969108,21.6698415142252,2,1,0.542246482730488,-0.643403465316116,113779
R_z7EqXltQtQ1Ao1zNA,7812380,new_entry,,,"","Liberia's President George Weah announces that he intends to declare a state of emergency starting at 23:59 (local time) on Friday, April 10, due to the coronavirus disease (COVID-19) pandemic. President Weah has called for an emergency session of parliament so that MPs can approve the measure. The emergency law would last for three weeks and is renewable. Throughout this period, residents may only leave home for essential journeys such as food shopping and for medical purposes, which should be restricted to local communities and be limited to a single person per household for a maximum of one hour.",2020-04-08,2020-04-10,2020-05-01,The policy has a clear end date,Liberia,LBR,LR,National,1,,,,Declaration of Emergency,,,"",,,,,,"","","","","","","","","","","",,,,"",,Liberia,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Provincial/State Government",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1ItGkaxFLrh7nfd,https://www.reuters.com/article/us-health-coronavirus-ethiopia/ethiopia-and-liberia-declare-states-of-emergency-to-curb-coronavirus-idUSKBN21Q16T,2020-05-05,2020-05-05T15:31:07Z,31,4,3,,,,,,,,,95,32.2,0,-0.452010333538055,0.838698863983154,13,31,4702228,2576870497.6872,2.46862609505123,15.3635469969108,21.6698415142252,2,1,0.542246482730488,-0.643403465316116,113779
R_W8uAmOnToFPp4rfNA,928893,new_entry,,,"","Liberia's President George Weah announced that he intends to declare a state of emergency starting at 23:59 (local time) on Friday, April 10, due to the coronavirus disease (COVID-19) pandemic. President Weah has called for an emergency session of parliament so that MPs can approve the measure. The emergency law would last for three weeks and is renewable.",2020-04-08,2020-04-10,2020-05-01,The policy has a clear end date,Liberia,LBR,LR,National,1,,,,Declaration of Emergency,,,"",,,,,,"","","","","","","","","","","",,,,"",,Liberia,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2ZUBn1dw2oI0EE2,https://www.reuters.com/article/us-health-coronavirus-ethiopia/ethiopia-and-liberia-declare-states-of-emergency-to-curb-coronavirus-idUSKBN21Q16T,2021-10-16,2021-10-16T07:33:07Z,31,4,3,,,,,,,,,95,32.2,0,-0.452010333538055,0.838698863983154,13,31,4702228,2576870497.6872,2.46862609505123,15.3635469969108,21.6698415142252,2,1,0.542246482730488,-0.643403465316116,113779
R_1hG1Ry0tFjxWQPzNA,3685463,new_entry,,,"","President George Weah announced that Liberia's stay-at-home measures in place to prevent the spread of coronavirus disease (COVID-19) will be extended by a further two weeks through until Friday, May 8. The measures have been in place since Saturday, April 11, and will now include the compulsory wearing of face masks in public. Among other restrictions remaining in effect is a daily curfew at 15:00 (local time), a ban on movement between counties, and the closure of all non-essential businesses.",2020-04-24,2020-04-24,,,Liberia,LBR,LR,National,1,,,,Declaration of Emergency,,,"",,,,,,"","","","","","","","","","","",,,,"",,Liberia,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1ow26PN4xYkcJIP,https://www.garda.com/crisis24/news-alerts/336071/liberia-president-extends-lockdown-measures-for-two-weeks-from-april-24-update-6,2020-04-28,2020-04-28T15:39:20Z,101,8,25,,,,,,,,,95,32.2,0,-0.452010333538055,0.838698863983154,13,31,4702228,2576870497.6872,2.46862609505123,15.3635469969108,21.6698415142252,2,1,0.542246482730488,-0.643403465316116,113779
R_27sbDuR0S6OYsB7NA,928893,update,Change of Policy,Strengthening,timing of policy strengthening,"Liberia's President George Weah announced that he intends to declare a state of emergency starting at 23:59 (local time) on Friday, April 10, due to the coronavirus disease (COVID-19) pandemic. President Weah has called for an emergency session of parliament so that MPs can approve the measure. The emergency law would last for three weeks and is renewable. Throughout this period, residents may only leave home for essential journeys such as food shopping and for medical purposes, which should be restricted to local communities and be limited to a single person per household for a maximum of one hour. UPDATE: The original quarantine was set to last until May 8th, has been extended to another 2 weeks, ending May 22nd",2020-05-08,2020-05-08,2020-05-22,The policy has a clear end date,Liberia,LBR,LR,National,1,,,,Declaration of Emergency,,,"",,,,,,"","","","","","","","","","","",,,,"",,Liberia,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2ZUBn1dw2oI0EE2 ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3CZbQ2RGX0UBb9Q,NA ; https://emansion.gov.lr/2press.php?news_id=5148&related=7&pg=sp,2020-06-01,2020-06-01T21:35:09Z,189,20,79,,,,,,,,,95,32.2,0,-0.452010333538055,0.838698863983154,13,31,4702228,2576870497.6872,2.46862609505123,15.3635469969108,21.6698415142252,2,1,0.542246482730488,-0.643403465316116,113779
