record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,link,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,state_IDC,muni_IDC,dispersive_IDC,constraining_IDC,inclusive_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,gdppc_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,lngdppc_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS,v2x_polyarchy_VDEM
R_3gRXqIH0gAGbRsKNA,8248654,new_entry,original,,,"The Maldives Commissioner of Police, Mohamed Hameed stated on April 20th, 2020 that legal action would be taken against those who spread false information regarding COVID-19, creating fear, and panic among the public. Legal action would be taken against those who harass or spread telltales regarding infected people.",2020-04-20,2020-04-20,,Maldives,MDV,MV,National,1,,,,Anti-Disinformation Measures,,,,Maldives,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),"Police,Other (Please specify in the text box)",,,,,https://avas.mv/en/81603,2020-08-17,2020-08-17T16:21:08Z,69,0,16,,,,,,,,,117,3930,0,,,,,,36,409163,2954819941,7221.62057,2.846643498,12.9218688,21.8067035,8.88483466,2,1,1.603200555,,1327,0.39072486
R_2Tplyylttwp2E4FDy,6608847Dy,new_entry,original,,,"Maldives requires that all academic institutions ""to temporarily suspend all activities in campus for 2 (two) weeks,"" effective March 14, 2020.",2020-03-14,2020-03-14,2020-03-28,Maldives,MDV,MV,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Maldives,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Ministry/Department of Health,,,,,https://covid19.health.gov.mv/wp-content/uploads/2020/03/notice-number-7-suspension-ofactivities-in-all-university.pdf,2020-06-23,2020-06-23T20:42:18Z,10,0,0,,,,,,,,,117,3930,0,,,,,,36,409163,2954819941,7221.62057,2.846643498,12.9218688,21.8067035,8.88483466,2,1,1.603200555,,1327,0.39072486
R_2Tplyylttwp2E4FEa,6608847Ea,new_entry,original,,,"Maldives requires that all academic institutions ""to temporarily suspend all activities in campus for 2 (two) weeks,"" effective March 14, 2020.",2020-03-14,2020-03-14,2020-03-28,Maldives,MDV,MV,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Maldives,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Ministry/Department of Health,,,,,https://covid19.health.gov.mv/wp-content/uploads/2020/03/notice-number-7-suspension-ofactivities-in-all-university.pdf,2020-06-23,2020-06-23T20:42:18Z,10,0,0,,,,,,,,,117,3930,0,,,,,,36,409163,2954819941,7221.62057,2.846643498,12.9218688,21.8067035,8.88483466,2,1,1.603200555,,1327,0.39072486
R_2Tplyylttwp2E4FFj,6608847Fj,new_entry,original,,,"Maldives requires that all academic institutions ""to temporarily suspend all activities in campus for 2 (two) weeks,"" effective March 14, 2020.",2020-03-14,2020-03-14,2020-03-28,Maldives,MDV,MV,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Maldives,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Ministry/Department of Health,,,,,https://covid19.health.gov.mv/wp-content/uploads/2020/03/notice-number-7-suspension-ofactivities-in-all-university.pdf,2020-06-23,2020-06-23T20:42:18Z,10,0,0,,,,,,,,,117,3930,0,,,,,,36,409163,2954819941,7221.62057,2.846643498,12.9218688,21.8067035,8.88483466,2,1,1.603200555,,1327,0.39072486
R_2Tplyylttwp2E4FCe,6608847Ce,new_entry,original,,,"Maldives requires that all academic institutions ""to temporarily suspend all activities in campus for 2 (two) weeks,"" effective March 14, 2020.",2020-03-14,2020-03-14,2020-03-28,Maldives,MDV,MV,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Maldives,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Ministry/Department of Health,,,,,https://covid19.health.gov.mv/wp-content/uploads/2020/03/notice-number-7-suspension-ofactivities-in-all-university.pdf,2020-06-23,2020-06-23T20:42:18Z,10,0,0,,,,,,,,,117,3930,0,,,,,,36,409163,2954819941,7221.62057,2.846643498,12.9218688,21.8067035,8.88483466,2,1,1.603200555,,1327,0.39072486
R_2YLITABsUmwNHOHNA,7667485,new_entry,original,,,"The Director General of Public Health, Maldives, on 31st March, 2020, issued an order effective from 12:00pm 2nd April, 2020 that between 5:00pm and 8pm there is a curfew enforcing stay-at-home orders restricting any and all road traffic (regarding pedestrians and vehicles).

Exception to this rule are law enforcement and health providers and their vehicles, Waste Management Corporation, telecommunications, banks, stelco, and MWSC staff in uniform and on duty and their vehicles, state vehicles with 'G' license boards, diplomatic vehicles, ambulances, individuals with special pass from National Emergency Operations Centre (NEOC), individuals working in pharmacies and their vehicles, and vehicles with special stickers from the Health Protection Agency.",2020-03-31,2020-04-02,,Maldives,MDV,MV,National,1,,,,Curfew,,,,Maldives,One or more geographical or administrative units within one or more countries,,,"Male', Hulhumale', and Villimale'",,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Exceptions (Please list exceptions in the text entry),"National Government,Ministry/Department of Health",,,,,https://covid19.health.gov.mv/wp-content/uploads/2020/04/Notice-number-28-Eng.pdf,2020-08-14,2020-08-14T13:20:02Z,19,0,13,92,1291,2.388,,,,,,117,3930,0,,,,,,36,409163,2954819941,7221.62057,2.846643498,12.9218688,21.8067035,8.88483466,2,1,1.603200555,,1327,0.39072486
R_2QA1uGOmX6xatA9NA,6005232,new_entry,original,,,"The Director General of Public Health, Maldives, on 31st March, 2020, issued an order effective from 12:00pm 2nd April, 2020 that between 5:00pm and 8pm there is a curfew for suspension of all public transport services (bus and ferry).

Exception to this rule are law enforcement and health providers and their vehicles, Waste Management Corporation, telecommunications, banks, stelco, and MWSC staff in uniform and on duty and their vehicles, state vehicles with 'G' license boards, diplomatic vehicles, ambulances, individuals with special pass from National Emergency Operations Centre (NEOC), individuals working in pharmacies and their vehicles, and vehicles with special stickers from the Health Protection Agency.
",2020-03-31,2020-04-02,,Maldives,MDV,MV,National,1,,,,Curfew,,,,Maldives,One or more geographical or administrative units within one or more countries,,,"Male', Hulhumale', and Villimale'",,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Exceptions (Please list exceptions in the text entry),"National Government,Ministry/Department of Health",,,,,https://covid19.health.gov.mv/wp-content/uploads/2020/04/Notice-number-28-Eng.pdf,2020-08-14,2020-08-14T13:24:39Z,19,0,13,92,1291,2.388,,,,,,117,3930,0,,,,,,36,409163,2954819941,7221.62057,2.846643498,12.9218688,21.8067035,8.88483466,2,1,1.603200555,,1327,0.39072486
R_1pYxTOekr2FmEP6NA,4619171,new_entry,original,,,"Mar. 12 --- Maldives have ,,declared its first ever state of public health emergency on Thursday, over the COVID-19 pandemic.''

,,Minister of Health Abdulla Ameen stated that the emergency, declared under Section 33 of the 7/2012 Public Health Act, would be in effect from March 12 onwards for a period of 30 days.''",2020-03-12,2020-03-12,2020-04-13,Maldives,MDV,MV,National,1,,,,Declaration of Emergency,,,,Maldives,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Ministry/Department of Health,,,,,https://edition.mv/news/15463,2020-04-02,2020-04-02T19:19:18Z,8,0,0,,,,,,,,,117,3930,0,,,,,,36,409163,2954819941,7221.62057,2.846643498,12.9218688,21.8067035,8.88483466,2,1,1.603200555,,1327,0.39072486
R_1i4cxi8B0aDu95SNA,4366761,new_entry,original,,,"On March 12, 2020 the Maldives Minister of Health, Abdulla Ameen declared a state of public health emergency in Maldives, for a 30-day long period. 

The state of emergency has been extended six times and has now been extended to September 6th, 2020.",2020-03-12,2020-03-12,2020-09-06,Maldives,MDV,MV,National,1,,,,Declaration of Emergency,,,,Maldives,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),"National Government,Ministry/Department of Health",,,,,https://raajje.mv/73034 ; https://raajje.mv/83890,2020-08-12,2020-08-12T12:26:29Z,8,0,0,,,,,,,,,117,3930,0,,,,,,36,409163,2954819941,7221.62057,2.846643498,12.9218688,21.8067035,8.88483466,2,1,1.603200555,,1327,0.39072486
R_238gbXUIjm1rnVfFz,505341,new_entry,original,,,"Feb. 4 --- The government of the Maldives and the Tourism Ministry of the Maldives with the guidance of the Health Protection Agency of the Maldives (HPA) placed a temporary travel restriction for the passengers originating from, transiting to or with a travel history from China.

Maldivians and spouses of Maldivians who are foreign nationals will be allowed in but may be subject to quarantine measures.",2020-02-03,2020-02-04,,Maldives,MDV,MV,National,0,,,,External Border Restrictions,Travel History Form (e.g. documents where traveler has recently been),,,"China,Hong Kong,Macau",One or more countries and one or more regional groupings,,,,,All (Travelers + Residents),Inbound,All kinds of transport,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",,,,,https://www.straitstimes.com/asia/south-asia/coronavirus-maldives-bans-travellers-from-china-over-virus-fears-minister-says ; https://covid19.health.gov.mv/en/,2020-04-03,2020-04-03T12:01:06Z,0,0,0,,,,,,,,,117,3930,0,,,,,,36,409163,2954819941,7221.62057,2.846643498,12.9218688,21.8067035,8.88483466,2,1,1.603200555,,1327,0.39072486
R_C1U0vAuMgD8BLOxFz,896055,new_entry,original,,,"Mar. 8 --- The government of the Maldives and the Tourism Ministry of the Maldives with the guidance of the Health Protection Agency of the Maldives (HPA) placed a temporary travel restriction for the passengers originating from, transiting to or with a travel history from Italy.

  Maldivians and spouses of Maldivians who are foreign nationals will be allowed in but may be subject to quarantine measures.",2020-03-07,2020-03-08,,Maldives,MDV,MV,National,0,,,,External Border Restrictions,Travel History Form (e.g. documents where traveler has recently been),,,Italy,"One or more countries, but not all countries",,,,,All (Travelers + Residents),Inbound,All kinds of transport,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",,,,,https://covid19.health.gov.mv/en/,2020-04-03,2020-04-03T13:07:21Z,4,0,0,,,,,,,,,117,3930,0,,,,,,36,409163,2954819941,7221.62057,2.846643498,12.9218688,21.8067035,8.88483466,2,1,1.603200555,,1327,0.39072486
R_3NDQONcmRGZZ1t3Fz,2118269,new_entry,original,,,"Mar. 15 --- The government of the Maldives and the Tourism Ministry of the Maldives with the guidance of the Health Protection Agency of the Maldives (HPA) placed a temporary travel restriction for the passengers originating from, transiting to or with a travel history from Germany (Bavaria, North Rhine-Westphalia and Baden-Württemberg), Spain (All provinces and regions) and France (Île-de-France and Grand Est).

 Maldivians and spouses of Maldivians who are foreign nationals will be allowed in but may be subject to quarantine measures.",2020-03-14,2020-03-15,,Maldives,MDV,MV,National,0,,,,External Border Restrictions,Travel History Form (e.g. documents where traveler has recently been),,,"France,Germany,Spain","One or more countries, but not all countries",,,,,All (Travelers + Residents),Inbound,All kinds of transport,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",,,,,https://covid19.health.gov.mv/en/,2020-04-03,2020-04-03T13:17:31Z,13,0,0,,,,,,,,,117,3930,0,,,,,,36,409163,2954819941,7221.62057,2.846643498,12.9218688,21.8067035,8.88483466,2,1,1.603200555,,1327,0.39072486
