record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,pdf_link,link,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,muni_IDC,dispersive_IDC,constraining_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS
R_3OpEtqWJjfDCJbEEl,4459722El,update,End of Policy,,"","On March 17th, the government of Mali announced that schools will be closed for 3 weeks, starting on March 19th. On April 8th, the closure has been extended until May 9th. UPDATE: The original closure of school was set to last for three weeks until April 9, it has been extended on April 8 by the government to May 9 2020.",2020-03-17,2020-03-19,2020-05-09,The policy has a clear end date,Mali,MLI,ML,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",,Mali,,,,,,,Citizen Residents,Other population not specifed above,,,Mandatory (Unspecified/Implied),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_O8XzGzuHNBdB56x ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2CEyqlOz77q4XFu,http://www.sante.gov.ml/index.php/actualites/communiques/item/3455-communique-de-la-session-extraordinaire-du-conseil-superieur-de-la-defense-nationale-du-17-mars-2020 ; file:///C:/Users/bcvb/Downloads/UNICEF%20Mali%20COVID-19%20Situation%20Report%20No.%202%20-%209%20April%20-%2025%20April%202020.pdf ; https://niarela.net/societe/education-societe/covid-19-la-fermeture-des-ecoles-prolongee-jusquau-9-mai,2020-05-06,2020-05-06T07:52:28Z,0,0,0,,,,,,,,,108,34.1,2,-0.824784338474274,0.548431634902954,16,31,18512394,14146600518.5282,5.40000010323682,16.7339510116809,23.3727401861315,2,1,1.18058346573711,-0.681560074134219,420504
R_3OpEtqWJjfDCJbEEm,4459722Em,update,End of Policy,,"","On March 17th, the government of Mali announced that schools will be closed for 3 weeks, starting on March 19th. On April 8th, the closure has been extended until May 9th. UPDATE: The original closure of school was set to last for three weeks until April 9, it has been extended on April 8 by the government to May 9 2020.",2020-03-17,2020-03-19,2020-05-09,The policy has a clear end date,Mali,MLI,ML,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",,Mali,,,,,,,Citizen Residents,Other population not specifed above,,,Mandatory (Unspecified/Implied),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_O8XzGzuHNBdB56x ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2CEyqlOz77q4XFu,http://www.sante.gov.ml/index.php/actualites/communiques/item/3455-communique-de-la-session-extraordinaire-du-conseil-superieur-de-la-defense-nationale-du-17-mars-2020 ; file:///C:/Users/bcvb/Downloads/UNICEF%20Mali%20COVID-19%20Situation%20Report%20No.%202%20-%209%20April%20-%2025%20April%202020.pdf ; https://niarela.net/societe/education-societe/covid-19-la-fermeture-des-ecoles-prolongee-jusquau-9-mai,2020-05-06,2020-05-06T07:52:28Z,0,0,0,,,,,,,,,108,34.1,2,-0.824784338474274,0.548431634902954,16,31,18512394,14146600518.5282,5.40000010323682,16.7339510116809,23.3727401861315,2,1,1.18058346573711,-0.681560074134219,420504
R_3OpEtqWJjfDCJbEFw,4459722Fw,update,End of Policy,,"","On March 17th, the government of Mali announced that schools will be closed for 3 weeks, starting on March 19th. On April 8th, the closure has been extended until May 9th. UPDATE: The original closure of school was set to last for three weeks until April 9, it has been extended on April 8 by the government to May 9 2020.",2020-03-17,2020-03-19,2020-05-09,The policy has a clear end date,Mali,MLI,ML,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",,Mali,,,,,,,Citizen Residents,Other population not specifed above,,,Mandatory (Unspecified/Implied),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_O8XzGzuHNBdB56x ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2CEyqlOz77q4XFu,http://www.sante.gov.ml/index.php/actualites/communiques/item/3455-communique-de-la-session-extraordinaire-du-conseil-superieur-de-la-defense-nationale-du-17-mars-2020 ; file:///C:/Users/bcvb/Downloads/UNICEF%20Mali%20COVID-19%20Situation%20Report%20No.%202%20-%209%20April%20-%2025%20April%202020.pdf ; https://niarela.net/societe/education-societe/covid-19-la-fermeture-des-ecoles-prolongee-jusquau-9-mai,2020-05-06,2020-05-06T07:52:28Z,0,0,0,,,,,,,,,108,34.1,2,-0.824784338474274,0.548431634902954,16,31,18512394,14146600518.5282,5.40000010323682,16.7339510116809,23.3727401861315,2,1,1.18058346573711,-0.681560074134219,420504
R_3OpEtqWJjfDCJbECe,4459722Ce,update,End of Policy,,"","On March 17th, the government of Mali announced that schools will be closed for 3 weeks, starting on March 19th. On April 8th, the closure has been extended until May 9th. UPDATE: The original closure of school was set to last for three weeks until April 9, it has been extended on April 8 by the government to May 9 2020.",2020-03-17,2020-03-19,2020-05-09,The policy has a clear end date,Mali,MLI,ML,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",,Mali,,,,,,,Citizen Residents,Other population not specifed above,,,Mandatory (Unspecified/Implied),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_O8XzGzuHNBdB56x ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2CEyqlOz77q4XFu,http://www.sante.gov.ml/index.php/actualites/communiques/item/3455-communique-de-la-session-extraordinaire-du-conseil-superieur-de-la-defense-nationale-du-17-mars-2020 ; file:///C:/Users/bcvb/Downloads/UNICEF%20Mali%20COVID-19%20Situation%20Report%20No.%202%20-%209%20April%20-%2025%20April%202020.pdf ; https://niarela.net/societe/education-societe/covid-19-la-fermeture-des-ecoles-prolongee-jusquau-9-mai,2020-05-06,2020-05-06T07:52:28Z,0,0,0,,,,,,,,,108,34.1,2,-0.824784338474274,0.548431634902954,16,31,18512394,14146600518.5282,5.40000010323682,16.7339510116809,23.3727401861315,2,1,1.18058346573711,-0.681560074134219,420504
R_R9SLirn1V5GDcUFEl,4459722El,update,Change of Policy,Relaxing,"","On March 17th, the government of Mali announced that schools will be closed for 3 weeks, starting on March 19th. UPDATE: In Mali, schools - originally closed from March 19 - reopened on June 2 for university students and final year students who face final exams. The partial resumption of classes was boycotted by public sector teachers over fears of inadequate protection against Covid-19.",2020-06-02,2020-04-09,2020-06-02,The policy has a clear end date,Mali,MLI,ML,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",,Mali,,,,,,,Citizen Residents,Other population not specifed above,,,Mandatory (Unspecified/Implied),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_Y3K7rxPGYDvGwhj ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2CEyqlOz77q4XFu,http://www.sante.gov.ml/index.php/actualites/communiques/item/3455-communique-de-la-session-extraordinaire-du-conseil-superieur-de-la-defense-nationale-du-17-mars-2020,2021-07-03,2021-07-03T00:53:35Z,74,7,22,,,,,,,,,108,34.1,2,-0.824784338474274,0.548431634902954,16,31,18512394,14146600518.5282,5.40000010323682,16.7339510116809,23.3727401861315,2,1,1.18058346573711,-0.681560074134219,420504
R_R9SLirn1V5GDcUFEm,4459722Em,update,Change of Policy,Relaxing,"","On March 17th, the government of Mali announced that schools will be closed for 3 weeks, starting on March 19th. UPDATE: In Mali, schools - originally closed from March 19 - reopened on June 2 for university students and final year students who face final exams. The partial resumption of classes was boycotted by public sector teachers over fears of inadequate protection against Covid-19.",2020-06-02,2020-04-09,2020-06-02,The policy has a clear end date,Mali,MLI,ML,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",,Mali,,,,,,,Citizen Residents,Other population not specifed above,,,Mandatory (Unspecified/Implied),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_Y3K7rxPGYDvGwhj ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2CEyqlOz77q4XFu,http://www.sante.gov.ml/index.php/actualites/communiques/item/3455-communique-de-la-session-extraordinaire-du-conseil-superieur-de-la-defense-nationale-du-17-mars-2020,2021-07-03,2021-07-03T00:53:35Z,74,7,22,,,,,,,,,108,34.1,2,-0.824784338474274,0.548431634902954,16,31,18512394,14146600518.5282,5.40000010323682,16.7339510116809,23.3727401861315,2,1,1.18058346573711,-0.681560074134219,420504
R_R9SLirn1V5GDcUFFw,4459722Fw,update,Change of Policy,Relaxing,"","On March 17th, the government of Mali announced that schools will be closed for 3 weeks, starting on March 19th. UPDATE: In Mali, schools - originally closed from March 19 - reopened on June 2 for university students and final year students who face final exams. The partial resumption of classes was boycotted by public sector teachers over fears of inadequate protection against Covid-19.",2020-06-02,2020-04-09,2020-06-02,The policy has a clear end date,Mali,MLI,ML,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",,Mali,,,,,,,Citizen Residents,Other population not specifed above,,,Mandatory (Unspecified/Implied),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_Y3K7rxPGYDvGwhj ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2CEyqlOz77q4XFu,http://www.sante.gov.ml/index.php/actualites/communiques/item/3455-communique-de-la-session-extraordinaire-du-conseil-superieur-de-la-defense-nationale-du-17-mars-2020,2021-07-03,2021-07-03T00:53:35Z,74,7,22,,,,,,,,,108,34.1,2,-0.824784338474274,0.548431634902954,16,31,18512394,14146600518.5282,5.40000010323682,16.7339510116809,23.3727401861315,2,1,1.18058346573711,-0.681560074134219,420504
R_R9SLirn1V5GDcUFCe,4459722Ce,update,Change of Policy,Relaxing,"","On March 17th, the government of Mali announced that schools will be closed for 3 weeks, starting on March 19th. UPDATE: In Mali, schools - originally closed from March 19 - reopened on June 2 for university students and final year students who face final exams. The partial resumption of classes was boycotted by public sector teachers over fears of inadequate protection against Covid-19.",2020-06-02,2020-04-09,2020-06-02,The policy has a clear end date,Mali,MLI,ML,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",,Mali,,,,,,,Citizen Residents,Other population not specifed above,,,Mandatory (Unspecified/Implied),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_Y3K7rxPGYDvGwhj ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2CEyqlOz77q4XFu,http://www.sante.gov.ml/index.php/actualites/communiques/item/3455-communique-de-la-session-extraordinaire-du-conseil-superieur-de-la-defense-nationale-du-17-mars-2020,2021-07-03,2021-07-03T00:53:35Z,74,7,22,,,,,,,,,108,34.1,2,-0.824784338474274,0.548431634902954,16,31,18512394,14146600518.5282,5.40000010323682,16.7339510116809,23.3727401861315,2,1,1.18058346573711,-0.681560074134219,420504
R_1NqvI2tge1SYqgYEl,4459722El,new_entry,,Relaxing,"","On March 17th, the government of Mali announced that schools will be closed for 3 weeks, starting on March 19th.",2020-06-02,2020-06-02,2020-04-09,The policy has a clear end date,Mali,MLI,ML,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,Mali,,,,,,,Citizen Residents,Other population not specifed above,,,Mandatory (Unspecified/Implied),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_Y3K7rxPGYDvGwhj ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2CEyqlOz77q4XFu,NA,2021-04-22,2021-04-22T17:46:34Z,1351,78,769,,,,,,,,,108,34.1,2,-0.824784338474274,0.548431634902954,16,31,18512394,14146600518.5282,5.40000010323682,16.7339510116809,23.3727401861315,2,1,1.18058346573711,-0.681560074134219,420504
R_1NqvI2tge1SYqgYEm,4459722Em,new_entry,,Relaxing,"","On March 17th, the government of Mali announced that schools will be closed for 3 weeks, starting on March 19th.",2020-06-02,2020-06-02,2020-04-09,The policy has a clear end date,Mali,MLI,ML,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,Mali,,,,,,,Citizen Residents,Other population not specifed above,,,Mandatory (Unspecified/Implied),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_Y3K7rxPGYDvGwhj ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2CEyqlOz77q4XFu,NA,2021-04-22,2021-04-22T17:46:34Z,1351,78,769,,,,,,,,,108,34.1,2,-0.824784338474274,0.548431634902954,16,31,18512394,14146600518.5282,5.40000010323682,16.7339510116809,23.3727401861315,2,1,1.18058346573711,-0.681560074134219,420504
