record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,pdf_link,link,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,muni_IDC,dispersive_IDC,constraining_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS
R_1inGzzoPyQt03UONA,4914205,new_entry,,,"",On March 20 the Security and Intelligence Service of the Republic of Moldova decided executive measures for eliminating COVID-19 related misinformation. Internet providers will cease the access to fake news websites during the state of emergency.,2020-03-20,2020-03-20,,,Moldova,MDA,MD,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",,Moldova,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Fines,"National Government,Other (Please specify in the text box)",56.7787717819654,53.3049379978119,49.9854048814082,68,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2QnQzjFySRM0ck5,https://www.sis.md/en/content/executive-measures-eliminating-causes-and-conditions-contribute-threats-national-security,2020-05-01,2020-05-01T13:35:11Z,66,1,1,,,,,,,,,91,31.1,2,-0.824784338474274,-0.31783652305603,8,31,3549196,9151593756.55574,4.69079342838687,15.0822316569281,22.9371938821104,2,1,0.249926918547173,5.63572688074547,106374
R_3k0WHkpE7Kk4rsFNA,3350012,new_entry,,,"","From March 27, the providers of media services in Moldova will be obliged to broadcast information about COVID-19 exclusively from mandatorily verified sources, by mandatorily presenting the position of the competent pubic authorities.",2020-03-27,2020-03-27,,,Moldova,MDA,MD,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",,Moldova,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,75.578402681671,72.1184246560819,68.8456485480033,114,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2urILg2kXfwL0ok,https://www.ipn.md/en/print/new-decision-concerning-media-coverage-of-covid-19--7967_1072508.html,2020-05-15,2020-05-15T20:15:05Z,199,2,2,,,,,,,,,91,31.1,2,-0.824784338474274,-0.31783652305603,8,31,3549196,9151593756.55574,4.69079342838687,15.0822316569281,22.9371938821104,2,1,0.249926918547173,5.63572688074547,106374
R_1ghW8M922mVEc7fNA,5226036,new_entry,,,"","Moldova's Ministry of Health, Labor and Social Protection (in partnership with the Office of the World Health Organization of the Republic of Moldova and the UN Office for Human Rights), has launched a campaign to help combat the social stigmatization of people who are infected with, have recovered from or work with those who have COVID-19.",2020-09-17,2020-09-17,,,Moldova,MDA,MD,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Moldova,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),"Homeless population,People with certain health conditions (please note which health conditions in the text entry),Essential workers (please note their occuption in the text entry where applicable)",,,Voluntary/Recommended but No Penalties,"Ministry/Department of Health,Other (Please specify in the text box)",54.3813392463352,51.3943862620336,47.8761290159791,43,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1N6iofXDv6BvucV,https://www.jurnaltv.md/news/643b9f10ff0a5a84/in-r-moldova-a-inceput-campania-de-informare-reducerea-stigmei-asociate-cu-covid-19.html,2020-09-22,2020-09-22T07:31:00Z,44983,1170,33239,,,,,,,,,91,31.1,2,-0.824784338474274,-0.31783652305603,8,31,3549196,9151593756.55574,4.69079342838687,15.0822316569281,22.9371938821104,2,1,0.249926918547173,5.63572688074547,106374
R_1Kfrg9GIJcO49HrEe,4563050Ee,new_entry,,,"","On March 11, Moldova closed all its schools and educational establishments",2020-03-11,2020-03-11,,,Moldova,MDA,MD,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",,Moldova,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Provincial/State Government,Municipal Government",49.0725481262973,45.0062263572397,40.5450231360368,108,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_12tpZ3VcsgRtOGK,https://www.reuters.com/article/us-health-coronavirus-moldova/moldova-closes-schools-universities-to-prevent-virus-spread-idUSKBN20Y0VP,2020-04-02,2020-04-02T13:07:46Z,3,0,0,,,,,,,,,91,31.1,2,-0.824784338474274,-0.31783652305603,8,31,3549196,9151593756.55574,4.69079342838687,15.0822316569281,22.9371938821104,2,1,0.249926918547173,5.63572688074547,106374
R_1Kfrg9GIJcO49HrEf,4563050Ef,new_entry,,,"","On March 11, Moldova closed all its schools and educational establishments",2020-03-11,2020-03-11,,,Moldova,MDA,MD,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",,Moldova,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Provincial/State Government,Municipal Government",49.0725481262973,45.0062263572397,40.5450231360368,108,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_12tpZ3VcsgRtOGK,https://www.reuters.com/article/us-health-coronavirus-moldova/moldova-closes-schools-universities-to-prevent-virus-spread-idUSKBN20Y0VP,2020-04-02,2020-04-02T13:07:46Z,3,0,0,,,,,,,,,91,31.1,2,-0.824784338474274,-0.31783652305603,8,31,3549196,9151593756.55574,4.69079342838687,15.0822316569281,22.9371938821104,2,1,0.249926918547173,5.63572688074547,106374
R_1Kfrg9GIJcO49HrFp,4563050Fp,new_entry,,,"","On March 11, Moldova closed all its schools and educational establishments",2020-03-11,2020-03-11,,,Moldova,MDA,MD,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",,Moldova,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Provincial/State Government,Municipal Government",49.0725481262973,45.0062263572397,40.5450231360368,108,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_12tpZ3VcsgRtOGK,https://www.reuters.com/article/us-health-coronavirus-moldova/moldova-closes-schools-universities-to-prevent-virus-spread-idUSKBN20Y0VP,2020-04-02,2020-04-02T13:07:46Z,3,0,0,,,,,,,,,91,31.1,2,-0.824784338474274,-0.31783652305603,8,31,3549196,9151593756.55574,4.69079342838687,15.0822316569281,22.9371938821104,2,1,0.249926918547173,5.63572688074547,106374
R_1Kfrg9GIJcO49HrCb,4563050Cb,new_entry,,,"","On March 11, Moldova closed all its schools and educational establishments",2020-03-11,2020-03-11,,,Moldova,MDA,MD,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",,Moldova,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Provincial/State Government,Municipal Government",49.0725481262973,45.0062263572397,40.5450231360368,108,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_12tpZ3VcsgRtOGK,https://www.reuters.com/article/us-health-coronavirus-moldova/moldova-closes-schools-universities-to-prevent-virus-spread-idUSKBN20Y0VP,2020-04-02,2020-04-02T13:07:46Z,3,0,0,,,,,,,,,91,31.1,2,-0.824784338474274,-0.31783652305603,8,31,3549196,9151593756.55574,4.69079342838687,15.0822316569281,22.9371938821104,2,1,0.249926918547173,5.63572688074547,106374
R_1qa3cCotzNC2s2WNA,967704,new_entry,,,"","The movement of citizens through the town of Sângerei, Moldova, will be restricted, in particular after 10pm between March 21 and April 1.",2020-03-21,2020-03-21,2020-04-01,The policy has a clear end date,Moldova,MDA,MD,Municipal,1,Singerei,MD-SI,Singerei,Curfew,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Moldova,One or more cities within one or more countries,,Singerei,Singerei,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"Military,Municipal Government,Police",58.8607770433688,55.2004473188505,51.8255329735505,71,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_NURSw383taBe00h,https://www.ipn.md/en/print/sangerei-town-placed-under-quarantine--7967_1072353.html,2020-05-15,2020-05-15T19:34:54Z,80,1,1,,,,,,,,,91,31.1,2,-0.824784338474274,-0.31783652305603,8,31,3549196,9151593756.55574,4.69079342838687,15.0822316569281,22.9371938821104,2,1,0.249926918547173,5.63572688074547,106374
R_Qi7SWLtt39fvsNbNA,2911622,new_entry,,,"","On March 16, The Parliament of Moldova declared a State of Emergency allowing the government to impose additional border controls, limit movement, prohibit large gatherings, manage food supplies, and coordinate media messaging about the pandemic. It will end in 60 days.
",2020-03-16,2020-03-16,2020-05-15,The policy has a clear end date,Moldova,MDA,MD,National,1,,,,Declaration of Emergency,,,"",,,,,,"","","","","","","","","","","",,,,"",,Moldova,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),National Government,53.6191101947075,50.0647371329577,46.4150444558291,88,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_Ck2uyKnx2bGeLol,https://md.usembassy.gov/moldovan-government-has-declared-a-state-of-emergency-in-response-to-the-covid-19/,2020-04-01,2020-04-01T15:03:44Z,23,0,0,,,,,,,,,91,31.1,2,-0.824784338474274,-0.31783652305603,8,31,3549196,9151593756.55574,4.69079342838687,15.0822316569281,22.9371938821104,2,1,0.249926918547173,5.63572688074547,106374
R_29ssZVWyAoE9AxqNA,2431564,new_entry,,,"",A state of emergency was declared in the Transnistrian region of Moldova. It will last from March 17 until April 5.,2020-03-17,2020-03-17,2020-04-05,The policy has a clear end date,Moldova,MDA,MD,Provincial,1,Transnistria,,,Declaration of Emergency,,,"",,,,,,"","","","","","","","","","","",,,,"",,Moldova,,,Transnistria,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),Provincial/State Government,53.9852047885487,50.6440433775985,47.2808144342257,85,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1FmJW2QOIC7Moem,https://www.ipn.md/en/print/state-of-emergency-amid-covid-19-pandemic-declared-in-transnistria--7967_1072252.html,2020-05-15,2020-05-15T18:53:43Z,30,0,1,,,,,,,,,91,31.1,2,-0.824784338474274,-0.31783652305603,8,31,3549196,9151593756.55574,4.69079342838687,15.0822316569281,22.9371938821104,2,1,0.249926918547173,5.63572688074547,106374
