record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,link,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,state_IDC,muni_IDC,dispersive_IDC,constraining_IDC,inclusive_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,gdppc_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,lngdppc_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS,v2x_polyarchy_VDEM
R_3fPEv3U7VviQZonNA,9950598,new_entry,original,,,"North Korea calling on Ministry of State Security to crack down on mobile phone contact with the outside world and information leaks about the coronavirus in the country’s “border areas,” including North Hamgyong Province, Ryanggang Province, North Pyongan Province, and Rajin-Sonbong.",2020-02-11,2020-02-11,,North Korea,PRK,KP,National,1,,,,Anti-Disinformation Measures,,,,North Korea,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),National Government,,,,,https://www.dailynk.com/english/north-koreans-nabbed-sending-mobile-texts-about-coronavirus/,2020-05-17,2020-05-17T15:55:09Z,,,,,,,,,,,,180,8498,2,2,,-0.96776634,-0.20141026,7,12,25155317,,,,17.0405798,,,1,0,-1.8265618,,211216,0.09721017
R_3MRtrskdsxEUkxsNA,9950598,update,original,Change of Policy,,"North Korea calling on Ministry of State Security to crack down on mobile phone contact with the outside world and information leaks about the coronavirus in the country’s “border areas,” including North Hamgyong Province, Ryanggang Province, North Pyongan Province, and Rajin-Sonbong. UPDATE: Adding end date policy.",2020-02-11,2020-02-11,,North Korea,PRK,KP,National,1,,,,Anti-Disinformation Measures,,,,North Korea,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),National Government,,,,,https://www.dailynk.com/english/north-koreans-nabbed-sending-mobile-texts-about-coronavirus/,2021-01-27,2021-01-27T09:25:48Z,,,,,,,,,,,,180,8498,2,2,,-0.96776634,-0.20141026,7,12,25155317,,,,17.0405798,,,1,0,-1.8265618,,211216,0.09721017
R_1Nq1XMeiYDcUYQwDy,7807956Dy,new_entry,original,,,North Korea made the decision to close all of its schools for one month starting Feb. 20,2020-02-20,2020-02-20,2020-03-19,North Korea,PRK,KP,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,North Korea,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,https://www.dailynk.com/english/north-korea-closes-schools-throughout-country-one-month/,2020-05-24,2020-05-24T14:05:50Z,,,,,,,,,,,,180,8498,2,2,,-0.96776634,-0.20141026,7,12,25155317,,,,17.0405798,,,1,0,-1.8265618,,211216,0.09721017
R_1Nq1XMeiYDcUYQwEa,7807956Ea,new_entry,original,,,North Korea made the decision to close all of its schools for one month starting Feb. 20,2020-02-20,2020-02-20,2020-03-19,North Korea,PRK,KP,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,North Korea,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,https://www.dailynk.com/english/north-korea-closes-schools-throughout-country-one-month/,2020-05-24,2020-05-24T14:05:50Z,,,,,,,,,,,,180,8498,2,2,,-0.96776634,-0.20141026,7,12,25155317,,,,17.0405798,,,1,0,-1.8265618,,211216,0.09721017
R_1Nq1XMeiYDcUYQwFj,7807956Fj,new_entry,original,,,North Korea made the decision to close all of its schools for one month starting Feb. 20,2020-02-20,2020-02-20,2020-03-19,North Korea,PRK,KP,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,North Korea,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,https://www.dailynk.com/english/north-korea-closes-schools-throughout-country-one-month/,2020-05-24,2020-05-24T14:05:50Z,,,,,,,,,,,,180,8498,2,2,,-0.96776634,-0.20141026,7,12,25155317,,,,17.0405798,,,1,0,-1.8265618,,211216,0.09721017
R_1Nq1XMeiYDcUYQwCe,7807956Ce,new_entry,original,,,North Korea made the decision to close all of its schools for one month starting Feb. 20,2020-02-20,2020-02-20,2020-03-19,North Korea,PRK,KP,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,North Korea,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,https://www.dailynk.com/english/north-korea-closes-schools-throughout-country-one-month/,2020-05-24,2020-05-24T14:05:50Z,,,,,,,,,,,,180,8498,2,2,,-0.96776634,-0.20141026,7,12,25155317,,,,17.0405798,,,1,0,-1.8265618,,211216,0.09721017
R_3Oz70HMfiQbbPbzDy,3500715Dy,new_entry,original,,,"North Korea is keeping kindergarten and schools closed for all but soon-to-be-graduating high school students, until May 20th.",2020-02-20,2020-02-20,2020-05-20,North Korea,PRK,KP,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,North Korea,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,https://kcnawatch.org/newstream/1589722006-308772021/educational-institutions-open/ ; https://en.yna.co.kr/view/AEN20200420011000325?section=nk/nk ; https://www.dailynk.com/english/north-korean-schools-gradually-reopening/,2020-06-01,2020-06-01T14:49:35Z,,,,,,,,,,,,180,8498,2,2,,-0.96776634,-0.20141026,7,12,25155317,,,,17.0405798,,,1,0,-1.8265618,,211216,0.09721017
R_3Oz70HMfiQbbPbzEa,3500715Ea,new_entry,original,,,"North Korea is keeping kindergarten and schools closed for all but soon-to-be-graduating high school students, until May 20th.",2020-02-20,2020-02-20,2020-05-20,North Korea,PRK,KP,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,North Korea,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,https://kcnawatch.org/newstream/1589722006-308772021/educational-institutions-open/ ; https://en.yna.co.kr/view/AEN20200420011000325?section=nk/nk ; https://www.dailynk.com/english/north-korean-schools-gradually-reopening/,2020-06-01,2020-06-01T14:49:35Z,,,,,,,,,,,,180,8498,2,2,,-0.96776634,-0.20141026,7,12,25155317,,,,17.0405798,,,1,0,-1.8265618,,211216,0.09721017
R_3Oz70HMfiQbbPbzFj,3500715Fj,new_entry,original,,,"North Korea is keeping kindergarten and schools closed for all but soon-to-be-graduating high school students, until May 20th.",2020-02-20,2020-02-20,2020-05-20,North Korea,PRK,KP,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools allowed to open with conditions,North Korea,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,https://kcnawatch.org/newstream/1589722006-308772021/educational-institutions-open/ ; https://en.yna.co.kr/view/AEN20200420011000325?section=nk/nk ; https://www.dailynk.com/english/north-korean-schools-gradually-reopening/,2020-06-01,2020-06-01T14:49:35Z,,,,,,,,,,,,180,8498,2,2,,-0.96776634,-0.20141026,7,12,25155317,,,,17.0405798,,,1,0,-1.8265618,,211216,0.09721017
R_21FidE5IhQ7Fv6xDy,7807956Dy,update,original,End of Policy,,North Korea made the decision to close all of its schools for one month starting Feb. 20 UPDATE: Students of colleges and universities at all levels and graduates-to-be of senior middle schools are allowed back in schools on April 17th.,2020-02-20,2020-02-20,2020-04-17,North Korea,PRK,KP,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,North Korea,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,NA ; https://kcnawatch.org/newstream/1589722006-308772021/educational-institutions-open/ ; https://en.yna.co.kr/view/AEN20200420011000325?section=nk/nk ; https://www.dailynk.com/english/north-korean-schools-gradually-reopening/,2020-06-01,2020-06-01T14:34:12Z,,,,,,,,,,,,180,8498,2,2,,-0.96776634,-0.20141026,7,12,25155317,,,,17.0405798,,,1,0,-1.8265618,,211216,0.09721017
