record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,pdf_link,link,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,muni_IDC,dispersive_IDC,constraining_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS
R_21msljU3VL4xnk4El,2672863El,new_entry,,,"","Poland is closing schools and universities for two weeks from thursday the 12th of March to the 15th of March. Speaking at a joint conference following a special meeting on coronavirus, the ministers said that pre-schools and schools would stop teaching on Thursday, but limited care would still be provided this week to the youngest children.",2020-03-11,2020-03-12,2020-03-25,The policy has a clear end date,Poland,POL,PL,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",,Poland,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),"National Government,Ministry/Department of Health,Other (Please specify in the text box)",50.8764088326475,46.6967805956317,42.1658355238016,105,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3Rl48qLjCEZ2Ckf,https://tvn24.pl/tvn24-news-in-english/coronavirus-crisis-polandshuts-all-schools-museums-cinemas-for-two-weeks-4346981,2020-03-28,2020-03-28T12:56:38Z,49,1,0,,603,0.016,,,,,,62,28.6,1,1.44043707847595,0.548431634902954,0,60,37974826,601720558485.059,4.93766324502775,17.4524340244738,27.1230589859233,2,2,1.66554456179387,4.8835145664111,619403
R_21msljU3VL4xnk4Em,2672863Em,new_entry,,,"","Poland is closing schools and universities for two weeks from thursday the 12th of March to the 15th of March. Speaking at a joint conference following a special meeting on coronavirus, the ministers said that pre-schools and schools would stop teaching on Thursday, but limited care would still be provided this week to the youngest children.",2020-03-11,2020-03-12,2020-03-25,The policy has a clear end date,Poland,POL,PL,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",,Poland,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),"National Government,Ministry/Department of Health,Other (Please specify in the text box)",50.8764088326475,46.6967805956317,42.1658355238016,105,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3Rl48qLjCEZ2Ckf,https://tvn24.pl/tvn24-news-in-english/coronavirus-crisis-polandshuts-all-schools-museums-cinemas-for-two-weeks-4346981,2020-03-28,2020-03-28T12:56:38Z,49,1,0,,603,0.016,,,,,,62,28.6,1,1.44043707847595,0.548431634902954,0,60,37974826,601720558485.059,4.93766324502775,17.4524340244738,27.1230589859233,2,2,1.66554456179387,4.8835145664111,619403
R_21msljU3VL4xnk4Fw,2672863Fw,new_entry,,,"","Poland is closing schools and universities for two weeks from thursday the 12th of March to the 15th of March. Speaking at a joint conference following a special meeting on coronavirus, the ministers said that pre-schools and schools would stop teaching on Thursday, but limited care would still be provided this week to the youngest children.",2020-03-11,2020-03-12,2020-03-25,The policy has a clear end date,Poland,POL,PL,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",,Poland,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),"National Government,Ministry/Department of Health,Other (Please specify in the text box)",50.8764088326475,46.6967805956317,42.1658355238016,105,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3Rl48qLjCEZ2Ckf,https://tvn24.pl/tvn24-news-in-english/coronavirus-crisis-polandshuts-all-schools-museums-cinemas-for-two-weeks-4346981,2020-03-28,2020-03-28T12:56:38Z,49,1,0,,603,0.016,,,,,,62,28.6,1,1.44043707847595,0.548431634902954,0,60,37974826,601720558485.059,4.93766324502775,17.4524340244738,27.1230589859233,2,2,1.66554456179387,4.8835145664111,619403
R_21msljU3VL4xnk4Ce,2672863Ce,new_entry,,,"","Poland is closing schools and universities for two weeks from thursday the 12th of March to the 15th of March. Speaking at a joint conference following a special meeting on coronavirus, the ministers said that pre-schools and schools would stop teaching on Thursday, but limited care would still be provided this week to the youngest children.",2020-03-11,2020-03-12,2020-03-25,The policy has a clear end date,Poland,POL,PL,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",,Poland,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),"National Government,Ministry/Department of Health,Other (Please specify in the text box)",50.8764088326475,46.6967805956317,42.1658355238016,105,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3Rl48qLjCEZ2Ckf,https://tvn24.pl/tvn24-news-in-english/coronavirus-crisis-polandshuts-all-schools-museums-cinemas-for-two-weeks-4346981,2020-03-28,2020-03-28T12:56:38Z,49,1,0,,603,0.016,,,,,,62,28.6,1,1.44043707847595,0.548431634902954,0,60,37974826,601720558485.059,4.93766324502775,17.4524340244738,27.1230589859233,2,2,1.66554456179387,4.8835145664111,619403
R_30wsZF59oRPYzmeEm,5301014Em,new_entry,,,"","On March 12th 2020 the Polish government mandated that classes in kindergarten, schools, and universities will be suspended from March 12th till march 25th.",2020-03-12,2020-03-12,2020-03-25,The policy has a clear end date,Poland,POL,PL,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",Yes,Poland,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,50.8764088326475,46.6967805956317,42.1658355238016,105,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1gAdWwMzqWZ10XP,https://twitter.com/PremierRP_en/status/1237777172317814784,2021-08-24,2021-08-24T15:04:36Z,49,1,0,,603,0.016,,,,,,62,28.6,1,1.44043707847595,0.548431634902954,0,60,37974826,601720558485.059,4.93766324502775,17.4524340244738,27.1230589859233,2,2,1.66554456179387,4.8835145664111,619403
R_elKb3PXbg35reUhFw,6766669Fw,new_entry,,,"","On March 12th 2020 the Polish government mandated that classes in kindergarten, schools, and universities will be suspended from March 12th till march 25th.",2020-03-12,2020-03-12,2020-03-25,The policy has a clear end date,Poland,POL,PL,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",Yes,Poland,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,50.8764088326475,46.6967805956317,42.1658355238016,105,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2vcyAKtwJLYh8uP,https://twitter.com/PremierRP_en/status/1237777172317814784,2021-08-24,2021-08-24T15:08:36Z,49,1,0,,603,0.016,,,,,,62,28.6,1,1.44043707847595,0.548431634902954,0,60,37974826,601720558485.059,4.93766324502775,17.4524340244738,27.1230589859233,2,2,1.66554456179387,4.8835145664111,619403
R_sd4Zcq3lCXbLYvDFw,9655700Fw,new_entry,,,"","On March 12th 2020 the Polish government mandated that classes in kindergarten, schools, and universities will be suspended from March 12th till march 25th.",2020-03-12,2020-03-12,2020-03-25,The policy has a clear end date,Poland,POL,PL,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",Yes,Poland,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,50.8764088326475,46.6967805956317,42.1658355238016,105,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3rOpAGq6iG3nwbr,https://twitter.com/PremierRP_en/status/1237777172317814784,2021-08-24,2021-08-24T15:31:14Z,49,1,0,,603,0.016,,,,,,62,28.6,1,1.44043707847595,0.548431634902954,0,60,37974826,601720558485.059,4.93766324502775,17.4524340244738,27.1230589859233,2,2,1.66554456179387,4.8835145664111,619403
R_sd4Zcq3lCXbLYvDCe,9655700Ce,new_entry,,,"","On March 12th 2020 the Polish government mandated that classes in kindergarten, schools, and universities will be suspended from March 12th till march 25th.",2020-03-12,2020-03-12,2020-03-25,The policy has a clear end date,Poland,POL,PL,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",Yes,Poland,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,50.8764088326475,46.6967805956317,42.1658355238016,105,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3rOpAGq6iG3nwbr,https://twitter.com/PremierRP_en/status/1237777172317814784,2021-08-24,2021-08-24T15:31:14Z,49,1,0,,603,0.016,,,,,,62,28.6,1,1.44043707847595,0.548431634902954,0,60,37974826,601720558485.059,4.93766324502775,17.4524340244738,27.1230589859233,2,2,1.66554456179387,4.8835145664111,619403
R_sSQHm742jYS89NvEm,8863480Em,new_entry,,,"","Poland
March 12th 2020
Two week break from Physical meetings....
""
Remote classes and home learning

Teachers and university lecturers can send their pupils and students materials to work from home. All this so that the coronavirus does not affect the implementation of educational programs.

Schools

A break in the functioning of the school does not mean days off from school. Read your favorite book, fill in your knowledge or develop your competences. Use the free epodreczniki.pl platform and materials recommended by your teacher.
More information: https://epodreczniki.pl/  

Colleges

Classes at universities can be carried out remotely. In addition, scientists, doctoral students or prospective doctoral students may conduct research activities. Suspension of classes does not limit the conduct of research.
Students and academic teachers will also be able to use the Navoica e-learning platform""",2020-03-12,2020-03-12,2020-03-25,The policy has a clear end date,Poland,POL,PL,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",Yes,Poland,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Education,Other (Please specify in the text box)",50.8764088326475,46.6967805956317,42.1658355238016,105,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2CleJpelJikFzsB,http://web.archive.org/web/20200313040005/https://www.gov.pl/web/koronawirus/uczniu-i-studencie--zostan-w-domu-i-ogranicz-kontakty-towarzyskie,2022-04-18,2022-04-18T15:20:38Z,49,1,0,,603,0.016,,,,,,62,28.6,1,1.44043707847595,0.548431634902954,0,60,37974826,601720558485.059,4.93766324502775,17.4524340244738,27.1230589859233,2,2,1.66554456179387,4.8835145664111,619403
R_sSQHm742jYS89NvFw,8863480Fw,new_entry,,,"","Poland
March 12th 2020
Two week break from Physical meetings....
""
Remote classes and home learning

Teachers and university lecturers can send their pupils and students materials to work from home. All this so that the coronavirus does not affect the implementation of educational programs.

Schools

A break in the functioning of the school does not mean days off from school. Read your favorite book, fill in your knowledge or develop your competences. Use the free epodreczniki.pl platform and materials recommended by your teacher.
More information: https://epodreczniki.pl/  

Colleges

Classes at universities can be carried out remotely. In addition, scientists, doctoral students or prospective doctoral students may conduct research activities. Suspension of classes does not limit the conduct of research.
Students and academic teachers will also be able to use the Navoica e-learning platform""",2020-03-12,2020-03-12,2020-03-25,The policy has a clear end date,Poland,POL,PL,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",Yes,Poland,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Education,Other (Please specify in the text box)",50.8764088326475,46.6967805956317,42.1658355238016,105,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2CleJpelJikFzsB,http://web.archive.org/web/20200313040005/https://www.gov.pl/web/koronawirus/uczniu-i-studencie--zostan-w-domu-i-ogranicz-kontakty-towarzyskie,2022-04-18,2022-04-18T15:20:38Z,49,1,0,,603,0.016,,,,,,62,28.6,1,1.44043707847595,0.548431634902954,0,60,37974826,601720558485.059,4.93766324502775,17.4524340244738,27.1230589859233,2,2,1.66554456179387,4.8835145664111,619403
