record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,pdf_link,link,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,muni_IDC,dispersive_IDC,constraining_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS
R_263I29z2pVOlyGtNA,5836111,new_entry,,,"","On July 07, 2020. Defense Minister stated the need to strengthen cyber defense capacity and combat disinformation. The first is « reinforcement of the NATO and EU's response capacity to this type of emergencies"", which will be a priority of the Portuguese presidency of the European Union, in the first half of 2021. , the capacity of the Government and society to combat disinformation, because «digitization will be one of the main boards on which the global strategic chess of the 21st century will be played». complex emergencies"" which, in particular due to climate change, are expected to continue to multiply. The Minister stated that these priorities ""will have some implications tions in terms of investment in assets and capabilities', namely by privileging civil and military 'dual-use assets and capabilities'.",2020-07-07,2020-07-07,,The policy’s end date is unknown or unreported,Portugal,PRT,PT,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Portugal,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Military,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_262yzKtp14b2gLg,https://www.portugal.gov.pt/pt/gc22/comunicacao/noticia?i=digitalizacao-sera-um-dos-principais-tabuleiros-estrategicos-do-seculo-xxi,2022-03-14,2022-03-14T14:21:48Z,44416,1629,29445,16690,1309023,128.74,,,,,,10,11.8,2,-0.281669557094574,0.717352688312531,0,64,10281762,246707408374.239,2.44126692937017,16.1458822040821,26.2314688899224,2,2,1.39515410986993,4.65199715414571,888162
R_2y1xEl3KpSVAfZ3Fb,6766296Fb,new_entry,,,"","Portugal, March 09, 2020. The general directorate of health (DGS) announced closure of all schools in the Felgueiras and Lousada areas, due to a second child testing positive for Covid-19.
",2020-03-09,2020-03-09,,The policy’s end date is unknown or unreported,Portugal,PRT,PT,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",No,Portugal,One or more cities within one or more countries,,Porto,Felgueiras and Lousada areas,,,All (Travelers + Residents),Essential workers (please note their occuption in the text entry where applicable),,,Mandatory (Unspecified/Implied),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2duSuTUXhk05rf0,https://www.portugalresident.com/covid-19-portugal-round-up/,2021-12-10,2021-12-10T10:36:55Z,30,0,0,175,670,0.066,,,,,,10,11.8,2,-0.281669557094574,0.717352688312531,0,64,10281762,246707408374.239,2.44126692937017,16.1458822040821,26.2314688899224,2,2,1.39515410986993,4.65199715414571,888162
R_2y1xEl3KpSVAfZ3Gl,6766296Gl,new_entry,,,"","Portugal, March 09, 2020. The general directorate of health (DGS) announced closure of all schools in the Felgueiras and Lousada areas, due to a second child testing positive for Covid-19.
",2020-03-09,2020-03-09,,The policy’s end date is unknown or unreported,Portugal,PRT,PT,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",No,Portugal,One or more cities within one or more countries,,Porto,Felgueiras and Lousada areas,,,All (Travelers + Residents),Essential workers (please note their occuption in the text entry where applicable),,,Mandatory (Unspecified/Implied),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2duSuTUXhk05rf0,https://www.portugalresident.com/covid-19-portugal-round-up/,2021-12-10,2021-12-10T10:36:55Z,30,0,0,175,670,0.066,,,,,,10,11.8,2,-0.281669557094574,0.717352688312531,0,64,10281762,246707408374.239,2.44126692937017,16.1458822040821,26.2314688899224,2,2,1.39515410986993,4.65199715414571,888162
R_2TZToc6hex7T623Ez,6071964Ez,new_entry,,,"","Portugal, March 16, 2020. Suspension of Teaching and Non-Teaching Activities. The Government determined, as of 16 March and reevaluated on April 9 of 2020, the suspension of in-person teaching and non-teaching and vocational activities for students in public, private and cooperative and of social and solidary preschool, basic, secondary and higher education educational establishments.",2020-03-16,2020-03-16,2020-04-09,The policy has a clear end date,Portugal,PRT,PT,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",Yes,Portugal,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Essential workers (please note their occuption in the text entry where applicable),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Education",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_25Bm6mPTo81YM4O,https://www.acm.gov.pt/-/covid-19-medidas-orientacoes-e-recomendacoes,2021-12-13,2021-12-13T09:59:15Z,331,0,3,1683,7932,0.78,,,,,,10,11.8,2,-0.281669557094574,0.717352688312531,0,64,10281762,246707408374.239,2.44126692937017,16.1458822040821,26.2314688899224,2,2,1.39515410986993,4.65199715414571,888162
R_2TZToc6hex7T623Fb,6071964Fb,new_entry,,,"","Portugal, March 16, 2020. Suspension of Teaching and Non-Teaching Activities. The Government determined, as of 16 March and reevaluated on April 9 of 2020, the suspension of in-person teaching and non-teaching and vocational activities for students in public, private and cooperative and of social and solidary preschool, basic, secondary and higher education educational establishments.",2020-03-16,2020-03-16,2020-04-09,The policy has a clear end date,Portugal,PRT,PT,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",Yes,Portugal,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Essential workers (please note their occuption in the text entry where applicable),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Education",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_25Bm6mPTo81YM4O,https://www.acm.gov.pt/-/covid-19-medidas-orientacoes-e-recomendacoes,2021-12-13,2021-12-13T09:59:15Z,331,0,3,1683,7932,0.78,,,,,,10,11.8,2,-0.281669557094574,0.717352688312531,0,64,10281762,246707408374.239,2.44126692937017,16.1458822040821,26.2314688899224,2,2,1.39515410986993,4.65199715414571,888162
R_2TZToc6hex7T623Gl,6071964Gl,new_entry,,,"","Portugal, March 16, 2020. Suspension of Teaching and Non-Teaching Activities. The Government determined, as of 16 March and reevaluated on April 9 of 2020, the suspension of in-person teaching and non-teaching and vocational activities for students in public, private and cooperative and of social and solidary preschool, basic, secondary and higher education educational establishments.",2020-03-16,2020-03-16,2020-04-09,The policy has a clear end date,Portugal,PRT,PT,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",Yes,Portugal,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Essential workers (please note their occuption in the text entry where applicable),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Education",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_25Bm6mPTo81YM4O,https://www.acm.gov.pt/-/covid-19-medidas-orientacoes-e-recomendacoes,2021-12-13,2021-12-13T09:59:15Z,331,0,3,1683,7932,0.78,,,,,,10,11.8,2,-0.281669557094574,0.717352688312531,0,64,10281762,246707408374.239,2.44126692937017,16.1458822040821,26.2314688899224,2,2,1.39515410986993,4.65199715414571,888162
R_2TZToc6hex7T623Cr,6071964Cr,new_entry,,,"","Portugal, March 16, 2020. Suspension of Teaching and Non-Teaching Activities. The Government determined, as of 16 March and reevaluated on April 9 of 2020, the suspension of in-person teaching and non-teaching and vocational activities for students in public, private and cooperative and of social and solidary preschool, basic, secondary and higher education educational establishments.",2020-03-16,2020-03-16,2020-04-09,The policy has a clear end date,Portugal,PRT,PT,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",Yes,Portugal,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Essential workers (please note their occuption in the text entry where applicable),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Education",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_25Bm6mPTo81YM4O,https://www.acm.gov.pt/-/covid-19-medidas-orientacoes-e-recomendacoes,2021-12-13,2021-12-13T09:59:15Z,331,0,3,1683,7932,0.78,,,,,,10,11.8,2,-0.281669557094574,0.717352688312531,0,64,10281762,246707408374.239,2.44126692937017,16.1458822040821,26.2314688899224,2,2,1.39515410986993,4.65199715414571,888162
R_3ilQ3tH50Dy9PqYCr,1524797Cr,new_entry,,,"","Portugal ""Council of Ministers changes the schedule for the  access to higher education in 2020""April 9 2020",2020-04-09,2020-04-09,2020-11-03,The policy has a clear end date,Portugal,PRT,PT,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,,"",,Portugal,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_12Qigqye66fEesq,https://www.portugal.gov.pt/pt/gc22/comunicacao/noticia?i=conselho-de-ministros-altera-calendario-acesso-ensino-superior,2021-11-09,2021-11-09T18:52:42Z,13956,409,205,12209,167240,16.448,,,,,,10,11.8,2,-0.281669557094574,0.717352688312531,0,64,10281762,246707408374.239,2.44126692937017,16.1458822040821,26.2314688899224,2,2,1.39515410986993,4.65199715414571,888162
R_21aItcDn0gjsxqjEz,6071964Ez,update,Change of Policy,Strengthening,timing of policy strengthening,"Portugal, April 09, 2020. Suspension of Teaching and Non-Teaching Activities. The Government determined the extension of the suspension of in-person teaching and non-teaching and vocational activities for students in public, private and cooperative and of social and solidary preschool, basic, secondary and higher education educational establishments. This measure applies until May 18, 2020.
 UPDATE: Extension dates.",2020-04-09,2020-04-09,2020-05-18,The policy has a clear end date,Portugal,PRT,PT,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",Yes,Portugal,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Essential workers (please note their occuption in the text entry where applicable),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Education",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_25Bm6mPTo81YM4O ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_UAPR8lW3VxXN2Uh,NA ; https://www.cedefop.europa.eu/en/news/portugal-responses-covid-19-outbreak,2021-12-15,2021-12-15T10:59:21Z,13956,409,205,12209,167240,16.448,,,,,,10,11.8,2,-0.281669557094574,0.717352688312531,0,64,10281762,246707408374.239,2.44126692937017,16.1458822040821,26.2314688899224,2,2,1.39515410986993,4.65199715414571,888162
R_21aItcDn0gjsxqjFb,6071964Fb,update,Change of Policy,Strengthening,timing of policy strengthening,"Portugal, April 09, 2020. Suspension of Teaching and Non-Teaching Activities. The Government determined the extension of the suspension of in-person teaching and non-teaching and vocational activities for students in public, private and cooperative and of social and solidary preschool, basic, secondary and higher education educational establishments. This measure applies until May 18, 2020.
 UPDATE: Extension dates.",2020-04-09,2020-04-09,2020-05-18,The policy has a clear end date,Portugal,PRT,PT,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",Yes,Portugal,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Essential workers (please note their occuption in the text entry where applicable),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Education",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_25Bm6mPTo81YM4O ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_UAPR8lW3VxXN2Uh,NA ; https://www.cedefop.europa.eu/en/news/portugal-responses-covid-19-outbreak,2021-12-15,2021-12-15T10:59:21Z,13956,409,205,12209,167240,16.448,,,,,,10,11.8,2,-0.281669557094574,0.717352688312531,0,64,10281762,246707408374.239,2.44126692937017,16.1458822040821,26.2314688899224,2,2,1.39515410986993,4.65199715414571,888162
