record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,pdf_link,link,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,muni_IDC,dispersive_IDC,constraining_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS
R_33fi73V37kn8pUWEf,4405512Ef,new_entry,,,"","The Republic of the Congo is closing ""primary, secondary, technical, and vocational centers; as well as institutions of high education"" on March 19th 2020",2020-03-18,2020-03-19,,,Republic of the Congo,COG,CG,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",,Republic of the Congo,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,31.8557585006386,26.6866109579895,21.3929935730119,7,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2aZG20SEGaMD9y9,https://www.africanews.com/2020/03/19/covid-19-congo-records-2-more-cases-the-morning-call/ ; https://www.panapress.com/Coronavirus-Congo-tightens-new-m-a_630633066-lang2.html,2020-04-04,2020-04-04T06:27:53Z,3,0,0,,,,,,,,,118,36.5,0,0.0435144416987896,0.463496714830399,13,21,5110702,13765310419.9542,-3.10000000000001,15.4468473304352,23.3454175266818,2,1,0.77050452105682,-0.840451122429398,390142
R_33fi73V37kn8pUWFp,4405512Fp,new_entry,,,"","The Republic of the Congo is closing ""primary, secondary, technical, and vocational centers; as well as institutions of high education"" on March 19th 2020",2020-03-18,2020-03-19,,,Republic of the Congo,COG,CG,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",,Republic of the Congo,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,31.8557585006386,26.6866109579895,21.3929935730119,7,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2aZG20SEGaMD9y9,https://www.africanews.com/2020/03/19/covid-19-congo-records-2-more-cases-the-morning-call/ ; https://www.panapress.com/Coronavirus-Congo-tightens-new-m-a_630633066-lang2.html,2020-04-04,2020-04-04T06:27:53Z,3,0,0,,,,,,,,,118,36.5,0,0.0435144416987896,0.463496714830399,13,21,5110702,13765310419.9542,-3.10000000000001,15.4468473304352,23.3454175266818,2,1,0.77050452105682,-0.840451122429398,390142
R_33fi73V37kn8pUWCb,4405512Cb,new_entry,,,"","The Republic of the Congo is closing ""primary, secondary, technical, and vocational centers; as well as institutions of high education"" on March 19th 2020",2020-03-18,2020-03-19,,,Republic of the Congo,COG,CG,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",,Republic of the Congo,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,31.8557585006386,26.6866109579895,21.3929935730119,7,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2aZG20SEGaMD9y9,https://www.africanews.com/2020/03/19/covid-19-congo-records-2-more-cases-the-morning-call/ ; https://www.panapress.com/Coronavirus-Congo-tightens-new-m-a_630633066-lang2.html,2020-04-04,2020-04-04T06:27:53Z,3,0,0,,,,,,,,,118,36.5,0,0.0435144416987896,0.463496714830399,13,21,5110702,13765310419.9542,-3.10000000000001,15.4468473304352,23.3454175266818,2,1,0.77050452105682,-0.840451122429398,390142
R_1d4BGpxE1jkHbBMEf,4418813Ef,new_entry,,,"","The Republic of Congo is closing schools including ""primary, secondary, technical, and vocational centers; as well as institutions of higher education"" effective March 19th and valid for 30 days",2020-03-18,2020-04-19,2020-04-17,The policy has a clear end date,Republic of the Congo,COG,CG,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Republic of the Congo,"One or more countries, but not all countries",,,,,,All Travelers (Citizen Travelers + Foreign Travelers ),,,,Mandatory (Unspecified/Implied),National Government,80.267417774443,77.1093532477969,73.5323735897384,120,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3CNOdLcGAXlSYhz,https://www.africanews.com/2020/03/19/covid-19-congo-records-2-more-cases-the-morning-call/ ; https://www.panapress.com/Coronavirus-Congo-tightens-new-m-a_630633066-lang2.html,2022-01-26,2022-01-26T10:11:06Z,143,6,11,,,,,,,,,118,36.5,0,0.0435144416987896,0.463496714830399,13,21,5110702,13765310419.9542,-3.10000000000001,15.4468473304352,23.3454175266818,2,1,0.77050452105682,-0.840451122429398,390142
R_1d4BGpxE1jkHbBMFp,4418813Fp,new_entry,,,"","The Republic of Congo is closing schools including ""primary, secondary, technical, and vocational centers; as well as institutions of higher education"" effective March 19th and valid for 30 days",2020-03-18,2020-04-19,2020-04-17,The policy has a clear end date,Republic of the Congo,COG,CG,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Republic of the Congo,"One or more countries, but not all countries",,,,,,All Travelers (Citizen Travelers + Foreign Travelers ),,,,Mandatory (Unspecified/Implied),National Government,80.267417774443,77.1093532477969,73.5323735897384,120,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3CNOdLcGAXlSYhz,https://www.africanews.com/2020/03/19/covid-19-congo-records-2-more-cases-the-morning-call/ ; https://www.panapress.com/Coronavirus-Congo-tightens-new-m-a_630633066-lang2.html,2022-01-26,2022-01-26T10:11:06Z,143,6,11,,,,,,,,,118,36.5,0,0.0435144416987896,0.463496714830399,13,21,5110702,13765310419.9542,-3.10000000000001,15.4468473304352,23.3454175266818,2,1,0.77050452105682,-0.840451122429398,390142
R_1d4BGpxE1jkHbBMCb,4418813Cb,new_entry,,,"","The Republic of Congo is closing schools including ""primary, secondary, technical, and vocational centers; as well as institutions of higher education"" effective March 19th and valid for 30 days",2020-03-18,2020-04-19,2020-04-17,The policy has a clear end date,Republic of the Congo,COG,CG,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Republic of the Congo,"One or more countries, but not all countries",,,,,,All Travelers (Citizen Travelers + Foreign Travelers ),,,,Mandatory (Unspecified/Implied),National Government,80.267417774443,77.1093532477969,73.5323735897384,120,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3CNOdLcGAXlSYhz,https://www.africanews.com/2020/03/19/covid-19-congo-records-2-more-cases-the-morning-call/ ; https://www.panapress.com/Coronavirus-Congo-tightens-new-m-a_630633066-lang2.html,2022-01-26,2022-01-26T10:11:06Z,143,6,11,,,,,,,,,118,36.5,0,0.0435144416987896,0.463496714830399,13,21,5110702,13765310419.9542,-3.10000000000001,15.4468473304352,23.3454175266818,2,1,0.77050452105682,-0.840451122429398,390142
R_1etr8jfIcVCXYO5Ef,7182405Ef,new_entry,,,"","Republic of the Congo announced that school grades of CM2, 3ieme and Terminale will reopen as of June 1st to allow for exam preparation. All other classes will resume in September.",2020-05-16,2020-05-18,,,Republic of the Congo,COG,CG,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools allowed to open with no conditions,"",Yes,Republic of the Congo,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Other; please list other enforcement mechanisms in the text entry),Other (Please specify in the text box),77.4714283224823,73.9888085664446,70.0349309768584,107,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_ekZprCYM09Ui0M1,https://web.archive.org/web/20200708190432/https://cg.usembassy.gov/health-alert-covid-19-republic-of-congo-curfew-extended-until-may-31/,2020-07-14,2020-07-14T16:33:31Z,412,15,110,,,,,,,,,118,36.5,0,0.0435144416987896,0.463496714830399,13,21,5110702,13765310419.9542,-3.10000000000001,15.4468473304352,23.3454175266818,2,1,0.77050452105682,-0.840451122429398,390142
R_1etr8jfIcVCXYO5Fp,7182405Fp,new_entry,,,"","Republic of the Congo announced that school grades of CM2, 3ieme and Terminale will reopen as of June 1st to allow for exam preparation. All other classes will resume in September.",2020-05-16,2020-05-18,,,Republic of the Congo,COG,CG,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools allowed to open with no conditions,"",Yes,Republic of the Congo,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Other; please list other enforcement mechanisms in the text entry),Other (Please specify in the text box),77.4714283224823,73.9888085664446,70.0349309768584,107,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_ekZprCYM09Ui0M1,https://web.archive.org/web/20200708190432/https://cg.usembassy.gov/health-alert-covid-19-republic-of-congo-curfew-extended-until-may-31/,2020-07-14,2020-07-14T16:33:31Z,412,15,110,,,,,,,,,118,36.5,0,0.0435144416987896,0.463496714830399,13,21,5110702,13765310419.9542,-3.10000000000001,15.4468473304352,23.3454175266818,2,1,0.77050452105682,-0.840451122429398,390142
R_1etr8jfIcVCXYO5Cb,7182405Cb,new_entry,,,"","Republic of the Congo announced that school grades of CM2, 3ieme and Terminale will reopen as of June 1st to allow for exam preparation. All other classes will resume in September.",2020-05-16,2020-05-18,,,Republic of the Congo,COG,CG,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions allowed to open with no conditions,"",Yes,Republic of the Congo,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Other; please list other enforcement mechanisms in the text entry),Other (Please specify in the text box),77.4714283224823,73.9888085664446,70.0349309768584,107,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_ekZprCYM09Ui0M1,https://web.archive.org/web/20200708190432/https://cg.usembassy.gov/health-alert-covid-19-republic-of-congo-curfew-extended-until-may-31/,2020-07-14,2020-07-14T16:33:31Z,412,15,110,,,,,,,,,118,36.5,0,0.0435144416987896,0.463496714830399,13,21,5110702,13765310419.9542,-3.10000000000001,15.4468473304352,23.3454175266818,2,1,0.77050452105682,-0.840451122429398,390142
R_3nJoc4mt16OsYDpEf,8840878Ef,new_entry,,,"","On May 30, the minister of primary and secondary education of the Republic of the Congo banned the delivery of donations to schools in order to prevent the propagation of Covid-19.",2020-05-30,2020-05-30,,,Republic of the Congo,COG,CG,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools allowed to open with conditions,Number of people on the school premises are limited (e.g. only 50 people allowed on school premises),Yes,Republic of the Congo,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Education",73.8603291895698,70.6666628471067,66.8527794491142,105,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3njUiBAkL1dgjyi,https://congomediatime.com/collinet-makosso-interdit-la-remise-de-dons-en-milieu-scolaire/,2021-01-18,2021-01-18T22:35:18Z,571,19,161,,,,,,,,,118,36.5,0,0.0435144416987896,0.463496714830399,13,21,5110702,13765310419.9542,-3.10000000000001,15.4468473304352,23.3454175266818,2,1,0.77050452105682,-0.840451122429398,390142
