record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,link,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,state_IDC,muni_IDC,dispersive_IDC,constraining_IDC,inclusive_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,gdppc_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,lngdppc_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS,v2x_polyarchy_VDEM
R_3irKB8UQxTUmKwjDy,1603220Dy,new_entry,original,,,Samoa closes all schools until further notice after March 20.,2020-03-20,2020-03-21,,Samoa,WSM,WS,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Samoa,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,http://www.samoagovt.ws/2020/03/state-of-emergency-declared/,2020-04-03,2020-04-03T11:03:03Z,0,0,0,,,,,,,,,21,1641,0,2,-0.3437505,0.669777811,-0.04338142,,52,193228,703544816.5,3641.00863,1.634776026,12.1716261,20.3716421,8.20001602,2,2,2.441414118,,129150,
R_3irKB8UQxTUmKwjEa,1603220Ea,new_entry,original,,,Samoa closes all schools until further notice after March 20.,2020-03-20,2020-03-21,,Samoa,WSM,WS,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Samoa,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,http://www.samoagovt.ws/2020/03/state-of-emergency-declared/,2020-04-03,2020-04-03T11:03:03Z,0,0,0,,,,,,,,,21,1641,0,2,-0.3437505,0.669777811,-0.04338142,,52,193228,703544816.5,3641.00863,1.634776026,12.1716261,20.3716421,8.20001602,2,2,2.441414118,,129150,
R_3irKB8UQxTUmKwjFj,1603220Fj,new_entry,original,,,Samoa closes all schools until further notice after March 20.,2020-03-20,2020-03-21,,Samoa,WSM,WS,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Samoa,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,http://www.samoagovt.ws/2020/03/state-of-emergency-declared/,2020-04-03,2020-04-03T11:03:03Z,0,0,0,,,,,,,,,21,1641,0,2,-0.3437505,0.669777811,-0.04338142,,52,193228,703544816.5,3641.00863,1.634776026,12.1716261,20.3716421,8.20001602,2,2,2.441414118,,129150,
R_3irKB8UQxTUmKwjCe,1603220Ce,new_entry,original,,,Samoa closes all schools until further notice after March 20.,2020-03-20,2020-03-21,,Samoa,WSM,WS,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Samoa,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,http://www.samoagovt.ws/2020/03/state-of-emergency-declared/,2020-04-03,2020-04-03T11:03:03Z,0,0,0,,,,,,,,,21,1641,0,2,-0.3437505,0.669777811,-0.04338142,,52,193228,703544816.5,3641.00863,1.634776026,12.1716261,20.3716421,8.20001602,2,2,2.441414118,,129150,
R_3kCeE3r035Vxjj8Dy,1603220Dy,update,original,End of Policy,,Samoa closes all schools until further notice after March 20. UPDATE: Schools will reopen on May 4,2020-03-20,2020-03-21,2020-05-04,Samoa,WSM,WS,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,,Samoa,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,NA ; https://www.samoagovt.ws/2020/05/amended-state-of-emergency-orders-for-coronavirus-covid-19-1-may-2020/,2020-09-10,2020-09-10T12:05:04Z,0,0,0,,,,,,,,,21,1641,0,2,-0.3437505,0.669777811,-0.04338142,,52,193228,703544816.5,3641.00863,1.634776026,12.1716261,20.3716421,8.20001602,2,2,2.441414118,,129150,
R_3kCeE3r035Vxjj8Ea,1603220Ea,update,original,End of Policy,,Samoa closes all schools until further notice after March 20. UPDATE: Schools will reopen on May 4,2020-03-20,2020-03-21,2020-05-04,Samoa,WSM,WS,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,,Samoa,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,NA ; https://www.samoagovt.ws/2020/05/amended-state-of-emergency-orders-for-coronavirus-covid-19-1-may-2020/,2020-09-10,2020-09-10T12:05:04Z,0,0,0,,,,,,,,,21,1641,0,2,-0.3437505,0.669777811,-0.04338142,,52,193228,703544816.5,3641.00863,1.634776026,12.1716261,20.3716421,8.20001602,2,2,2.441414118,,129150,
R_3kCeE3r035Vxjj8Fj,1603220Fj,update,original,End of Policy,,Samoa closes all schools until further notice after March 20. UPDATE: Schools will reopen on May 4,2020-03-20,2020-03-21,2020-05-04,Samoa,WSM,WS,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,,Samoa,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,NA ; https://www.samoagovt.ws/2020/05/amended-state-of-emergency-orders-for-coronavirus-covid-19-1-may-2020/,2020-09-10,2020-09-10T12:05:04Z,0,0,0,,,,,,,,,21,1641,0,2,-0.3437505,0.669777811,-0.04338142,,52,193228,703544816.5,3641.00863,1.634776026,12.1716261,20.3716421,8.20001602,2,2,2.441414118,,129150,
R_3kCeE3r035Vxjj8Ce,1603220Ce,update,original,End of Policy,,Samoa closes all schools until further notice after March 20. UPDATE: Schools will reopen on May 4,2020-03-20,2020-03-21,2020-05-04,Samoa,WSM,WS,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,,Samoa,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,NA ; https://www.samoagovt.ws/2020/05/amended-state-of-emergency-orders-for-coronavirus-covid-19-1-may-2020/,2020-09-10,2020-09-10T12:05:04Z,0,0,0,,,,,,,,,21,1641,0,2,-0.3437505,0.669777811,-0.04338142,,52,193228,703544816.5,3641.00863,1.634776026,12.1716261,20.3716421,8.20001602,2,2,2.441414118,,129150,
R_xgZ4Rz92NOZ1GBbDy,6575171Dy,new_entry,original,,,"On May 4, Samoa will reopen schools that have been closed since March 20.",2020-05-01,2020-05-04,,Samoa,WSM,WS,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities allowed to open with no conditions,Samoa,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,National Government,,,,,https://www.samoagovt.ws/2020/05/amended-state-of-emergency-orders-for-coronavirus-covid-19-1-may-2020/,2020-06-12,2020-06-12T08:46:50Z,0,0,0,,,,,,,,,21,1641,0,2,-0.3437505,0.669777811,-0.04338142,,52,193228,703544816.5,3641.00863,1.634776026,12.1716261,20.3716421,8.20001602,2,2,2.441414118,,129150,
R_xgZ4Rz92NOZ1GBbEa,6575171Ea,new_entry,original,,,"On May 4, Samoa will reopen schools that have been closed since March 20.",2020-05-01,2020-05-04,,Samoa,WSM,WS,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools allowed to open with no conditions,Samoa,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,National Government,,,,,https://www.samoagovt.ws/2020/05/amended-state-of-emergency-orders-for-coronavirus-covid-19-1-may-2020/,2020-06-12,2020-06-12T08:46:50Z,0,0,0,,,,,,,,,21,1641,0,2,-0.3437505,0.669777811,-0.04338142,,52,193228,703544816.5,3641.00863,1.634776026,12.1716261,20.3716421,8.20001602,2,2,2.441414118,,129150,
