record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,link,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,state_IDC,muni_IDC,dispersive_IDC,constraining_IDC,inclusive_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,gdppc_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,lngdppc_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS,v2x_polyarchy_VDEM
R_2wBSqxnO6JtgByiEa,1500422Ea,new_entry,correction,,,Seychelles closes school for 14 days from 16 March 2020 onwards.,2020-03-15,2020-03-16,2020-03-29,Seychelles,SYC,SC,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,,Seychelles,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",41.691905166838,36.9096259270864,32.0365580062303,30,NA,2020-06-18,2020-06-18T09:23:58Z,3,0,0,,,,,,,,,87,3086,,,,,,,55,93419,1265101403,13542.228,3.497813866,11.44485,20.9584181,9.51356808,2,2,1.875329018,,9426,0.59262377
R_2wBSqxnO6JtgByiFj,1500422Fj,new_entry,correction,,,Seychelles closes school for 14 days from 16 March 2020 onwards.,2020-03-15,2020-03-16,2020-03-29,Seychelles,SYC,SC,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,,Seychelles,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",41.691905166838,36.9096259270864,32.0365580062303,30,NA,2020-06-18,2020-06-18T09:23:58Z,3,0,0,,,,,,,,,87,3086,,,,,,,55,93419,1265101403,13542.228,3.497813866,11.44485,20.9584181,9.51356808,2,2,1.875329018,,9426,0.59262377
R_1PZe7rdct2xiTfkEa,1500422Ea,update,original,End of Policy,,Seychelles closes school for 14 days from 16 March 2020 onwards. UPDATE: All primary and secondary schools reopen 11 May 2020.,2020-03-15,2020-04-16,2020-03-29,Seychelles,SYC,SC,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Seychelles,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",77.6476380175469,74.4466364912069,70.5865419621709,98,NA ; http://www.statehouse.gov.sc/news/4826/address-by-president-danny-faure-on-the-easing-of-restrictions-related-to-the-covid-19-situation,2020-05-16,2020-05-16T00:13:16Z,11,0,0,,,,,,,,,87,3086,,,,,,,55,93419,1265101403,13542.228,3.497813866,11.44485,20.9584181,9.51356808,2,2,1.875329018,,9426,0.59262377
R_1PZe7rdct2xiTfkFj,1500422Fj,update,original,End of Policy,,Seychelles closes school for 14 days from 16 March 2020 onwards. UPDATE: All primary and secondary schools reopen 11 May 2020.,2020-03-15,2020-04-16,2020-03-29,Seychelles,SYC,SC,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Seychelles,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",77.6476380175469,74.4466364912069,70.5865419621709,98,NA ; http://www.statehouse.gov.sc/news/4826/address-by-president-danny-faure-on-the-easing-of-restrictions-related-to-the-covid-19-situation,2020-05-16,2020-05-16T00:13:16Z,11,0,0,,,,,,,,,87,3086,,,,,,,55,93419,1265101403,13542.228,3.497813866,11.44485,20.9584181,9.51356808,2,2,1.875329018,,9426,0.59262377
R_3sc8GqKYUKIt6aUCa,1911615,new_entry,original,,,Seychelles bans all travel to and from China on 29 Jan 2020.,2020-01-29,2020-01-29,,Seychelles,SYC,SC,National,0,,,,External Border Restrictions,Health Screenings (e.g. temperature checks),,,"China,Seychelles","One or more countries, but not all countries",,,,,Foreign Travelers,Inbound/Outbound,"Flights,Seaports,Cruises,Ferries",Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",17.2192780247667,12.2516048845645,8.25496642437695,28,http://www.seychellesnewsagency.com/articles/12340/Seychelles%27+Ministry+of+Health+bans+travel+to+China+due+to+coronavirus,2020-04-04,2020-04-04T14:13:25Z,0,0,0,,,,,,,,,87,3086,,,,,,,55,93419,1265101403,13542.228,3.497813866,11.44485,20.9584181,9.51356808,2,2,1.875329018,,9426,0.59262377
R_3sc8GqKYUKIt6aUFz,1911615,new_entry,original,,,Seychelles bans all travel to and from China on 29 Jan 2020.,2020-01-29,2020-01-29,,Seychelles,SYC,SC,National,0,,,,External Border Restrictions,Travel History Form (e.g. documents where traveler has recently been),,,"China,Seychelles","One or more countries, but not all countries",,,,,Foreign Travelers,Inbound/Outbound,"Flights,Seaports,Cruises,Ferries",Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",17.2192780247667,12.2516048845645,8.25496642437695,28,http://www.seychellesnewsagency.com/articles/12340/Seychelles%27+Ministry+of+Health+bans+travel+to+China+due+to+coronavirus,2020-04-04,2020-04-04T14:13:25Z,0,0,0,,,,,,,,,87,3086,,,,,,,55,93419,1265101403,13542.228,3.497813866,11.44485,20.9584181,9.51356808,2,2,1.875329018,,9426,0.59262377
R_3sc8GqKYUKIt6aUGi,1911615,new_entry,original,,,Seychelles bans all travel to and from China on 29 Jan 2020.,2020-01-29,2020-01-29,,Seychelles,SYC,SC,National,0,,,,External Border Restrictions,Visa restrictions (e.g. suspend issuance of visa),,,"China,Seychelles","One or more countries, but not all countries",,,,,Foreign Travelers,Inbound/Outbound,"Flights,Seaports,Cruises,Ferries",Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",17.2192780247667,12.2516048845645,8.25496642437695,28,http://www.seychellesnewsagency.com/articles/12340/Seychelles%27+Ministry+of+Health+bans+travel+to+China+due+to+coronavirus,2020-04-04,2020-04-04T14:13:25Z,0,0,0,,,,,,,,,87,3086,,,,,,,55,93419,1265101403,13542.228,3.497813866,11.44485,20.9584181,9.51356808,2,2,1.875329018,,9426,0.59262377
R_27JAuRIPRDb44Q6NA,1911615,update,original,End of Policy,Relaxing,"Seychelles confirmed the authorization for commercial flights to enter Seychelles as of August 1, 2020.

The new lift in air travel restrictions on the destination comes as an indication of the successful progression of the implementation of the first phase of movement restrictions effective as of June 1, 2020. UPDATE: The holiday destination confirmed the authorization for commercial flights to enter Seychelles as of August 1, 2020.

The new lift in air travel restrictions on the destination comes as an indication of the successful progression of the implementation of the first phase of movement restrictions effective as of June 1, 2020.",2020-01-29,2020-01-29,2020-08-01,Seychelles,SYC,SC,National,1,,,,External Border Restrictions,,,,"Iran,Italy,South Korea","One or more countries, but not all countries","Europe,Other Regions (please specify below)",,,,All Residents (Citizen Residents + Foreign Residents),Inbound/Outbound,"Flights,Seaports,Cruises","Mandatory (Unspecified/Implied),Mandatory with Exceptions (Please list exceptions in the text entry)","National Government,Ministry/Department of Health",17.2192780247667,12.2516048845645,8.25496642437695,28,NA ; https://www.traveldailynews.com/post/flights-to-be-welcomed-to-seychelles-in-august-2020,2020-07-14,2020-07-14T00:48:07Z,0,0,0,,,,,,,,,87,3086,,,,,,,55,93419,1265101403,13542.228,3.497813866,11.44485,20.9584181,9.51356808,2,2,1.875329018,,9426,0.59262377
R_2biECBUYgC5Po0pDc,1927343,new_entry,original,,,As of 30 January 2020 Seychelles will intensify surveillance at ports of entry.,2020-01-30,2020-01-30,,Seychelles,SYC,SC,National,0,,,,External Border Restrictions,Other External Border Restriction,,,Seychelles,All countries,,,,,All (Travelers + Residents),,Not Applicable,Mandatory (Unspecified/Implied),National Government,17.8421694556357,12.2650301598412,8.36939668360247,25,http://www.health.gov.sc/index.php/2020/01/31/travel-advisory/,2021-01-18,2021-01-18T23:44:11Z,0,0,0,,,,,,,,,87,3086,,,,,,,55,93419,1265101403,13542.228,3.497813866,11.44485,20.9584181,9.51356808,2,2,1.875329018,,9426,0.59262377
R_1ffIx6Hzdelo96nFw,8369399,new_entry,original,,,"On the 31 of January all foreign workers who are presently in China and were planning to return to Seychelles are advised to
postpone their travel until further notice.",2020-01-31,2020-01-31,,Seychelles,SYC,SC,National,0,,,,External Border Restrictions,Total border crossing ban,,,China,"One or more countries, but not all countries",,,,,All Foreign Nationals (Foreign Residents + Foreign Travelers),Outbound,All kinds of transport,Voluntary/Recommended but No Penalties,"Ministry/Department of Health,Ministry/Department of Foreign Affairs",17.6264704511977,12.2945527520183,8.5183903493343,24,http://www.health.gov.sc/index.php/2020/01/31/travel-advisory/ ; http://www.mfa.gov.sc/static.php?content_id=36&news_id=1970,2021-02-22,2021-02-22T10:34:43Z,0,0,0,,,,,,,,,87,3086,,,,,,,55,93419,1265101403,13542.228,3.497813866,11.44485,20.9584181,9.51356808,2,2,1.875329018,,9426,0.59262377
