record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,link,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,state_IDC,muni_IDC,dispersive_IDC,constraining_IDC,inclusive_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,gdppc_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,lngdppc_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS,v2x_polyarchy_VDEM
R_rqhGBh6uygYkjmNDy,3389678Dy,new_entry,original,,,"Tonga's Education Minister Siaosi Sovaleni said schools would close from 1:00 pm Friday, March 27, 2020, and remain so until April 14, 2020.",2020-03-27,2020-03-27,2020-04-14,Tonga,TON,TO,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Tonga,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Other (Please specify in the text box),59.4419756150266,56.428901331477,52.8992064594273,34,https://www.rnz.co.nz/international/pacific-news/412618/schools-shut-in-tonga-because-of-covid-19,2020-05-08,2020-05-08T15:11:11Z,,,,,,,,,,,,49,2497,,,,,,,3.13919,106170,392854758.9,3700.24262,3.706201117,11.5727968,19.7889505,8.21615366,2,2,2.606020689,,60319,
R_rqhGBh6uygYkjmNEa,3389678Ea,new_entry,original,,,"Tonga's Education Minister Siaosi Sovaleni said schools would close from 1:00 pm Friday, March 27, 2020, and remain so until April 14, 2020.",2020-03-27,2020-03-27,2020-04-14,Tonga,TON,TO,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Tonga,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Other (Please specify in the text box),59.4419756150266,56.428901331477,52.8992064594273,34,https://www.rnz.co.nz/international/pacific-news/412618/schools-shut-in-tonga-because-of-covid-19,2020-05-08,2020-05-08T15:11:11Z,,,,,,,,,,,,49,2497,,,,,,,3.13919,106170,392854758.9,3700.24262,3.706201117,11.5727968,19.7889505,8.21615366,2,2,2.606020689,,60319,
R_rqhGBh6uygYkjmNFj,3389678Fj,new_entry,original,,,"Tonga's Education Minister Siaosi Sovaleni said schools would close from 1:00 pm Friday, March 27, 2020, and remain so until April 14, 2020.",2020-03-27,2020-03-27,2020-04-14,Tonga,TON,TO,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Tonga,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Other (Please specify in the text box),59.4419756150266,56.428901331477,52.8992064594273,34,https://www.rnz.co.nz/international/pacific-news/412618/schools-shut-in-tonga-because-of-covid-19,2020-05-08,2020-05-08T15:11:11Z,,,,,,,,,,,,49,2497,,,,,,,3.13919,106170,392854758.9,3700.24262,3.706201117,11.5727968,19.7889505,8.21615366,2,2,2.606020689,,60319,
R_rqhGBh6uygYkjmNCe,3389678Ce,new_entry,original,,,"Tonga's Education Minister Siaosi Sovaleni said schools would close from 1:00 pm Friday, March 27, 2020, and remain so until April 14, 2020.",2020-03-27,2020-03-27,2020-04-14,Tonga,TON,TO,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Tonga,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Other (Please specify in the text box),59.4419756150266,56.428901331477,52.8992064594273,34,https://www.rnz.co.nz/international/pacific-news/412618/schools-shut-in-tonga-because-of-covid-19,2020-05-08,2020-05-08T15:11:11Z,,,,,,,,,,,,49,2497,,,,,,,3.13919,106170,392854758.9,3700.24262,3.706201117,11.5727968,19.7889505,8.21615366,2,2,2.606020689,,60319,
R_1jvln79tO84Rlv3Dy,5799348Dy,new_entry,original,,,"The Ministry of Education and Training in Tonga has scheduled trial days on June 30, 2020 and July 31, 2020 to test distance education for school children at home in preparation of potential COVID-19 school closures.",2020-06-12,2020-06-30,2020-07-31,Tonga,TON,TO,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities allowed to open with conditions,Tonga,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Other (Please specify in the text box),55.3184640579418,52.09685390547,49.301485424547,35,https://www.latest.facebook.com/PotungaueAko/photos/pcb.191600275629012/191598542295852/,2020-07-01,2020-07-01T00:28:45Z,,,,,,,,,,,,49,2497,,,,,,,3.13919,106170,392854758.9,3700.24262,3.706201117,11.5727968,19.7889505,8.21615366,2,2,2.606020689,,60319,
R_1jvln79tO84Rlv3Ea,5799348Ea,new_entry,original,,,"The Ministry of Education and Training in Tonga has scheduled trial days on June 30, 2020 and July 31, 2020 to test distance education for school children at home in preparation of potential COVID-19 school closures.",2020-06-12,2020-06-30,2020-07-31,Tonga,TON,TO,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools allowed to open with conditions,Tonga,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Other (Please specify in the text box),55.3184640579418,52.09685390547,49.301485424547,35,https://www.latest.facebook.com/PotungaueAko/photos/pcb.191600275629012/191598542295852/,2020-07-01,2020-07-01T00:28:45Z,,,,,,,,,,,,49,2497,,,,,,,3.13919,106170,392854758.9,3700.24262,3.706201117,11.5727968,19.7889505,8.21615366,2,2,2.606020689,,60319,
R_1jvln79tO84Rlv3Fj,5799348Fj,new_entry,original,,,"The Ministry of Education and Training in Tonga has scheduled trial days on June 30, 2020 and July 31, 2020 to test distance education for school children at home in preparation of potential COVID-19 school closures.",2020-06-12,2020-06-30,2020-07-31,Tonga,TON,TO,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools allowed to open with conditions,Tonga,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Other (Please specify in the text box),55.3184640579418,52.09685390547,49.301485424547,35,https://www.latest.facebook.com/PotungaueAko/photos/pcb.191600275629012/191598542295852/,2020-07-01,2020-07-01T00:28:45Z,,,,,,,,,,,,49,2497,,,,,,,3.13919,106170,392854758.9,3700.24262,3.706201117,11.5727968,19.7889505,8.21615366,2,2,2.606020689,,60319,
R_1jvln79tO84Rlv3Ce,5799348Ce,new_entry,original,,,"The Ministry of Education and Training in Tonga has scheduled trial days on June 30, 2020 and July 31, 2020 to test distance education for school children at home in preparation of potential COVID-19 school closures.",2020-06-12,2020-06-30,2020-07-31,Tonga,TON,TO,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions allowed to open with conditions,Tonga,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Other (Please specify in the text box),55.3184640579418,52.09685390547,49.301485424547,35,https://www.latest.facebook.com/PotungaueAko/photos/pcb.191600275629012/191598542295852/,2020-07-01,2020-07-01T00:28:45Z,,,,,,,,,,,,49,2497,,,,,,,3.13919,106170,392854758.9,3700.24262,3.706201117,11.5727968,19.7889505,8.21615366,2,2,2.606020689,,60319,
R_2dgv0B3l5x0oeB8NA,7441015,new_entry,original,,,"Under the national lockdown, Tonga is enforcing night-time curfews, which will be in place from 8:00 pm to 6:00 am and will be enforced by the Police, the Armed Forces, and other authorized officers starting from March 29th, 2020 until April 5th, 2020.",2020-03-27,2020-03-29,2020-04-05,Tonga,TON,TO,National,1,,,,Curfew,,,,Tonga,,,,,,All Residents (Citizen Residents + Foreign Residents),,,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines",National Government,65.8051796767915,62.6059312572747,59.1459468668069,61,https://www.rnz.co.nz/international/pacific-news/412708/tonga-declares-lockdown-starting-this-weekend,2020-05-08,2020-05-08T15:15:07Z,,,,,,,,,,,,49,2497,,,,,,,3.13919,106170,392854758.9,3700.24262,3.706201117,11.5727968,19.7889505,8.21615366,2,2,2.606020689,,60319,
R_3NE4V9Gpebjg639NA,7441015,update,original,Change of Policy,Strengthening,"Under the national lockdown, Tonga is enforcing night-time curfews, which will be in place from 8:00 pm to 6:00 am and will be enforced by the Police, the Armed Forces, and other authorized officers starting from March 29th, 2020 until April 5th, 2020. UPDATE: The original curfew policy was set to end on April 5th 2020. It has been extended to April 12th 2020 alongside the rest of the national lockdown procedures.",2020-04-03,2020-04-05,2020-04-17,Tonga,TON,TO,National,1,,,,Curfew,,,,Tonga,,,,,,All Residents (Citizen Residents + Foreign Residents),,,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines",National Government,73.2421082401822,69.7168867588744,67.0169509889545,85,NA ; http://health.gov.to/drupal/sites/default/files/public_docs/Renewal%20of%20National%20Lockdown%20Notice.pdf ; http://www.health.gov.to/en/renewal-national-lockdown-notice-3-april-2020,2021-04-07,2021-04-07T14:55:22Z,,,,,,,,,,,,49,2497,,,,,,,3.13919,106170,392854758.9,3700.24262,3.706201117,11.5727968,19.7889505,8.21615366,2,2,2.606020689,,60319,
