record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,pdf_link,link,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,muni_IDC,dispersive_IDC,constraining_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS
R_1BXlgbDykJXSlDyNA,6858674,new_entry,,,"","On March 15, 2020, it was announced that to fight incorrect information, Ukraine’s health ministry has partnered with Facebook, which has 14 million users in the country. The social network will push updates from verified sources such as the ministry website and the government coronavirus information website, covid19.com.ua.",2020-03-15,2020-03-15,,The policy’s end date is unknown or unreported,Ukraine,UKR,UA,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Ukraine,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Ministry/Department of Health,59.4864305282379,56.1257359500921,52.9014222081907,118,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1KgaGUrPihzkGKg,https://www.kyivpost.com/ukraine-politics/coronavirus-misinformation-goes-viral-in-ukraine.html,2021-06-05,2021-06-05T08:48:47Z,3,1,0,,,,,,,,,96,32.5,2,0.961252152919769,-2.48131966590881,9,30,44831135,127223776400.02,2.46605345179482,17.6184134336786,25.5692133917686,2,1,0.0300006072320075,1.39724850797043,4915142
R_VLvFkyRJSoir0K5NA,5330073,new_entry,,,"","On March 31, 2020, the Anti-Monopoly Committee of Ukraine bans advertisements of any medications as treatment for the coronavirus as such ads are deceptive. Pharmaceutical companies, advertising agencies and media companies that violate the law will be fined up to 5% of their annual revenues.",2020-03-31,2020-03-31,2022-03-01,The policy has an unlimited time span (e.g. recommendation to wash one's hands; passing of a legal bill),Ukraine,UKR,UA,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Ukraine,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory with Fines,Other (Please specify in the text box),74.4210724813874,71.0315310405453,67.954151257248,106,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_25AQq55DDm2agst,https://www.kyivpost.com/business/authorities-ban-advertisement-of-non-existent-coronavirus-cures.html,2021-06-05,2021-06-05T08:49:33Z,645,17,10,,,,,,,,,96,32.5,2,0.961252152919769,-2.48131966590881,9,30,44831135,127223776400.02,2.46605345179482,17.6184134336786,25.5692133917686,2,1,0.0300006072320075,1.39724850797043,4915142
R_22z5hNbLapNcDQVEr,7078327Er,new_entry,,,"","Starting March 12, Ukraine will close all educational institutions until April 3 – including nurseries, schools and universities",2020-03-11,2020-03-12,2020-04-03,The policy has a clear end date,Ukraine,UKR,UA,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",Yes,Ukraine,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,51.3384019076675,47.5127968365275,43.8381942522485,110,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_4ZrDyLJqr9k5QJ3,https://www.kyivpost.com/ukraine-politics/breaking-ukraine-shuts-schools-mass-events-to-prevent-coronavirus-spread.html ; https://www.forbes.com/sites/katyagorchinskaya/2020/03/11/ukraine-closes-schools-bans-public-events-over-coronavirus/#28d9b37d434a ; https://www.kmu.gov.ua/en/news/uryad-prijnyav-nizku-rishen-shcho-mayut-ubezpechiti-ukrayinciv-vid-covid-19-11-03-20,2020-07-28,2020-07-28T04:18:15Z,1,0,0,,,,,,,,,96,32.5,2,0.961252152919769,-2.48131966590881,9,30,44831135,127223776400.02,2.46605345179482,17.6184134336786,25.5692133917686,2,1,0.0300006072320075,1.39724850797043,4915142
R_22z5hNbLapNcDQVEt,7078327Et,new_entry,,,"","Starting March 12, Ukraine will close all educational institutions until April 3 – including nurseries, schools and universities",2020-03-11,2020-03-12,2020-04-03,The policy has a clear end date,Ukraine,UKR,UA,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",Yes,Ukraine,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,51.3384019076675,47.5127968365275,43.8381942522485,110,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_4ZrDyLJqr9k5QJ3,https://www.kyivpost.com/ukraine-politics/breaking-ukraine-shuts-schools-mass-events-to-prevent-coronavirus-spread.html ; https://www.forbes.com/sites/katyagorchinskaya/2020/03/11/ukraine-closes-schools-bans-public-events-over-coronavirus/#28d9b37d434a ; https://www.kmu.gov.ua/en/news/uryad-prijnyav-nizku-rishen-shcho-mayut-ubezpechiti-ukrayinciv-vid-covid-19-11-03-20,2020-07-28,2020-07-28T04:18:15Z,1,0,0,,,,,,,,,96,32.5,2,0.961252152919769,-2.48131966590881,9,30,44831135,127223776400.02,2.46605345179482,17.6184134336786,25.5692133917686,2,1,0.0300006072320075,1.39724850797043,4915142
R_22z5hNbLapNcDQVGd,7078327Gd,new_entry,,,"","Starting March 12, Ukraine will close all educational institutions until April 3 – including nurseries, schools and universities",2020-03-11,2020-03-12,2020-04-03,The policy has a clear end date,Ukraine,UKR,UA,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",Yes,Ukraine,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,51.3384019076675,47.5127968365275,43.8381942522485,110,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_4ZrDyLJqr9k5QJ3,https://www.kyivpost.com/ukraine-politics/breaking-ukraine-shuts-schools-mass-events-to-prevent-coronavirus-spread.html ; https://www.forbes.com/sites/katyagorchinskaya/2020/03/11/ukraine-closes-schools-bans-public-events-over-coronavirus/#28d9b37d434a ; https://www.kmu.gov.ua/en/news/uryad-prijnyav-nizku-rishen-shcho-mayut-ubezpechiti-ukrayinciv-vid-covid-19-11-03-20,2020-07-28,2020-07-28T04:18:15Z,1,0,0,,,,,,,,,96,32.5,2,0.961252152919769,-2.48131966590881,9,30,44831135,127223776400.02,2.46605345179482,17.6184134336786,25.5692133917686,2,1,0.0300006072320075,1.39724850797043,4915142
R_22z5hNbLapNcDQVCr,7078327Cr,new_entry,,,"","Starting March 12, Ukraine will close all educational institutions until April 3 – including nurseries, schools and universities",2020-03-11,2020-03-12,2020-04-03,The policy has a clear end date,Ukraine,UKR,UA,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",Yes,Ukraine,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,51.3384019076675,47.5127968365275,43.8381942522485,110,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_4ZrDyLJqr9k5QJ3,https://www.kyivpost.com/ukraine-politics/breaking-ukraine-shuts-schools-mass-events-to-prevent-coronavirus-spread.html ; https://www.forbes.com/sites/katyagorchinskaya/2020/03/11/ukraine-closes-schools-bans-public-events-over-coronavirus/#28d9b37d434a ; https://www.kmu.gov.ua/en/news/uryad-prijnyav-nizku-rishen-shcho-mayut-ubezpechiti-ukrayinciv-vid-covid-19-11-03-20,2020-07-28,2020-07-28T04:18:15Z,1,0,0,,,,,,,,,96,32.5,2,0.961252152919769,-2.48131966590881,9,30,44831135,127223776400.02,2.46605345179482,17.6184134336786,25.5692133917686,2,1,0.0300006072320075,1.39724850797043,4915142
R_2aqrXJVuPgQpvo1Er,7078327Er,update,Change of Policy,Strengthening,timing of policy strengthening,"Starting March 12, Ukraine will close all educational institutions until April 3 – including nurseries, schools and universities UPDATE: The original closure of schools was set to last until April 3rd, 2020, it has been extended to April 24th, 2020.",2020-03-25,2020-04-03,2020-04-24,The policy has a clear end date,Ukraine,UKR,UA,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",Yes,Ukraine,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,74.3083869932507,71.0691532687238,67.6180663020611,99,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_4ZrDyLJqr9k5QJ3 ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2tvMN19a2lT8y3v,NA ; https://zakon.rada.gov.ua/laws/show/239-2020-%D0%BF#n9,2021-07-23,2021-07-23T18:25:13Z,1072,27,22,,,,,,,,,96,32.5,2,0.961252152919769,-2.48131966590881,9,30,44831135,127223776400.02,2.46605345179482,17.6184134336786,25.5692133917686,2,1,0.0300006072320075,1.39724850797043,4915142
R_2aqrXJVuPgQpvo1Et,7078327Et,update,Change of Policy,Strengthening,timing of policy strengthening,"Starting March 12, Ukraine will close all educational institutions until April 3 – including nurseries, schools and universities UPDATE: The original closure of schools was set to last until April 3rd, 2020, it has been extended to April 24th, 2020.",2020-03-25,2020-04-03,2020-04-24,The policy has a clear end date,Ukraine,UKR,UA,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",Yes,Ukraine,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,74.3083869932507,71.0691532687238,67.6180663020611,99,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_4ZrDyLJqr9k5QJ3 ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2tvMN19a2lT8y3v,NA ; https://zakon.rada.gov.ua/laws/show/239-2020-%D0%BF#n9,2021-07-23,2021-07-23T18:25:13Z,1072,27,22,,,,,,,,,96,32.5,2,0.961252152919769,-2.48131966590881,9,30,44831135,127223776400.02,2.46605345179482,17.6184134336786,25.5692133917686,2,1,0.0300006072320075,1.39724850797043,4915142
R_2aqrXJVuPgQpvo1Gd,7078327Gd,update,Change of Policy,Strengthening,timing of policy strengthening,"Starting March 12, Ukraine will close all educational institutions until April 3 – including nurseries, schools and universities UPDATE: The original closure of schools was set to last until April 3rd, 2020, it has been extended to April 24th, 2020.",2020-03-25,2020-04-03,2020-04-24,The policy has a clear end date,Ukraine,UKR,UA,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",Yes,Ukraine,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,74.3083869932507,71.0691532687238,67.6180663020611,99,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_4ZrDyLJqr9k5QJ3 ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2tvMN19a2lT8y3v,NA ; https://zakon.rada.gov.ua/laws/show/239-2020-%D0%BF#n9,2021-07-23,2021-07-23T18:25:13Z,1072,27,22,,,,,,,,,96,32.5,2,0.961252152919769,-2.48131966590881,9,30,44831135,127223776400.02,2.46605345179482,17.6184134336786,25.5692133917686,2,1,0.0300006072320075,1.39724850797043,4915142
R_2aqrXJVuPgQpvo1Cr,7078327Cr,update,Change of Policy,Strengthening,timing of policy strengthening,"Starting March 12, Ukraine will close all educational institutions until April 3 – including nurseries, schools and universities UPDATE: The original closure of schools was set to last until April 3rd, 2020, it has been extended to April 24th, 2020.",2020-03-25,2020-04-03,2020-04-24,The policy has a clear end date,Ukraine,UKR,UA,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",Yes,Ukraine,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,74.3083869932507,71.0691532687238,67.6180663020611,99,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_4ZrDyLJqr9k5QJ3 ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2tvMN19a2lT8y3v,NA ; https://zakon.rada.gov.ua/laws/show/239-2020-%D0%BF#n9,2021-07-23,2021-07-23T18:25:13Z,1072,27,22,,,,,,,,,96,32.5,2,0.961252152919769,-2.48131966590881,9,30,44831135,127223776400.02,2.46605345179482,17.6184134336786,25.5692133917686,2,1,0.0300006072320075,1.39724850797043,4915142
