record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,pdf_link,link,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,muni_IDC,dispersive_IDC,constraining_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS
R_2RZWvcVhYZY0am6El,9383270El,new_entry,,,"","Attendance to academic activities is not mandatory in Uruguay from March 15, 2020, in order to curb the impact of students' absences on their passing the academic year.",2020-03-14,2020-03-15,,The policy’s end date is unknown or unreported,Uruguay,URY,UY,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities allowed to open with conditions,Special provisions for all students in a school (e.g. students in primary school do not have to social distance),Yes,Uruguay,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Other population not specifed above,,,Mandatory (Unspecified/Implied),National Government,54.8327616277802,51.6804910653859,47.7792620439375,103,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1ob8X9ecfCDFLFv,https://www.presidencia.gub.uy/comunicacion/comunicacionnoticias/medidas-gobierno-educacion-emergencia-sanitaria-covid19,2021-07-03,2021-07-03T10:52:08Z,8,0,0,,,,,,,,,19,15.7,2,0.623459994792938,0.548431634902954,2,70,3436646,49616180349.7098,2.59133869196179,15.0500065537279,24.6275828342082,2,2,2.32829622364128,0.616398098928994,78799
R_2RZWvcVhYZY0am6Em,9383270Em,new_entry,,,"","Attendance to academic activities is not mandatory in Uruguay from March 15, 2020, in order to curb the impact of students' absences on their passing the academic year.",2020-03-14,2020-03-15,,The policy’s end date is unknown or unreported,Uruguay,URY,UY,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools allowed to open with conditions,Special provisions for all students in a school (e.g. students in primary school do not have to social distance),Yes,Uruguay,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Other population not specifed above,,,Mandatory (Unspecified/Implied),National Government,54.8327616277802,51.6804910653859,47.7792620439375,103,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1ob8X9ecfCDFLFv,https://www.presidencia.gub.uy/comunicacion/comunicacionnoticias/medidas-gobierno-educacion-emergencia-sanitaria-covid19,2021-07-03,2021-07-03T10:52:08Z,8,0,0,,,,,,,,,19,15.7,2,0.623459994792938,0.548431634902954,2,70,3436646,49616180349.7098,2.59133869196179,15.0500065537279,24.6275828342082,2,2,2.32829622364128,0.616398098928994,78799
R_2RZWvcVhYZY0am6Fw,9383270Fw,new_entry,,,"","Attendance to academic activities is not mandatory in Uruguay from March 15, 2020, in order to curb the impact of students' absences on their passing the academic year.",2020-03-14,2020-03-15,,The policy’s end date is unknown or unreported,Uruguay,URY,UY,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools allowed to open with conditions,Special provisions for all students in a school (e.g. students in primary school do not have to social distance),Yes,Uruguay,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Other population not specifed above,,,Mandatory (Unspecified/Implied),National Government,54.8327616277802,51.6804910653859,47.7792620439375,103,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1ob8X9ecfCDFLFv,https://www.presidencia.gub.uy/comunicacion/comunicacionnoticias/medidas-gobierno-educacion-emergencia-sanitaria-covid19,2021-07-03,2021-07-03T10:52:08Z,8,0,0,,,,,,,,,19,15.7,2,0.623459994792938,0.548431634902954,2,70,3436646,49616180349.7098,2.59133869196179,15.0500065537279,24.6275828342082,2,2,2.32829622364128,0.616398098928994,78799
R_2RZWvcVhYZY0am6Ce,9383270Ce,new_entry,,,"","Attendance to academic activities is not mandatory in Uruguay from March 15, 2020, in order to curb the impact of students' absences on their passing the academic year.",2020-03-14,2020-03-15,,The policy’s end date is unknown or unreported,Uruguay,URY,UY,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions allowed to open with conditions,Special provisions for all students in a school (e.g. students in primary school do not have to social distance),Yes,Uruguay,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Other population not specifed above,,,Mandatory (Unspecified/Implied),National Government,54.8327616277802,51.6804910653859,47.7792620439375,103,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1ob8X9ecfCDFLFv,https://www.presidencia.gub.uy/comunicacion/comunicacionnoticias/medidas-gobierno-educacion-emergencia-sanitaria-covid19,2021-07-03,2021-07-03T10:52:08Z,8,0,0,,,,,,,,,19,15.7,2,0.623459994792938,0.548431634902954,2,70,3436646,49616180349.7098,2.59133869196179,15.0500065537279,24.6275828342082,2,2,2.32829622364128,0.616398098928994,78799
R_2V4tcTUtTh4kSguEl,6465148El,new_entry,,,"","Classes will resume in 973 rural schools in Uruguay on Wednesday, April 22, with voluntary assistance from students. The measure will not be applied in the departments of Canelones and Montevideo.",2020-03-14,2020-03-15,2020-10-13,The policy has a clear end date,Uruguay,URY,UY,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,Uruguay,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Police",54.8327616277802,51.6804910653859,47.7792620439375,103,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_RlvcOgTIEu3E9gZ ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_AjmzaXVP0x5rihP,https://www.presidencia.gub.uy/sala-de-medios/videos/conferencia_luis_lacalle_pou,2021-07-08,2021-07-08T11:35:50Z,8,0,0,,,,,,,,,19,15.7,2,0.623459994792938,0.548431634902954,2,70,3436646,49616180349.7098,2.59133869196179,15.0500065537279,24.6275828342082,2,2,2.32829622364128,0.616398098928994,78799
R_2V4tcTUtTh4kSguEm,6465148Em,new_entry,,,"","Classes will resume in 973 rural schools in Uruguay on Wednesday, April 22, with voluntary assistance from students. The measure will not be applied in the departments of Canelones and Montevideo.",2020-03-14,2020-03-15,2020-10-13,The policy has a clear end date,Uruguay,URY,UY,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,Uruguay,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Police",54.8327616277802,51.6804910653859,47.7792620439375,103,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_RlvcOgTIEu3E9gZ ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_AjmzaXVP0x5rihP,https://www.presidencia.gub.uy/sala-de-medios/videos/conferencia_luis_lacalle_pou,2021-07-08,2021-07-08T11:35:50Z,8,0,0,,,,,,,,,19,15.7,2,0.623459994792938,0.548431634902954,2,70,3436646,49616180349.7098,2.59133869196179,15.0500065537279,24.6275828342082,2,2,2.32829622364128,0.616398098928994,78799
R_2V4tcTUtTh4kSguFw,6465148Fw,new_entry,,,"","Classes will resume in 973 rural schools in Uruguay on Wednesday, April 22, with voluntary assistance from students. The measure will not be applied in the departments of Canelones and Montevideo.",2020-03-14,2020-03-15,2020-10-13,The policy has a clear end date,Uruguay,URY,UY,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,,"",,Uruguay,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Police",54.8327616277802,51.6804910653859,47.7792620439375,103,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_RlvcOgTIEu3E9gZ ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_AjmzaXVP0x5rihP,https://www.presidencia.gub.uy/sala-de-medios/videos/conferencia_luis_lacalle_pou,2021-07-08,2021-07-08T11:35:50Z,8,0,0,,,,,,,,,19,15.7,2,0.623459994792938,0.548431634902954,2,70,3436646,49616180349.7098,2.59133869196179,15.0500065537279,24.6275828342082,2,2,2.32829622364128,0.616398098928994,78799
R_2V4tcTUtTh4kSguCe,6465148Ce,new_entry,,,"","Classes will resume in 973 rural schools in Uruguay on Wednesday, April 22, with voluntary assistance from students. The measure will not be applied in the departments of Canelones and Montevideo.",2020-03-14,2020-03-15,2020-10-13,The policy has a clear end date,Uruguay,URY,UY,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,,"",,Uruguay,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Police",54.8327616277802,51.6804910653859,47.7792620439375,103,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_RlvcOgTIEu3E9gZ ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_AjmzaXVP0x5rihP,https://www.presidencia.gub.uy/sala-de-medios/videos/conferencia_luis_lacalle_pou,2021-07-08,2021-07-08T11:35:50Z,8,0,0,,,,,,,,,19,15.7,2,0.623459994792938,0.548431634902954,2,70,3436646,49616180349.7098,2.59133869196179,15.0500065537279,24.6275828342082,2,2,2.32829622364128,0.616398098928994,78799
R_qvXMbnPweDLKpVvEl,6465148El,update,End of Policy,,"","Uruguay closes school of all levels on March 15. UPDATE: The original policy was targeting all levels of education and both rural and urban schools. Since June,2 some schools are allowed to open",2020-03-15,2020-03-15,2020-06-01,The policy has a clear end date,Uruguay,URY,UY,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",,Uruguay,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Police",54.8327616277802,51.6804910653859,47.7792620439375,103,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_RlvcOgTIEu3E9gZ ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_AjmzaXVP0x5rihP,NA ; https://www.presidencia.gub.uy/comunicacion/comunicacionnoticias/medidas-gobierno-educacion-emergencia-sanitaria-covid19#navegacion-contenido,2020-10-06,2020-10-06T10:24:45Z,8,0,0,,,,,,,,,19,15.7,2,0.623459994792938,0.548431634902954,2,70,3436646,49616180349.7098,2.59133869196179,15.0500065537279,24.6275828342082,2,2,2.32829622364128,0.616398098928994,78799
R_qvXMbnPweDLKpVvEm,6465148Em,update,End of Policy,,"","Uruguay closes school of all levels on March 15. UPDATE: The original policy was targeting all levels of education and both rural and urban schools. Since June,2 some schools are allowed to open",2020-03-15,2020-03-15,2020-06-01,The policy has a clear end date,Uruguay,URY,UY,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",,Uruguay,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Police",54.8327616277802,51.6804910653859,47.7792620439375,103,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_RlvcOgTIEu3E9gZ ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_AjmzaXVP0x5rihP,NA ; https://www.presidencia.gub.uy/comunicacion/comunicacionnoticias/medidas-gobierno-educacion-emergencia-sanitaria-covid19#navegacion-contenido,2020-10-06,2020-10-06T10:24:45Z,8,0,0,,,,,,,,,19,15.7,2,0.623459994792938,0.548431634902954,2,70,3436646,49616180349.7098,2.59133869196179,15.0500065537279,24.6275828342082,2,2,2.32829622364128,0.616398098928994,78799
