"entry_type","entry_type_2_TEXT","entry_type_3_TEXT","notes_correction","notes_update","event_description","type","type_15_TEXT","type_quarantine","type_quarantine_4_TEXT","type_quarantine_5_TEXT","type_num_quarantine_days","type_ext_restrict","type_num_mass_gathering","type_schools","type_business","type_business_6_TEXT","type_health_resource","type_num_masks","type_num_ventilators","type_num_ppe","type_num_hand_sanit","type_num_test_kits","type_other_health_materials","type_num_hospitals","type_num_quaranCen","type_num_medCen","type_num_pubTest","type_num_research","type_other_health_infra","type_num_doctors","type_num_nurses","type_num_volunt","type_other_health_staff","type_other","init_country","init_country_level","index_prov","init_city","init_other_level","init_other","target_geog_level","target_country_region","target_country_197_TEXT","target_region_14_TEXT","target_geog_sublevel","target_province","target_city","target_other","target_who_what","target_who_what_10_TEXT","target_direction","travel_mechanism","travel_mechanism_9_TEXT","compliance","compliance_3_TEXT","enforcer","enforcer_7_TEXT","date_announced","date_start","date_end","sources_matrix_1_1","sources_matrix_1_2","sources_matrix_1_3","sources_matrix_1_4","sources_matrix_2_1","sources_matrix_2_2","sources_matrix_2_3","sources_matrix_2_4","sources_matrix_3_1","sources_matrix_3_2","sources_matrix_3_3","sources_matrix_3_4","sources_matrix_4_1","sources_matrix_4_2","sources_matrix_4_3","sources_matrix_4_4","sources_matrix_5_1","sources_matrix_5_2","sources_matrix_5_3","sources_matrix_5_4","sources_matrix_6_1","sources_matrix_6_2","sources_matrix_6_3","sources_matrix_6_4","sources_matrix_7_1","sources_matrix_7_2","sources_matrix_7_3","sources_matrix_7_4","source_file_Id","source_file_Name","source_file_Size","source_file_Type","notes","record_id","ra_check","check","validation","correct_record_match","policy_id"
"New Entry",NA,NA,NA,NA,"Hong Kong is banning entry of non-Hong Kong residents coming from the Mainland, Macao and Taiwan if they have been to any overseas countries and regions in the past 14 days from March 25","External Border Restrictions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hong Kong","No, it is at the national level","Hong Kong",NA,NA,NA,"All countries","All","","","","","","","Foreign Travelers","","Inbound","All kinds of transport (all below except visa restrictions),Land Border,Trains,Buses,Seaports,Cruises,Ferries",NA,"Mandatory with Exceptions (Please list exceptions in the text entry)","Registered Macao residents who will be immediately taken by coach back to Macao upon entry; Crew members of aircrafs or goods vessels;Government officials carrying out government duties; Spouses and minor children of Hong Kong residents;Personnel engaged in anti-epidemic work endorGovernment officials carrying out government dutiessed by the HKSAR Government","National Government,Ministry/Department of Health,Other (Please specify in the text box)","Immigration Department","03-23-2020","03-25-2020","04-07-2020","03-24-2020","https://www.info.gov.hk/gia/general/202003/24/P2020032400050.htm","The Government of the Hong Kong Special Administrative Region","Government announces enhancements to anti-epidemic measures in four aspects",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F_1C3YFud19JNHudZ","03-24-2020_Government announces enhancements to anti-epidemic measures in four aspects.pdf",87899,"application/pdf",NA,"5536379","Must double check / correct entry for: 	 target_geog_level (not all countries but one country), 	 travel_mechanism (should include flights)",1,TRUE,"5536379","5536379"
"New Entry",NA,NA,NA,NA,"Italy is establishing a Ministry-Taskforce after Jan. 22","New Task Force or Bureau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Italy","No, it is at the national level","Italy",NA,NA,NA,"","","","","","","","","","","",NA,NA,NA,NA,"Ministry/Department of Health",NA,"01-22-2020","01-22-2020",NA,"03-29-2020","http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioComunicatiNuovoCoronavirus.jsp?lingua=italiano&menu=salastampa&p=comunicatistampa&id=5373","Italian Ministry of Health","Coronavirus 2019-nCoV: Ministry of Health task force convened",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F_22DLfeYIXtPojXW","03_29_20 Italien Ministry of Health establishes Talksforce.pdf",72917,"application/pdf",NA,"4140904",NA,0,TRUE,"4140904","4140904"
"New Entry",NA,NA,NA,NA,"Colombia announced a ban on the consumption of alcoholic beverages, crowded meetings staring March 19. That the consumption of intoxicating beverages in open spaces and commercial establishments be prohibited. The sale of intoxicating beverages is NOT prohibited.","Restriction of Non-Essential Businesses",NA,NA,NA,NA,NA,NA,NA,NA,"Restaurants/Bars",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Colombia","No, it is at the national level","Colombia",NA,NA,NA,"","","","","","","","","","","",NA,NA,"Mandatory with Fines",NA,"National Government,Provincial/State Government,Municipal Government",NA,"03-18-2020","03-19-2020","05-30-2020","03-29-2020","https://coronaviruscolombia.gov.co/Covid19/acciones-19-marzo.html","Government","Medidas tomadas el 19 de Marzo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F_Uyac2kWLz3sK7tv","03-29-2020- Medidas tomadas el 19 de Marzo.pdf",433502,"application/pdf",NA,"8680234",NA,0,TRUE,"8680234","8680234"
"New Entry",NA,NA,NA,NA,"On February 28, 2020, Liechtenstein restricted events and gathers to a maximum of 1,000 people until at least the 15th of March.","Restrictions of Mass Gatherings",NA,NA,NA,NA,NA,NA,"1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Liechtenstein","No, it is at the national level","Liechtenstein",NA,NA,NA,"","","","","","","","","","","",NA,NA,"Mandatory with Legal Penalties (Jail Time)",NA,"National Government",NA,"02-28-2020","02-28-2020","03-15-2020","2/28/20","https://www.regierung.li/media/attachments/86-durchfuehrung-veranstaltungen.pdf?t=637206550288692988","Government of Liechtenstein","Ban on events of more than 1000 people","2/28/20","https://www.gesetze.li/konso/pdf/2020072000?version=1","Government of Liechtenstein","Verordnung: Ban on events of more than 1000 people",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F_1FhXSxwKlLT8tSv","02-28-2020_Ban on events of more than 1000 people.zip",213169,"application/x-zip-compressed","The Swiss Epidemic Act is valid in Liechtenstein. Hence, this ban follows the Swiss government in a ban based on the Swiss Epidemic Act from February 27, 2020.","1891588",NA,0,TRUE,"1891588","1891588"
"Correction to Existing Entry (type in Record ID in text box)","1891588",NA,"I put in the wrong source date; it should be 03-29-2020",NA,"On February 28, 2020, Liechtenstein restricted events and gathers to a maximum of 1,000 people until at least the 15th of March.","Restrictions of Mass Gatherings",NA,NA,NA,NA,NA,NA,"1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Liechtenstein","No, it is at the national level","Liechtenstein",NA,NA,NA,"","","","","","","","","","","",NA,NA,"Mandatory with Legal Penalties (Jail Time)",NA,"National Government",NA,"02-28-2020","02-28-2020","03-15-2020","2/28/20","https://www.regierung.li/media/attachments/86-durchfuehrung-veranstaltungen.pdf?t=637206550288692988","Government of Liechtenstein","Ban on events of more than 1000 people","2/28/20","https://www.gesetze.li/konso/pdf/2020072000?version=1","Government of Liechtenstein","Verordnung: Ban on events of more than 1000 people",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F_0dD3zVt68a97noJ","03-29-2020_Ban on events of more than 1000 people.zip",213169,"application/x-zip-compressed","The Swiss Epidemic Act is valid in Liechtenstein. Therefore, Liechtenstein is following a ban put in place by Switzerland based on the Swiss Epidemic Act the day before.","1891588",NA,0,TRUE,"1891588","1891588"
"New Entry",NA,NA,NA,NA,"Italy is enforcing a twoo-week quarantine on all people tested positive for covid-19.","Quarantine",NA,"Self-Quarantine (i.e. quarantine at home)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Italy","No, it is at the national level","Italy",NA,NA,NA,"One or more countries, but not all countries","Italy","","","","","","","All Residents (Citizen Residents +Foreign Residents)","","Inbound","Not Applicable",NA,"Mandatory with Legal Penalties (Jail Time)",NA,"National Government,Police",NA,"03-09-2020","03-10-2020",NA,"03-29-2020","https://www.ilmessaggero.it/italia/coronavirus_modulo_autocertificazione_scaricare-5100539.html","Messaggero","Coronavirus, autocertificazione per gli spostamenti: ecco il modulo da scaricare",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F_1CdPC4ucX603e8e","03-29-20_Coronavirus, autocertificazione per gli spostamenti_ ecco il modulo da scaricare.pdf",1262376,"application/pdf","this one is for all tested positive for covid-19.","2907710",NA,0,TRUE,"2907710","2907710"
"New Entry",NA,NA,NA,NA,"Hong Kong is issuing quarantine orders to people arriving Hong Kong who have been to Emilia-Romagna, Lombardy or Veneto regions in Italy in the past 14 days from March 1","Quarantine",NA,"Government Quarantine (i.e. quarantine at a government hotel or facility)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hong Kong","No, it is at the national level","Hong Kong",NA,NA,NA,"A geographical or administrative unit within a country","Italy","","","One or more provinces within a country","Emilia-Romagna; Lombardy; Veneto","","","All (Travelers + Residents)","","Inbound","Not Applicable",NA,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines",NA,"National Government,Ministry/Department of Health",NA,"02-28-2020","03-01-2020",NA,"02-28-2020","https://www.info.gov.hk/gia/general/202002/28/P2020022800820.htm","The Government of the Hong Kong Special Administrative Region","DH to strengthen health quarantine arrangements on inbound travellers from Italy's three regions and Iran",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F_PNzYPUMFVrhbE2Z","02-28-2020_DH to strengthen health quarantine arrangements on inbound travellers from Italy's three regions and Iran.pdf",86354,"application/pdf",NA,"6904044",NA,0,TRUE,"6904044","6904044"
"New Entry",NA,NA,NA,NA,"Ministry of Health in Paraguay emits first epidemiology alert","Declaration of Emergency",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Paraguay","No, it is at the national level","Paraguay",NA,NA,NA,"","","","","","","","","","","",NA,NA,NA,NA,"National Government,Ministry/Department of Health,Other (Please specify in the text box)","All Health Infraestructure","01-23-2020","01-23-2020",NA,"01-23-2020","https://www.mspbs.gov.py/que-esta-haciendo-el-ministerio-de-salud-covid19.html","Ministerio de Salud","Qué está haciendo el Ministerio de Salud?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F_0umG6Fg1VRP9jS9","03-30-2020_que-esta-haciendo-el-ministerio-de-salud-covid19.pdf",3608383,"application/pdf","Seems to be Paraguay´s first official recognition of the pandemic","5227117",NA,0,TRUE,"5227117","5227117"
"New Entry",NA,NA,NA,NA,"On Mar. 19, 2020 the Palau Ministry of Education announced planned school closures from Mar. 23 - Apr. 3, 2020.","Closure of Schools",NA,NA,NA,NA,NA,NA,NA,"Preschool or childcare facilities (generally for children ages 5 and below),Primary Schools (generally for children ages 10 and below),Secondary Schools (generally for children ages 10 to 18),Higher education (i.e. degree granting institutions)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Palau","No, it is at the national level","Palau",NA,NA,NA,"","","","","","","","","","","",NA,NA,"Voluntary/Recommended but No Penalties",NA,"Other (Please specify in the text box)","Ministry of Education","03-18-2020","03-23-2020","04-03-2020","03-30-2020","https://www.palaugov.pw/wp-content/uploads/2020/03/SCHOOL-CLOSURE-Coronavirus-Press-Release.pdf","Palau Ministry of Education","SCHOOL CLOSURE Coronavirus Press Release",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F_ehcJ5BsUZAuz1N7","03-30-2020_SCHOOL CLOSURE Coronavirus Press Release.pdf",193055,"application/pdf",NA,"5068626",NA,0,FALSE,"5068626","5068626"
"New Entry",NA,NA,NA,NA,"Ireland did not issue any guidance on wearing face masks yet. ""Only healthcare workers must wear face masks. Sick people will be advised by their doctor when to use a mask.""","Health Resources",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masks,Personal Protective Equipment (e.g. gowns, goggles),Other Health Materials,Hospitals,Other Health Infrastructure","11 million masks",NA,"1 mio goggles, 400.000 gowns and suits",NA,NA,"1 mio face shields","private hospitals to be used for public: 2000 beds",NA,NA,NA,NA,"nine laboratories usually private to be used for public",NA,NA,NA,NA,NA,"Ireland","No, it is at the national level","Ireland",NA,NA,NA,"A geographical or administrative unit within a country","Ireland","","","One or more provinces within a country","all Irish provinces","","","Health Staff","","Inbound","Not Applicable",NA,"Voluntary/Recommended but No Penalties",NA,"National Government,Ministry/Department of Health",NA,"03-22-2020","03-22-2020",NA,"03-30-2020","https://www2.hse.ie/conditions/coronavirus/protect-yourself.html","HSE (Health Service Executive)","Protect yourself and others","03-30-2020","https://www.eastlothiancourier.com/news/national-news/18325427.fourth-death-confirmed-ireland-places-huge-order-covid-19-test-equipment/","East Lothian Courier","Fourth death confirmed as Ireland places huge order for Covid-19 test equipment","03-30-2020","https://www.thejournal.ie/private-hospitals-ireland-coronavirus-5056334-Mar2020/","thejournal.ie","Private hospitals will be made public for duration of coronavirus pandemic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F_cIUzqQDZpTkj7bz","Face Masks.zip",3868291,"application/x-zip-compressed","No regulations on wearing of face masks in the Republic of Ireland. Only advice for health staff to wear face masks and other equipment.","5356344",NA,0,TRUE,"5356344","5356344"
