record_id,entry_time,national_entry,country,country_name,admin1,admin1_name,locality,intervention_clean,date_of_update,status,subpopulation,required,enforcement,details,status_simp
3,2020-03-28T23:23:20Z,No,RUS,Russian Federation,RUS.43_1,Moscow City,NA,Symptom screening when entering by air,2020-01-21,required,geographic subpopulation,NA,NA,"Implemented in Shermemetyevo  Vnukovo airport Moscow, in addition to two other airports. Screening of all passengers from airplanes arriving from China, though loose enough to include passengers from countries significantly affected by coronavirus Vnukovo explicitly includes Thailand as of 23012020.",closed/restricted/all/yes
4,2020-03-28T23:48:04Z,No,RUS,Russian Federation,RUS.43_1,Moscow City,NA,Household confinement,2020-02-21,fully restricted,other subpopulation,required,Yes,"Date is at the latest when its reported, but it would have started between 21 January and 21 February.This applies to all passengers coming from flights from China; theyre restricted to their households for 2 weeks. This also includes travelers from China that had come to Moscow earlier and were identified in public spaces as well as through raids on hotels, apartment buildings, etc.",closed/restricted/all/yes
4,2020-03-28T23:48:04Z,No,RUS,Russian Federation,RUS.43_1,Moscow City,NA,Contact tracing,2020-02-21,complete contact tracing,NA,NA,NA,"Date of implementation is probably before this date some time between 21 Jan and 21 February. Complete contact tracing of any presumed cases eg one positive test, but not necessarily confirmed case; contacts are told to remain under quarantine. Facial recognition and other technology used to identify some contacts.",NA
4,2020-03-28T23:48:04Z,No,RUS,Russian Federation,RUS.43_1,Moscow City,NA,Testing of asymptomatic individuals,2020-02-21,some,travel history;contact with case,NA,NA,"Implemented some time between 21 Jan and 21 Feb. All passengers arriving from China are tested upon arrival at the airport, even those that are asymptomatic. They are tested again at day 10 of selfisolation/quarantine.Contacts of cases including presumed cases may also be tested.","partially closed/partially restricted/
recommended/some"
4,2020-03-28T23:48:04Z,No,RUS,Russian Federation,RUS.43_1,Moscow City,NA,Symptom screening when entering by land,2020-02-21,required,other subpopulation,NA,NA,"Policy probably started before the report date; screening at stations not specified bus or train, but probably both, aiming to get people who recently arrived from China.",closed/restricted/all/yes
4,2020-03-28T23:48:04Z,No,RUS,Russian Federation,RUS.43_1,Moscow City,NA,Symptom screening at checkpoints within borders,2020-02-21,required,other subpopulation,NA,NA,"Policy probably started before the report date; screening at stations for those that arrived from China to St Petersburg, and then traveled from St Petersburg to Moscow.",closed/restricted/all/yes
7,2020-03-29T07:31:14Z,No,GBR,United Kingdom of Great Britain and Northern Ireland,GBR.1_1,England,NA,Nursery school closures,2020-03-20,partially closed,other subpopulation,required,NA,"Schools, colleges, nurseries, childminders and other registered childcare settings to remain open for children of critical workers and vulnerable children where they can. To other children, everything closed.","partially closed/partially restricted/
recommended/some"
7,2020-03-29T07:31:14Z,No,GBR,United Kingdom of Great Britain and Northern Ireland,GBR.1_1,England,NA,Primary school closures,2020-03-20,partially closed,other subpopulation,required,NA,"Schools, colleges, nurseries, childminders and other registered childcare settings to remain open for children of critical workers and vulnerable children where they can. To other children, everything closed.","partially closed/partially restricted/
recommended/some"
7,2020-03-29T07:31:14Z,No,GBR,United Kingdom of Great Britain and Northern Ireland,GBR.1_1,England,NA,Secondary school closures,2020-03-20,partially closed,other subpopulation,required,NA,"Schools, colleges, nurseries, childminders and other registered childcare settings to remain open for children of critical workers and vulnerable children where they can. To other children, everything closed.","partially closed/partially restricted/
recommended/some"
7,2020-03-29T07:31:14Z,No,GBR,United Kingdom of Great Britain and Northern Ireland,GBR.1_1,England,NA,Post-secondary school closures,2020-03-20,partially closed,other subpopulation,required,NA,"Schools, colleges, nurseries, childminders and other registered childcare settings to remain open for children of critical workers and vulnerable children where they can. To other children, everything closed.","partially closed/partially restricted/
recommended/some"
7,2020-03-29T07:31:14Z,No,GBR,United Kingdom of Great Britain and Northern Ireland,GBR.1_1,England,NA,Household confinement,2020-03-23,fully restricted,entire population,required,Yes,NA,closed/restricted/all/yes
7,2020-03-29T07:31:14Z,No,GBR,United Kingdom of Great Britain and Northern Ireland,GBR.1_1,England,NA,Office closures,2020-03-26,partially closed,entire population,required,NA,"businesses and workplaces should encourage their employees to work at home, wherever possible. With the exception of some nonessential shops and public venues, we are not asking any other businesses to close  indeed it is important for business to carry on.","partially closed/partially restricted/
recommended/some"
7,2020-03-29T07:31:14Z,No,GBR,United Kingdom of Great Britain and Northern Ireland,GBR.1_1,England,NA,"Leisure, entertainment, and religious venue closures",2020-03-23,closed,entire population,required,NA,"Exceptions for assembly and leisure 1 Small group performances for the purposes of live streaming could be permissible where Public Health England guidelines are observed and no audience attend the venue. 2 Any suitable assembly or leisure premises may open for blood donation sessions.Exception for places of worship 1 Funerals in places of worship and crematoria, where the congregation are members of the deceaseds household or close family. In a case where no members of the deceaseds household or family members are attending, friends can attend. A distance of two metres should be maintained between every household group, as per Public Health England guidelines. 2 For the purpose of hosting essential voluntary or public service, such as food banks, homeless services, and blood donation sessions.",closed/restricted/all/yes
