"","unique_id","date_announced","date_start","date_end","type","type_sub_cat","description","country","enforcer","target_geog_level","init_country_level","link","province"
"1","AB001",NA,2020-01-01,NA,NA,NA,"Who: Ministry of Health, Government of Alberta
What: Published case definition based on Alta. Notifiable Disease Guidelines where a confirmed case is defined as person with laboratory confirmation of infection based on testing guidelines.
Effective until:","Canada","Ministry of Health, Government of Alberta","Provincial","Provincial","https://open.alberta.ca/dataset/a86d7a85-ce89-4e1c-9ec6-d1179674988f/resource/62fe3e6f-25f5-48b0-bbed-e900d8d83fd4/download/health-guidelines-coronavirus-novel-2020-01.pdf","Alberta"
"2","AB002",NA,2020-02-06,NA,"Quarantine",NA,"Who: Government of Alberta
What: Published infosheet with guidance on self-isolation
Effective until:","Canada","Government of Alberta","Provincial","Provincial","https://open.alberta.ca/publications/self-isolation-information-sheet, https://open.alberta.ca/dataset/44e7c639-7bb6-4bb4-9138-1abf5c56a7b8/resource/91cd86ac-7eaf-4376-9f9a-0b600a9af2fa/download/health-self-isolation-information-sheet.pdf","Alberta"
"3","AB003",2020-03-13,2020-03-13,NA,"Health Testing","Other Health Testing","Who: Alberta Health Services
What: Launched a self-assessment online tool
Effective until:","Canada","Alberta Health Services","Provincial","Provincial","https://myhealth.alberta.ca/Journey/COVID-19/Pages/COVID-Self-Assessment.aspx, https://globalnews.ca/news/6675698/coronavirus-alberta-online-assessment-tool/","Alberta"
"4","AB004-mass_gatherings",2020-03-13,2020-03-13,"2020-03-17","Restrictions of Mass Gatherings or Social Distancing",NA,"Who: Government of Alberta, Premier, Chief Medical Officer of Health
What: Prohibited gatherings of more than 250 people 
Effective until: 2020-03-17","Canada","Government of Alberta, Premier, Chief Medical Officer of Health","Provincial","Provincial","https://www.alberta.ca/release.cfm?xID=6983858E7C38E-ECE2-9356-73A12A71C38568DB, https://calgaryherald.com/news/local-news/alberta-covid-19-toll-hits-as-nhl-suspends-season-kenney-comes-home/","Alberta"
"5","AB005",2020-03-15,2020-03-15,NA,"Quarantine",NA,"Who: Government of Alberta
What: Travellers returning to Alta. from outside Canada are required to self-isolate for 14 days.
Effective until:","Canada","Government of Alberta","Provincial","Provincial","https://www.alberta.ca/release.cfm?xID=69818C355F188-C2A3-F5C6-875A2A33929D5C05","Alberta"
"6","AB006",2020-03-16,2020-03-16,NA,"Social Distancing",NA,"Who: Alberta Health Services
What: Restricted long-term care visitor access to 1 visitor only, with visitor screening in place
Effective until:","Canada","Alberta Health Services","Provincial","Provincial","https://www.albertahealthservices.ca/topics/Page17001.aspx, https://www.alberta.ca/release.cfm?xID=69824F7F2458A-DEF9-DF5F-5D30179FC782386D","Alberta"
"7","AB007",2020-03-15,2020-03-16,NA,"Social Distancing",NA,"Who: Government of Alberta, Alberta Health Services, Premier, Chief Medical Officer of Health
What: Recommended restriction to only essential visitors for long-term care facilities
Effective until:","Canada","Government of Alberta, Alberta Health Services, Premier, Chief Medical Officer of Health","Provincial","Provincial","https://www.alberta.ca/release.cfm?xID=69818C355F188-C2A3-F5C6-875A2A33929D5C05, https://www.albertahealthservices.ca/topics/Page17001.aspx","Alberta"
"8","AB008",NA,2020-03-16,NA,"Quarantine",NA,"Who: Government of Alberta
What: Published guidance on self-isolation for travellers, contacts of known cases and other suspected COVID-19 cases
Effective until:","Canada","Government of Alberta","Provincial","Provincial","https://www.albertahealthservices.ca/topics/Page16997.aspx#social","Alberta"
"9","AB009-mass_gatherings",2020-03-27,2020-03-27,NA,"Restrictions of Mass Gatherings or Social Distancing",NA,"Who: Government of Alberta, Premier, Chief Medical Officer of Health
What: Prohibited gatherings of more than 15 people. 
Effective until:","Canada","Government of Alberta, Premier, Chief Medical Officer of Health","Provincial","Provincial","https://www.alberta.ca/release.cfm?xID=6994336FBE6D7-E5F7-ABFB-C080199224348CCC, https://www.alberta.ca/restrictions-on-gatherings-and-businesses.aspx#p25583s4","Alberta"
"10","AB010-business",2020-03-27,2020-03-27,NA,"Restriction and Regulation of Businesses or Restriction and Regulation of Government Services or Restrictions of Mass Gatherings",NA,"Who: Government of Alberta, Premier, Chief Medical Officer of Health
What: Ordered closures of ""close contact"" businesses and sit-down restaurants, cafes, coffee shops, food courts and other facilities. Takeout permitted. Bars continue to be closed.
Effective until:","Canada","Government of Alberta, Premier, Chief Medical Officer of Health","Provincial","Provincial","https://www.alberta.ca/release.cfm?xID=6994336FBE6D7-E5F7-ABFB-C080199224348CCC, https://www.alberta.ca/essential-services.aspx","Alberta"
"11","AB011",2020-03-27,2020-03-27,NA,"Health Resources","Other Health Infrastructure","Who: Government of Alberta, Premier, Chief Medical Officer of Health
What: All non-urgent scheduled and elective diagnostic imaging procedures postponed. Urgent and emergent care outpatient CT and MRI procedures continue.
Effective until:","Canada","Government of Alberta, Premier, Chief Medical Officer of Health","Provincial","Provincial","https://www.alberta.ca/release.cfm?xID=6994336FBE6D7-E5F7-ABFB-C080199224348CCC","Alberta"
"12","AB012",2020-03-27,2020-03-27,NA,"Health Resources","Other Health Infrastructure","Who: Chief Medical Officer of Health, Alberta Precision Laboratories, DynaLIFE 
What: All non-urgent scheduled and elective laboratory testing asked to stop. Critical blood work will continue.
Effective until:","Canada","Chief Medical Officer of Health, Alberta Precision Laboratories, DynaLIFE","Provincial","Provincial","https://www.alberta.ca/release.cfm?xID=6994336FBE6D7-E5F7-ABFB-C080199224348CCC","Alberta"
"13","AB013-business",NA,2020-03-27,NA,"Restriction and Regulation of Businesses or Restriction and Regulation of Government Services or Restrictions of Mass Gatherings",NA,"Who: Ministry of Environment and Parks
What: Restricted parks access — vehicles no longer permitted 
Effective until:","Canada","Ministry of Environment and Parks","Provincial","Provincial","https://www.albertaparks.ca/albertaparksca/news-events/alberta-environment-and-parks-response-to-covid-19/","Alberta"
"14","AB014",2020-03-30,2020-03-30,NA,"Health Testing",NA,"Who: Alberta Health Services, Chief Medical Officer of Health
What: Stopped testing returning travellers, which explained why daily positive cases temporarily decreased
Effective until:","Canada","Alberta Health Services, Chief Medical Officer of Health","Provincial","Provincial","https://www.alberta.ca/release.cfm?xID=69961C8FA869F-A2ED-1F01-91C6C6B3800FCC51","Alberta"
"15","AB016",2020-04-01,2020-04-01,NA,"Public Awareness Measures",NA,"Who: Government of Alberta, Alberta Health Services, Chief Medical Officer of Health
What: Strict infection prevention protocols implemented in continuing care facilities to stop the spread of infection
Effective until:","Canada","Government of Alberta, Alberta Health Services, Chief Medical Officer of Health","Provincial","Provincial","https://www.alberta.ca/release.cfm?xID=69983318984AB-AD0B-CC5F-FA861EB82E0C21E4","Alberta"
"16","AB017",2020-04-01,2020-04-01,NA,"Quarantine",NA,"Who: Chief Medical Officer of Health
What: Exemption for travellers or those in close contact with COVID-19 positive cases to attend their medically necessary appointments, with permission, in person
Effective until:","Canada","Chief Medical Officer of Health","Provincial","Provincial","https://www.alberta.ca/release.cfm?xID=69983318984AB-AD0B-CC5F-FA861EB82E0C21E4","Alberta"
"17","AB018",2020-04-02,2020-04-02,NA,"Health Testing",NA,"Who: Government of Alberta, Alberta Health Services, Chief Medical Officer of Health
What: Required staff and operators in congregate settings to notify public health as soon as a case is suspected or confirmed, or if 2 or more residents exhibit COVID-19 symptoms
Effective until:","Canada","Government of Alberta, Alberta Health Services, Chief Medical Officer of Health","Provincial","Provincial","https://www.alberta.ca/release.cfm?xID=6998861D619F0-FD4B-F1BD-FCAFA247C962F06C","Alberta"
"18","AB019",2020-04-03,2020-04-03,NA,"Social Distancing",NA,"Who: Government of Alberta, Alberta Health Services, Chief Medical Officer of Health
What: Restricted hospital visitors.Patients in hospital no longer permitted any in-person visitors, with some exceptions. 
Effective until:","Canada","Government of Alberta, Alberta Health Services, Chief Medical Officer of Health","Provincial","Provincial","https://www.alberta.ca/release.cfm?xID=699969950607B-D32C-5384-72FF67F8EAFEDA54","Alberta"
"19","AB020",2020-04-06,2020-04-06,NA,"Health Testing",NA,"Who: Government of Alberta, Alberta Health Services, Chief Medical Officer of Health
What: Expanded testing criteria to focus on 
1) symptomatic patients — shortness of breath, runny rose, cough, fever or sore throat — who work in group homes, shelters and correctional facilities, or as first responders or in COVID-19 enforcement; and 
2) symptomatic patients age 65+ with shortness of breath, runny rose, cough, fever or sore throat 
Effective until:","Canada","Government of Alberta, Alberta Health Services, Chief Medical Officer of Health","Provincial","Provincial","https://www.alberta.ca/release.cfm?xID=70015320DDF94-C4C0-C084-147F2EEE49D2EDA0","Alberta"
"20","AB021",2020-04-06,2020-04-06,NA,"Social Distancing",NA,"Who: Government of Alberta, Alberta Health Services, Chief Medical Officer of Health
What: Recommendation to wear a face covering to prevent transmission. Does not prevent illness of the person wearing it.
Effective until:","Canada","Government of Alberta, Alberta Health Services, Chief Medical Officer of Health","Provincial","Provincial","https://www.alberta.ca/release.cfm?xID=70015320DDF94-C4C0-C084-147F2EEE49D2EDA0","Alberta"
"21","AB024",2020-04-08,2020-04-08,NA,"Public Awareness Measures",NA,"Who: Ministry of Health
What: Released projections for cases and critical care capacity
Effective until:","Canada","Ministry of Health","Provincial","Provincial","https://www.alberta.ca/covid-19-alberta-data.aspx, https://www.alberta.ca/assets/documents/covid-19-case-modelling-projection.pdf","Alberta"
"22","AB025",2020-04-08,2020-04-08,NA,"Health Testing",NA,"Who: Government of Alberta, Alberta Health Services, Chief Medical Officer of Health
What: Expanded testing criteria to include 1) anyone in the Calgary health zone with symptoms: shortness of breath, runny rose, cough, fever or sore throat; 2) essential workers in any health zone; 3) anyone in any health zone who has symptoms AND lives with someone over 65 years old 
Effective until:","Canada","Government of Alberta, Alberta Health Services, Chief Medical Officer of Health","Provincial","Provincial","https://www.alberta.ca/release.cfm?xID=700419C42FE25-A580-998C-F6D9A324453B7F69","Alberta"
"23","AB026",2020-04-10,2020-04-10,NA,"Public Awareness Measures",NA,"Who: Government of Alberta, Alberta Health Services, Chief Medical Officer of Health
What: All workers in long-term care and Alberta Health Services contracted provider and community settings are required to wear masks at all times while providing direct patient care. 
Effective until:","Canada","Government of Alberta, Alberta Health Services, Chief Medical Officer of Health","Provincial","Provincial","https://www.alberta.ca/release.cfm?xID=700808F1AD262-0CEB-433E-C93F2450668973EA","Alberta"
"24","AB028",2020-04-13,2020-04-13,NA,"Health Testing",NA,"Who: Government of Alberta, Alberta Health Services, Chief Medical Officer of Health
What: Expanded testing criteria to anyone in Alberta who has a fever, cough, shortness of breath, a runny nose or a sore throat
Effective until:","Canada","Government of Alberta, Alberta Health Services, Chief Medical Officer of Health","Provincial","Provincial","https://www.alberta.ca/release.cfm?xID=7008498980F35-9211-D7B4-D8F044053FCA3D9E","Alberta"
"25","AB029",2020-03-01,2020-03-01,NA,"Restriction and Regulation of Government Services",NA,"Who: College of Licensed Practical Nurses of Alberta 
What: Waived or modified registration requirements for former licensed practical nurses, allowing them to apply for temporary registration during the pandemic
Effective until:","Canada","College of Licensed Practical Nurses of Alberta","Provincial","Provincial","https://www.clpna.com/applicants/previously-licensed-alberta/","Alberta"
"26","AB030",2020-03-12,2020-03-12,NA,"Health Testing",NA,"Who: Alberta Health Services, medical officers of health
What: Published criteria for physicians and front-line clinical staff to prioritize screening people with fever and/or a cough or shortness of breath if they met specific criteria within 14 days before their symptoms started 
Effective until:","Canada","Alberta Health Services, medical officers of health","Provincial","Provincial","https://www.albertahealthservices.ca/assets/info/hp/phys/if-hp-phys-moh-novel-coronavirus-update-external.pdf","Alberta"
"27","AB032",2020-03-13,2020-03-13,NA,"Public Awareness Measures",NA,"Who: Alberta Health Services 
What: Daily Fit for Work Screening Protocol for health care staff before reporting to their workplace or unit if they have interactions with patients or staff
Effective until:","Canada","Alberta Health Services","Provincial","Provincial","https://www.albertahealthservices.ca/topics/Page16947.aspx
, https://www.albertahealthservices.ca/assets/healthinfo/ipc/hi-ipc-emerging-issues-ncov.pdf","Alberta"
"28","AB033",2020-03-15,2020-03-15,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below), Secondary Schools (generally for children ages 10 to 18), Higher education institutions (i.e. degree granting institutions)","Who: Government of Alberta, Chief Medical Officer of Health, Premier
What: Closure of elementary, middle and high schools
Effective until:","Canada","Government of Alberta, Chief Medical Officer of Health, Premier","Provincial","Provincial","https://www.alberta.ca/release.cfm?xID=69818C355F188-C2A3-F5C6-875A2A33929D5C05","Alberta"
"29","AB034",2020-03-15,2020-03-15,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)","Who: Government of Alberta, Chief Medical Officer of Health, Premier
What: Licensed child care, out-of-school care and preschool programs are closed.
Effective until:","Canada","Government of Alberta, Chief Medical Officer of Health, Premier","Provincial","Provincial","https://www.alberta.ca/release.cfm?xID=69818C355F188-C2A3-F5C6-875A2A33929D5C05","Alberta"
"30","AB035",2020-03-15,2020-03-15,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below), Secondary Schools (generally for children ages 10 to 18), Higher education institutions (i.e. degree granting institutions)","Who: Government of Alberta, Chief Medical Officer of Health, Premier
What: In-person classes are cancelled for post-secondary education.
Effective until:","Canada","Government of Alberta, Chief Medical Officer of Health, Premier","Provincial","Provincial","https://www.alberta.ca/release.cfm?xID=69818C355F188-C2A3-F5C6-875A2A33929D5C05#toc-1","Alberta"
"31","AB036",2020-03-16,2020-03-16,NA,"Health Resources","Other Health Infrastructure","Who: Alberta College of Speech-Language Pathologists and Audiologists
What: Provided guidance for non-essential services delivered virtually
Effective until:","Canada","Alberta College of Speech-Language Pathologists and Audiologists","Provincial","Provincial","https://www.acslpa.ca/telepractice-information-for-acslpa-members/, https://www.acslpa.ca/covid-19-information/","Alberta"
"32","AB037",2020-03-16,2020-03-16,NA,"Restriction and Regulation of Government Services",NA,"Who: College of Physicians and Surgeons of Alberta 
What: Launched CPSA Emergency Register to allow physicians currently registered in another province or territory to temporarily work in Alberta during emergency circumstances, such as the current COVID-19 pandemic
Effective until:","Canada","College of Physicians and Surgeons of Alberta","Provincial","Provincial","http://www.cpsa.ca/resources-for-physicians-during-covid-19/","Alberta"
"33","AB038",2020-03-16,2020-03-16,NA,"Restriction and Regulation of Government Services",NA,"Who: College and Association of Registered Nurses of Alberta 
What: Waived or modified registration requirements for former nurses, allowing them to apply for temporary registration during the pandemic on an expedited basis and at no cost; valid for 4 months
Effective until:","Canada","College and Association of Registered Nurses of Alberta","Provincial","Provincial","https://nurses.ab.ca/about/what-is-carna/news/news-story/updates-on-novel-coronavirus-covid19","Alberta"
"34","AB039-business",NA,2020-03-16,NA,"Restriction and Regulation of Businesses or Restriction and Regulation of Government Services or Restrictions of Mass Gatherings",NA,"Who: Ministry of Environment and Parks
What: Restricted park facility access, keeping parks accessible. Subsequent further restrictions made.
Effective until:","Canada","Ministry of Environment and Parks","Provincial","Provincial","https://www.albertaparks.ca/albertaparksca/news-events/alberta-environment-and-parks-response-to-covid-19/, https://www.alberta.ca/release.cfm?xID=69824F7F2458A-DEF9-DF5F-5D30179FC782386D","Alberta"
"35","AB040-mass_gatherings",2020-03-15,2020-03-17,"2020-03-27","Restrictions of Mass Gatherings or Social Distancing",NA,"Who: Government of Alberta, Premier, Chief Medical Officer of Health
What: Prohibited gatherings of more than 50 people. Essential services not included.
Effective until: 2020-03-27","Canada","Government of Alberta, Premier, Chief Medical Officer of Health","Provincial","Provincial","https://www.alberta.ca/release.cfm?xID=69828242A5FFC-D75A-C83E-690D8028C0C4E09F, https://www.alberta.ca/release.cfm?xID=69818C355F188-C2A3-F5C6-875A2A33929D5C05","Alberta"
"36","AB041",2020-03-17,2020-03-17,"2020-06-15","Declaration of Emergency",NA,"Who: Government of Alberta, Premier, Chief Medical Officer of Health
What: Declared a public health state of emergency 
Effective until: 2020-06-15","Canada","Government of Alberta, Premier, Chief Medical Officer of Health","Provincial","Provincial","https://www.alberta.ca/release.cfm?xID=69828242A5FFC-D75A-C83E-690D8028C0C4E09F","Alberta"
"37","AB042-business",2020-03-17,2020-03-17,NA,"Restriction and Regulation of Businesses or Restriction and Regulation of Government Services or Restrictions of Mass Gatherings",NA,"Who: Government of Alberta, Premier, Chief Medical Officer of Health
What: Ordered closure of some publicly available institutions including arenas, museums, galleries, community centres, etc.
Effective until:","Canada","Government of Alberta, Premier, Chief Medical Officer of Health","Provincial","Provincial","https://www.alberta.ca/release.cfm?xID=69828242A5FFC-D75A-C83E-690D8028C0C4E09F","Alberta"
"38","AB043-business",2020-03-17,2020-03-17,NA,"Restriction and Regulation of Businesses or Restriction and Regulation of Government Services or Restrictions of Mass Gatherings",NA,"Who: Government of Alberta, Premier, Chief Medical Officer of Health
What: Ordered closures of private entertainment facilities including gyms, swimming pools, casinos, etc.
Effective until:","Canada","Government of Alberta, Premier, Chief Medical Officer of Health","Provincial","Provincial","https://www.alberta.ca/release.cfm?xID=69828242A5FFC-D75A-C83E-690D8028C0C4E09F","Alberta"
"39","AB044-business",2020-03-17,2020-03-17,"2020-03-27","Restriction and Regulation of Businesses or Restriction and Regulation of Government Services or Restrictions of Mass Gatherings",NA,"Who: Government of Alberta, Premier, Chief Medical Officer of Health
What: Limited capacity of sit-down restaurants, cafes, coffee shops, food courts and other facilities. Takeout permitted. Bars ordered closed.
Effective until: 2020-03-27","Canada","Government of Alberta, Premier, Chief Medical Officer of Health","Provincial","Provincial","https://www.alberta.ca/release.cfm?xID=69828242A5FFC-D75A-C83E-690D8028C0C4E09F","Alberta"
"40","AB046",2020-03-18,2020-03-18,NA,"Health Resources","Other Health Infrastructure","Who: Government of Alberta, Premier, Chief Medical Officer of Health
What: All non-urgent scheduled and elective surgeries are postponed. Urgent and emergent care, oncology and C-section procedures will continue.
Effective until:","Canada","Government of Alberta, Premier, Chief Medical Officer of Health","Provincial","Provincial","https://www.alberta.ca/release.cfm?xID=698475F92ADBC-E588-02F3-7B986A4CD7641A45","Alberta"
"41","AB048",NA,NA,NA,"Restriction and Regulation of Government Services",NA,"Who: Alberta College of Medical Diagnostic and Therapeutic Technologists
What: Waived or modified registration requirements for former registered medical radiation technologists (MRTs), allowing them to apply for temporary registration during the pandemic; valid for 90 days
Effective until:","Canada","Alberta College of Medical Diagnostic and Therapeutic Technologists","Provincial","Provincial","https://acmdtt.com/applicants/courtesy-registration/","Alberta"
"42","AB049",NA,2020-03-20,"2020-03-27",NA,NA,"Who: Boards of education
What: Spring breaks in Alta. vary by region. Calgary Board of Education example provided.
Effective until: 2020-03-27","Canada","Boards of education","Provincial","Provincial","https://www.cbe.ab.ca/registration/calendars/Documents/2019-2020-Traditional-Calendar.pdf","Alberta"
"43","AB050-health_res",2020-03-27,2020-03-27,NA,"Health Resources or Restriction and Regulation of Businesses",NA,"Who: Government of Alberta
What: Suspended all non-emergency and non-critical health services provided by regulated health professionals or registered professionals including dentistry, dietitians, physiotherapy, occupational therapy, massage, podiatry, chiropractic and optometry.
Effective until:","Canada","Government of Alberta","Provincial","Provincial","https://www.alberta.ca/restrictions-on-gatherings-and-businesses.aspx#toc-2, https://www.cbc.ca/news/canada/edmonton/alberta-covid-19-coronavirus-deena-hinshaw-1.5512445","Alberta"
"44","AB051",2020-03-30,2020-03-30,NA,"Health Resources","Other Health Infrastructure","Who: College of Licensed Practical Nurses of Alberta 
What: Provided standards of practice for provision of virtual care.
Effective until:","Canada","College of Licensed Practical Nurses of Alberta","Provincial","Provincial","https://www.clpna.com/2020/03/common-questions-on-lpn-practice-during-covid-19-info-sheet/","Alberta"
"45","AB053",2020-04-10,2020-04-10,NA,"Public Awareness Measures",NA,"Who: Government of Alberta, Alberta Health Services, Chief Medical Officer of Health
What: Order restricting movement of staff members between health care facilities
Effective until:","Canada","Government of Alberta, Alberta Health Services, Chief Medical Officer of Health","Provincial","Provincial","https://open.alberta.ca/publications/cmoh-order-10-2020-2020-covid-19-response","Alberta"
"46","AB054",2020-03-23,NA,NA,"Health Resources","Other Health Infrastructure","Who: Government of Alberta, Minister of Health, President of the Alberta Medical Association
What: Added new temporary physician billing codes to the schedule of medical benefits
Effective until:","Canada","Government of Alberta, Minister of Health, President of the Alberta Medical Association","Provincial","Provincial","https://www.alberta.ca/release.cfm?xID=69903565330D3-E112-D2BA-74B6070F51E005BA","Alberta"
"47","AB055",2020-04-17,NA,NA,"Restriction and Regulation of Government Services",NA,"Who: Alberta College of Paramedics 
What: Waived or modified registration requirements for former paramedics, allowing them to apply for temporary registration during the pandemic on an expedited basis and at no cost; valid for 3 months
Effective until:","Canada","Alberta College of Paramedics","Provincial","Provincial","https://abparamedics.com/covid-19-updates/","Alberta"
"48","AB056",2020-04-17,NA,NA,"Health Resources",NA,"Who: Alberta College of Pharmacy
What: Issued guidelines on change in practice scope for pharmacists, including guidance for prescription delivery, delivery of drugs to assisted living facilities, prescribing and dispensing of drugs to treat COVID-19, administering injections to patients during the COVID-19 pandemic, providing virtual care to patients and managing patient medication supply 
Effective until:","Canada","Alberta College of Pharmacy","Provincial","Provincial","https://abpharmacy.ca/covid-19-guidance-pharmacists-and-pharmacy-technicians","Alberta"
"49","AB057",NA,NA,NA,"Restriction and Regulation of Businesses",NA,"Who: Government of Alberta
What: Encourage businesses to promote business continuity plans, working from home or remotely where possible
Effective until:","Canada","Government of Alberta","Provincial","Provincial","https://www.alberta.ca/covid-19-support-for-employers.aspx","Alberta"
"50","AB059",NA,NA,"2021-06-30","Restriction and Regulation of Government Services",NA,"Who: College of Physicians and Surgeons of Alberta 
What: Granted an unrestricted licence to post-graduate trainees who have completed their training, not requiring supervision
Effective until: 2021-06-30","Canada","College of Physicians and Surgeons of Alberta","Provincial","Provincial","https://mailchi.mp/cpsa/how-cpsa-is-dealing-with-cancelled-exams-364151","Alberta"
"51","AB060",NA,NA,"2020-09-30","Restriction and Regulation of Government Services",NA,"Who: College and Association of Respiratory Therapists of Alberta 
What: Published information on emergency registration requirements for retired/inactive/out-of-province/student respiratory therapists, allowing them to apply for temporary registration during the pandemic
Effective until: 2020-09-30","Canada","College and Association of Respiratory Therapists of Alberta","Provincial","Provincial","https://www.carta.ca/courtesy-register-for-covid-19.aspx","Alberta"
"52","AB061",2020-03-16,2020-03-16,NA,"Restriction and Regulation of Government Services",NA,"Who: College of Physicians and Surgeons of Alberta 
What: Waived or modified registration requirements for former physician assistants, allowing them to apply for temporary registration during the pandemic on an expedited basis and at no cost
Effective until:","Canada","College of Physicians and Surgeons of Alberta","Provincial","Provincial","http://www.cpsa.ca/resources-for-physicians-during-covid-19/","Alberta"
"53","AB062-health_res",2020-03-17,2020-03-17,NA,"Health Resources or Restriction and Regulation of Businesses",NA,"Who: College of Dietitians of Alberta — Alberta Registered Dietitians’ Association 
What: Suspended all non-essential/non-emergency treatment and services.
Effective until:","Canada","College of Dietitians of Alberta — Alberta Registered Dietitians’ Association","Provincial","Provincial","http://collegeofdietitians.ab.ca/a-message-from-the-registrar-on-covid-19/","Alberta"
"54","AB063",2020-03-24,2020-03-24,NA,"Health Resources","Other Health Infrastructure","Who: College of Dietitians of Alberta — Alberta Registered Dietitians’ Association 
What: Provided guidance on non-essential services delivered virtually.
Effective until:","Canada","College of Dietitians of Alberta — Alberta Registered Dietitians’ Association","Provincial","Provincial","http://collegeofdietitians.ab.ca/wp-content/uploads/2020/03/Dietitians-using-Electronic-or-Virtual-Communications-1.pdf","Alberta"
