"","ISO2","Country","prov"
"1","AU","Australia","Australian Capital Territory"
"2","AU","Australia","New South Wales"
"3","AU","Australia","Northern Territory"
"4","AU","Australia","Queensland"
"5","AU","Australia","South Australia"
"6","AU","Australia","Tasmania"
"7","AU","Australia","Victoria"
"8","AU","Australia","Western Australia"
"9","BR","Brazil","Acre"
"10","BR","Brazil","Alagoas"
"11","BR","Brazil","Amapa"
"12","BR","Brazil","Amazonas"
"13","BR","Brazil","Bahia"
"14","BR","Brazil","Ceara"
"15","BR","Brazil","Espirito Santo"
"16","BR","Brazil","Federal District"
"17","BR","Brazil","Goias"
"18","BR","Brazil","Maranhao"
"19","BR","Brazil","Mato Grosso"
"20","BR","Brazil","Mato Grosso do Sul"
"21","BR","Brazil","Minas Gerais"
"22","BR","Brazil","Para"
"23","BR","Brazil","Paraiba"
"24","BR","Brazil","Parana"
"25","BR","Brazil","Pernambuco"
"26","BR","Brazil","Piaui"
"27","BR","Brazil","Rio de Janeiro"
"28","BR","Brazil","Rio Grande do Norte"
"29","BR","Brazil","Rio Grande do Sul"
"30","BR","Brazil","Rondonia"
"31","BR","Brazil","Roraima"
"32","BR","Brazil","Santa Catarina"
"33","BR","Brazil","Sao Paulo"
"34","BR","Brazil","Sergipe"
"35","BR","Brazil","Tocantins"
"36","CA","Canada","Alberta"
"37","CA","Canada","British Columbia"
"38","CA","Canada","Manitoba"
"39","CA","Canada","New Brunswick"
"40","CA","Canada","Newfoundland and Labrador"
"41","CA","Canada","Northwest Territories"
"42","CA","Canada","Nova Scotia"
"43","CA","Canada","Nunavut"
"44","CA","Canada","Ontario"
"45","CA","Canada","Prince Edward Island"
"46","CA","Canada","Quebec"
"47","CA","Canada","Saskatchewan"
"48","CA","Canada","Yukon"
"49","CN","China","Anhui"
"50","CN","China","Beijing"
"51","CN","China","Chongqing"
"52","CN","China","Fujian"
"53","CN","China","Gansu"
"54","CN","China","Guangdong"
"55","CN","China","Guangxi"
"56","CN","China","Guizhou"
"57","CN","China","Hainan"
"58","CN","China","Hebei"
"59","CN","China","Heilongjiang"
"60","CN","China","Henan"
"61","CN","China","Hubei"
"62","CN","China","Hunan"
"63","CN","China","Inner Mongolia"
"64","CN","China","Jiangsu"
"65","CN","China","Jiangxi"
"66","CN","China","Jilin"
"67","CN","China","Liaoning"
"68","CN","China","Ningxia Hui Autonomous Region"
"69","CN","China","Qinghai"
"70","CN","China","Shaanxi"
"71","CN","China","Shandong"
"72","CN","China","Shanghai"
"73","CN","China","Shanxi"
"74","CN","China","Sichuan"
"75","CN","China","Tianjin"
"76","CN","China","Tibet"
"77","CN","China","Xinjiang"
"78","CN","China","Yunnan"
"79","CN","China","Zhejiang"
"80","FR","France","Auvergne-Rhone-Alpes"
"81","FR","France","Bourgogne-Franche-Comte"
"82","FR","France","Brittany"
"83","FR","France","Centre"
"84","FR","France","Corsica"
"85","FR","France","Grand Est"
