record_id,date_announced,init_country,entry_type,type,event_description,target_country,compliance,sources_matrix_1_2,severity_index
record_id,Enter a date:,List of Countries,"Please let us know what type of entry this is, i.e., a completely new entry, a correction to an older entry, or an update on a previous restriction/policy. 
 

If there is an existing record that relates to this restriction for the country, such as a pre-existing travel or quarantine policy that is now updated or that you need to correct, please find the earlier record's ID from this list of database entries. - Selected Choice","Please select the appropriate policy category. For a description and example of each policy category, please click on the relevant cateogry below. 

 


    



Declaration of Emergency

 
  
   Description    


   The head of government declares a state of national emergency.    


   


   Example


   On March 15, 2020, in South Africa: “President  Ramaphosa announces national state of disaster”
  
 






Quarantine

 
  
   Description    


   Targets of the policy are obliged to quarantine or shelter in place for at least 14 days.    


   


   Example


   On March 17, “Hong Kong residents and tourists alike, who've been to Italy in the past fortnight, will be required to spend 14 days in a government quarantine centre.”
  
 






External Border Restrictions

 
  
   Description    


   Government policies which reduce the ability to access ports of entry or exit to or from a country.    


   


   Example


   On March 14, 2020, the “Namibian government suspends inbound and Outbound flights for 30 days”
  
 







Internal Border Restrictions

 
  
   Description    


   Government policies which reduce the ability to move freely within a country.


   


   Example


   In Peru as of March 15, 2020, “Officials are also restricting the movement of people across provinces.”
  
 






Restrict. of Mass Gatherings

 
  
   Description    


   Government policies that limit the number of people allowed to congregate in a place (including sporting events, concerts, etc.).


   


   Example


   On March 16, 2020 in the United States, “The latest recommendation announced Monday by the federal government to promote social distancing and limit the transmission of the coronavirus: no more than 10 people in one place.”
  
 







Social Distancing

 
  
   Description    


   Government policies that limit physical contact between individuals to 1.5 meters or 6 feet.


   


   Example


   On March 22, the German implemented new rules that stated that “a 1.5 meter distance should be kept at all times when in public”  
  
 







Curfew

 
  
   Description    


   Government policies that limit domestic freedom of movement to certain times of the day.


   


   Example


   In Serbia, “[a]s of March 21, 2020 the following measures are in effect: Curfew for all residents with few exceptions from 8:00pm to 5:00am the next day”
  
 






Closure of Schools

 
  
   Description    


   Government policy which closes educational establishments in a country


   


   Example


   In Slovakia, as of March 12, “All schools and Educational establishments will be shut down”
  
 







Restrict. Non-Essential Govt. Services

 
  
   Description    


   Government policy restricts non-essential government services.


   


   Example


   In Malaysia from March 18 to March 31, “All government and private services except those involved in essential services such as water, electricity, power, telecommunications, postal, transportation, fuel,finance, banking, health, pharmacy, fire, port, airport, security, retail and food supply will also be closed.”
  
 







Restrict. Non-Essential Businesses

 
  
   Description    


   Government policy restricts non-essential commercial activity.


   


   Example


   In Serbia, “As of March 21, 2020 the following measures are in effect: Supermarkets, gas stations, restaurants, post offices, banks and other service providers will be reducing their hours to observe the curfew, with some closing at 6:00 PM or earlier. Cafes, restaurants and shopping centers are closed.Delivery of food is allowed.”
  
 







Health Monitoring

 
  
   Description    


   Government policies that seek to monitor the health of individuals who are afflicted with or who are likely to be afflicted with the coronavirus


   


   Example


   On January 5, 2020, “Taiwan CDC monitors all individuals who had traveled to Wuhan within 14 days and exhibited a or symptoms of upper respiratory tract infections”
  
 







Health Testing

 
  
   Description    


   Government policies which seeks to sample large populations for coronavirus regardless of suspected likelihood of affliction with coronavirus


   


   Example


   On March 22, “South Korea began testing all passengers arriving from Europe”
  
 







Health Resources

 
  
   Description    


   Government policies which affect the material (e.g. medical equipment, number of hospitals for public health) or human (e.g. doctors, nurses) health resources of a country.


   


   Example


   On January 24, 2020, “Taiwan bans exports of face masks; ban extended to end of April” ; On March 20, it was announced that ""to accommodate the growing demand of laboratory tests for COVID-19, His Majesty the Sultan and Yang Di-Pertuan of Brunei Darussalam has consented to the construction of an additional virology laboratory""
  
 






Public Awareness Campaigns

 
  
   Description    


    Efforts to disseminate and convey reliable information about COVID-19, including ways to prevent or mitigate the health effects of COVID-19.
.


   


   Example


   On March 22, it was announced that ""the Provincial Youth Council in Namiba carried out an intense public awareness campaign on methods of disease prevention, during which, young associates distributed pamphlets with statements about the pandemic and ways of prevention.""
  
 







New Task Force or Bureau

 
  
   Description    


   Government policy that changes the administrative capacity of a part of government to respond to the crisis.


   


   Example


   On January 20, 2020, “Taiwan activated the Central Epidemic Command Center (CECC) which mobilizes government funds and military personnel to facilitate face mask production” - Selected Choice","Please provide a description of the government policy you are documenting in the text box below. This will be very important as (1) this data forms the raw basis for categorizing different parts of the policy and (2) it can help others quickly understand what the nature of the policy is about so please take your time in entering an thorough but succinct description.   
Please try to include the following information in the description:


	The name of the country from which a policy originates
	The date the policy is supposed to take effect
	Information about the 'type' of policy (see buttons below)
	If applicable, the country or region that a policy is targeted towards
	If applicable, the type of people or resources a policy is targeted towards
	If applicable, when a policy is slated to end


Where possible:


	Copy and paste exact language used for each policy type variable; when necessary, make the language more succinct.
	However, if a particular policy applies to multiple targets, keep the original language.


Example: India “is enforcing a two-week quarantine on all passengers, including Indian nationals arriving from or having visited China, Italy, Iran, Republic of Korea, France, Spain and Germany after Feb. 15.” --- Keep this sentence as is and don’t extract different target countries for each entry. Note that there is no information on when the policy is slated to end. For more examples of how you should enter into the description, please click on the buttons in the question below and look at the examples for each policy type.","Please select as many countries that are targets of this policy as applicable. If the policy applies domestically, please select the corresponding country name.
 
Note, if the target countries is all countries except for one, for example, you can use the 'select all' button to select all of the countries, and then click on the country that is the exception to 'de-select' it. Note if the policy applies to all countries with no exceptions, then please choose the 'All countries' option in response to the previous request to 'Please specify which geographical or administrative entity is the target of the policy.' - Selected Choice","What kind of enforcement does this policy have (if any)? Please select all that apply:

 


    



Mandatory With Legal Penalties

 
  
   Description    


   The prescribed government policy is mandatory/ must be followed. If the description of a policy does not state otherwise, assume that it is mandatory. If the policy is not followed, people may face legal penalties like jail time.



   


   Example


   “On March 15, Uruguay announced it would halt all flights from Europe starting March 20.
  
 






Mandatory with Fines 

 
  
   Description    


   The prescribed government policy is mandatory/ must be followed but some exceptions are allowed. If the policy is not followed, people must pay a fine. 


   


   Example


   In Switzerland as announced on March 22, ""Gatherings in public spaces of more than 5 people are prohibited. This includes public spaces such as public squares, park, playgrounds, walking paths, etc. If five or fewer people meet, they must maintain a distance of 2 meters from one another. Anyone not complying with this rule will be fined.""
  
 






Mandatory (Unspecified/Implied)

 
  
   Description    


   The prescribed government policy is mandatory/must be followed but the penalty for failing to comply is not made explicit or is implied. For instance, in the example given below, the implication of the policy (even though it is not explicitly stated) is that travelers without a health certificate will not be allowed to enter the country. 



   


   Example


    In the Dominican Republic, as of March 19, “all travelers arriving in the country must complete a travel history form”

  
 







Mandatory with Exceptions

 
  
   Description    


   There are some exceptions to the policy but it is mandatory for those for whom it applies. 



   


   Example


    E.g. As of March 13, the Indian government suspended most travel and tourism visas, with the exception of “diplomatic, official, U.N. or International Organizations, employment and project visas” until April 15.

  
 







Recommended/Voluntary but no penalties

 
  
   Description    


   The prescribed policy is recommended by the initiating body but compliance is voluntary.



   


   Example


    As of March 14, Brazil had not imposed travel restrictions. Its health ministry recommended that all passengers who arrive on international flights remain at home for at least seven days and seek medical help if they develop coronavirus symptoms. - Selected Choice","Please record the sources of information that you used to collect this data in the below.
 
Please remember to save a .pdf of the source that you collected. Save the .pdf with the following filename format ""[Date Source Collected]_[Title of the Source].pdf"":


	[Date Source Collected]  refers to the day on which the RA collects the data, not when the source was published
	Note the [Date Source Collected] should be in the following format: MM-DD-YYYY (e.g. 03-22-2020).
	E.g. ""03-21-2020_CDC implements extra inspection measures for Wuhan flights.pdf"" 
	If using a frequently updated version of a website as your source (e.g. the US Embassy website for you country) please be sure to save a new .pdf each day that you access it - Source 1 - URL/link",0.7384448399247899
"{""ImportId"":""record_id""}","{""ImportId"":""QID71_TEXT""}","{""ImportId"":""QID50""}","{""ImportId"":""QID47""}","{""ImportId"":""QID11""}","{""ImportId"":""QID138_TEXT""}","{""ImportId"":""QID98""}","{""ImportId"":""QID69""}","{""ImportId"":""QID134_1_2""}",0.5980554852959179
1311383,03-20-2020,United States,New Entry,External Border Restrictions,NA,"Canada,United States",Mandatory with Exceptions (Please list exceptions in the text entry),https://www.dhs.gov/news/2020/03/20/joint-statement-us-canada-joint-initiative-temporary-restriction-travelers-crossing,2.2905804655503883
754280,03-25-2020,Bahamas,New Entry,External Border Restrictions,Test test,NA,Mandatory with Legal Penalties (Jail Time),blah,-0.5782488981954352
6298255,02-25-2020,Albania,New Entry,Health Monitoring,"Albania began health checks at the airport for passengers coming from China, Iran, Singapore, South Korea, or Italy on February 25th.","China,Italy,Singapore,South Korea",Voluntary/Recommended but No Penalties,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Albania,-0.05119374747129753
3650865,03-06-2020,Czechia,New Entry,Quarantine,"Czech Ministry of Health mandates all persons residing in Czech Republic returning from Italy after March 7, 2020 to report to their general practitioner doctor. Doctors are then required to put these individuals into a 14-day quarantine.",Czechia,Mandatory with Fines,https://www.hlinna.cz/wp-content/uploads/sites/6/2020/03/MO-MZ-karantena.pdf,1.8930646894966832
359651,03-07-2020,Czechia,Update on Existing Entry (type in Record ID in text box),Quarantine,"Czech Republic Ministry of Health implements an exception to the mandatory quarantine measures from March 6, 2020, relevant to freight transportation employees, medical ambulance crews and commercial pilots. If observing symptoms of COVID-19, such individuals are to report to their general practitioner. They are mandated to use increased hygiene measures during their work (including respirators type FFP2 or FFP3).",Czechia,Voluntary/Recommended but No Penalties,http://www.khsolc.cz/files/ncov/Ukon%C4%8Den%C3%AD_mimo%C5%99%C3%A1dn%C3%A9ho_OOP_-_v%C3%BDjimka_pro_pracuj%C3%ADc%C3%AD_v_doprav%C4%9B_07032020.pdf,-0.17550810856023646
911567,01-27-2020,Czechia,New Entry,Public Awareness Campaigns,"Czech Republic Ministry of Health implements a protective measure targeted specifically at the Prague International Airport and its employees. It includes a verbal announcement about what to do should travelers develop COVID-19 symptoms in every plane landing in Prague, gathered in an information leaflet.",NA,NA,https://www.mzcr.cz/dokumenty/ministerstvo-zdravotnictvi-naridilo-letisti-praha-ochranne-opatreni_18417_1.html,-0.8355275799818597
3494218,03-31-2020,Czechia,Update on Existing Entry (type in Record ID in text box),Public Awareness Campaigns,"Czech Republic Ministry of Education extends protective measures to apply to 4 more international airports, namely airports in Ostrava, Karlovy Vary, Brno and Pardubice. Same measures apply.",NA,Voluntary/Recommended but No Penalties,http://www.mzcr.cz/dokumenty/ministerstvo-zdravotnictvi-naridilo-ochranne-opatreni-vsem-mezionarodnim-letisti_18466_1.html,-1.3351848238697097
727106,02-28-2020,Kenya,New Entry,New Task Force or Bureau,"Executive Order No.2 of 2020 by the President of the Republic of Kenya on 28th February 2020 making the following orders: 
i) The national isolation and treatment facility at Mbagathi Hospital be completed and ready to receive patients within seven days from the issuance of the Executive Order;
ii) The identification and preparation of isolation and treatment facilities in Level V and Referral Hospitals across the country be concluded by 15th March 2020;
iii) The National Emergency Response Committee on Coronavirus is hereby established;
iv) The Cabinet’s Ad-hoc Committee on Health and the Inter-Ministerial Technical Committee on Government Response to the Coronavirus Outbreak are hereby subsumed into the National Emergency Response Committee and stand dissolved; and
v) The National Emergency Response Committee shall be constituted with the Cabinet Secretary for Health as chairperson, the Director of Public Health as the Secretariat, and the following as Members of the Committee: Cabinet Secretary for Foreign Affairs; Cabinet Secretary for Transport, Infrastructure, Housing, Urban Development and Public Works; Cabinet Secretary for Defence; Cabinet Secretary for ICT, Innovation and Youth Affairs; Chairperson Health Committee, Council of Governors; Principal Secretary, Interior and Citizen Services; Chief of Staff, Office of the President; Principal Administrative Secretary, Office of the President; Principal Secretary, Health; Principal Secretary, National Treasury; Principal Secretary, Foreign Affairs; Principal Secretary, Transport; Principal Secretary, Telecommunications and Broadcasting; Director-General, Medical Services; Director-General, Kenya Civil Aviation Authority; Director-General, Kenya Airports Authority; Director, Immigration; Director of Medical Services, Kenya Defence Forces; and Government Spokesperson.",NA,Voluntary/Recommended but No Penalties,http://www.mfa.go.ke/wp-content/uploads/2020/03/executive-order-2-2.pdf,0.7701061539335112
