init_country,init_prov,init_city,target_country_regions,target_country_exception,target_province,target_city,target_other,target_city_exceptions,event_description,type,target_who_what,travel_direction,travel_mechanism,date_announced,date_start,date_end,date_collected,date_published,link,title,author,Publication,date_published_2,link2,title2,author2,publication2
China,,,China,,Hubei,Wuhan,,,Wuhan placed under quarantine,Quarantine,All Residents (Citizen Residents + Foreign Residents),NA,NA,01/23/20,01/23/20,,03/21/20,3/19/20,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3?r=DE&IR=T,"A comprehensive timeline of the new coronavirus pandemic, from China's first COVID-19 case to the present","Secon, Holly; Woodward, Aylin; Mosher, David",Business Insider,,,,,
United States,,,China,,,,,,Trump bars foreign nationals from entering the US if they were in China within the prior two weeks,External Border Restrictions,Foreign Travelers,Inbound,All Travel Mechanisms,01/31/20,01/31/20,,03/21/20,3/19/20,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3?r=DE&IR=T,"A comprehensive timeline of the new coronavirus pandemic, from China's first COVID-19 case to the present","Secon, Holly; Woodward, Aylin; Mosher, David",Business Insider,,,,,
Italy,,,Italy,,,,,,Italy places lockdown of 60 million residents,Quarantine,All Residents (Citizen Residents + Foreign Residents),NA,NA,03/08/20,03/08/20,,03/21/20,3/19/20,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3?r=DE&IR=T,"A comprehensive timeline of the new coronavirus pandemic, from China's first COVID-19 case to the present","Secon, Holly; Woodward, Aylin; Mosher, David",Business Insider,,,,,
Taiwan,,,China,,Hubei,Wuhan,,,Taiwan CDC implements inspection measures for inbound flights from  Wuhan,Health Monitoring,All Travelers  (Citizen Travelers + Foreign Travelers),Inbound,Flights,12/31/19,12/31/19,,03/21/20,1/2/20,"https://taiwantoday.tw/news.php?unit=2,6,10,15,18&post=168773",CDC implements extra inspection measures for Wuhan flights,NA,Taiwan Today,,,,,
Taiwan,,,China,,Hubei,Wuhan,,,Taiwan CDC monitors all individuals who had traveled to Wuhan within 14 days and exhibited a or symptoms of upper respiratory tract infections,Health Monitoring,Foreign Travelers,Inbound,All Travel Mechanisms,01/05/20,01/05/20,,03/21/20,3/3/20,https://jamanetwork.com/journals/jama/fullarticle/2762689,"Response to COVID-19 in Taiwan Big Data Analytics, New Technology, and Proactive Testing",C. Jason Wang,JAMA Viepoint,,,,,
Taiwan,,,Taiwan,,,,,,Taiwan activates Central Epidemic Command Center (CECC) which mobilizes government funds and military personnel to faciliate face mask production,Administrative Capacity,NA,NA,NA,01/20/20,01/20/20,NA,03/21/20,1/21/20,http://taipeitimes.com/News/front/archives/2020/01/21/2003729605,Epidemic response command center set up,"Clee, I-chia; Shan, Shelly",Taipei Times,,,,,
Taiwan,,,Taiwan,,,,,,Taiwan CECC promoted to level 1 government entity from level 3 government entitity ,Administrative Capacity,NA,NA,NA,02/28/20,02/28/20,NA,03/21/20,2/28/20,http://taipeitimes.com/News/front/archives/2020/02/28/2003731749,"Virus Outbreak: Su, eyeing ‘good offense,’ promotes CECC","Lin, Sean",Taipei Times,,,,,
Taiwan,,,Taiwan,,,,,,Taiwan bans exports of face masks; ban extended to end of april,Health Resource,Health Materials,NA,NA,01/24/20,01/24/20,,03/21/20,1/27/20,https://www.reuters.com/article/us-china-health-taiwan/taiwan-ups-chinese-visitor-curbs-to-stop-mask-exports-idUSKBN1ZQ1C6,"Taiwan ups Chinese visitor curbs, to stop mask exports",NA,Reuters,3/4/20,https://focustaiwan.tw/business/202003040012,Taiwan bans export of digital thermometers until end of March,"Wu, Chia-rung; Yeh, Joseph",Focus Taiwan
Taiwan,,,Taiwan,,,,,,"Taiwan institutes mask rationing system; adults 2 masks, children 4 masks on certain dates",Health Resource,Health Materials,NA,NA,02/06/20,02/06/20,,03/21/20,2/3/20,https://focustaiwan.tw/society/202002030019,WUHAN VIRUS/Taiwan approves new rationing system for surgical masks,"Chuan, Ku; Kao Evelyn",Focus Taiwan,,,,,
Taiwan,,,Taiwan,,,,,,Restriction for mask rationing for children under 13 yers of age revoked,Health Resource,Health Materials,NA,NA,02/27/20,02/27/20,,03/21/20,2/25/20,https://focustaiwan.tw/society/202002250016,New rules for children's mask purchase to come into effect Thursday,"Chang, Ming-hsuan; Kao, Evelyn",Focus Taiwan,,,,,
