record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,link,date_updated,recorded_date
R_3fplK6Z6dxqkB8nNA,888424,new_entry,correction,,,"Belarus demonstrated on April 6, 2020 that it is enforcing anti-disinformation measures in compliance with the requirements of the On Mass Media Law by actively monitoring the Internet to find misinformation related to the corona virus.",2020-04-06,2020-04-06,2021-05-04,Belarus,BLR,BY,National,1,Guangdong,CN-GD,Foshan,Anti-Disinformation Measures,,,,Belarus,"One or more countries, but not all countries",,Guangdong,Foshan,,All Residents (Citizen Residents + Foreign Residents),,,"Mandatory (Unspecified/Implied),Mandatory (Other; please list other enforcement mechanisms in the text entry)",Other (Please specify in the text box),37.2003486726473,34.4089755634238,31.5059972399431,5,http://mininform.gov.by/news/all/vyneseno-preduprezhdenie-za-rasprostranenie-lozhnoy-informatsii/,2021-02-25,2021-02-25T19:58:10Z
R_w6HcYL6mQmbWfcJEa,5422091Ea,new_entry,correction,,,"Belarus, April 6, Schools Closure and Regulation: President of Belarus extends school holidays for 6 days from 04.06.2020 to 04.11.2020. The break existed before, but the length was changed.",2020-04-04,2020-04-06,2020-04-11,Belarus,BLR,BY,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,,Belarus,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Other (Please specify in the text box)",37.2003486726473,34.4089755634238,31.5059972399431,5,https://t.me/s/minzdravbelarus ; https://edu.gov.by/news/croki-vesennikh-kanikul-prodlyayutsya-na-6-dney/,2021-03-29,2021-03-29T09:14:53Z
R_w6HcYL6mQmbWfcJFj,5422091Fj,new_entry,correction,,,"Belarus, April 6, Schools Closure and Regulation: President of Belarus extends school holidays for 6 days from 04.06.2020 to 04.11.2020. The break existed before, but the length was changed.",2020-04-04,2020-04-06,2020-04-11,Belarus,BLR,BY,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,,Belarus,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Other (Please specify in the text box)",37.2003486726473,34.4089755634238,31.5059972399431,5,https://t.me/s/minzdravbelarus ; https://edu.gov.by/news/croki-vesennikh-kanikul-prodlyayutsya-na-6-dney/,2021-03-29,2021-03-29T09:14:53Z
R_3ffQWPAw0HWAPIHDy,2888353Dy,new_entry,correction,,,"Belarus, April 8, 2020, Minsk authorities impose voluntary closure of schools: parents are given the right to choose whether to send their child to school or kindergarten or not. In universities and colleges, it is recommended to exclude group classes and use distance education.",2020-04-07,2020-04-08,,Belarus,BLR,BY,Provincial,1,Minsk City,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,,Belarus,,,Minsk City,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,Provincial/State Government,38.8953988978222,35.9680378896203,33.0234589707715,5,https://minsk.gov.by/ru/news/new/2020/04/08/704/,2021-04-20,2021-04-20T10:31:47Z
R_3ffQWPAw0HWAPIHEa,2888353Ea,new_entry,correction,,,"Belarus, April 8, 2020, Minsk authorities impose voluntary closure of schools: parents are given the right to choose whether to send their child to school or kindergarten or not. In universities and colleges, it is recommended to exclude group classes and use distance education.",2020-04-07,2020-04-08,,Belarus,BLR,BY,Provincial,1,Minsk City,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,,Belarus,,,Minsk City,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,Provincial/State Government,38.8953988978222,35.9680378896203,33.0234589707715,5,https://minsk.gov.by/ru/news/new/2020/04/08/704/,2021-04-20,2021-04-20T10:31:47Z
R_3ffQWPAw0HWAPIHFj,2888353Fj,new_entry,correction,,,"Belarus, April 8, 2020, Minsk authorities impose voluntary closure of schools: parents are given the right to choose whether to send their child to school or kindergarten or not. In universities and colleges, it is recommended to exclude group classes and use distance education.",2020-04-07,2020-04-08,,Belarus,BLR,BY,Provincial,1,Minsk City,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,,Belarus,,,Minsk City,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,Provincial/State Government,38.8953988978222,35.9680378896203,33.0234589707715,5,https://minsk.gov.by/ru/news/new/2020/04/08/704/,2021-04-20,2021-04-20T10:31:47Z
R_3ffQWPAw0HWAPIHCe,2888353Ce,new_entry,correction,,,"Belarus, April 8, 2020, Minsk authorities impose voluntary closure of schools: parents are given the right to choose whether to send their child to school or kindergarten or not. In universities and colleges, it is recommended to exclude group classes and use distance education.",2020-04-07,2020-04-08,,Belarus,BLR,BY,Provincial,1,Minsk City,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,,Belarus,,,Minsk City,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,Provincial/State Government,38.8953988978222,35.9680378896203,33.0234589707715,5,https://minsk.gov.by/ru/news/new/2020/04/08/704/,2021-04-20,2021-04-20T10:31:47Z
R_3z4NwFPSVMTnnl7Dy,2888353Dy,update,original,End of Policy,,"Belarus, April 8, Minsk authorities impose voluntary closure of schools: parents are given the right to choose whether to send their child to school or kindergarten or not. In universities and colleges, it is recommended to exclude group classes and use distance education. UPDATE: On April 10 it was announced by the Ministry of Education that the academic year will end on May 30. As such this policy will no longer be applicable following the end of the school year.",2020-04-10,2020-04-10,2020-05-30,Belarus,BLR,BY,Provincial,1,Minsk City,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,,Belarus,,,Minsk City,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,Provincial/State Government,40.0614407585146,37.2275221582938,34.3696443155116,5,NA ; https://www.belta.by/society/view/uchebnyj-god-prodlevat-ne-planiruetsja-minobrazovanija-386812-2020/,2020-08-27,2020-08-27T02:33:39Z
R_3z4NwFPSVMTnnl7Ea,2888353Ea,update,original,End of Policy,,"Belarus, April 8, Minsk authorities impose voluntary closure of schools: parents are given the right to choose whether to send their child to school or kindergarten or not. In universities and colleges, it is recommended to exclude group classes and use distance education. UPDATE: On April 10 it was announced by the Ministry of Education that the academic year will end on May 30. As such this policy will no longer be applicable following the end of the school year.",2020-04-10,2020-04-10,2020-05-30,Belarus,BLR,BY,Provincial,1,Minsk City,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,,Belarus,,,Minsk City,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,Provincial/State Government,40.0614407585146,37.2275221582938,34.3696443155116,5,NA ; https://www.belta.by/society/view/uchebnyj-god-prodlevat-ne-planiruetsja-minobrazovanija-386812-2020/,2020-08-27,2020-08-27T02:33:39Z
R_3z4NwFPSVMTnnl7Fj,2888353Fj,update,original,End of Policy,,"Belarus, April 8, Minsk authorities impose voluntary closure of schools: parents are given the right to choose whether to send their child to school or kindergarten or not. In universities and colleges, it is recommended to exclude group classes and use distance education. UPDATE: On April 10 it was announced by the Ministry of Education that the academic year will end on May 30. As such this policy will no longer be applicable following the end of the school year.",2020-04-10,2020-04-10,2020-05-30,Belarus,BLR,BY,Provincial,1,Minsk City,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,,Belarus,,,Minsk City,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,Provincial/State Government,40.0614407585146,37.2275221582938,34.3696443155116,5,NA ; https://www.belta.by/society/view/uchebnyj-god-prodlevat-ne-planiruetsja-minobrazovanija-386812-2020/,2020-08-27,2020-08-27T02:33:39Z
