record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,link,date_updated,recorded_date
R_yOYrIzI3GgbJ5cJDy,4029558Dy,new_entry,original,,,"After announcement of the first three cases of corona virus,French and Belgian schools in BURUNDI CLOSED.",2020-03-31,2020-04-01,,Burundi,BDI,BI,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Burundi,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Other (Please specify in the text box),,,,,https://www.nation.co.ke/news/africa/Burundi-reports-first-two-Covid-19-cases/1066-5510478-mec5uc/index.html,2020-04-07,2020-04-07T11:24:51Z
R_yOYrIzI3GgbJ5cJEa,4029558Ea,new_entry,original,,,"After announcement of the first three cases of corona virus,French and Belgian schools in BURUNDI CLOSED.",2020-03-31,2020-04-01,,Burundi,BDI,BI,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Burundi,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Other (Please specify in the text box),,,,,https://www.nation.co.ke/news/africa/Burundi-reports-first-two-Covid-19-cases/1066-5510478-mec5uc/index.html,2020-04-07,2020-04-07T11:24:51Z
R_yOYrIzI3GgbJ5cJFj,4029558Fj,new_entry,original,,,"After announcement of the first three cases of corona virus,French and Belgian schools in BURUNDI CLOSED.",2020-03-31,2020-04-01,,Burundi,BDI,BI,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Burundi,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Other (Please specify in the text box),,,,,https://www.nation.co.ke/news/africa/Burundi-reports-first-two-Covid-19-cases/1066-5510478-mec5uc/index.html,2020-04-07,2020-04-07T11:24:51Z
R_2TZcNAzUcSwRaJtNA,1826748,new_entry,original,,,Burundi has suspended all commercial flights at the Melchior Ndadaye international airport in Bujumbura,2020-03-26,2020-03-26,,Burundi,BDI,BI,National,0,,,,External Border Restrictions,,,,All countries,All countries,,,,,All (Travelers + Residents),Inbound,Flights,Mandatory with Legal Penalties (Jail Time),National Government,,,,,https://www.theeastafrican.co.ke/news/ea/Zero-Covid19-cases-in-Burundi/4552908-5506832-cjfstfz/index.html,2020-03-30,2020-03-30T12:58:00Z
R_1IxS5RRjKWboZMcCa,3007954,new_entry,original,,,Burundi extends ban on all International flights to the country for a 14-day period,2020-04-03,2020-04-03,,Burundi,BDI,BI,National,0,,,,External Border Restrictions,Health Screenings (e.g. temperature checks),,,All countries,All countries,,,,,All (Travelers + Residents),Inbound,All kinds of transport,Mandatory (Unspecified/Implied),National Government,,,,,https://www.garda.com/fr/crisis24/alertes-de-securite/329496/burundi-authorities-extend-international-flight-suspension-until-april-19-update-4,2020-04-06,2020-04-06T21:46:43Z
R_1IxS5RRjKWboZMcFz,3007954,new_entry,original,,,Burundi extends ban on all International flights to the country for a 14-day period,2020-04-03,2020-04-03,,Burundi,BDI,BI,National,0,,,,External Border Restrictions,Travel History Form (e.g. documents where traveler has recently been),,,All countries,All countries,,,,,All (Travelers + Residents),Inbound,All kinds of transport,Mandatory (Unspecified/Implied),National Government,,,,,https://www.garda.com/fr/crisis24/alertes-de-securite/329496/burundi-authorities-extend-international-flight-suspension-until-april-19-update-4,2020-04-06,2020-04-06T21:46:43Z
R_3k63SAuEWRHvcrPFz,4915806,new_entry,original,,,"On 3 April, Burundian Ministry of Transport extended the suspension of international flights for an additional two weeks.",2020-04-03,2020-04-03,,Burundi,BDI,BI,National,0,,,,External Border Restrictions,Travel History Form (e.g. documents where traveler has recently been),,,All countries,All countries,,,,,All (Travelers + Residents),Inbound,All kinds of transport,Mandatory (Unspecified/Implied),"National Government,Police",,,,,https://reliefweb.int/report/burundi/burundi-flash-update-11-june-2020-94-cases-covid-19-are-confirmed-moph-burundi,2020-06-18,2020-06-18T16:00:31Z
R_2fvvDSrCZh2V3RrCa,445713,new_entry,original,,,"Burundi's international airport and land borders reopened on 1 August,2020",2020-08-01,2020-08-01,,Burundi,BDI,BI,National,0,,,,External Border Restrictions,Health Screenings (e.g. temperature checks),,,Burundi,All countries,,,,,All (Travelers + Residents),Inbound,All kinds of transport,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Ministry/Department of Foreign Affairs,Police",,,,,https://www.smartraveller.gov.au/destinations/africa/burundi,2020-09-10,2020-09-10T07:17:56Z
R_2fvvDSrCZh2V3RrBx,445713,new_entry,original,,,"Burundi's international airport and land borders reopened on 1 August,2020",2020-08-01,2020-08-01,,Burundi,BDI,BI,National,0,,,,External Border Restrictions,Health Certificates,,,Burundi,All countries,,,,,All (Travelers + Residents),Inbound,All kinds of transport,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Ministry/Department of Foreign Affairs,Police",,,,,https://www.smartraveller.gov.au/destinations/africa/burundi,2020-09-10,2020-09-10T07:17:56Z
R_3hGtXvXKOz1xugXNA,4276196,new_entry,original,,,"After confirming the first two cases of Corona virus on 31 March 2020,the Burundian government steps up it's tracing of those who had come in contact with the first two cases.",2020-03-31,2020-03-31,,Burundi,BDI,BI,National,0,,,,Health Monitoring,,,,All countries,All countries,,,,,All (Travelers + Residents),,"All kinds of transport,Flights,Land Border,Trains,Buses",Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Provincial/State Government,Police",,,,,https://www.theeastafrican.co.ke/news/ea/Burundi-records-three-cases-of-coronavirus/4552908-5512912-wraw4k/index.html,2020-04-07,2020-04-07T11:00:47Z
R_9GFL9piGVldKo4pGb,1906124,new_entry,original,,,Burundi receives money from the World Bank to strenghten its preparednes for the Corona virus and Health Systems too.,2020-04-14,2020-04-14,,Burundi,BDI,BI,National,0,,,,Health Resources,Unspecified Health Materials,,,All countries,All countries,,,,,All (Travelers + Residents),,Not Applicable,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",,,,,https://www.cnbcafrica.com/africa-press-office/2020/04/14/coronavirus-burundi-to-strengthen-national-health-system-and-preparedness-in-the-face-of-covid-19/,2020-04-15,2020-04-15T01:50:19Z
R_9GFL9piGVldKo4pGa,1906124,new_entry,original,,,Burundi receives money from the World Bank to strenghten its preparednes for the Corona virus and Health Systems too.,2020-04-14,2020-04-14,,Burundi,BDI,BI,National,0,,,,Health Resources,Unspecified Health Infrastructure,,,All countries,All countries,,,,,All (Travelers + Residents),,Not Applicable,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",,,,,https://www.cnbcafrica.com/africa-press-office/2020/04/14/coronavirus-burundi-to-strengthen-national-health-system-and-preparedness-in-the-face-of-covid-19/,2020-04-15,2020-04-15T01:50:19Z
R_9GFL9piGVldKo4pGc,1906124,new_entry,original,,,Burundi receives money from the World Bank to strenghten its preparednes for the Corona virus and Health Systems too.,2020-04-14,2020-04-14,,Burundi,BDI,BI,National,0,,,,Health Resources,Unspecified Health Staff,,,All countries,All countries,,,,,All (Travelers + Residents),,Not Applicable,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",,,,,https://www.cnbcafrica.com/africa-press-office/2020/04/14/coronavirus-burundi-to-strengthen-national-health-system-and-preparedness-in-the-face-of-covid-19/,2020-04-15,2020-04-15T01:50:19Z
R_3lyThjKjsoqBuTTBw,8290806,new_entry,original,,,Electoral commission provides buckets of water and soap to Burundians attending political parties,2020-05-04,2020-05-04,,Burundi,BDI,BI,National,1,,,,Health Resources,Hand Sanitizer,,,Burundi,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,National Government,,,,,http://venturesafrica.com/felicien-kabuga-a-discovery-that-questions-frances-role-in-the-rwanda-genocide-of-1994/,2020-05-29,2020-05-29T17:09:30Z
R_z99FZpmqOgRIkE1NA,5856259,new_entry,original,,,"After condirming first two cases on 30 March 2020,Burundi steps up efforts to screen all incoming passengers from affected countries",2020-03-31,2020-03-31,,Burundi,BDI,BI,National,0,,,,Health Testing,,,,All countries,All countries,,,,,All (Travelers + Residents),Inbound,All kinds of transport,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Police",,,,,https://www.theeastafrican.co.ke/news/ea/Burundi-records-three-cases-of-coronavirus/4552908-5512912-wraw4k/index.html,2020-04-07,2020-04-07T11:06:32Z
R_3je31ik3cGjU223NA,8834611,new_entry,original,,,The government announces testing of all those who had come into contacts with the first three corona virus patients as announced on 31 March 2020.,2020-03-31,2020-03-31,,Burundi,BDI,BI,National,0,,,,Health Testing,,,,All countries,All countries,,,,,All (Travelers + Residents),,All kinds of transport,Mandatory (Unspecified/Implied),Ministry/Department of Health,,,,,https://www.theeastafrican.co.ke/news/ea/Burundi-records-three-cases-of-coronavirus/4552908-5512912-wraw4k/index.html,2020-04-07,2020-04-07T11:14:20Z
