record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,link,date_updated,recorded_date
R_3G1eosyema4GpGcFj,7117750Fj,new_entry,original,,,"The Pitkäjärvi school in Kangasala, Finland, announces that they are implementing remote learning between 9 March 2020 and 15 March 2020 because of several infections at the school.",2020-03-08,2020-03-09,2020-03-15,Finland,FIN,FI,Municipal,1,Pirkanmaa,FI-11,Kangasala,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Finland,One or more geographical or administrative units within one or more countries,,Pirkanmaa,Kangasala,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Municipal Government,40.2377220082928,36.1144385628711,32.1711896559526,90,https://www.tays.fi/fi-FI/Pirkanmaalla_lukuisia_koronavirukselle_a(104067),2021-02-23,2021-02-23T18:19:00Z
R_3CJyPoR1WCDXsc7Dy,6326077Dy,new_entry,correction,,,"Finland's Ministry of Education and Culture and the Ministry of Social Affairs and Health issues a recommendation to 'providers of education and training, including early childhood education, secondary and higher educations' in both the public and private sectors on 12 March. The ministries recommend employees to stay at home if they have returned from an area affected by the coronavirus or if they are experiencing flu symptoms and ask employers to allow employees to work from home.

",2020-03-12,2020-03-12,2021-05-04,Finland,FIN,FI,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities allowed to open with conditions,Finland,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,"Ministry/Department of Health,Ministry/Department of Education",46.5986484772123,43.0695645477419,39.7374389765744,94,https://stm.fi/en/article/-/asset_publisher/suositus-sosiaali-ja-terveydenhuollon-seka-oppilaitosten-henkilostolle-ja-tyonantajille-koronavirustilanteessa,2021-02-10,2021-02-10T09:40:03Z
R_3CJyPoR1WCDXsc7Ea,6326077Ea,new_entry,correction,,,"Finland's Ministry of Education and Culture and the Ministry of Social Affairs and Health issues a recommendation to 'providers of education and training, including early childhood education, secondary and higher educations' in both the public and private sectors on 12 March. The ministries recommend employees to stay at home if they have returned from an area affected by the coronavirus or if they are experiencing flu symptoms and ask employers to allow employees to work from home.

",2020-03-12,2020-03-12,2021-05-04,Finland,FIN,FI,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools allowed to open with conditions,Finland,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,"Ministry/Department of Health,Ministry/Department of Education",46.5986484772123,43.0695645477419,39.7374389765744,94,https://stm.fi/en/article/-/asset_publisher/suositus-sosiaali-ja-terveydenhuollon-seka-oppilaitosten-henkilostolle-ja-tyonantajille-koronavirustilanteessa,2021-02-10,2021-02-10T09:40:03Z
R_3CJyPoR1WCDXsc7Fj,6326077Fj,new_entry,correction,,,"Finland's Ministry of Education and Culture and the Ministry of Social Affairs and Health issues a recommendation to 'providers of education and training, including early childhood education, secondary and higher educations' in both the public and private sectors on 12 March. The ministries recommend employees to stay at home if they have returned from an area affected by the coronavirus or if they are experiencing flu symptoms and ask employers to allow employees to work from home.

",2020-03-12,2020-03-12,2021-05-04,Finland,FIN,FI,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools allowed to open with conditions,Finland,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,"Ministry/Department of Health,Ministry/Department of Education",46.5986484772123,43.0695645477419,39.7374389765744,94,https://stm.fi/en/article/-/asset_publisher/suositus-sosiaali-ja-terveydenhuollon-seka-oppilaitosten-henkilostolle-ja-tyonantajille-koronavirustilanteessa,2021-02-10,2021-02-10T09:40:03Z
R_3CJyPoR1WCDXsc7Ce,6326077Ce,new_entry,correction,,,"Finland's Ministry of Education and Culture and the Ministry of Social Affairs and Health issues a recommendation to 'providers of education and training, including early childhood education, secondary and higher educations' in both the public and private sectors on 12 March. The ministries recommend employees to stay at home if they have returned from an area affected by the coronavirus or if they are experiencing flu symptoms and ask employers to allow employees to work from home.

",2020-03-12,2020-03-12,2021-05-04,Finland,FIN,FI,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions allowed to open with conditions,Finland,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,"Ministry/Department of Health,Ministry/Department of Education",46.5986484772123,43.0695645477419,39.7374389765744,94,https://stm.fi/en/article/-/asset_publisher/suositus-sosiaali-ja-terveydenhuollon-seka-oppilaitosten-henkilostolle-ja-tyonantajille-koronavirustilanteessa,2021-02-10,2021-02-10T09:40:03Z
R_31Y5DxWJx9wCR0kEa,3746851Ea,new_entry,original,,,"The Forssan keskuskoulu-school, Finland, closes on 12 March 2020 for two weeks because of a group exposure at the school.",2020-03-11,2020-03-12,2020-03-25,Finland,FIN,FI,Municipal,1,Kanta-Hame,,Forssa,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Finland,One or more geographical or administrative units within one or more countries,,Kanta-Hame,Forssa,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Municipal Government,46.5986484772123,43.0695645477419,39.7374389765744,94,https://www.khshp.fi/uutiset/forssan-keskuskoulu-suljetaan-koronavirusaltistuksen-vuoksi-yhteensa-nelja-uutta-tartuntaa-kanta-hameessa/,2021-02-23,2021-02-23T18:29:26Z
R_31Y5DxWJx9wCR0kFj,3746851Fj,new_entry,original,,,"The Forssan keskuskoulu-school, Finland, closes on 12 March 2020 for two weeks because of a group exposure at the school.",2020-03-11,2020-03-12,2020-03-25,Finland,FIN,FI,Municipal,1,Kanta-Hame,,Forssa,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Finland,One or more geographical or administrative units within one or more countries,,Kanta-Hame,Forssa,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Municipal Government,46.5986484772123,43.0695645477419,39.7374389765744,94,https://www.khshp.fi/uutiset/forssan-keskuskoulu-suljetaan-koronavirusaltistuksen-vuoksi-yhteensa-nelja-uutta-tartuntaa-kanta-hameessa/,2021-02-23,2021-02-23T18:29:26Z
R_2bNlXrc3c4pocQHDy,8651101Dy,new_entry,original,,,"The Anttola daycare center in Savonlinna, Finland, closes one of its groups between 3 April 2020 and 19 April 2020. This measure was taken because of group exposure at the center.",2020-04-03,2020-04-03,2020-04-19,Finland,FIN,FI,Municipal,1,South Savo,,Savonlinna,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Finland,One or more geographical or administrative units within one or more countries,,South Savo,Savonlinna,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Municipal Government,64.761003516525,61.9565007573056,59.4465831001735,39,https://www.sosteri.fi/savonlinnan-kaupungin-anttolan-paivakodin-hattukallion-ryhma-on-suljettuna-19-4-2020-asti/,2021-02-23,2021-02-23T20:30:26Z
R_BVMAMDyWS0qXbRDEa,5041865Ea,new_entry,original,,,"The Sauvosaari school in Kemi, Finland, announces that all students will attend distance learning between 14 April 2020 and 17 April 2020. This measure was taken because of the members of staff quarantine.",2020-04-12,2020-04-14,2020-04-17,Finland,FIN,FI,Municipal,1,Lapland,,Kemi,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Finland,One or more geographical or administrative units within one or more countries,,Lapland,Kemi,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Municipal Government,62.1361257112444,59.5414902322497,56.8768501800247,24,https://www.kemi.fi/tiedotteet/sauvosaaren-koululla-ei-ole-lahiopetusta-viikolla-16/,2021-03-04,2021-03-04T07:46:10Z
R_1Q4x1peSmyg6h6BDy,691058Dy,new_entry,correction,,,"On 29 April, the Finnish government decides to reopen early childhood education, childcare facilities, and primary and lower secondary education institutions in a controlled manner under strict guidelines. The guidelines that must be met include:
- avoidance of unnecessary physical contact
- arranging teaching premises more spacious than usual
- school break times and school meals must be held with the student's own class or group
- no large gatherings, such as spring festivals
- personnel must work with the same group of children and hygiene guidelines must be strictly respected

The school year is set to end on 30 May.",2020-04-29,2020-04-29,,Finland,FIN,FI,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities allowed to open with conditions,Finland,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Other (Please specify in the text box)",58.0886297940059,55.3986462119142,52.729381749533,17,https://www.helsinkitimes.fi/finland/finland-news/domestic/17611-pupils-and-students-to-return-to-classrooms-in-finland-on-14-may-says-government.html ; https://minedu.fi/en/article/-/asset_publisher/10616/hallitus-paatti-varhaiskasvatuksen-ja-perusopetuksen-rajoitteiden-purkamisesta ; https://minedu.fi/en/article/-/asset_publisher/10616/valtioneuvosto-vahvisti-periaatepaatoksella-eilisen-linjauksen-varhaiskasvatuksen-ja-perusopetuksen-rajoitteiden-purkamisesta,2021-02-10,2021-02-10T09:45:43Z
