record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,link,date_updated,recorded_date
R_1Cdd0rYR2j9dobUEa,2350411Ea,new_entry,correction,,,"Greece ""Joint Ministerial Decision of the Ministries of Health and Education "": Primary School of Thessaloniki will remain closed, tomorrow Thursday, February 27, for precautionary reasons.",2020-02-26,2020-02-27,,Greece,GRC,GR,Provincial,1,Central Macedonia,GR-B,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,,Greece,,,Central Macedonia,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Ministry/Department of Health,,,,,https://www.moh.gov.gr/articles/ministry/grafeio-typoy/press-releases/6721-koinh-ypoyrgikh-apofash-ypoyrgeiwn-ygeias-kai-paideias,2020-06-02,2020-06-02T11:16:49Z
R_2CpPcDz0cH9QFdfDy,6929310Dy,update,original,,,"Greece On 10 April, the Minister of Education Niki Kerameos announced that all educational institutions would remain closed until 10 May UPDATE: On 10 April, the Minister of Education Niki Kerameos announced that all educational institutions would remain closed until 10 May",2020-04-10,2020-04-10,2020-05-10,Greece,GRC,GR,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Greece,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Provincial/State Government,,,,,https://www.ekathimerini.com/251581/article/ekathimerini/news/schools-to-remain-closed-until-may-10-ministry-says,2020-04-15,2020-04-15T12:27:11Z
R_2CpPcDz0cH9QFdfEa,6929310Ea,update,original,,,"Greece On 10 April, the Minister of Education Niki Kerameos announced that all educational institutions would remain closed until 10 May UPDATE: On 10 April, the Minister of Education Niki Kerameos announced that all educational institutions would remain closed until 10 May",2020-04-10,2020-04-10,2020-05-10,Greece,GRC,GR,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Greece,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Provincial/State Government,,,,,https://www.ekathimerini.com/251581/article/ekathimerini/news/schools-to-remain-closed-until-may-10-ministry-says,2020-04-15,2020-04-15T12:27:11Z
R_2CpPcDz0cH9QFdfFj,6929310Fj,update,original,,,"Greece On 10 April, the Minister of Education Niki Kerameos announced that all educational institutions would remain closed until 10 May UPDATE: On 10 April, the Minister of Education Niki Kerameos announced that all educational institutions would remain closed until 10 May",2020-04-10,2020-04-10,2020-05-10,Greece,GRC,GR,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Greece,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Provincial/State Government,,,,,https://www.ekathimerini.com/251581/article/ekathimerini/news/schools-to-remain-closed-until-may-10-ministry-says,2020-04-15,2020-04-15T12:27:11Z
R_2CpPcDz0cH9QFdfCe,6929310Ce,update,original,,,"Greece On 10 April, the Minister of Education Niki Kerameos announced that all educational institutions would remain closed until 10 May UPDATE: On 10 April, the Minister of Education Niki Kerameos announced that all educational institutions would remain closed until 10 May",2020-04-10,2020-04-10,2020-05-10,Greece,GRC,GR,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Greece,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Provincial/State Government,,,,,https://www.ekathimerini.com/251581/article/ekathimerini/news/schools-to-remain-closed-until-may-10-ministry-says,2020-04-15,2020-04-15T12:27:11Z
R_2bIBazy8DwV4tn1Dy,6929310Dy,new_entry,original,,,"Greece ""Schools closure""",2020-03-10,2020-04-27,,Greece,GRC,GR,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Greece,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Ministry/Department of Health,,,,,https://www.moh.gov.gr/articles/ministry/grafeio-typoy/press-releases/6820-dhlwsh-toy-ypoyrgoy-ygeias-basilh-kikilia-gia-thn-anastolh-leitoyrgias-olwn-twn-ekpaideytikwn-idrymatwn-meta-apo-eishghsh-ths-eidikhs-epitrophs-loimwksiologwn-10-3-2020 ; https://gr.usembassy.gov/covid-19-information/,2020-04-01,2020-04-01T19:46:36Z
R_2bIBazy8DwV4tn1Ea,6929310Ea,new_entry,original,,,"Greece ""Schools closure""",2020-03-10,2020-04-27,,Greece,GRC,GR,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Greece,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Ministry/Department of Health,,,,,https://www.moh.gov.gr/articles/ministry/grafeio-typoy/press-releases/6820-dhlwsh-toy-ypoyrgoy-ygeias-basilh-kikilia-gia-thn-anastolh-leitoyrgias-olwn-twn-ekpaideytikwn-idrymatwn-meta-apo-eishghsh-ths-eidikhs-epitrophs-loimwksiologwn-10-3-2020 ; https://gr.usembassy.gov/covid-19-information/,2020-04-01,2020-04-01T19:46:36Z
R_2bIBazy8DwV4tn1Fj,6929310Fj,new_entry,original,,,"Greece ""Schools closure""",2020-03-10,2020-04-27,,Greece,GRC,GR,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Greece,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Ministry/Department of Health,,,,,https://www.moh.gov.gr/articles/ministry/grafeio-typoy/press-releases/6820-dhlwsh-toy-ypoyrgoy-ygeias-basilh-kikilia-gia-thn-anastolh-leitoyrgias-olwn-twn-ekpaideytikwn-idrymatwn-meta-apo-eishghsh-ths-eidikhs-epitrophs-loimwksiologwn-10-3-2020 ; https://gr.usembassy.gov/covid-19-information/,2020-04-01,2020-04-01T19:46:36Z
R_2bIBazy8DwV4tn1Ce,6929310Ce,new_entry,original,,,"Greece ""Schools closure""",2020-03-10,2020-04-27,,Greece,GRC,GR,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Greece,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Ministry/Department of Health,,,,,https://www.moh.gov.gr/articles/ministry/grafeio-typoy/press-releases/6820-dhlwsh-toy-ypoyrgoy-ygeias-basilh-kikilia-gia-thn-anastolh-leitoyrgias-olwn-twn-ekpaideytikwn-idrymatwn-meta-apo-eishghsh-ths-eidikhs-epitrophs-loimwksiologwn-10-3-2020 ; https://gr.usembassy.gov/covid-19-information/,2020-04-01,2020-04-01T19:46:36Z
R_2wccDUWJVmNZYpKNA,3709693,new_entry,correction,,,"Greece Greece curbs refugee movement in camps over coronavirus fears
Over the next month, people in camps will only be allowed to exit at certain hours and in small groups to get food.",2020-03-18,2020-03-18,2020-04-16,Greece,GRC,GR,Provincial,1,,,,Curfew,,,,Greece,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Provincial/State Government,,,,,https://www.aljazeera.com/news/2020/03/greece-curbs-refugee-movement-camps-coronavirus-fears-200318162208279.html,2021-04-22,2021-04-22T09:52:33Z
