record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,link,date_updated,recorded_date
R_1S8hqBEmtt3BAhrDy,9697451Dy,new_entry,original,,,The government of Guinea-Bissau announced the closure of schools on March 17th until March 31st.,2020-03-17,2020-03-17,2020-03-31,Guinea-Bissau,GNB,GW,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Guinea-Bissau,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,https://gw.usmission.gov/covid-19-information/,2020-04-18,2020-04-18T21:05:22Z
R_1S8hqBEmtt3BAhrEa,9697451Ea,new_entry,original,,,The government of Guinea-Bissau announced the closure of schools on March 17th until March 31st.,2020-03-17,2020-03-17,2020-03-31,Guinea-Bissau,GNB,GW,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Guinea-Bissau,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,https://gw.usmission.gov/covid-19-information/,2020-04-18,2020-04-18T21:05:22Z
R_1S8hqBEmtt3BAhrFj,9697451Fj,new_entry,original,,,The government of Guinea-Bissau announced the closure of schools on March 17th until March 31st.,2020-03-17,2020-03-17,2020-03-31,Guinea-Bissau,GNB,GW,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Guinea-Bissau,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,https://gw.usmission.gov/covid-19-information/,2020-04-18,2020-04-18T21:05:22Z
R_1S8hqBEmtt3BAhrCe,9697451Ce,new_entry,original,,,The government of Guinea-Bissau announced the closure of schools on March 17th until March 31st.,2020-03-17,2020-03-17,2020-03-31,Guinea-Bissau,GNB,GW,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Guinea-Bissau,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,https://gw.usmission.gov/covid-19-information/,2020-04-18,2020-04-18T21:05:22Z
R_1NEdtv3dWW94OHzDy,9697451Dy,update,original,Change of Policy,Strengthening,Schools remain closed until further notice UPDATE: Schools remain closed until further notice,2020-04-01,2020-04-01,2020-03-31,Guinea-Bissau,GNB,GW,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,,Guinea-Bissau,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,NA ; https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening,2020-06-05,2020-06-05T09:44:31Z
R_1NEdtv3dWW94OHzEa,9697451Ea,update,original,Change of Policy,Strengthening,Schools remain closed until further notice UPDATE: Schools remain closed until further notice,2020-04-01,2020-04-01,2020-03-31,Guinea-Bissau,GNB,GW,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,,Guinea-Bissau,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,NA ; https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening,2020-06-05,2020-06-05T09:44:31Z
R_1NEdtv3dWW94OHzFj,9697451Fj,update,original,Change of Policy,Strengthening,Schools remain closed until further notice UPDATE: Schools remain closed until further notice,2020-04-01,2020-04-01,2020-03-31,Guinea-Bissau,GNB,GW,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,,Guinea-Bissau,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,NA ; https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening,2020-06-05,2020-06-05T09:44:31Z
R_1NEdtv3dWW94OHzCe,9697451Ce,update,original,Change of Policy,Strengthening,Schools remain closed until further notice UPDATE: Schools remain closed until further notice,2020-04-01,2020-04-01,2020-03-31,Guinea-Bissau,GNB,GW,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,,Guinea-Bissau,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,NA ; https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening,2020-06-05,2020-06-05T09:44:31Z
R_1FnV56mbk4OOEsTDy,1997311Dy,new_entry,original,,,The Global Partnership for Education COVID_19 Accelerated Funding has approved a grant of 3.5 million USD for the reopening of the education sector inn Guinea-Bissau.,2020-07-07,2020-07-08,,Guinea-Bissau,GNB,GW,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities allowed to open with conditions,Guinea-Bissau,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,Other (Please specify in the text box),,,,,https://reliefweb.int/sites/reliefweb.int/files/resources/UNICEF%20Guinea-Bissau%20COVID-19%20Situation%20Report%20No.%2013%20-%2027%20June-3%20July%202020.pdf,2020-07-08,2020-07-08T22:54:19Z
R_1FnV56mbk4OOEsTEa,1997311Ea,new_entry,original,,,The Global Partnership for Education COVID_19 Accelerated Funding has approved a grant of 3.5 million USD for the reopening of the education sector inn Guinea-Bissau.,2020-07-07,2020-07-08,,Guinea-Bissau,GNB,GW,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools allowed to open with conditions,Guinea-Bissau,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,Other (Please specify in the text box),,,,,https://reliefweb.int/sites/reliefweb.int/files/resources/UNICEF%20Guinea-Bissau%20COVID-19%20Situation%20Report%20No.%2013%20-%2027%20June-3%20July%202020.pdf,2020-07-08,2020-07-08T22:54:19Z
