record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,link,date_updated,recorded_date
R_3FRw4USqvPOTPPfEa,5193014Ea,new_entry,original,,,"In Guyana, The Ministry of Education wishes to advise that with effect from Monday, March 16, 2020, all schools will be closed for two weeks. This was later extended on March 23rd in another announcement. The extended closure of schools is April 3, which will lead into the Easter Term vacation which runs from April 06, 2020 – April 17, 2020. Schools are set to reopen on April 20.

The University of Guyana (UG) has also extended its closure to March 30th. No updates on opening have been issued for now.",2020-03-13,2020-03-16,2020-04-19,Guyana,GUY,GY,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Guyana,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,49.7966385684468,46.2822193233999,43.3243258384935,65,https://dpi.gov.gy/ministry-of-education-novel-corona-virus-covid-19-update/ ; https://dpi.gov.gy/ug-public-schools-closed-for-another-week-over-covid-19-concerns/,2020-04-03,2020-04-03T07:15:09Z
R_3FRw4USqvPOTPPfFj,5193014Fj,new_entry,original,,,"In Guyana, The Ministry of Education wishes to advise that with effect from Monday, March 16, 2020, all schools will be closed for two weeks. This was later extended on March 23rd in another announcement. The extended closure of schools is April 3, which will lead into the Easter Term vacation which runs from April 06, 2020 – April 17, 2020. Schools are set to reopen on April 20.

The University of Guyana (UG) has also extended its closure to March 30th. No updates on opening have been issued for now.",2020-03-13,2020-03-16,2020-04-19,Guyana,GUY,GY,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Guyana,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,49.7966385684468,46.2822193233999,43.3243258384935,65,https://dpi.gov.gy/ministry-of-education-novel-corona-virus-covid-19-update/ ; https://dpi.gov.gy/ug-public-schools-closed-for-another-week-over-covid-19-concerns/,2020-04-03,2020-04-03T07:15:09Z
R_3FRw4USqvPOTPPfCe,5193014Ce,new_entry,original,,,"In Guyana, The Ministry of Education wishes to advise that with effect from Monday, March 16, 2020, all schools will be closed for two weeks. This was later extended on March 23rd in another announcement. The extended closure of schools is April 3, which will lead into the Easter Term vacation which runs from April 06, 2020 – April 17, 2020. Schools are set to reopen on April 20.

The University of Guyana (UG) has also extended its closure to March 30th. No updates on opening have been issued for now.",2020-03-13,2020-03-16,2020-04-19,Guyana,GUY,GY,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Guyana,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,49.7966385684468,46.2822193233999,43.3243258384935,65,https://dpi.gov.gy/ministry-of-education-novel-corona-virus-covid-19-update/ ; https://dpi.gov.gy/ug-public-schools-closed-for-another-week-over-covid-19-concerns/,2020-04-03,2020-04-03T07:15:09Z
R_1K28sgD3G9HGwxHEa,5193014Ea,update,original,Change of Policy,Strengthening,"In Guyana, The Ministry of Education wishes to advise that with effect from Monday, March 16, 2020, all schools will be closed for two weeks. This was later extended on March 23rd in another announcement. The extended closure of schools is April 3, which will lead into the Easter Term vacation which runs from April 06, 2020 – April 17, 2020. Schools are set to reopen on April 20.

The University of Guyana (UG) has also extended its closure to March 30th. No updates on opening have been issued for now. UPDATE: due to the COVID-19 pandemic, schools will not be reopened on September 7, 2020, until further notice.",2020-08-14,2020-08-14,2020-04-19,Guyana,GUY,GY,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,,Guyana,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,72.3736835372914,68.9997778556229,65.7911223795228,107,NA ; https://dpi.gov.gy/schools-to-remain-closed-to-face-to-face-learning-in-september/,2020-08-24,2020-08-24T09:44:00Z
R_1K28sgD3G9HGwxHFj,5193014Fj,update,original,Change of Policy,Strengthening,"In Guyana, The Ministry of Education wishes to advise that with effect from Monday, March 16, 2020, all schools will be closed for two weeks. This was later extended on March 23rd in another announcement. The extended closure of schools is April 3, which will lead into the Easter Term vacation which runs from April 06, 2020 – April 17, 2020. Schools are set to reopen on April 20.

The University of Guyana (UG) has also extended its closure to March 30th. No updates on opening have been issued for now. UPDATE: due to the COVID-19 pandemic, schools will not be reopened on September 7, 2020, until further notice.",2020-08-14,2020-08-14,2020-04-19,Guyana,GUY,GY,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,,Guyana,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,72.3736835372914,68.9997778556229,65.7911223795228,107,NA ; https://dpi.gov.gy/schools-to-remain-closed-to-face-to-face-learning-in-september/,2020-08-24,2020-08-24T09:44:00Z
R_1K28sgD3G9HGwxHCe,5193014Ce,update,original,Change of Policy,Strengthening,"In Guyana, The Ministry of Education wishes to advise that with effect from Monday, March 16, 2020, all schools will be closed for two weeks. This was later extended on March 23rd in another announcement. The extended closure of schools is April 3, which will lead into the Easter Term vacation which runs from April 06, 2020 – April 17, 2020. Schools are set to reopen on April 20.

The University of Guyana (UG) has also extended its closure to March 30th. No updates on opening have been issued for now. UPDATE: due to the COVID-19 pandemic, schools will not be reopened on September 7, 2020, until further notice.",2020-08-14,2020-08-14,2020-04-19,Guyana,GUY,GY,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,,Guyana,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,72.3736835372914,68.9997778556229,65.7911223795228,107,NA ; https://dpi.gov.gy/schools-to-remain-closed-to-face-to-face-learning-in-september/,2020-08-24,2020-08-24T09:44:00Z
R_bp8dNYYmD5tWtodNA,8323628,new_entry,original,,,"In Guyana, the Minister of Public Health has issued emergency measures to contain the spread of the Novel Coronavirus.

It will be in effect from April 3 to May 3, 2020. These measures, among other things, supervised the implementation of a 6 pm to 6 am curfew while only catering for the operations of essential services on a 24-hour basis.

With these emergency measures now published all curfews or measures taken by town councils and village/community leaders and others are revoked except those made by the Ministers responsible for Education, Civil Aviation, Maritime, Immigration and Finance.",2020-04-03,2020-04-03,2020-05-03,Guyana,GUY,GY,National,1,,,,Curfew,,,,Guyana,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",62.4942563034258,59.7427840356056,56.5449430983952,30,https://dpi.gov.gy/covid-19-emergency-measures/,2020-04-04,2020-04-04T08:11:12Z
R_1FnzeWnHV16fOaVNA,8323628,update,original,Change of Policy,Strengthening,"In Guyana, the Minister of Public Health has issued emergency measures to contain the spread of the Novel Coronavirus.

UPDATE: Curfew extended to June 3
It will be in effect from April 3 to May 3, 2020. These measures, among other things, supervised the implementation of a 6 pm to 6 am curfew while only catering for the operations of essential services on a 24-hour basis.

With these emergency measures now published all curfews or measures taken by town councils and village/community leaders and others are revoked except those made by the Ministers responsible for Education, Civil Aviation, Maritime, Immigration and Finance. UPDATE: The curfew has been extended for another month. The updated COVID-19 Emergency Measures states that this takes effect from May 4 until June 3, 2020.",2020-04-03,2020-04-03,2020-06-03,Guyana,GUY,GY,National,1,,,,Curfew,,,,Guyana,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",62.4942563034258,59.7427840356056,56.5449430983952,30,https://dpi.gov.gy/covid-19-emergency-measures/ ; https://dpi.gov.gy/curfew-extended-to-june-3/,2020-05-06,2020-05-06T16:45:51Z
R_1ool61vHDAtMXJnNA,8323628,update,original,Change of Policy,Strengthening,"In Guyana, the Minister of Public Health has issued emergency measures to contain the spread of the Novel Coronavirus.

It will be in effect from April 3 to May 3, 2020. These measures, among other things, supervised the implementation of a 6 pm to 6 am curfew while only catering for the operations of essential services on a 24-hour basis.

With these emergency measures now published all curfews or measures taken by town councils and village/community leaders and others are revoked except those made by the Ministers responsible for Education, Civil Aviation, Maritime, Immigration and Finance. UPDATE: The COVID-19 Emergency Measures effective until June 3, 2020, has been extended to 17 June 2020, as advised by the National COVID-19 Task Force.
This also means the 6pm-6am curfew will remain in effect until 17 June 2020.",2020-04-03,2020-04-03,2020-06-17,Guyana,GUY,GY,National,1,,,,Curfew,,,,Guyana,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",62.4942563034258,59.7427840356056,56.5449430983952,30,NA ; https://dpi.gov.gy/curfew-emergency-measures-extended-to-a-june-17/#gsc.tab=0,2020-06-08,2020-06-08T14:51:39Z
R_1LHG5D5SKu5JogSNA,8323628,update,original,Change of Policy,Relaxing,"In Guyana, the Minister of Public Health has issued emergency measures to contain the spread of the Novel Coronavirus.

It will be in effect from April 3 to May 3, 2020. These measures, among other things, supervised the implementation of a 6 pm to 6 am curfew while only catering for the operations of essential services on a 24-hour basis.

With these emergency measures now published all curfews or measures taken by town councils and village/community leaders and others are revoked except those made by the Ministers responsible for Education, Civil Aviation, Maritime, Immigration and Finance. UPDATE: The National COVID-19 Task Force has announced that Phase 3 of Guyana’s re-opening process. The national curfew will now be from 8pm (instead of 6pm) to 6am. The curfew shall not apply in Regions 5 and 6 on Mondays to Fridays but shall be in effect on Saturdays and Sundays in these two regions. Outdoor dining at restaurants will be permitted from 6am to 6pm under strict conditions",2020-07-18,2020-04-03,2020-07-31,Guyana,GUY,GY,National,1,,,,Curfew,,,,Guyana,,,,,,All Residents (Citizen Residents + Foreign Residents),,Not Applicable,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Police,New (COVID-19 specific) Task Force",62.4942563034258,59.7427840356056,56.5449430983952,30,NA ; https://dpi.gov.gy/phase-3-of-guyanas-re-opening-commences-tomorrow/#gsc.tab=0,2020-07-28,2020-07-28T09:00:07Z
