record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,link,date_updated,recorded_date
R_2xXi4x35zZzMwI9Ea,9137081Ea,new_entry,original,,,"In Iraq, as of Feb. 25, all schools and universities in Najaf province have been shut ""for at least 10 days"".",2020-02-25,2020-02-25,2020-03-05,Iraq,IRQ,IQ,Provincial,1,An Najaf,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Iraq,,,An Najaf,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"Ministry/Department of Health,Provincial/State Government",47.3888998092887,43.214086416798,39.4508679460914,133,https://www.thejakartapost.com/news/2020/02/25/schools-shrines-shut-in-iraqs-najaf-over-coronavirus-.html ; https://egyptindependent.com/iraq-reports-four-cases-of-coronavirus-amid-fear-of-iran-epidemic-spillover/,2020-03-31,2020-03-31T14:38:48Z
R_2xXi4x35zZzMwI9Fj,9137081Fj,new_entry,original,,,"In Iraq, as of Feb. 25, all schools and universities in Najaf province have been shut ""for at least 10 days"".",2020-02-25,2020-02-25,2020-03-05,Iraq,IRQ,IQ,Provincial,1,An Najaf,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Iraq,,,An Najaf,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"Ministry/Department of Health,Provincial/State Government",47.3888998092887,43.214086416798,39.4508679460914,133,https://www.thejakartapost.com/news/2020/02/25/schools-shrines-shut-in-iraqs-najaf-over-coronavirus-.html ; https://egyptindependent.com/iraq-reports-four-cases-of-coronavirus-amid-fear-of-iran-epidemic-spillover/,2020-03-31,2020-03-31T14:38:48Z
R_2xXi4x35zZzMwI9Ce,9137081Ce,new_entry,original,,,"In Iraq, as of Feb. 25, all schools and universities in Najaf province have been shut ""for at least 10 days"".",2020-02-25,2020-02-25,2020-03-05,Iraq,IRQ,IQ,Provincial,1,An Najaf,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Iraq,,,An Najaf,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"Ministry/Department of Health,Provincial/State Government",47.3888998092887,43.214086416798,39.4508679460914,133,https://www.thejakartapost.com/news/2020/02/25/schools-shrines-shut-in-iraqs-najaf-over-coronavirus-.html ; https://egyptindependent.com/iraq-reports-four-cases-of-coronavirus-amid-fear-of-iran-epidemic-spillover/,2020-03-31,2020-03-31T14:38:48Z
R_2XigX9BivmC6C0cEa,8463849Ea,new_entry,original,,,"On Feb. 25, the Kirkuk Governate in Iraq indefinitely closed schools and universities.",2020-02-25,2020-02-25,,Iraq,IRQ,IQ,Provincial,1,Kirkuk,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Iraq,,,Kirkuk,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Provincial/State Government,47.3888998092887,43.214086416798,39.4508679460914,133,https://www.reuters.com/article/us-china-health-iraq/first-iraqis-catch-coronavirus-amid-fear-of-iran-epidemic-spillover-idUSKCN20J0ZI,2020-04-01,2020-04-01T10:01:57Z
R_2XigX9BivmC6C0cFj,8463849Fj,new_entry,original,,,"On Feb. 25, the Kirkuk Governate in Iraq indefinitely closed schools and universities.",2020-02-25,2020-02-25,,Iraq,IRQ,IQ,Provincial,1,Kirkuk,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Iraq,,,Kirkuk,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Provincial/State Government,47.3888998092887,43.214086416798,39.4508679460914,133,https://www.reuters.com/article/us-china-health-iraq/first-iraqis-catch-coronavirus-amid-fear-of-iran-epidemic-spillover-idUSKCN20J0ZI,2020-04-01,2020-04-01T10:01:57Z
R_2XigX9BivmC6C0cCe,8463849Ce,new_entry,original,,,"On Feb. 25, the Kirkuk Governate in Iraq indefinitely closed schools and universities.",2020-02-25,2020-02-25,,Iraq,IRQ,IQ,Provincial,1,Kirkuk,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Iraq,,,Kirkuk,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Provincial/State Government,47.3888998092887,43.214086416798,39.4508679460914,133,https://www.reuters.com/article/us-china-health-iraq/first-iraqis-catch-coronavirus-amid-fear-of-iran-epidemic-spillover-idUSKCN20J0ZI,2020-04-01,2020-04-01T10:01:57Z
R_1r1xP70mTLtOaACDy,9392912Dy,new_entry,original,,,Iraq is closing all educational institutions from Feb. 27 until March 7.,2020-02-26,2020-02-27,2020-03-07,Iraq,IRQ,IQ,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Iraq,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",51.4038102381462,47.466404209835,43.8415071809874,134,https://www.facebook.com/MOH.GOV.IQ/posts/2763336420387405 ; https://www.reuters.com/article/us-china-health-iraq/iraq-bans-public-gatherings-on-coronavirus-fear-travel-ban-totals-nine-countries-idUSKCN20K2ZE,2020-04-01,2020-04-01T17:10:13Z
R_1r1xP70mTLtOaACEa,9392912Ea,new_entry,original,,,Iraq is closing all educational institutions from Feb. 27 until March 7.,2020-02-26,2020-02-27,2020-03-07,Iraq,IRQ,IQ,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Iraq,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",51.4038102381462,47.466404209835,43.8415071809874,134,https://www.facebook.com/MOH.GOV.IQ/posts/2763336420387405 ; https://www.reuters.com/article/us-china-health-iraq/iraq-bans-public-gatherings-on-coronavirus-fear-travel-ban-totals-nine-countries-idUSKCN20K2ZE,2020-04-01,2020-04-01T17:10:13Z
R_1r1xP70mTLtOaACFj,9392912Fj,new_entry,original,,,Iraq is closing all educational institutions from Feb. 27 until March 7.,2020-02-26,2020-02-27,2020-03-07,Iraq,IRQ,IQ,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Iraq,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",51.4038102381462,47.466404209835,43.8415071809874,134,https://www.facebook.com/MOH.GOV.IQ/posts/2763336420387405 ; https://www.reuters.com/article/us-china-health-iraq/iraq-bans-public-gatherings-on-coronavirus-fear-travel-ban-totals-nine-countries-idUSKCN20K2ZE,2020-04-01,2020-04-01T17:10:13Z
R_1r1xP70mTLtOaACCe,9392912Ce,new_entry,original,,,Iraq is closing all educational institutions from Feb. 27 until March 7.,2020-02-26,2020-02-27,2020-03-07,Iraq,IRQ,IQ,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Iraq,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",51.4038102381462,47.466404209835,43.8415071809874,134,https://www.facebook.com/MOH.GOV.IQ/posts/2763336420387405 ; https://www.reuters.com/article/us-china-health-iraq/iraq-bans-public-gatherings-on-coronavirus-fear-travel-ban-totals-nine-countries-idUSKCN20K2ZE,2020-04-01,2020-04-01T17:10:13Z
R_110j6S84MpoB2fzDy,9392912Dy,update,original,,,"On March 6, Iraq extended the closure of all educational institutions from ending March 7 to ending March 21. UPDATE: Schools and universities were originally closed until March 7, this has been extended to March 21.",2020-03-06,2020-03-07,2020-03-21,Iraq,IRQ,IQ,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Iraq,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,56.5045447401241,53.4991652931993,50.2346401857067,133,https://english.alarabiya.net/en/News/middle-east/2020/03/06/Iraq-to-stop-border-trade-with-Iran-Kuwait-from-March-8-15-due-to-coronavirus,2020-04-02,2020-04-02T14:14:11Z
