record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,link,date_updated,recorded_date
R_3fK1Nj8j3r5FW10Dy,7286566Dy,new_entry,original,,,Lesotho has on Wednesday (March 18) declared the coronavirus a national emergency and schools will be closed but public primary schools will continue feeding schemes where some pupils get their only meal. schools will be closed until 17 April.,2020-03-18,2020-03-18,2020-04-17,Lesotho,LSO,LS,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Lesotho,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,New (COVID-19 specific) Task Force",56.7551100384047,53.1710968289519,49.5091981110437,89,https://ewn.co.za/2020/03/19/lesotho-declares-national-emergency-over-covid-19-outbreak,2020-10-16,2020-10-16T08:42:28Z
R_3fK1Nj8j3r5FW10Ea,7286566Ea,new_entry,original,,,Lesotho has on Wednesday (March 18) declared the coronavirus a national emergency and schools will be closed but public primary schools will continue feeding schemes where some pupils get their only meal. schools will be closed until 17 April.,2020-03-18,2020-03-18,2020-04-17,Lesotho,LSO,LS,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Lesotho,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,New (COVID-19 specific) Task Force",56.7551100384047,53.1710968289519,49.5091981110437,89,https://ewn.co.za/2020/03/19/lesotho-declares-national-emergency-over-covid-19-outbreak,2020-10-16,2020-10-16T08:42:28Z
R_3fK1Nj8j3r5FW10Fj,7286566Fj,new_entry,original,,,Lesotho has on Wednesday (March 18) declared the coronavirus a national emergency and schools will be closed but public primary schools will continue feeding schemes where some pupils get their only meal. schools will be closed until 17 April.,2020-03-18,2020-03-18,2020-04-17,Lesotho,LSO,LS,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Lesotho,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,New (COVID-19 specific) Task Force",56.7551100384047,53.1710968289519,49.5091981110437,89,https://ewn.co.za/2020/03/19/lesotho-declares-national-emergency-over-covid-19-outbreak,2020-10-16,2020-10-16T08:42:28Z
R_3fK1Nj8j3r5FW10Ce,7286566Ce,new_entry,original,,,Lesotho has on Wednesday (March 18) declared the coronavirus a national emergency and schools will be closed but public primary schools will continue feeding schemes where some pupils get their only meal. schools will be closed until 17 April.,2020-03-18,2020-03-18,2020-04-17,Lesotho,LSO,LS,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Lesotho,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,New (COVID-19 specific) Task Force",56.7551100384047,53.1710968289519,49.5091981110437,89,https://ewn.co.za/2020/03/19/lesotho-declares-national-emergency-over-covid-19-outbreak,2020-10-16,2020-10-16T08:42:28Z
R_1fg8BnW6pDFsu2HDy,7286566Dy,update,original,Change of Policy,,"Lesotho has on Wednesday (March 18) declared the coronavirus a national emergency and schools will be closed but public primary schools will continue feeding schemes where some pupils get their only meal. schools will be closed until 17 April. UPDATE: The original total school closure was relaxed to allow some external classes. According to Public Health (COVID-19) Regulations, 2020 (Legal Notice No. 41 of 2020), schools will only be opened for external classes for Grade 7, Junior Certificate, Grade 11, Lesotho general certificate for secondary education, international general certificate for secondary education, advanced subsidiary, A level and internatonal Baccalaureate",2020-03-18,2020-05-06,2020-05-19,Lesotho,LSO,LS,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Lesotho,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,New (COVID-19 specific) Task Force",64.0368923084983,61.3174454648859,58.3704781256805,38,NA ; https://www.gov.ls/necc-commends-schools-for-following-regulations/,2020-10-16,2020-10-16T09:11:46Z
R_1fg8BnW6pDFsu2HEa,7286566Ea,update,original,Change of Policy,,"Lesotho has on Wednesday (March 18) declared the coronavirus a national emergency and schools will be closed but public primary schools will continue feeding schemes where some pupils get their only meal. schools will be closed until 17 April. UPDATE: The original total school closure was relaxed to allow some external classes. According to Public Health (COVID-19) Regulations, 2020 (Legal Notice No. 41 of 2020), schools will only be opened for external classes for Grade 7, Junior Certificate, Grade 11, Lesotho general certificate for secondary education, international general certificate for secondary education, advanced subsidiary, A level and internatonal Baccalaureate",2020-03-18,2020-05-06,2020-05-19,Lesotho,LSO,LS,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Lesotho,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,New (COVID-19 specific) Task Force",64.0368923084983,61.3174454648859,58.3704781256805,38,NA ; https://www.gov.ls/necc-commends-schools-for-following-regulations/,2020-10-16,2020-10-16T09:11:46Z
R_1fg8BnW6pDFsu2HFj,7286566Fj,update,original,Change of Policy,,"Lesotho has on Wednesday (March 18) declared the coronavirus a national emergency and schools will be closed but public primary schools will continue feeding schemes where some pupils get their only meal. schools will be closed until 17 April. UPDATE: The original total school closure was relaxed to allow some external classes. According to Public Health (COVID-19) Regulations, 2020 (Legal Notice No. 41 of 2020), schools will only be opened for external classes for Grade 7, Junior Certificate, Grade 11, Lesotho general certificate for secondary education, international general certificate for secondary education, advanced subsidiary, A level and internatonal Baccalaureate",2020-03-18,2020-05-06,2020-05-19,Lesotho,LSO,LS,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Lesotho,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,New (COVID-19 specific) Task Force",64.0368923084983,61.3174454648859,58.3704781256805,38,NA ; https://www.gov.ls/necc-commends-schools-for-following-regulations/,2020-10-16,2020-10-16T09:11:46Z
R_1fg8BnW6pDFsu2HCe,7286566Ce,update,original,Change of Policy,,"Lesotho has on Wednesday (March 18) declared the coronavirus a national emergency and schools will be closed but public primary schools will continue feeding schemes where some pupils get their only meal. schools will be closed until 17 April. UPDATE: The original total school closure was relaxed to allow some external classes. According to Public Health (COVID-19) Regulations, 2020 (Legal Notice No. 41 of 2020), schools will only be opened for external classes for Grade 7, Junior Certificate, Grade 11, Lesotho general certificate for secondary education, international general certificate for secondary education, advanced subsidiary, A level and internatonal Baccalaureate",2020-03-18,2020-05-06,2020-05-19,Lesotho,LSO,LS,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Lesotho,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,New (COVID-19 specific) Task Force",64.0368923084983,61.3174454648859,58.3704781256805,38,NA ; https://www.gov.ls/necc-commends-schools-for-following-regulations/,2020-10-16,2020-10-16T09:11:46Z
R_UAfJvxDmpYBKmLnDy,7286566Dy,update,original,End of Policy,,Lesotho has on Wednesday (March 18) declared the coronavirus a national emergency and schools will be closed but public primary schools will continue feeding schemes where some pupils get their only meal. schools will be closed until 17 April. UPDATE: The original policy had restricted all school activities. It has been updated to: Technical and Vocational Education and Training (TVET) and tertiary institutions shall resume classes,2020-03-18,2020-05-06,2020-05-19,Lesotho,LSO,LS,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Lesotho,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,New (COVID-19 specific) Task Force",64.0368923084983,61.3174454648859,58.3704781256805,38,NA ; https://www.gov.ls/wp-content/uploads/2020/05/LEGAL-NOTICE-NO.-41-OF-2020.pdf,2020-10-16,2020-10-16T09:17:04Z
R_UAfJvxDmpYBKmLnEa,7286566Ea,update,original,End of Policy,,Lesotho has on Wednesday (March 18) declared the coronavirus a national emergency and schools will be closed but public primary schools will continue feeding schemes where some pupils get their only meal. schools will be closed until 17 April. UPDATE: The original policy had restricted all school activities. It has been updated to: Technical and Vocational Education and Training (TVET) and tertiary institutions shall resume classes,2020-03-18,2020-05-06,2020-05-19,Lesotho,LSO,LS,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Lesotho,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,New (COVID-19 specific) Task Force",64.0368923084983,61.3174454648859,58.3704781256805,38,NA ; https://www.gov.ls/wp-content/uploads/2020/05/LEGAL-NOTICE-NO.-41-OF-2020.pdf,2020-10-16,2020-10-16T09:17:04Z
