record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,link,date_updated,recorded_date
R_2qeLzuxUAQU8EVyDy,1722483Dy,new_entry,original,,,North Macedonia closed schools for two weeks.,2020-03-10,2020-03-10,2020-03-24,North Macedonia,MKD,MK,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,North Macedonia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Ministry/Department of Health,18.0307421706356,12.7935264054834,8.71986971874257,3,https://meta.mk/en/14-days-closure-for-all-macedonian-schools-kindergartens-and-universities/,2020-04-02,2020-04-02T09:59:18Z
R_2qeLzuxUAQU8EVyEa,1722483Ea,new_entry,original,,,North Macedonia closed schools for two weeks.,2020-03-10,2020-03-10,2020-03-24,North Macedonia,MKD,MK,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,North Macedonia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Ministry/Department of Health,18.0307421706356,12.7935264054834,8.71986971874257,3,https://meta.mk/en/14-days-closure-for-all-macedonian-schools-kindergartens-and-universities/,2020-04-02,2020-04-02T09:59:18Z
R_2qeLzuxUAQU8EVyFj,1722483Fj,new_entry,original,,,North Macedonia closed schools for two weeks.,2020-03-10,2020-03-10,2020-03-24,North Macedonia,MKD,MK,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,North Macedonia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Ministry/Department of Health,18.0307421706356,12.7935264054834,8.71986971874257,3,https://meta.mk/en/14-days-closure-for-all-macedonian-schools-kindergartens-and-universities/,2020-04-02,2020-04-02T09:59:18Z
R_2qeLzuxUAQU8EVyCe,1722483Ce,new_entry,original,,,North Macedonia closed schools for two weeks.,2020-03-10,2020-03-10,2020-03-24,North Macedonia,MKD,MK,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,North Macedonia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Ministry/Department of Health,18.0307421706356,12.7935264054834,8.71986971874257,3,https://meta.mk/en/14-days-closure-for-all-macedonian-schools-kindergartens-and-universities/,2020-04-02,2020-04-02T09:59:18Z
R_3JD8u9Q0FxDtZRbNA,5751313,new_entry,correction,,,North Macedonia changed the hours of curfew for different segments of society. Adults over age 67 are allowed out between 5AM and 11AM. Individuals under 18 years old are allowed out from 12PM to 8PM. Everyone is restricted from movement outside their homes from 9PM to 5AM starting on March 24th.,2020-03-24,2020-03-24,2020-03-28,North Macedonia,MKD,MK,National,1,,,,Curfew,,,,North Macedonia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,19.4974404025956,13.563663518897,9.54902846633528,3,https://mk.usembassy.gov/covid-19-information/,2020-09-11,2020-09-11T21:05:14Z
R_WDxt0FmeS0BnVyVNA,5751313,update,original,,,North Macedonia changed the hours of curfew for different segments of society. Adults over age 67 are allowed out between 5AM and 11AM. Individuals under 18 years old are allowed out from 12PM to 8PM. Everyone is restricted from movement outside their homes from 9PM to 5AM starting on March 24th. UPDATE: Curfew hours were changed. Individuals over 67 years old are allowed outside their houses between 5AM and 11AM. Individuals under 18 years old are allowed outside their houses between 12PM and 9PM only. No one is allowed outside their houses from 9PM to 5AM.,2020-03-24,2020-03-24,,North Macedonia,MKD,MK,National,1,,,,Curfew,,,,North Macedonia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Fines,Police,19.4974404025956,13.563663518897,9.54902846633528,3,https://mk.usembassy.gov/covid-19-information/,2020-04-02,2020-04-02T17:32:21Z
R_3Jgsy3qRZVB88LXNA,5751313,new_entry,correction,,,North Macedonia changed curfew times for Saturday and Sunday from 9PM to 5AM to 4PM to 5AM starting on March 28th.,2020-03-25,2020-03-28,2020-04-10,North Macedonia,MKD,MK,National,1,,,,Curfew,,,,North Macedonia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,19.9910306807217,14.390904012326,9.81989485987322,3,https://mk.usembassy.gov/covid-19-information/,2020-09-11,2020-09-11T21:17:13Z
R_2UXkUtwjZbgoQbtNA,5751313,update,original,,,North Macedonia changed curfew times for Saturday and Sunday from 9PM to 5AM to 4PM to 5AM starting on March 28th. UPDATE: Quarantine will be 4PM to 5AM on Saturdays and Sundays starting on March 28th.,2020-03-25,2020-03-28,,North Macedonia,MKD,MK,National,1,,,,Curfew,,,,North Macedonia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Fines,Police,19.9910306807217,14.390904012326,9.81989485987322,3,https://mk.usembassy.gov/covid-19-information/,2020-04-02,2020-04-02T17:41:13Z
R_3RsaAwy1rZj3NpJNA,73397,new_entry,correction,,,"On April 8, curfew hours were extended in the municipality of Kumanovo in North Macedonia and the surrounding villages to limit the spread of the coronavirus in the region. From Monday to Friday, individuals are prohibited from leaving their homes between 16:00 and 05:00 (local time). Over the weekend, a complete ban on movement will be implemented from 21:00 on Friday through 05:00 on Monday.",2020-04-07,2020-04-08,2020-04-10,North Macedonia,MKD,MK,Municipal,1,,,Kumanovo Municipality,Curfew,,,,North Macedonia,One or more geographical or administrative units within one or more countries,,,Kumanovo Municipality,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,23.468446156075,16.7636888595245,11.4543574149686,3,https://www.garda.com/crisis24/news-alerts/330296/north-macedonia-curfew-hours-extended-in-kumanovo-municipality-april-8-update-4,2020-09-11,2020-09-11T21:14:29Z
R_3EHap0CTyrbnonsNA,5751313,update,correction,,Relaxing,"North Macedonia is changing weekly curfew hours starting on April 8th. Individuals over 67 years of age can leave their houses from 10AM to 12PM. Individuals under 18 years of age, will be aloud outside their houses from 1PM to 3PM. All other adults will have a curfew of 4PM to 5AM.",2020-04-07,2020-04-08,2020-05-01,North Macedonia,MKD,MK,National,1,,,,Curfew,,,,North Macedonia,One or more regional groupings,Europe,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,23.468446156075,16.7636888595245,11.4543574149686,3,https://vlada.mk/node/20900?ln=sq,2020-09-11,2020-09-11T21:11:29Z
R_2a7T7JkfDVzlLFvNA,5751313,update,original,,,North Macedonia is enforcing a weekend curfew starting on Friday April 10th. Curfew will extend from Fridays at 4PM until Monday mornings at 5AM. UPDATE: A weekend curfew has been set from Fridays at 4PM until Mondays at 5AM.,2020-04-07,2020-04-10,,North Macedonia,MKD,MK,National,1,,,,Curfew,,,,North Macedonia,One or more regional groupings,Europe,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Fines,National Government,24.0507674749828,17.1988103004772,12.0190934893125,3,https://vlada.mk/node/20900?ln=sq,2020-04-07,2020-04-07T16:42:27Z
