record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,link,date_updated,recorded_date
R_u8RhKkek8fI2ZYBCe,488631Ce,new_entry,original,,,"On 12th March 2020, the Ministry of Education of Peru suspended or postponed the beginning of all face-to-face lessons on universities, technical-productive institutes, and higher education centres, both public and private, until 29th March 2020, allowing schools to begin lessons on 30th March 2020.",2020-03-12,2020-03-12,2020-03-29,Peru,PER,PE,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Peru,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Other (Please specify in the text box)",49.7584152600768,46.5675483153431,42.230389492839,104,https://www.gob.pe/institucion/minedu/noticias/108801-minedu-suspende-clases-en-universidades-publicas-y-privadas-para-evitar-propagacion-del-coronavirus,2020-08-11,2020-08-11T16:11:06Z
R_3QDj7DbSS3G2RwBDy,1515481Dy,new_entry,correction,,,"On March 12, the Peruvian government suspends face-to-face courses in all schools (public and private) with a duration until March 30. 
On April 1, the measure is extended until May 4.",2020-03-12,2020-03-12,2020-05-03,Peru,PER,PE,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Peru,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Military,Provincial/State Government,Municipal Government,Police",49.7584152600768,46.5675483153431,42.230389492839,104,https://gestion.pe/peru/covid-19-minedu-colegios-privados-deben-presentar-plan-de-recuperacion-escolar-noticia/,2020-08-13,2020-08-13T10:30:31Z
R_3QDj7DbSS3G2RwBEa,1515481Ea,new_entry,correction,,,"On March 12, the Peruvian government suspends face-to-face courses in all schools (public and private) with a duration until March 30. 
On April 1, the measure is extended until May 4.",2020-03-12,2020-03-12,2020-05-03,Peru,PER,PE,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Peru,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Military,Provincial/State Government,Municipal Government,Police",49.7584152600768,46.5675483153431,42.230389492839,104,https://gestion.pe/peru/covid-19-minedu-colegios-privados-deben-presentar-plan-de-recuperacion-escolar-noticia/,2020-08-13,2020-08-13T10:30:31Z
R_3QDj7DbSS3G2RwBFj,1515481Fj,new_entry,correction,,,"On March 12, the Peruvian government suspends face-to-face courses in all schools (public and private) with a duration until March 30. 
On April 1, the measure is extended until May 4.",2020-03-12,2020-03-12,2020-05-03,Peru,PER,PE,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Peru,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Military,Provincial/State Government,Municipal Government,Police",49.7584152600768,46.5675483153431,42.230389492839,104,https://gestion.pe/peru/covid-19-minedu-colegios-privados-deben-presentar-plan-de-recuperacion-escolar-noticia/,2020-08-13,2020-08-13T10:30:31Z
R_24jbPPVhhPlFX2cCe,488631Ce,update,original,Change of Policy,Strengthening,"On 12th March 2020, the Ministry of Education of Peru suspended or postponed the beginning of all face-to-face lessons on universities, technical-productive institutes, and higher education centres, both public and private, until 29th March 2020, allowing schools to begin lessons on 30th March 2020.
On 31st March 2020, it was officially extended until 3rd May 2020. UPDATE: The initial duration of the closure of universities and higher education institutions was until March 30th, it has been extended to May 3rd 2020.",2020-03-12,2020-03-12,2020-05-03,Peru,PER,PE,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Peru,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Other (Please specify in the text box)",49.7584152600768,46.5675483153431,42.230389492839,104,NA ; https://elcomercio.pe/lima/sucesos/coronavirus-peru-minedu-prolonga-suspension-clases-presenciales-en-universidades-e-institutos-hasta-el-3-de-mayo-nndc-noticia/,2020-08-11,2020-08-11T16:23:13Z
R_1OSSO3SR4YyDXFPCe,488631Ce,update,original,Change of Policy,Strengthening,"On 12th March 2020, the Ministry of Education of Peru suspended or postponed the beginning of all face-to-face lessons on universities, technical-productive institutes, and higher education centres, both public and private, until 29th March 2020, allowing schools to begin lessons on 30th March 2020.
On 31st March 2020, it was officially extended until 3rd May 2020.
On 3rd May 2020, it was extended until the end of the national and sanitary state of emergency (until further notice).

 UPDATE: The restriction of face-to-face lessons on universities and higher education institutions was originally set to last until March 30th. It was then extended until May 3rd. Finally, it has been extended indefinitely (until the end of the state of national and sanitary emergency).",2020-03-12,2020-03-12,2020-05-03,Peru,PER,PE,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Peru,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Other (Please specify in the text box)",49.7584152600768,46.5675483153431,42.230389492839,104,NA ; https://elcomercio.pe/lima/sucesos/coronavirus-peru-minedu-dispone-la-suspension-de-clases-presenciales-en-institutos-y-universidades-mientras-dure-crisis-del-covid-19-cuarentena-nndc-noticia/?ref=ecr ; https://cdn.www.gob.pe/uploads/document/file/671513/RESOLUCION_VICE_MINISTERIAL-00095-2020-MINEDU.pdf,2020-08-13,2020-08-13T09:27:47Z
R_2yjE6JHWr609fsVDy,1515481Dy,update,correction,,,"On March 12, the Peruvian government suspends face-to-face courses in all schools (public and private) with a duration until March 30. 
On April 1, the measure is extended until May 4.
On April 18, the measure is extended indefinitely.",2020-03-12,2020-03-12,2020-05-03,Peru,PER,PE,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Peru,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Military,Provincial/State Government,Municipal Government,Police",49.7584152600768,46.5675483153431,42.230389492839,104,https://gestion.pe/peru/covid-19-minedu-colegios-privados-deben-presentar-plan-de-recuperacion-escolar-noticia/,2020-08-13,2020-08-13T10:31:27Z
R_2yjE6JHWr609fsVEa,1515481Ea,update,correction,,,"On March 12, the Peruvian government suspends face-to-face courses in all schools (public and private) with a duration until March 30. 
On April 1, the measure is extended until May 4.
On April 18, the measure is extended indefinitely.",2020-03-12,2020-03-12,2020-05-03,Peru,PER,PE,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Peru,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Military,Provincial/State Government,Municipal Government,Police",49.7584152600768,46.5675483153431,42.230389492839,104,https://gestion.pe/peru/covid-19-minedu-colegios-privados-deben-presentar-plan-de-recuperacion-escolar-noticia/,2020-08-13,2020-08-13T10:31:27Z
R_2yjE6JHWr609fsVFj,1515481Fj,update,correction,,,"On March 12, the Peruvian government suspends face-to-face courses in all schools (public and private) with a duration until March 30. 
On April 1, the measure is extended until May 4.
On April 18, the measure is extended indefinitely.",2020-03-12,2020-03-12,2020-05-03,Peru,PER,PE,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Peru,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Military,Provincial/State Government,Municipal Government,Police",49.7584152600768,46.5675483153431,42.230389492839,104,https://gestion.pe/peru/covid-19-minedu-colegios-privados-deben-presentar-plan-de-recuperacion-escolar-noticia/,2020-08-13,2020-08-13T10:31:27Z
R_pMqkglT1HLLftBLDy,7733161Dy,new_entry,original,,,"On April 1 2020, the Peruvian government anounced that this year´s scholar circle (primary/secondary) starts regularly on April 6, but through virtual classes (Strategy ""Aprendo en casa""). On May 4, a gradual return to traditional classroom teaching is planned.",2020-04-01,2020-04-06,2020-05-04,Peru,PER,PE,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Peru,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Provincial/State Government,Municipal Government",79.1687706624826,75.8512741071509,72.4326039953126,118,https://gestion.pe/peru/covid-19-minedu-colegios-privados-deben-presentar-plan-de-recuperacion-escolar-noticia/,2020-04-03,2020-04-03T10:33:10Z
R_pMqkglT1HLLftBLEa,7733161Ea,new_entry,original,,,"On April 1 2020, the Peruvian government anounced that this year´s scholar circle (primary/secondary) starts regularly on April 6, but through virtual classes (Strategy ""Aprendo en casa""). On May 4, a gradual return to traditional classroom teaching is planned.",2020-04-01,2020-04-06,2020-05-04,Peru,PER,PE,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Peru,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Provincial/State Government,Municipal Government",79.1687706624826,75.8512741071509,72.4326039953126,118,https://gestion.pe/peru/covid-19-minedu-colegios-privados-deben-presentar-plan-de-recuperacion-escolar-noticia/,2020-04-03,2020-04-03T10:33:10Z
